@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R1-3,6,9'

@attribute Sex {M,F,I}
@attribute Length numeric
@attribute Diameter numeric
@attribute Shucked_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
F,0.545,0.425,0.294,16
M,0.365,0.295,0.097,7
I,0.38,0.275,0.08,10
F,0.58,0.45,0.3945,11
M,0.575,0.425,0.393,11
F,0.575,0.445,0.381,11
F,0.525,0.425,0.3545,9
M,0.445,0.35,0.192,8
F,0.53,0.41,0.302,10
F,0.4,0.32,0.1405,8
M,0.57,0.48,0.474,11
F,0.575,0.445,0.3845,9
F,0.575,0.45,0.3135,12
M,0.47,0.37,0.201,7
F,0.51,0.39,0.231,9
F,0.425,0.33,0.1635,8
M,0.375,0.285,0.096,9
F,0.58,0.455,0.374,13
M,0.695,0.55,0.7125,14
I,0.225,0.16,0.025,4
M,0.58,0.475,0.385,11
M,0.64,0.51,0.515,21
M,0.62,0.49,0.5455,13
F,0.63,0.5,0.54,10
F,0.5,0.4,0.234,12
F,0.44,0.34,0.186,9
M,0.47,0.36,0.1665,10
F,0.5,0.37,0.1715,9
F,0.39,0.29,0.121,7
F,0.58,0.465,0.404,11
I,0.295,0.225,0.0485,9
M,0.56,0.45,0.3805,19
M,0.545,0.46,0.341,10
F,0.54,0.475,0.394,11
M,0.63,0.515,0.4105,13
M,0.61,0.5,0.532,18
F,0.535,0.415,0.314,15
M,0.37,0.28,0.1065,8
M,0.645,0.515,0.471,13
F,0.63,0.485,0.4635,21
F,0.635,0.535,0.576,14
I,0.355,0.275,0.097,7
M,0.51,0.4,0.27,12
M,0.36,0.295,0.0865,8
M,0.62,0.465,0.5705,11
M,0.58,0.455,0.408,9
F,0.58,0.455,0.479,10
M,0.605,0.47,0.3755,15
M,0.475,0.375,0.277,10
F,0.5,0.395,0.3165,10
M,0.59,0.485,0.39,16
M,0.545,0.44,0.3475,12
F,0.41,0.325,0.159,10
F,0.53,0.44,0.313,9
F,0.515,0.405,0.2895,10
I,0.43,0.34,0.151,9
F,0.58,0.46,0.429,19
F,0.57,0.455,0.44,14
F,0.64,0.52,0.4245,12
F,0.62,0.47,0.378,15
F,0.6,0.505,0.4385,13
M,0.56,0.46,0.3325,12
M,0.4,0.29,0.1115,9
M,0.2,0.14,0.0145,5
I,0.465,0.38,0.1895,11
M,0.29,0.23,0.043,7
F,0.5,0.375,0.242,15
I,0.535,0.42,0.398,17
M,0.345,0.27,0.078,9
M,0.35,0.265,0.0575,12
I,0.495,0.37,0.185,18
M,0.32,0.24,0.0655,7
F,0.425,0.335,0.1205,10
M,0.46,0.365,0.1895,10
M,0.33,0.215,0.045,6
F,0.37,0.28,0.0945,10
I,0.45,0.355,0.1145,19
