@relation abalone

@attribute Sex {M,F,I}
@attribute Length numeric
@attribute Whole_weight numeric
@attribute Shucked_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
F,0.53,0.783,0.2935,15
F,0.575,1.094,0.4485,15
M,0.59,0.906,0.327,15
F,0.6,1.0075,0.4425,15
F,0.61,1.1775,0.5655,15
M,0.635,1.598,0.6535,15
M,0.605,1.153,0.503,15
M,0.59,1.053,0.4415,15
F,0.71,1.555,0.6465,15
M,0.495,0.7775,0.2015,15
M,0.57,0.849,0.3785,15
I,0.62,1.208,0.4805,15
M,0.585,1.055,0.3815,15
I,0.66,1.6935,0.6025,15
M,0.63,1.525,0.56,15
M,0.66,1.791,0.733,15
M,0.525,0.99,0.3865,15
M,0.545,0.744,0.2875,15
I,0.465,0.498,0.214,15
M,0.655,1.2635,0.486,15
F,0.665,1.3955,0.456,15
F,0.635,1.415,0.605,15
M,0.505,0.6775,0.236,15
M,0.465,0.5755,0.2015,15
F,0.625,1.2415,0.5235,15
M,0.57,1.0615,0.348,15
I,0.655,1.25,0.5265,15
F,0.505,0.6515,0.2695,15
F,0.69,1.5715,0.6935,15
F,0.48,0.5885,0.2475,15
M,0.6,1.105,0.4865,15
F,0.54,1.0905,0.391,15
F,0.505,0.657,0.291,15
M,0.585,1.2565,0.435,15
I,0.48,0.523,0.2105,15
I,0.45,0.525,0.2085,15
F,0.61,1.0675,0.391,15
M,0.64,1.521,0.644,15
M,0.565,0.995,0.3895,15
F,0.52,0.6515,0.261,15
I,0.555,0.8435,0.309,15
F,0.56,1.106,0.422,15
F,0.62,1.0325,0.3605,15
M,0.65,1.2425,0.487,15
F,0.52,0.6245,0.215,15
F,0.61,1.213,0.464,15
F,0.52,0.829,0.3535,15
F,0.565,1.0035,0.406,15
M,0.55,0.843,0.328,15
F,0.6,1.031,0.392,15
F,0.675,1.6885,0.562,15
M,0.565,0.909,0.344,15
M,0.565,0.8115,0.341,15
M,0.695,1.5165,0.578,15
F,0.645,1.626,0.587,15
M,0.61,1.116,0.428,15
M,0.55,1.042,0.3295,15
I,0.52,0.595,0.2105,15
M,0.605,0.9365,0.394,15
M,0.49,0.592,0.242,15
M,0.42,0.2885,0.1,15
M,0.445,0.476,0.2055,15
F,0.68,1.639,0.6055,15
M,0.455,0.514,0.2245,15
M,0.56,1.011,0.3835,15
M,0.52,0.823,0.298,15
F,0.605,1.0185,0.4695,15
F,0.485,0.605,0.2155,15
M,0.695,1.494,0.588,15
M,0.66,1.3905,0.5905,15
M,0.515,0.695,0.215,15
F,0.465,0.5555,0.213,15
M,0.56,0.922,0.432,15
F,0.595,0.975,0.358,15
M,0.555,0.858,0.377,15
M,0.555,1.092,0.416,15
M,0.65,1.676,0.693,15
M,0.6,1.2415,0.485,15
M,0.59,1.1045,0.4565,15
F,0.525,0.7995,0.3345,15
F,0.625,0.953,0.3445,15
M,0.645,1.4935,0.5265,15
F,0.605,1.437,0.469,15
M,0.53,0.883,0.316,15
F,0.47,0.537,0.1725,15
I,0.48,0.5825,0.2315,15
M,0.535,0.72,0.275,15
F,0.7,1.773,0.6805,15
F,0.5,0.6355,0.2505,15
I,0.52,0.6765,0.2865,15
F,0.48,0.759,0.2125,15
M,0.635,1.467,0.5825,15
F,0.64,1.221,0.51,15
M,0.52,0.6435,0.2885,7
M,0.49,0.5225,0.235,7
I,0.445,0.336,0.1555,7
I,0.31,0.1275,0.0565,7
I,0.41,0.2645,0.1,7
M,0.485,0.556,0.296,7
I,0.345,0.2455,0.111,7
I,0.31,0.1455,0.0605,7
I,0.51,0.6025,0.281,7
I,0.45,0.478,0.191,7
I,0.44,0.495,0.231,7
I,0.43,0.3645,0.159,7
M,0.455,0.484,0.2155,7
I,0.41,0.335,0.1525,7
I,0.355,0.2905,0.095,7
I,0.405,0.2875,0.128,7
F,0.4,0.368,0.173,7
I,0.375,0.226,0.0975,7
I,0.32,0.1755,0.073,7
I,0.435,0.411,0.2025,7
I,0.505,0.594,0.2595,7
I,0.415,0.385,0.167,7
I,0.41,0.2805,0.114,7
I,0.475,0.5195,0.279,7
I,0.42,0.3415,0.1645,7
I,0.395,0.317,0.153,7
F,0.305,0.156,0.0675,7
I,0.465,0.5055,0.234,7
M,0.44,0.39,0.163,7
I,0.39,0.3265,0.1665,7
I,0.4,0.258,0.104,7
I,0.425,0.3675,0.1865,7
I,0.365,0.213,0.0945,7
I,0.465,0.467,0.2315,7
M,0.47,0.544,0.27,7
M,0.63,1.1885,0.4915,7
I,0.45,0.3935,0.195,7
I,0.33,0.205,0.0895,7
I,0.375,0.22,0.109,7
I,0.445,0.4195,0.1695,7
I,0.375,0.144,0.059,7
I,0.505,0.6125,0.267,7
I,0.485,0.568,0.2505,7
F,0.375,0.3005,0.1255,7
I,0.415,0.4665,0.2285,7
M,0.565,0.667,0.302,7
I,0.425,0.3335,0.173,7
M,0.465,0.5795,0.295,7
I,0.41,0.339,0.155,7
I,0.405,0.3035,0.15,7
M,0.4,0.303,0.1335,7
I,0.46,0.466,0.2225,7
M,0.545,0.8035,0.409,7
I,0.425,0.3515,0.1625,7
M,0.535,0.818,0.402,7
M,0.35,0.2255,0.0995,7
I,0.43,0.3465,0.1635,7
I,0.45,0.4195,0.181,7
I,0.43,0.32,0.118,7
I,0.465,0.534,0.261,7
I,0.385,0.2535,0.103,7
I,0.405,0.271,0.0965,7
F,0.46,0.4605,0.1775,7
I,0.365,0.196,0.0825,7
F,0.37,0.2685,0.1165,7
I,0.435,0.3685,0.1615,7
M,0.325,0.173,0.0795,7
I,0.48,0.524,0.246,7
I,0.475,0.459,0.2175,7
I,0.385,0.2485,0.122,7
I,0.285,0.1005,0.0425,7
I,0.36,0.2055,0.096,7
M,0.205,0.0425,0.017,7
I,0.475,0.498,0.2375,7
I,0.52,0.77,0.424,7
M,0.295,0.129,0.05,7
I,0.315,0.1715,0.071,7
I,0.325,0.1735,0.0765,7
I,0.33,0.187,0.0945,7
I,0.46,0.4635,0.2325,7
I,0.47,0.4155,0.167,7
I,0.46,0.4675,0.2125,7
M,0.31,0.15,0.0525,7
F,0.525,0.7115,0.3205,7
I,0.475,0.5735,0.311,7
I,0.495,0.5125,0.2185,7
M,0.43,0.397,0.1985,7
I,0.275,0.1155,0.0485,7
M,0.55,0.9235,0.412,7
F,0.52,1.019,0.523,7
I,0.43,0.3645,0.1575,7
M,0.35,0.2965,0.1365,7
I,0.345,0.2135,0.082,7
I,0.405,0.32,0.172,7
I,0.365,0.2345,0.108,7
I,0.39,0.2225,0.095,7
I,0.4,0.3415,0.176,7
I,0.35,0.1765,0.072,7
I,0.375,0.3155,0.187,7
I,0.335,0.186,0.0945,7
I,0.36,0.465,0.21,7
I,0.435,0.298,0.109,7
I,0.46,0.4155,0.198,7
I,0.435,0.366,0.174,7
M,0.235,0.0515,0.018,7
I,0.375,0.2385,0.118,7
I,0.485,0.637,0.38,7
I,0.48,0.519,0.2365,7
I,0.355,0.2255,0.11,7
I,0.51,0.769,0.3655,7
I,0.37,0.2865,0.1505,7
I,0.355,0.204,0.3045,7
I,0.425,0.3055,0.126,7
M,0.52,0.8115,0.4035,7
F,0.435,0.4195,0.194,7
I,0.37,0.1855,0.07,7
I,0.41,0.3305,0.1405,7
F,0.465,0.4705,0.1955,7
I,0.425,0.303,0.131,7
F,0.305,0.1485,0.0585,7
M,0.48,0.6315,0.3445,7
I,0.395,0.319,0.138,7
M,0.545,0.7865,0.403,7
I,0.435,0.3215,0.13,7
I,0.44,0.35,0.148,7
I,0.535,0.657,0.2835,7
F,0.505,0.5445,0.246,7
I,0.38,0.286,0.1305,7
I,0.5,0.5695,0.259,7
M,0.57,0.9035,0.4075,7
M,0.335,0.181,0.0755,7
I,0.39,0.344,0.181,7
I,0.39,0.203,0.0875,7
I,0.33,0.1965,0.0915,7
I,0.375,0.218,0.0945,7
I,0.425,0.301,0.1385,7
I,0.44,0.407,0.209,7
F,0.475,0.689,0.3165,7
I,0.445,0.378,0.1795,7
I,0.435,0.346,0.159,7
I,0.44,0.3705,0.1545,7
I,0.415,0.336,0.165,7
I,0.295,0.1105,0.0405,7
F,0.61,1.2795,0.5735,7
M,0.515,0.7355,0.3065,7
I,0.445,0.4035,0.169,7
I,0.365,0.2225,0.0935,7
I,0.385,0.2895,0.1215,7
M,0.5,0.6725,0.336,7
M,0.475,0.4285,0.1965,7
I,0.42,0.3625,0.174,7
I,0.465,0.4415,0.1755,7
I,0.385,0.343,0.1705,7
I,0.37,0.2445,0.089,7
I,0.435,0.4475,0.221,7
I,0.5,0.5495,0.248,7
I,0.395,0.293,0.14,7
M,0.5,0.6215,0.274,7
M,0.45,0.4115,0.18,7
I,0.53,0.5965,0.2555,7
I,0.455,0.4445,0.213,7
I,0.355,0.187,0.078,7
M,0.53,0.6515,0.2715,7
M,0.585,0.9555,0.4595,7
M,0.545,0.778,0.3745,7
F,0.49,0.5265,0.249,7
M,0.445,0.414,0.199,7
M,0.405,0.385,0.173,7
I,0.37,0.2295,0.0885,7
I,0.405,0.268,0.1145,7
I,0.32,0.1735,0.076,7
I,0.365,0.196,0.0865,7
I,0.44,0.379,0.1725,7
I,0.455,0.5365,0.2855,7
I,0.38,0.2285,0.088,7
I,0.385,0.232,0.0855,7
I,0.38,0.2305,0.1005,7
I,0.525,0.654,0.305,7
M,0.35,0.197,0.073,7
F,0.375,0.597,0.272,7
I,0.39,0.2625,0.117,7
I,0.455,0.501,0.274,7
F,0.375,0.282,0.1405,7
F,0.575,0.9945,0.466,7
I,0.365,0.223,0.098,7
I,0.39,0.3095,0.147,7
I,0.36,0.1785,0.0645,7
M,0.615,1.198,0.707,7
M,0.39,0.564,0.3035,7
I,0.38,0.1375,0.086,7
I,0.44,0.3885,0.175,7
I,0.33,0.14,0.0565,7
I,0.395,0.313,0.131,7
F,0.585,0.938,0.467,7
F,0.58,0.839,0.3485,7
F,0.385,0.3315,0.1365,7
M,0.505,0.6435,0.3135,7
F,0.505,0.583,0.246,7
F,0.435,0.4335,0.178,7
I,0.355,0.1985,0.0715,7
F,0.55,0.952,0.4895,7
M,0.415,0.3355,0.1545,7
I,0.515,0.572,0.237,7
M,0.38,0.258,0.1055,7
I,0.28,0.1135,0.045,7
M,0.33,0.1875,0.0735,7
I,0.39,0.279,0.1155,7
I,0.415,0.3905,0.1925,7
I,0.375,0.2145,0.0855,7
I,0.33,0.2085,0.102,7
I,0.415,0.3335,0.1445,7
I,0.39,0.2845,0.1255,7
I,0.35,0.211,0.086,7
I,0.265,0.0975,0.04,7
I,0.415,0.3735,0.175,7
I,0.485,0.6025,0.2935,7
I,0.41,0.33,0.157,7
I,0.45,0.362,0.1575,7
I,0.48,0.542,0.2795,7
F,0.495,0.594,0.28,7
F,0.43,0.391,0.1555,7
M,0.56,0.9,0.472,7
I,0.455,0.5325,0.225,7
I,0.5,0.494,0.218,7
I,0.445,0.409,0.1675,7
I,0.46,0.511,0.2365,7
F,0.475,0.486,0.1735,7
I,0.415,0.3045,0.1215,7
I,0.32,0.129,0.0615,7
F,0.53,0.775,0.308,7
I,0.35,0.17,0.0725,7
I,0.505,0.6005,0.239,7
M,0.51,0.6925,0.327,7
I,0.52,0.5545,0.2355,7
