@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R4-5,7,9'

@attribute Height numeric
@attribute Whole_weight numeric
@attribute Viscera_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
0.125,0.768,0.1495,16
0.08,0.2555,0.043,7
0.1,0.2255,0.049,10
0.185,0.9955,0.272,11
0.14,0.8635,0.227,11
0.135,0.883,0.2035,11
0.16,0.8355,0.2135,9
0.12,0.4425,0.0955,8
0.13,0.6965,0.1935,10
0.11,0.353,0.0985,8
0.175,1.185,0.261,11
0.14,0.941,0.252,9
0.16,0.9775,0.231,12
0.13,0.5225,0.133,7
0.135,0.6335,0.179,9
0.115,0.406,0.081,8
0.095,0.253,0.0575,9
0.17,0.9075,0.2135,13
0.215,1.9565,0.541,14
0.045,0.0465,0.015,4
0.15,0.97,0.2165,11
0.175,1.368,0.266,21
0.19,1.218,0.2965,13
0.185,1.383,0.3315,10
0.145,0.63,0.1465,12
0.14,0.482,0.1085,9
0.135,0.501,0.115,10
0.135,0.45,0.1055,9
0.125,0.3055,0.082,7
0.165,1.1015,0.2095,11
0.08,0.124,0.032,9
0.185,1.07,0.175,19
0.16,0.8975,0.1655,10
0.155,0.928,0.194,11
0.155,1.259,0.197,13
0.24,1.642,0.3345,18
0.185,0.8415,0.1585,15
0.1,0.252,0.0595,8
0.24,1.5415,0.369,13
0.19,1.2435,0.3055,21
0.19,1.242,0.2475,14
0.09,0.251,0.053,7
0.13,0.6435,0.1665,12
0.105,0.241,0.053,8
0.19,1.3415,0.3175,11
0.17,0.93,0.259,9
0.12,1.0735,0.2735,10
0.18,1.1405,0.2805,15
0.125,0.593,0.115,10
0.14,0.7155,0.176,10
0.12,0.911,0.182,16
0.12,0.8565,0.1715,12
0.105,0.3635,0.077,10
0.135,0.7835,0.1715,9
0.12,0.646,0.1405,10
0.12,0.3575,0.0645,9
0.15,0.9955,0.212,19
0.165,1.0595,0.2195,14
0.175,1.248,0.2595,12
0.225,1.115,0.2145,15
0.19,1.129,0.256,13
0.235,0.8395,0.157,12
0.115,0.2795,0.0575,9
0.055,0.035,0.008,5
0.13,0.454,0.08,11
0.075,0.1165,0.0255,7
0.14,0.604,0.1415,15
0.145,0.926,0.1965,17
0.09,0.195,0.0455,9
0.09,0.1775,0.042,12
0.125,0.4775,0.0705,18
0.085,0.17,0.047,7
0.095,0.322,0.061,10
0.125,0.467,0.0945,10
0.075,0.1145,0.0265,6
0.11,0.2305,0.0465,10
0.12,0.412,0.0665,19
0.145,0.6175,0.108,14
0.155,0.655,0.143,17
0.15,0.7865,0.14,23
0.185,0.8345,0.1725,16
0.12,0.283,0.0655,9
0.09,0.1285,0.04,7
0.05,0.0175,0.0035,4
0.105,0.3515,0.091,16
0.135,0.536,0.142,14
0.125,0.417,0.09,9
0.1,0.2465,0.0475,11
0.13,0.656,0.1785,13
0.125,0.6435,0.1735,12
0.175,1.4805,0.272,20
0.135,0.959,0.221,17
0.19,1.613,0.361,14
0.15,0.978,0.1905,11
0.165,0.732,0.17,11
0.06,0.0525,0.0165,5
0.135,0.709,0.1375,12
0.165,0.8875,0.246,12
0.14,0.2215,0.0455,6
0.095,0.312,0.0635,6
0.1,0.325,0.0505,6
0.115,0.501,0.084,9
0.1,0.4895,0.086,7
0.105,0.498,0.096,9
0.16,1.1405,0.231,6
0.16,1.3725,0.275,11
0.22,1.834,0.422,11
0.06,0.092,0.025,6
0.095,0.1385,0.0365,6
0.115,0.376,0.092,5
0.1,0.377,0.072,6
0.12,0.3995,0.061,8
0.105,0.4445,0.093,8
0.105,0.449,0.0945,7
0.145,0.64,0.1405,6
0.135,0.6425,0.129,7
0.14,0.724,0.173,8
0.155,0.9905,0.178,9
0.16,1.206,0.2425,8
0.155,1.161,0.2455,9
0.15,1.1785,0.248,8
0.175,1.375,0.2705,11
0.04,0.0325,0.005,4
0.055,0.151,0.027,6
0.115,0.418,0.0735,7
0.125,0.462,0.0985,8
0.125,0.6245,0.1085,8
0.125,0.545,0.115,6
0.125,0.599,0.149,9
0.15,0.8315,0.1765,10
0.16,0.8965,0.2175,8
0.155,0.6405,0.1765,8
0.175,1.0095,0.2375,9
0.15,1.0375,0.2035,9
0.14,0.8455,0.191,9
0.195,1.859,0.426,9
0.16,1.0145,0.212,8
0.2,0.858,0.1525,8
0.215,1.7025,0.3655,14
0.18,1.751,0.3355,9
0.195,2.103,0.48,10
0.185,2.124,0.55,11
0.09,0.1125,0.0295,6
0.085,0.2005,0.037,5
0.095,0.213,0.041,5
0.115,0.4305,0.108,8
0.135,0.6025,0.121,9
0.15,0.717,0.1445,9
0.145,0.8655,0.163,10
0.15,0.8,0.163,9
0.135,0.5945,0.1185,8
0.175,0.8735,0.21,11
0.15,1.238,0.226,11
0.15,0.871,0.1835,10
0.18,1.2555,0.254,12
0.16,1.101,0.1865,10
0.16,1.5075,0.245,11
0.19,1.3595,0.3215,10
0.17,1.614,0.345,11
0.035,0.014,0.0025,3
0.06,0.0515,0.0145,4
0.08,0.1985,0.0345,5
0.09,0.2815,0.061,7
0.105,0.369,0.08,5
0.12,0.573,0.1285,7
0.16,0.793,0.2035,9
0.17,1.1005,0.229,11
0.215,1.7835,0.4095,11
0.07,0.121,0.0155,6
0.075,0.2205,0.044,7
0.095,0.257,0.059,7
0.09,0.252,0.053,7
0.125,0.474,0.1035,9
0.135,0.686,0.1545,8
0.14,0.7625,0.1685,10
0.15,0.8225,0.187,10
0.145,0.959,0.2065,10
0.145,0.8025,0.2265,9
0.17,1.1185,0.2405,9
0.175,1.221,0.241,13
0.17,1.1745,0.273,11
0.165,1.2235,0.2695,10
0.16,1.3835,0.2905,9
0.2,1.569,0.3675,12
0.215,1.747,0.403,11
0.09,0.2315,0.057,5
0.16,1.3405,0.311,10
0.185,1.025,0.2245,10
0.175,1.2525,0.3055,9
0.145,1.0865,0.2715,10
0.195,2.073,0.4265,9
0.12,0.5155,0.1025,8
0.115,0.6645,0.17,7
0.14,0.677,0.0965,8
0.16,0.7245,0.1275,9
0.14,1.0015,0.1765,9
0.175,0.738,0.1755,9
0.175,0.9415,0.2285,9
0.12,0.803,0.1525,9
0.155,1.013,0.2085,11
0.195,1.5145,0.346,15
0.145,0.984,0.2,11
0.16,1.195,0.246,12
0.165,1.229,0.2975,10
0.135,1.1,0.2505,10
0.155,1.189,0.278,13
0.215,2.173,0.4915,13
0.065,0.097,0.022,6
0.095,0.3,0.068,7
0.11,0.316,0.0795,8
0.13,0.6875,0.1495,9
0.15,0.8295,0.156,10
0.065,0.1065,0.0225,5
0.09,0.4325,0.074,9
0.14,1.238,0.2355,8
0.21,1.644,0.3395,10
0.115,0.66,0.1555,8
0.09,0.2825,0.0575,7
0.11,0.315,0.082,9
0.13,0.7185,0.1975,8
0.12,0.608,0.1405,8
0.125,0.433,0.1265,9
0.1,0.3295,0.0725,7
0.125,0.5065,0.105,10
0.07,0.106,0.018,7
0.115,0.3025,0.0465,8
0.17,1.098,0.187,20
0.125,0.6865,0.1715,9
0.195,1.142,0.258,17
0.23,1.539,0.2815,17
0.08,0.19,0.0385,7
0.15,0.853,0.189,14
0.075,0.086,0.019,7
0.11,0.444,0.0745,8
0.14,0.5105,0.1045,9
0.2,2.033,0.4255,15
0.07,0.137,0.0315,8
0.2,1.407,0.304,17
0.135,0.9025,0.2105,13
0.205,1.3665,0.291,18
0.09,0.2065,0.043,10
0.155,0.6315,0.1415,12
0.14,0.6195,0.1445,14
0.125,0.4485,0.102,16
0.16,1.2395,0.273,14
0.12,0.4765,0.1125,10
0.17,0.9315,0.2145,13
0.17,0.796,0.1755,16
0.125,0.463,0.11,10
0.09,0.198,0.056,10
0.08,0.413,0.1015,8
0.14,0.6915,0.137,11
0.13,0.8245,0.226,13
0.17,1.1825,0.2895,11
0.175,1.122,0.2,20
0.18,0.441,0.1165,8
0.155,0.742,0.2005,14
0.11,0.5555,0.115,8
0.15,0.983,0.2355,9
0.165,1.1405,0.2175,9
0.175,1.201,0.275,10
0.165,1.6225,0.299,12
0.11,0.474,0.1005,7
0.14,0.963,0.224,7
0.15,1.0765,0.22,9
0.18,2.398,0.512,12
0.06,0.1045,0.022,5
0.075,0.163,0.033,6
0.1,0.219,0.038,6
0.11,0.3755,0.058,7
0.105,0.442,0.0975,7
0.115,0.5205,0.119,7
0.12,0.512,0.1205,7
0.135,0.723,0.149,7
0.14,0.832,0.17,9
0.16,1.1845,0.311,9
0.08,0.167,0.0325,6
0.11,0.326,0.075,8
0.1,0.358,0.067,7
0.1,0.471,0.077,8
0.145,0.7665,0.14,8
0.11,0.531,0.098,8
0.15,0.7055,0.147,10
0.155,1.017,0.2025,10
0.175,1.2255,0.2705,10
0.145,0.9865,0.2155,11
0.14,1.1605,0.2195,9
0.205,1.74,0.373,13
0.2,1.601,0.321,11
0.09,0.183,0.0335,7
0.135,0.95,0.182,8
0.165,1.2005,0.273,10
0.19,1.385,0.3095,11
0.08,0.181,0.034,5
0.15,0.742,0.158,10
0.15,0.9065,0.1965,8
0.17,0.9705,0.232,9
0.135,0.855,0.187,9
0.165,1.198,0.2865,10
0.165,1.217,0.2065,10
0.145,0.92,0.1735,10
0.19,1.3765,0.2885,11
0.18,1.297,0.3125,11
0.2,1.494,0.309,12
0.17,1.3435,0.297,12
0.095,0.305,0.067,6
0.15,1.224,0.275,10
0.17,1.148,0.22,10
0.145,0.894,0.2095,9
0.135,0.768,0.1385,9
0.16,0.921,0.2025,9
0.17,1.145,0.208,13
0.2,1.5855,0.334,11
0.06,0.0925,0.021,6
0.085,0.262,0.067,8
0.14,0.491,0.115,10
0.135,0.714,0.138,10
0.11,0.806,0.203,9
0.14,1.194,0.238,15
0.115,1.114,0.291,15
0.155,0.9125,0.271,10
0.09,0.2265,0.0575,6
0.025,0.0345,0.0075,5
0.16,0.6835,0.145,10
0.125,0.384,0.061,14
0.14,1.0055,0.244,12
0.145,0.6025,0.138,11
0.135,0.56,0.137,13
0.15,0.8745,0.193,12
0.165,1.4435,0.3035,18
0.135,0.6625,0.1635,11
0.14,0.501,0.1175,13
0.13,0.7085,0.1455,12
0.115,0.4385,0.108,11
0.105,0.3375,0.0755,12
0.135,0.382,0.079,12
0.08,0.1,0.026,8
0.12,0.6605,0.161,15
0.15,1.1285,0.3525,16
0.065,0.111,0.0285,6
0.09,0.257,0.062,7
0.095,0.2505,0.0655,6
0.145,0.578,0.1305,8
0.165,1.065,0.2145,8
0.155,1.3635,0.2985,10
0.18,1.478,0.381,10
0.05,0.021,0.0045,3
0.085,0.2435,0.0525,6
0.105,0.4385,0.0925,8
0.145,0.929,0.24,10
0.085,0.131,0.0265,6
0.075,0.1785,0.035,6
0.12,0.396,0.081,8
0.135,0.4355,0.0925,8
0.13,0.658,0.1245,8
0.135,0.7025,0.177,8
0.155,1.186,0.2315,10
0.155,0.886,0.211,9
0.15,0.907,0.1855,11
0.165,1.041,0.166,9
0.15,1.0315,0.24,11
0.18,1.463,0.3135,11
0.095,0.226,0.0515,8
0.09,0.2745,0.0455,8
0.12,0.4975,0.099,8
0.105,0.4175,0.099,7
0.14,0.8735,0.182,10
0.155,1.034,0.2225,11
0.14,0.7635,0.153,9
0.165,1.081,0.2525,12
0.16,1.012,0.2015,10
0.175,1.242,0.287,11
0.17,1.276,0.2305,11
0.175,1.155,0.2025,12
0.18,1.261,0.2335,10
0.185,1.5575,0.402,11
0.1,0.4015,0.063,7
0.095,0.2885,0.0435,7
0.105,0.452,0.159,9
0.12,0.4915,0.1125,9
0.16,1.1215,0.273,10
0.135,0.675,0.156,10
0.15,0.612,0.1525,11
0.125,0.86,0.1515,9
0.15,1.072,0.2975,8
0.14,0.9275,0.1605,8
0.155,1.03,0.207,10
0.135,1.059,0.263,9
0.17,1.1665,0.2565,11
0.1,0.3555,0.072,9
0.16,1.5415,0.2565,15
0.12,0.4915,0.088,7
0.1,0.9315,0.222,12
0.2,1.221,0.263,12
0.02,0.018,0.0045,4
0.15,0.6275,0.134,13
0.135,0.441,0.1165,9
0.185,1.21,0.2555,11
0.105,0.635,0.127,6
0.155,1.4415,0.3555,10
0.1,0.2805,0.0615,8
0.11,0.334,0.0775,7
0.125,0.5125,0.1155,10
0.14,0.74,0.159,8
0.16,1.234,0.192,13
0.145,1.7855,0.247,13
0.15,1.1955,0.257,9
0.175,1.4135,0.2945,13
0.155,1.073,0.1975,11
0.175,1.494,0.3055,9
0.145,0.7385,0.1485,11
0.09,0.218,0.0545,7
0.11,0.4495,0.089,8
0.135,0.8025,0.1615,9
0.125,0.615,0.123,8
0.165,0.791,0.18,10
0.135,0.966,0.2145,10
