@relation abalone

@attribute Sex {M,F,I}
@attribute Diameter numeric
@attribute Whole_weight numeric
@attribute Shell_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
M,0.45,0.922,0.26,15
F,0.48,0.975,0.34,15
F,0.47,1.115,0.36,15
F,0.535,1.773,0.512,15
I,0.415,0.595,0.26,15
M,0.535,1.791,0.54,15
M,0.53,1.3905,0.453,15
M,0.46,0.906,0.335,15
M,0.565,1.521,0.406,15
M,0.35,0.5755,0.19,15
M,0.52,1.676,0.47,15
F,0.405,0.829,0.205,15
M,0.51,1.598,0.58,15
M,0.385,0.6775,0.2,15
M,0.57,2.033,0.685,15
F,0.5,0.953,0.305,15
M,0.515,1.5165,0.39,15
F,0.375,0.604,0.179,15
M,0.475,0.9365,0.295,15
I,0.455,0.8435,0.3,15
F,0.56,1.639,0.46,15
F,0.415,0.783,0.245,15
M,0.4,0.7775,0.25,15
M,0.425,0.8115,0.255,15
M,0.405,1.2565,0.325,15
M,0.495,1.4935,0.455,15
M,0.49,1.153,0.295,15
M,0.44,0.744,0.25,15
M,0.5,1.1045,0.34,15
M,0.41,0.99,0.295,15
M,0.44,1.092,0.4405,15
M,0.495,1.5145,0.5195,15
M,0.475,1.116,0.315,15
M,0.39,0.592,0.1835,15
F,0.49,1.1775,0.295,15
M,0.48,1.467,0.42,15
I,0.405,0.6765,0.205,15
F,0.4,0.759,0.24,15
M,0.43,1.0615,0.31,15
F,0.475,1.0185,0.27,15
M,0.475,1.053,0.325,15
M,0.365,0.514,0.15,15
M,0.4,0.6605,0.19,15
I,0.36,0.498,0.14,15
F,0.39,0.6355,0.195,15
M,0.47,1.114,0.31,15
M,0.405,0.695,0.234,15
M,0.545,1.2425,0.48,15
M,0.495,1.2415,0.34,15
F,0.48,1.0675,0.42,15
F,0.53,1.3955,0.49,15
F,0.435,1.106,0.33,15
F,0.55,1.6885,0.6,15
I,0.35,0.525,0.1655,15
I,0.515,1.25,0.315,15
F,0.505,1.415,0.365,15
M,0.45,1.011,0.37,15
F,0.41,0.657,0.195,15
M,0.465,0.995,0.37,15
I,0.38,0.523,0.175,15
F,0.44,1.0905,0.355,15
F,0.54,1.5715,0.47,15
I,0.39,0.5825,0.255,15
M,0.44,0.909,0.255,15
M,0.435,0.883,0.335,15
M,0.325,0.2885,0.1135,15
M,0.56,1.494,0.485,15
F,0.45,1.0035,0.285,15
F,0.545,1.5415,0.495,15
M,0.42,0.72,0.225,15
F,0.37,0.5885,0.1595,15
M,0.435,0.843,0.255,15
F,0.495,1.437,0.41,15
M,0.415,1.042,0.2905,15
M,0.4,0.823,0.265,15
M,0.47,1.105,0.315,15
M,0.49,1.194,0.375,15
M,0.505,1.525,0.45,15
M,0.345,0.476,0.1085,15
F,0.39,0.5555,0.215,15
F,0.395,0.6515,0.205,15
M,0.53,1.2635,0.415,15
F,0.38,0.605,0.18,15
F,0.515,1.2415,0.36,15
I,0.485,1.208,0.33,15
M,0.47,1.1405,0.385,15
M,0.455,1.055,0.365,15
F,0.46,1.094,0.345,15
F,0.495,1.213,0.365,15
F,0.415,0.8415,0.3,15
M,0.465,0.849,0.24,15
F,0.575,1.555,0.52,15
F,0.5,1.626,0.41,15
I,0.285,0.281,0.077,7
I,0.25,0.1765,0.05,7
M,0.325,0.3785,0.1,7
F,0.365,0.566,0.1335,7
F,0.305,0.3315,0.1,7
I,0.335,0.362,0.1095,7
F,0.425,0.963,0.24,7
M,0.255,0.1875,0.06,7
I,0.31,0.3075,0.093,7
I,0.355,0.442,0.1185,7
I,0.265,0.1865,0.0615,7
I,0.28,0.2865,0.0795,7
I,0.3,0.32,0.093,7
F,0.225,0.1485,0.045,7
I,0.35,0.4545,0.115,7
I,0.325,0.3335,0.095,7
I,0.35,0.5365,0.1325,7
I,0.375,0.5785,0.175,7
I,0.27,0.2225,0.066,7
I,0.285,0.2305,0.0775,7
I,0.23,0.1285,0.04,7
F,0.32,0.6475,0.164,7
I,0.325,0.4665,0.114,7
I,0.295,0.2535,0.085,7
I,0.2,0.086,0.03,7
I,0.29,0.3,0.078,7
M,0.28,0.564,0.143,7
I,0.335,0.524,0.145,7
M,0.42,0.7865,0.17,7
I,0.335,0.411,0.1,7
M,0.385,0.6435,0.1515,7
I,0.24,0.1715,0.0535,7
I,0.32,0.3055,0.106,7
I,0.37,0.513,0.13,7
M,0.37,0.5225,0.165,7
I,0.365,0.1315,0.123,7
I,0.225,0.1105,0.032,7
I,0.345,0.365,0.11,7
I,0.385,0.568,0.154,7
I,0.275,0.2345,0.0625,7
I,0.335,0.3535,0.1135,7
I,0.4,0.654,0.169,7
I,0.4,0.5625,0.17,7
I,0.365,0.467,0.113,7
I,0.265,0.2315,0.075,7
I,0.3,0.144,0.044,7
I,0.325,0.366,0.109,7
I,0.27,0.2135,0.07,7
M,0.345,0.4595,0.116,7
I,0.3,0.3035,0.088,7
I,0.345,0.4415,0.12,7
I,0.345,0.47,0.1135,7
I,0.42,0.5965,0.177,7
I,0.28,0.2885,0.067,7
F,0.375,0.5805,0.148,7
I,0.33,0.3705,0.12,7
I,0.265,0.2055,0.0585,7
F,0.45,0.938,0.225,7
I,0.37,0.445,0.166,7
I,0.205,0.1135,0.0335,7
I,0.265,0.2455,0.065,7
I,0.255,0.1755,0.065,7
F,0.265,0.1855,0.06,7
I,0.395,0.77,0.1895,7
M,0.465,1.046,0.263,7
M,0.41,0.56,0.175,7
I,0.36,0.542,0.147,7
I,0.38,0.5125,0.16,7
I,0.38,0.625,0.16,7
I,0.285,0.226,0.0725,7
I,0.365,0.511,0.123,7
I,0.325,0.3685,0.1045,7
M,0.415,0.7945,0.202,7
M,0.45,0.948,0.259,7
I,0.32,0.3625,0.105,7
I,0.365,0.459,0.1165,7
M,0.265,0.222,0.075,7
I,0.265,0.185,0.07,7
I,0.395,0.6025,0.162,7
I,0.275,0.2065,0.058,7
I,0.29,0.2385,0.0695,7
I,0.27,0.196,0.06,7
F,0.355,0.4705,0.126,7
I,0.325,0.3645,0.105,7
M,0.43,0.8035,0.228,7
I,0.305,0.2825,0.095,7
I,0.345,0.4155,0.107,7
I,0.33,0.38,0.11,7
F,0.295,0.2685,0.0835,7
M,0.345,0.43,0.13,7
I,0.27,0.205,0.07,7
I,0.31,0.336,0.0855,7
M,0.31,0.385,0.11,7
M,0.375,0.6215,0.1485,7
M,0.465,0.9555,0.265,7
M,0.4,0.7075,0.18,7
I,0.25,0.2225,0.055,7
F,0.325,0.3915,0.12,7
M,0.33,0.361,0.125,7
M,0.385,0.556,0.133,7
I,0.35,0.4,0.1205,7
I,0.345,0.4475,0.125,7
F,0.27,0.597,0.1675,7
M,0.24,0.173,0.05,7
M,0.4,0.723,0.178,7
M,0.335,0.4385,0.1315,7
F,0.46,1.1155,0.29,7
I,0.335,0.358,0.105,7
I,0.28,0.2165,0.07,7
I,0.36,0.478,0.137,7
F,0.38,0.689,0.1955,7
I,0.28,0.3155,0.067,7
M,0.51,1.1885,0.348,7
I,0.235,0.17,0.0495,7
I,0.38,0.594,0.18,7
I,0.26,0.1965,0.056,7
I,0.3,0.302,0.0735,7
I,0.32,0.3855,0.1,7
I,0.285,0.257,0.075,7
F,0.39,0.5445,0.1405,7
I,0.3,0.2895,0.09,7
F,0.41,0.7745,0.18,7
I,0.365,0.4175,0.127,7
F,0.435,0.839,0.192,7
I,0.385,0.6005,0.185,7
I,0.405,0.769,0.18,7
I,0.305,0.3535,0.1,7
M,0.17,0.0515,0.0195,7
M,0.375,0.484,0.165,7
I,0.345,0.3215,0.1185,7
I,0.34,0.407,0.103,7
I,0.3,0.324,0.11,7
I,0.3,0.2665,0.084,7
I,0.375,0.5205,0.1455,7
I,0.35,0.4155,0.1175,7
I,0.37,0.5745,0.141,7
M,0.345,0.4115,0.135,7
F,0.295,0.3005,0.1035,7
I,0.275,0.1375,0.0605,7
I,0.25,0.2875,0.0805,7
F,0.35,0.4425,0.175,7
F,0.23,0.156,0.048,7
I,0.265,0.1845,0.055,7
F,0.425,0.952,0.2185,7
I,0.295,0.203,0.075,7
M,0.295,0.335,0.09,7
I,0.335,0.298,0.115,7
I,0.34,0.3645,0.105,7
I,0.345,0.3755,0.125,7
I,0.335,0.33,0.17,7
I,0.275,0.223,0.075,7
M,0.385,0.6425,0.1535,7
I,0.225,0.1005,0.035,7
I,0.335,0.3505,0.1185,7
M,0.415,0.667,0.185,7
I,0.325,0.385,0.125,7
I,0.26,0.19,0.065,7
I,0.33,0.32,0.123,7
M,0.365,0.6015,0.14,7
I,0.3,0.282,0.0875,7
I,0.275,0.2295,0.07,7
I,0.3,0.2815,0.08,7
I,0.2,0.0895,0.03,7
M,0.335,0.397,0.1035,7
F,0.37,0.4785,0.129,7
I,0.335,0.4215,0.113,7
I,0.31,0.344,0.079,7
F,0.26,0.1915,0.062,7
I,0.25,0.1715,0.06,7
I,0.355,0.474,0.12,7
I,0.38,0.512,0.136,7
I,0.265,0.213,0.06,7
I,0.3,0.252,0.08,7
M,0.465,0.5225,0.141,7
I,0.29,0.258,0.0815,7
M,0.36,0.544,0.129,7
I,0.325,0.346,0.095,7
F,0.29,0.282,0.08,7
I,0.29,0.2845,0.081,7
I,0.3,0.27,0.0745,7
I,0.27,0.218,0.07,7
I,0.26,0.211,0.068,7
I,0.335,0.501,0.1065,7
I,0.345,0.449,0.1265,7
M,0.36,0.4955,0.121,7
I,0.295,0.279,0.08,7
I,0.305,0.336,0.0805,7
M,0.2,0.084,0.03,7
I,0.31,0.313,0.093,7
I,0.325,0.378,0.089,7
I,0.375,0.5495,0.1585,7
I,0.29,0.2485,0.065,7
I,0.25,0.2085,0.052,7
F,0.375,0.4605,0.15,7
I,0.275,0.2205,0.066,7
I,0.23,0.129,0.0355,7
I,0.285,0.243,0.075,7
F,0.485,1.2795,0.355,7
I,0.305,0.3415,0.086,7
M,0.325,0.39,0.113,7
I,0.305,0.3415,0.0865,7
I,0.24,0.1735,0.05,7
I,0.33,0.38,0.09,7
I,0.345,0.418,0.106,7
M,0.46,0.9035,0.214,7
I,0.275,0.22,0.065,7
I,0.355,0.4485,0.123,7
I,0.355,0.5325,0.1465,7
I,0.265,0.2215,0.0605,7
I,0.335,0.447,0.119,7
I,0.25,0.1825,0.055,7
I,0.35,0.4675,0.1375,7
I,0.275,0.251,0.08,7
M,0.295,0.2555,0.1,7
F,0.35,0.4555,0.1375,7
M,0.45,1.198,0.2505,7
M,0.21,0.1085,0.0345,7
M,0.405,0.7315,0.19,7
F,0.46,1.019,0.254,7
F,0.365,0.9145,0.273,7
