@relation abalone

@attribute Height numeric
@attribute Whole_weight numeric
@attribute Viscera_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
0.14,0.5755,0.1505,15
0.225,1.055,0.221,15
0.195,1.0035,0.2505,15
0.145,0.829,0.1685,15
0.15,1.2415,0.3065,15
0.155,1.153,0.2505,15
0.18,1.6885,0.3705,15
0.17,1.208,0.3045,15
0.14,0.6765,0.146,15
0.125,0.849,0.1765,15
0.18,1.6935,0.4005,15
0.12,0.6515,0.2015,15
0.175,1.2635,0.2635,15
0.12,0.823,0.1805,15
0.13,0.6245,0.2065,15
0.16,1.0905,0.2295,15
0.185,1.5715,0.318,15
0.145,1.0185,0.225,15
0.185,1.106,0.2435,15
0.145,1.25,0.283,15
0.145,1.053,0.262,15
0.145,0.843,0.1915,15
0.16,0.883,0.164,15
0.2,1.791,0.318,15
0.125,0.523,0.1045,15
0.175,1.105,0.247,15
0.145,0.5825,0.121,15
0.175,1.555,0.3705,15
0.095,0.514,0.101,15
0.17,1.3905,0.212,15
0.15,0.953,0.2235,15
0.16,0.783,0.158,15
0.18,0.9365,0.219,15
0.19,1.494,0.3425,15
0.165,1.639,0.2805,15
0.16,0.72,0.164,15
0.2,0.975,0.2035,15
0.135,0.858,0.1585,15
0.13,0.6355,0.1635,15
0.13,0.99,0.243,15
0.15,0.605,0.14,15
0.16,1.2425,0.296,15
0.15,1.0075,0.221,15
0.175,1.011,0.2065,15
0.165,1.2415,0.2775,15
0.185,1.094,0.217,15
0.19,1.213,0.306,15
0.165,1.1045,0.2425,15
0.185,0.909,0.2325,15
0.13,0.5885,0.1505,15
0.14,0.7775,0.18,15
0.145,0.7995,0.209,15
0.145,0.695,0.1635,15
0.125,0.759,0.179,15
0.135,0.592,0.096,15
0.155,0.906,0.1485,15
0.175,1.773,0.48,15
0.135,0.657,0.133,15
0.19,1.467,0.303,15
0.17,1.415,0.297,15
0.135,0.8115,0.1675,15
0.185,1.3955,0.3205,15
0.15,1.092,0.212,15
0.145,0.525,0.1,15
0.15,1.2565,0.202,15
0.165,0.744,0.204,15
0.2,1.031,0.2035,15
0.165,1.116,0.2205,15
0.225,1.525,0.3335,15
0.195,1.676,0.44,15
0.175,1.042,0.2325,15
0.115,0.2885,0.057,15
0.175,0.995,0.183,15
0.21,1.598,0.2835,15
0.14,1.0325,0.224,15
0.185,1.4935,0.2785,15
0.175,1.0675,0.216,15
0.175,1.221,0.259,15
0.14,0.476,0.1015,15
0.175,1.5165,0.4105,15
0.12,1.0615,0.167,15
0.145,0.537,0.1375,15
0.23,1.521,0.372,15
0.225,1.626,0.4055,15
0.16,0.595,0.142,15
0.145,0.6515,0.153,15
0.14,0.5555,0.1075,15
0.17,0.8435,0.1905,15
0.17,1.1775,0.2385,15
0.145,0.6775,0.179,15
0.16,0.922,0.178,15
0.19,1.437,0.2655,15
0.105,0.498,0.116,15
0.11,0.5805,0.118,7
0.115,0.4155,0.098,7
0.105,0.3715,0.0785,7
0.14,0.689,0.1315,7
0.07,0.2225,0.0425,7
0.125,0.6515,0.1605,7
0.15,1.019,0.1985,7
0.145,0.4485,0.102,7
0.095,0.3075,0.0745,7
0.11,0.325,0.0755,7
0.125,0.343,0.0735,7
0.11,0.4335,0.0985,7
0.085,0.173,0.038,7
0.15,0.938,0.203,7
0.08,0.1345,0.024,7
0.1,0.385,0.0915,7
0.1,0.286,0.056,7
0.18,1.2795,0.2855,7
0.12,0.346,0.084,7
0.09,0.339,0.0695,7
0.145,0.434,0.0905,7
0.1,0.2455,0.0535,7
0.11,0.445,0.096,7
0.115,0.4155,0.084,7
0.1,0.3905,0.0755,7
0.125,0.5325,0.126,7
0.135,0.7945,0.189,7
0.1,0.279,0.059,7
0.075,0.144,0.03,7
0.085,0.1715,0.0345,7
0.09,0.1425,0.0335,7
0.095,0.302,0.0615,7
0.115,0.637,0.1335,7
0.11,0.4595,0.0885,7
0.135,0.5365,0.0855,7
0.15,0.839,0.207,7
0.11,0.2965,0.063,7
0.115,0.7745,0.163,7
0.155,0.948,0.206,7
0.1,0.3415,0.0625,7
0.09,0.1985,0.0495,7
0.09,0.2825,0.075,7
0.07,0.149,0.0325,7
0.145,0.77,0.142,7
0.105,0.4445,0.107,7
0.1,0.513,0.1075,7
0.12,0.4905,0.13,7
0.09,0.3095,0.05,7
0.105,0.556,0.104,7
0.12,0.625,0.1295,7
0.065,0.0975,0.0205,7
0.13,0.56,0.1065,7
0.1,0.127,0.071,7
0.11,0.3735,0.0755,7
0.075,0.1515,0.0315,7
0.075,0.1155,0.029,7
0.1,0.4635,0.093,7
0.12,0.6435,0.157,7
0.125,0.65,0.155,7
0.06,0.129,0.0275,7
0.1,0.366,0.0725,7
0.1,0.1315,0.0875,7
0.095,0.1375,0.0585,7
0.09,0.196,0.036,7
0.125,0.542,0.1025,7
0.12,0.594,0.1435,7
0.095,0.3785,0.08,7
0.11,0.4675,0.099,7
0.095,0.2655,0.052,7
0.16,0.9555,0.236,7
0.1,0.407,0.0735,7
0.075,0.1275,0.0275,7
0.085,0.2225,0.0525,7
0.08,0.361,0.0825,7
0.095,0.3265,0.0575,7
0.12,0.336,0.076,7
0.1,0.385,0.08,7
0.14,0.9,0.182,7
0.065,0.1165,0.013,7
0.09,0.1915,0.036,7
0.105,0.222,0.056,7
0.125,0.524,0.1095,7
0.11,0.32,0.044,7
0.095,0.1875,0.045,7
0.075,0.1845,0.0365,7
0.11,0.33,0.0705,7
0.125,0.7115,0.159,7
0.1,0.2895,0.063,7
0.1,0.2685,0.056,7
0.135,0.24,0.0445,7
0.09,0.2305,0.039,7
0.1,0.2665,0.059,7
0.115,0.566,0.117,7
0.13,0.657,0.162,7
0.125,0.6925,0.155,7
0.095,0.3675,0.0675,7
0.115,0.5195,0.088,7
0.095,0.2315,0.046,7
0.15,0.775,0.157,7
0.12,0.391,0.095,7
0.09,0.425,0.087,7
0.1,0.44,0.095,7
0.135,0.494,0.0945,7
0.11,0.494,0.09,7
0.11,0.3625,0.0635,7
0.09,0.35,0.067,7
0.075,0.1735,0.0355,7
0.045,0.0425,0.0055,7
0.095,0.211,0.056,7
0.17,0.9035,0.1935,7
0.12,0.4155,0.0885,7
0.125,0.5225,0.13,7
0.16,0.368,0.0705,7
0.12,0.594,0.11,7
0.085,0.1865,0.037,7
0.085,0.2905,0.0395,7
0.105,0.43,0.096,7
0.13,0.6435,0.149,7
0.145,0.9945,0.229,7
0.1,0.2255,0.042,7
0.08,0.187,0.0505,7
0.09,0.2875,0.063,7
0.095,0.335,0.094,7
0.14,0.952,0.1945,7
0.09,0.1765,0.0355,7
0.075,0.1765,0.0405,7
0.1,0.3415,0.0775,7
0.11,0.4195,0.085,7
0.085,0.344,0.0695,7
0.145,0.778,0.1545,7
0.14,0.7315,0.156,7
0.11,0.3645,0.0855,7
0.085,0.223,0.0375,7
0.08,0.14,0.0365,7
0.075,0.1185,0.0285,7
0.14,0.818,0.1715,7
0.17,1.1885,0.3065,7
0.13,0.4195,0.0945,7
0.115,0.498,0.099,7
0.135,0.7835,0.1815,7
0.095,0.32,0.065,7
0.09,0.301,0.065,7
0.115,0.459,0.093,7
0.115,0.467,0.0925,7
0.135,0.597,0.131,7
0.12,0.495,0.11,7
0.11,0.38,0.079,7
0.1,0.281,0.062,7
0.11,0.38,0.0945,7
0.12,0.6015,0.117,7
0.1,0.282,0.057,7
0.1,0.3055,0.06,7
0.095,0.203,0.045,7
0.115,0.39,0.087,7
0.12,0.4605,0.11,7
0.09,0.2345,0.051,7
0.105,0.2415,0.057,7
0.075,0.1825,0.044,7
0.125,0.5445,0.15,7
0.075,0.204,0.046,7
0.145,0.6215,0.166,7
0.095,0.2865,0.069,7
0.1,0.258,0.059,7
0.08,0.156,0.0345,7
0.11,0.4255,0.081,7
0.12,0.324,0.07,7
0.135,0.2215,0.047,7
0.155,0.8035,0.144,7
0.075,0.187,0.0395,7
0.11,0.4,0.083,7
0.115,0.3935,0.071,7
0.095,0.243,0.0665,7
0.115,0.6475,0.1325,7
0.15,1.1155,0.2255,7
0.07,0.185,0.0395,7
0.12,0.6005,0.142,7
0.065,0.1035,0.0205,7
0.12,0.7865,0.185,7
0.125,0.484,0.102,7
0.085,0.3155,0.046,7
0.1,0.2845,0.0635,7
0.09,0.1105,0.0245,7
0.085,0.2145,0.0485,7
0.115,0.5745,0.112,7
0.055,0.0515,0.0105,7
0.105,0.409,0.1015,7
0.08,0.205,0.0395,7
0.115,0.4215,0.0765,7
0.155,0.7125,0.137,7
0.11,0.47,0.0855,7
0.1,0.268,0.053,7
0.1,0.3855,0.0745,7
0.115,0.511,0.118,7
0.055,0.084,0.0175,7
0.135,0.501,0.0995,7
0.08,0.1735,0.0345,7
0.09,0.232,0.0495,7
0.105,0.3975,0.081,7
0.115,0.4785,0.0955,7
0.145,0.775,0.169,7
0.1,0.519,0.1275,7
0.09,0.2255,0.0485,7
0.115,0.3915,0.094,7
0.085,0.196,0.034,7
0.12,0.4555,0.1045,7
0.065,0.084,0.0105,7
0.085,0.205,0.0485,7
0.075,0.129,0.0295,7
0.125,0.572,0.1435,7
0.08,0.2165,0.0925,7
0.1,0.293,0.062,7
0.09,0.1455,0.0315,7
0.11,0.3005,0.0575,7
0.115,0.5795,0.1395,7
0.09,0.2065,0.0395,7
0.125,0.6725,0.12,7
0.11,0.2135,0.0545,7
0.135,0.6315,0.1015,7
0.12,0.4475,0.112,7
0.125,0.667,0.1545,7
0.11,0.3685,0.0715,7
0.07,0.1485,0.0335,7
0.09,0.1965,0.041,7
0.08,0.303,0.0585,7
0.08,0.2485,0.0495,7
0.085,0.213,0.049,7
0.085,0.3035,0.0505,7
0.095,0.303,0.06,7
0.15,0.9235,0.2135,7
0.085,0.22,0.05,7
0.105,0.362,0.0795,7
0.15,1.198,0.2095,7
0.125,0.564,0.0955,7
0.1,0.4545,0.111,7
0.085,0.27,0.064,7
0.125,0.8115,0.166,7
0.095,0.313,0.072,7
0.135,0.769,0.1585,7
0.075,0.186,0.038,7
0.1,0.258,0.054,7
0.1,0.2225,0.0465,7
0.105,0.1715,0.035,7
0.15,0.9145,0.199,7
0.08,0.2,0.042,7
0.1,0.5785,0.1225,7
0.11,0.411,0.0945,7
0.105,0.4195,0.1005,7
0.1,0.4285,0.099,7
0.105,0.3315,0.0745,7
0.09,0.2625,0.054,7
0.115,0.3685,0.0865,7
0.11,0.3885,0.0835,7
0.065,0.0895,0.0185,7
0.17,1.127,0.2635,7
0.095,0.3505,0.0625,7
0.09,0.1855,0.0425,7
0.1,0.2295,0.0465,7
0.105,0.5265,0.1005,7
0.085,0.218,0.039,7
0.09,0.2015,0.0405,7
0.1,0.5055,0.11,7
0.14,1.046,0.263,7
0.11,0.3335,0.045,7
0.09,0.336,0.09,7
0.13,0.478,0.127,7
0.105,0.3305,0.064,7
0.11,0.2235,0.0525,7
0.12,0.365,0.083,7
0.08,0.226,0.04,7
0.07,0.1005,0.0185,7
0.12,0.4035,0.0825,7
0.095,0.298,0.058,7
0.1,0.3645,0.0825,7
0.08,0.17,0.0465,7
0.12,0.397,0.0865,7
0.105,0.3535,0.05,7
0.095,0.217,0.0435,7
0.105,0.335,0.074,7
0.1,0.4665,0.1065,7
0.105,0.466,0.099,7
0.1,0.3245,0.0785,7
0.13,0.7075,0.1585,7
0.085,0.2535,0.0575,7
0.115,0.534,0.098,7
0.085,0.1965,0.0425,7
0.115,0.3045,0.0735,7
0.08,0.1085,0.0265,7
0.095,0.2805,0.0345,7
0.1,0.3355,0.0685,7
0.09,0.197,0.0365,7
0.125,0.5695,0.124,7
0.09,0.2445,0.0655,7
0.1,0.1755,0.0415,7
0.12,0.414,0.09,7
0.105,0.4115,0.1125,7
0.14,0.5495,0.112,7
0.09,0.3535,0.0745,7
0.13,0.568,0.178,7
0.18,1.445,0.3215,7
0.13,0.5125,0.116,7
0.095,0.319,0.08,7
0.09,0.1855,0.0415,7
0.09,0.2055,0.037,7
0.13,0.6025,0.143,7
0.1,0.313,0.0625,7
0.1,0.2645,0.0655,7
0.14,0.7355,0.137,7
0.085,0.317,0.0505,7
0.075,0.156,0.038,7
0.085,0.2285,0.0465,7
0.135,0.61,0.1435,7
0.12,0.3215,0.056,7
0.095,0.2295,0.0545,7
0.095,0.2085,0.0395,7
0.115,0.465,0.1055,7
0.08,0.282,0.0725,7
0.1,0.3515,0.082,7
0.085,0.196,0.0375,7
0.125,0.583,0.13,7
0.07,0.1745,0.0355,7
0.1,0.271,0.061,7
0.11,0.3705,0.084,7
0.12,0.5965,0.141,7
0.1,0.378,0.1,7
0.1,0.379,0.0815,7
0.105,0.544,0.1395,7
0.09,0.181,0.0415,7
0.185,0.6125,0.142,7
0.11,0.4385,0.0715,7
0.105,0.447,0.153,7
0.055,0.1135,0.0275,7
0.115,0.4705,0.118,7
0.095,0.2225,0.051,7
0.13,0.6025,0.1285,7
0.1,0.4425,0.0755,7
0.1,0.3335,0.0715,7
0.1,0.22,0.045,7
0.105,0.316,0.07,7
0.11,0.4415,0.0905,7
0.135,0.486,0.07,7
0.14,0.654,0.16,7
0.1,0.3465,0.08,7
0.125,0.5625,0.1245,7
0.11,0.5735,0.1025,7
0.11,0.4955,0.085,7
0.095,0.15,0.034,7
0.13,0.5545,0.1095,7
0.085,0.2385,0.045,7
0.09,0.1785,0.037,7
0.08,0.176,0.0355,7
0.1,0.3295,0.07,7
