@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R3,9'

@attribute Diameter numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
0.365,15
0.15,5
0.4,8
0.385,8
0.44,12
0.44,10
0.535,14
0.265,7
0.36,9
0.48,17
0.23,7
0.45,10
0.52,16
0.5,9
0.45,12
0.46,13
0.57,20
0.435,8
0.26,7
0.245,8
0.45,10
0.415,13
0.415,15
0.055,1
0.25,7
0.44,12
0.485,14
0.425,11
0.455,19
0.47,23
0.145,4
0.465,12
0.26,6
0.5,12
0.49,12
0.56,17
0.45,10
0.37,9
0.295,9
0.455,9
0.515,20
0.45,13
0.45,18
0.415,13
0.535,16
0.41,11
0.195,6
0.45,10
0.47,15
0.16,4
0.445,14
0.45,12
0.37,10
0.35,8
0.245,11
0.155,7
0.44,12
0.39,9
0.425,10
0.435,10
0.525,19
0.285,10
0.345,14
0.255,7
0.435,17
0.45,11
0.35,13
0.305,10
0.515,15
0.495,15
0.44,16
0.47,14
0.275,8
0.38,13
0.345,11
0.3,7
0.325,6
0.42,11
0.44,10
0.475,10
0.5,12
0.51,9
0.51,9
0.525,11
0.585,10
0.19,6
0.25,7
0.28,6
0.36,7
0.355,8
0.405,7
0.43,8
0.45,8
0.475,10
0.49,10
0.485,9
0.52,8
0.5,10
0.515,10
0.525,11
0.535,12
0.28,6
0.3,7
0.325,6
0.36,7
0.38,8
0.4,9
0.385,8
0.415,9
0.455,9
0.44,8
0.435,10
0.465,7
0.465,10
0.475,9
0.485,9
0.48,8
0.52,10
0.55,12
0.205,4
0.27,6
0.27,7
0.28,8
0.28,8
0.315,7
0.35,9
0.355,8
0.355,8
0.395,8
0.415,9
0.465,12
0.465,11
0.475,10
0.515,9
0.475,10
0.495,10
0.545,9
0.545,12
0.28,7
0.3,6
0.35,6
0.36,7
0.4,8
0.4,8
0.465,9
0.52,10
0.455,9
0.545,11
0.515,11
0.255,5
0.28,7
0.29,8
0.335,7
0.325,6
0.36,10
0.37,8
0.37,8
0.39,7
0.4,7
0.43,9
0.425,9
0.455,8
0.44,13
0.43,10
0.435,8
0.48,9
0.455,9
0.47,9
0.47,9
0.51,9
0.485,9
0.505,11
0.505,12
0.525,13
0.245,6
0.28,7
0.365,8
0.395,8
0.475,11
0.545,10
0.56,11
0.265,7
0.3,6
0.345,7
0.405,11
0.395,9
0.415,9
0.46,11
0.45,9
0.47,9
0.505,10
0.52,11
0.535,10
0.25,6
0.39,9
0.47,10
0.445,12
0.49,10
0.215,6
0.24,8
0.31,8
0.42,8
0.43,8
0.54,12
0.25,5
0.095,4
0.13,3
0.21,6
0.47,12
0.53,14
0.35,11
0.46,16
0.275,5
0.235,6
0.21,7
0.42,16
0.235,6
0.485,14
0.49,25
0.325,8
0.415,13
0.445,9
0.315,12
0.27,6
0.43,11
0.48,15
0.315,9
0.395,9
0.405,10
0.42,13
0.395,15
0.485,17
0.44,12
0.405,12
0.22,7
0.485,15
0.315,18
0.38,14
0.2,8
0.18,5
0.145,4
0.385,13
0.275,8
0.42,13
0.395,10
0.31,8
0.585,12
0.5,11
0.53,14
0.35,7
0.425,8
0.46,8
0.46,9
0.485,10
0.48,10
0.495,11
0.48,8
0.16,4
0.33,6
0.425,8
0.49,9
0.51,13
0.53,11
0.57,11
0.555,11
0.215,5
0.305,7
0.395,9
0.48,10
0.47,12
0.485,10
0.515,10
0.57,9
0.42,8
0.445,9
0.485,10
0.415,10
0.43,8
0.435,9
0.46,9
0.46,10
0.49,9
0.47,12
0.52,11
0.525,9
0.345,8
0.41,8
0.505,10
0.54,13
0.26,6
0.4,8
0.41,8
0.435,9
0.45,11
0.485,11
0.455,11
0.56,13
0.215,5
0.34,6
0.36,8
0.4,9
0.45,9
0.45,10
0.495,11
0.495,10
0.35,9
0.26,11
0.165,5
0.395,9
0.49,15
0.465,14
0.405,11
0.385,8
0.405,7
0.405,14
0.265,9
0.42,13
0.525,16
0.325,9
0.51,18
0.38,12
0.375,7
0.45,17
0.405,18
0.51,14
0.375,11
0.5,13
0.31,11
0.385,11
0.435,10
0.34,13
0.39,12
0.405,15
0.36,10
0.465,17
0.33,10
0.435,19
0.44,10
0.32,7
0.475,10
0.37,7
0.39,7
0.44,8
0.495,10
0.485,11
0.335,7
0.43,9
0.47,9
0.52,10
0.56,11
0.545,10
0.335,7
0.415,8
0.45,10
0.42,9
0.46,10
0.465,9
0.475,11
0.475,9
0.525,11
0.405,9
0.45,9
0.475,11
0.225,5
0.265,6
0.395,11
0.43,9
0.44,8
0.5,11
0.525,10
0.52,11
0.55,10
0.535,11
0.13,5
0.415,9
0.395,8
0.495,11
0.385,14
0.25,8
0.42,11
0.45,16
0.3,6
0.44,10
0.335,8
0.44,9
0.455,10
0.425,10
0.33,7
0.355,9
0.355,13
0.405,15
0.23,8
0.535,21
0.41,11
0.425,13
0.19,5
0.23,6
0.285,6
0.51,9
0.455,12
0.26,7
0.325,7
0.41,11
0.46,10
0.335,8
0.395,9
0.48,10
0.5,12
0.545,11
0.305,7
0.41,9
0.42,8
0.505,9
0.415,9
0.445,10
0.45,10
0.455,9
0.525,13
