@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R1,5-6,9'

@attribute Sex {M,F,I}
@attribute Whole_weight numeric
@attribute Shucked_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
M,0.516,0.2155,10
I,0.205,0.0895,7
I,0.3515,0.141,8
F,0.7775,0.237,20
F,0.4755,0.1675,10
M,0.3275,0.134,9
M,0.5795,0.293,9
I,0.161,0.0755,6
M,0.385,0.173,7
M,0.8115,0.341,15
M,0.214,0.09,6
I,0.238,0.1075,6
I,0.2505,0.112,8
M,1.7255,0.63,19
F,0.3555,0.151,9
I,0.127,0.052,9
M,1.053,0.4415,15
F,2.141,0.65,18
M,2.55,1.0705,14
I,0.048,0.0185,5
M,0.9395,0.399,14
F,0.644,0.285,11
M,1.3035,0.4445,16
I,0.3795,0.1495,8
M,0.6155,0.241,9
I,0.205,0.078,7
I,0.435,0.1815,12
I,0.1585,0.0635,13
I,0.156,0.0675,7
F,1.1015,0.4775,13
I,0.095,0.0445,4
M,1.187,0.412,16
M,1.525,0.56,15
M,1.844,0.7425,22
M,1.484,0.55,20
M,0.4775,0.132,9
M,1.116,0.428,15
M,1.0575,0.384,26
F,0.892,0.322,13
I,0.172,0.066,6
F,0.3185,0.134,8
F,0.568,0.2325,12
M,0.707,0.2795,13
F,0.997,0.392,12
M,0.887,0.4405,11
F,1.566,0.6645,16
F,1.31,0.5095,14
I,0.3215,0.1535,10
F,0.5885,0.27,9
F,0.5785,0.2465,13
I,0.101,0.036,8
I,0.2335,0.095,10
F,1.7445,0.5975,17
F,1.8075,0.7055,29
M,1.073,0.475,14
M,0.024,0.0095,4
M,0.24,0.0885,9
F,0.38,0.1695,9
F,0.795,0.3605,12
I,0.514,0.2075,13
F,0.7335,0.2795,11
I,0.406,0.1685,12
I,0.8865,0.383,11
F,1.3675,0.5015,17
I,0.874,0.3585,18
I,0.8525,0.3015,13
M,0.1905,0.081,6
M,0.173,0.0795,7
M,0.3715,0.1605,9
I,0.466,0.1845,11
I,1.626,0.597,18
F,0.3915,0.154,7
I,0.019,0.0065,4
M,0.2905,0.1215,12
F,0.4525,0.18,9
I,0.176,0.0595,7
I,0.1135,0.045,7
M,0.8665,0.2825,18
M,0.6565,0.262,10
F,1.122,0.347,13
F,0.9805,0.3155,11
I,0.521,0.2,8
M,1.042,0.3295,15
M,0.9215,0.3275,12
M,0.349,0.119,10
M,0.4405,0.152,9
I,0.22,0.094,7
F,0.6835,0.165,21
I,0.306,0.13,6
I,0.378,0.1795,7
M,1.3445,0.549,11
I,0.2225,0.104,7
I,0.3645,0.1575,7
F,0.4355,0.2025,6
I,0.497,0.2355,6
F,0.582,0.29,8
M,0.6015,0.312,7
M,0.649,0.32,8
M,0.61,0.272,7
M,0.7325,0.334,11
M,1.1935,0.513,10
F,1.103,0.538,9
M,1.1625,0.565,11
F,1.3075,0.599,11
F,1.4325,0.684,8
F,1.528,0.69,11
M,1.607,0.7245,12
M,1.872,0.893,10
F,1.8385,0.8035,10
M,1.9525,0.7645,10
I,0.2325,0.1165,6
M,0.5225,0.235,7
I,0.5545,0.288,8
M,0.7835,0.4225,7
F,0.84,0.395,8
M,0.8995,0.464,9
M,1.114,0.4765,8
M,1.1915,0.696,8
M,1.1175,0.555,9
F,2.236,1.109,11
I,0.139,0.0565,6
I,0.1785,0.0855,8
I,0.213,0.0945,7
I,0.302,0.152,7
I,0.2645,0.1265,6
I,0.301,0.1385,7
I,0.4725,0.2065,8
I,0.6215,0.2925,9
I,0.7285,0.302,10
M,0.8705,0.407,9
I,0.688,0.3095,9
M,0.7955,0.405,10
M,0.9145,0.4555,9
M,1.409,0.8,10
F,1.023,0.4905,12
M,1.082,0.4955,9
F,1.3205,0.5945,9
M,1.3585,0.6395,10
F,2.25,1.1565,9
I,0.2215,0.105,7
I,0.247,0.1225,5
I,0.3025,0.143,5
I,0.4465,0.213,9
I,0.5625,0.25,7
M,0.906,0.4095,8
M,1.308,0.544,8
M,1.466,0.677,10
M,0.464,0.221,8
I,0.4615,0.204,8
I,0.624,0.3035,8
I,0.616,0.261,8
I,0.6025,0.281,7
I,0.4725,0.1815,9
I,0.615,0.261,8
I,0.6275,0.2505,9
I,0.5585,0.222,9
M,0.795,0.3385,9
I,0.7405,0.306,12
I,0.807,0.3615,10
I,0.7095,0.303,9
M,1.207,0.559,10
M,1.194,0.5625,10
M,1.0845,0.5005,10
M,1.33,0.6665,9
F,1.5175,0.711,12
M,1.5505,0.6505,10
M,1.4535,0.592,10
F,1.5805,0.802,10
I,0.7615,0.362,10
I,0.869,0.3085,9
M,0.7545,0.3495,8
F,1.1185,0.5425,9
F,1.205,0.543,10
I,0.8915,0.3975,8
M,1.7395,0.5715,10
M,1.726,0.7625,11
I,0.2805,0.114,6
I,0.311,0.1125,8
I,0.5095,0.2065,8
I,0.575,0.247,9
M,0.9355,0.421,11
F,1.099,0.4735,9
M,1.0465,0.518,10
M,1.031,0.4375,8
M,1.0875,0.4975,9
M,1.0485,0.487,11
F,1.2895,0.594,11
M,1.273,0.6535,12
M,1.1895,0.4765,11
F,1.4195,0.6735,11
F,1.5535,0.616,16
I,1.238,0.5495,10
M,1.218,0.5055,11
M,1.312,0.556,11
F,1.473,0.6295,11
M,1.6915,0.6655,11
F,1.773,0.605,13
F,1.6195,0.744,11
F,1.8325,0.83,11
I,0.271,0.1425,9
M,0.6435,0.3135,7
M,0.5115,0.246,8
F,0.7655,0.3265,10
F,0.7505,0.368,9
F,0.83,0.393,9
M,1.914,0.9155,11
F,0.3465,0.1475,10
M,0.97,0.462,9
M,0.8085,0.3025,14
F,2.1995,0.7245,17
I,0.0385,0.0115,5
F,0.975,0.358,15
M,0.547,0.222,12
M,1.36,0.5305,18
M,1.035,0.401,17
F,0.958,0.296,14
F,0.729,0.2675,9
F,0.543,0.2295,9
F,0.998,0.345,12
M,0.7485,0.264,13
F,0.9215,0.312,17
M,0.8615,0.3725,12
F,1.1805,0.4345,19
I,0.185,0.08,6
M,0.2965,0.1365,7
M,0.991,0.4035,16
M,0.805,0.293,17
M,0.3045,0.0925,11
M,1.5515,0.566,13
M,0.86,0.4015,11
F,0.9,0.355,11
I,0.075,0.028,6
I,0.0235,0.009,6
F,1.065,0.4595,12
M,1.885,0.8665,19
I,0.354,0.1625,8
I,0.6505,0.2495,10
I,0.437,0.163,13
I,1.25,0.5265,15
I,1.411,0.572,12
F,0.4805,0.1905,12
