@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R5-6,9'

@attribute Whole_weight numeric
@attribute Shucked_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
0.406,0.1675,10
0.2905,0.095,7
1.798,0.815,19
1.217,0.5305,16
0.042,0.0175,4
0.5305,0.2135,10
1.013,0.38,14
1.262,0.507,10
0.843,0.328,15
0.2535,0.103,7
0.1915,0.085,7
0.0975,0.04,7
1.3715,0.5065,10
1.0565,0.37,10
0.722,0.32,10
0.922,0.432,15
0.324,0.1265,7
0.32,0.1305,8
0.0645,0.026,5
1.1235,0.4205,13
0.879,0.295,10
0.234,0.0905,9
0.8365,0.315,18
0.2255,0.0885,8
1.974,0.598,16
1.0035,0.406,15
1.3475,0.4775,14
1.275,0.509,16
1.029,0.4085,16
0.791,0.33,10
0.5865,0.2385,8
1.015,0.3995,19
0.366,0.122,13
0.252,0.0915,14
0.714,0.283,9
0.9815,0.329,13
0.9265,0.354,16
0.8375,0.3485,11
0.199,0.0695,9
0.0715,0.026,6
0.0545,0.0215,5
0.0235,0.008,5
0.9325,0.3605,17
0.921,0.357,13
1.2895,0.5345,11
1.2635,0.486,15
0.854,0.3665,12
0.8735,0.3005,16
0.0385,0.0155,3
0.458,0.192,13
1.1625,0.495,17
0.9885,0.4145,13
0.66,0.267,13
0.387,0.165,11
1.066,0.382,20
0.806,0.376,14
0.4625,0.164,14
0.25,0.111,9
1.054,0.369,12
0.433,0.1525,12
0.1295,0.0455,9
0.0515,0.018,7
0.49,0.223,9
0.4885,0.193,11
0.1665,0.0595,6
0.9175,0.2775,13
0.64,0.158,22
0.3865,0.1475,11
0.8295,0.2405,11
0.823,0.298,15
0.862,0.2855,14
0.3795,0.143,10
0.6595,0.2485,9
1.1365,0.369,13
0.462,0.1675,9
0.394,0.157,9
0.759,0.2125,15
0.7635,0.3375,8
0.891,0.4815,9
0.952,0.3895,9
1.29,0.606,11
1.376,0.6495,10
2.0805,0.959,17
1.4785,0.628,9
0.4415,0.1755,7
0.612,0.327,8
0.674,0.3165,9
0.685,0.362,8
0.796,0.3865,8
0.7125,0.3695,7
0.9035,0.4075,7
1.0515,0.4095,8
1.2315,0.6025,11
1.3315,0.594,11
1.304,0.57,9
1.6525,0.8515,10
1.3695,0.641,6
1.7005,0.8255,8
0.0435,0.0155,4
0.084,0.0365,7
0.411,0.1945,6
0.4155,0.18,7
0.4845,0.211,6
0.5495,0.248,7
0.5445,0.246,7
0.5155,0.215,8
0.601,0.2625,9
0.608,0.297,8
0.617,0.279,8
0.869,0.435,9
1.0265,0.485,9
1.415,0.5885,10
2.273,1.095,12
1.219,0.6395,9
1.8795,0.931,12
0.215,0.1,6
0.256,0.11,6
0.2985,0.1445,5
0.3335,0.173,7
0.448,0.208,9
0.4005,0.164,8
0.411,0.175,8
0.441,0.1785,8
0.461,0.2205,8
0.6015,0.3015,8
0.594,0.2595,7
0.7665,0.341,9
0.751,0.2825,10
1.4395,0.6715,10
1.0505,0.48,10
1.014,0.451,11
1.0835,0.5405,12
1.1295,0.463,10
1.15,0.5475,11
1.211,0.707,9
1.5365,0.6865,11
1.567,0.7245,10
1.4545,0.6,10
1.9335,0.913,13
0.436,0.1975,8
0.3685,0.126,6
0.6855,0.361,9
0.7405,0.3565,9
0.9155,0.4005,8
1.259,0.6405,9
1.0725,0.4815,9
1.1105,0.467,10
1.175,0.475,8
1.519,0.616,10
1.741,0.7665,12
1.684,0.7535,11
2.21,1.351,13
0.1775,0.079,6
0.1845,0.083,7
0.243,0.0895,7
0.4365,0.188,9
0.499,0.21,8
0.6025,0.2935,7
0.646,0.2965,9
0.664,0.3115,9
0.831,0.4245,10
0.867,0.3705,9
0.78,0.3275,9
0.9175,0.38,8
1.0645,0.4495,10
1.059,0.504,9
0.884,0.3835,8
0.983,0.4565,10
1.0175,0.473,10
1.139,0.4995,11
1.066,0.446,11
1.1165,0.4895,11
1.044,0.438,9
1.2695,0.605,11
1.5595,0.741,14
1.371,0.6925,12
1.4405,0.688,11
1.566,0.858,10
2.009,0.9895,11
1.9425,0.799,11
2.2205,1.083,12
2.5155,1.1155,12
0.422,0.229,6
1.15,0.575,10
1.6125,0.777,11
1.5845,0.7175,9
1.679,0.805,10
2.069,0.9285,11
0.568,0.2505,7
1.0285,0.4435,11
1.331,0.5725,9
1.429,0.6715,12
1.4015,0.643,12
0.133,0.0585,6
0.196,0.0905,7
0.22,0.109,7
0.522,0.2395,10
0.6335,0.288,9
0.7815,0.361,9
0.844,0.3945,9
0.8685,0.418,8
0.839,0.3485,7
2.1,0.8565,12
1.6895,0.6555,10
0.25,0.1025,10
1.2105,0.5185,13
0.232,0.0855,7
0.5765,0.2395,10
0.127,0.106,7
0.18,0.08,6
0.4005,0.143,8
0.4935,0.186,12
0.585,0.243,10
0.3625,0.1565,10
0.14,0.0515,5
1.2125,0.3245,27
0.486,0.1735,7
1.5455,0.654,11
1.2125,0.5735,14
1.0935,0.403,14
0.515,0.2,11
0.906,0.327,15
0.6295,0.2815,9
1.7265,0.637,17
1.3445,0.535,20
1.449,0.601,13
0.382,0.154,8
0.7365,0.3225,11
0.496,0.1905,12
0.567,0.2315,11
0.197,0.085,10
0.775,0.35,17
0.651,0.2935,12
0.494,0.1945,18
0.096,0.044,6
0.782,0.2715,14
0.8175,0.2515,23
0.884,0.2875,14
0.282,0.0975,9
0.6635,0.21,13
0.57,0.167,11
0.3625,0.175,6
0.6315,0.3445,7
1.4405,0.5885,9
1.362,0.5785,10
0.545,0.269,6
0.468,0.201,8
0.812,0.4035,8
0.681,0.3095,6
0.948,0.429,7
1.1775,0.542,9
1.147,0.5455,9
1.933,0.7855,13
2.1945,1.0515,10
0.5925,0.265,9
1.3835,0.7105,11
1.1805,0.5235,9
1.269,0.576,11
1.551,0.7105,13
0.3075,0.149,8
0.7355,0.3065,7
0.6445,0.345,8
0.89,0.4325,10
0.912,0.495,9
0.825,0.402,10
0.9235,0.4545,9
1.0265,0.4935,10
1.1955,0.5565,11
0.0545,0.0205,5
0.196,0.085,5
0.8435,0.4325,9
0.8115,0.3875,9
0.976,0.465,10
1.11,0.5105,9
1.082,0.5785,8
2.3235,1.1495,11
0.298,0.109,7
0.5075,0.2115,9
0.5935,0.239,8
0.8725,0.417,8
0.8765,0.455,8
1.056,0.4575,10
0.9625,0.4375,9
1.0915,0.4365,13
1.2075,0.5385,11
1.6645,0.753,12
1.277,0.4975,13
1.2565,0.5355,9
2.087,0.909,12
1.029,0.4235,8
0.5745,0.306,7
0.9845,0.4525,8
1.4265,0.6605,11
0.2665,0.1105,7
0.215,0.0845,8
0.3875,0.1755,9
0.4045,0.171,8
0.95,0.4005,10
0.8785,0.425,10
1.664,0.58,11
0.5685,0.249,9
0.9115,0.446,10
0.942,0.43,11
1.193,0.5145,8
0.1235,0.059,5
0.2815,0.1505,5
1.5105,0.7385,10
0.764,0.312,11
0.6905,0.259,10
1.742,0.595,21
1.151,0.4365,13
1.571,0.627,18
0.2225,0.0865,8
1.8165,0.7785,19
1.06,0.402,11
0.528,0.2,14
0.415,0.215,12
0.9715,0.371,11
1.0185,0.4695,15
0.6175,0.262,12
1.229,0.524,17
0.2595,0.097,10
0.45,0.191,12
0.259,0.0955,8
0.8575,0.3465,12
0.584,0.224,13
0.3625,0.134,11
0.44,0.169,12
0.522,0.17,16
1.616,0.5495,18
0.209,0.066,9
0.0455,0.02,4
0.258,0.104,7
0.38,0.197,7
0.7465,0.348,10
1.233,0.592,10
1.3275,0.556,9
0.0655,0.0295,4
0.097,0.0415,4
