@relation abalone

@attribute Diameter numeric
@attribute Shell_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
0.45,0.26,15
0.47,0.315,15
0.495,0.5195,15
0.36,0.14,15
0.415,0.2905,15
0.415,0.245,15
0.44,0.25,15
0.46,0.335,15
0.495,0.34,15
0.535,0.54,15
0.455,0.365,15
0.465,0.37,15
0.48,0.34,15
0.475,0.315,15
0.515,0.36,15
0.47,0.385,15
0.36,0.195,15
0.515,0.39,15
0.405,0.205,15
0.525,0.42,15
0.515,0.315,15
0.39,0.195,15
0.39,0.255,15
0.425,0.24,15
0.4,0.19,15
0.45,0.285,15
0.545,0.495,15
0.45,0.37,15
0.38,0.175,15
0.405,0.234,15
0.565,0.406,15
0.5,0.305,15
0.475,0.325,15
0.4,0.265,15
0.5,0.34,15
0.435,0.33,15
0.49,0.375,15
0.46,0.345,15
0.54,0.39,15
0.51,0.58,15
0.48,0.42,15
0.41,0.195,15
0.4,0.24,15
0.47,0.31,15
0.4,0.165,15
0.405,0.325,15
0.345,0.1085,15
0.55,0.6,15
0.4,0.17,15
0.495,0.41,15
0.465,0.24,15
0.52,0.47,15
0.47,0.36,15
0.42,0.225,15
0.38,0.18,15
0.505,0.45,15
0.425,0.255,15
0.4,0.25,15
0.5,0.41,15
0.575,0.52,15
0.53,0.415,15
0.44,0.4405,15
0.375,0.179,15
0.57,0.685,15
0.535,0.512,15
0.53,0.49,15
0.395,0.205,15
0.39,0.215,15
0.325,0.1135,15
0.385,0.2,15
0.47,0.29,15
0.435,0.29,15
0.53,0.453,15
0.415,0.26,15
0.405,0.205,15
0.475,0.28,15
0.47,0.36,15
0.48,0.42,15
0.415,0.3,15
0.49,0.295,15
0.43,0.31,15
0.485,0.33,15
0.545,0.48,15
0.37,0.1595,15
0.435,0.255,15
0.365,0.15,15
0.35,0.1655,15
0.505,0.365,15
0.56,0.46,15
0.49,0.295,15
0.35,0.19,15
0.475,0.27,15
0.26,0.055,7
0.33,0.12,7
0.38,0.185,7
0.275,0.07,7
0.285,0.077,7
0.3,0.095,7
0.265,0.085,7
0.325,0.109,7
0.38,0.18,7
0.335,0.1095,7
0.405,0.24,7
0.325,0.095,7
0.275,0.0605,7
0.375,0.16,7
0.365,0.127,7
0.255,0.055,7
0.315,0.11,7
0.305,0.105,7
0.425,0.2185,7
0.37,0.129,7
0.36,0.147,7
0.27,0.0595,7
0.24,0.045,7
0.335,0.1105,7
0.36,0.12,7
0.335,0.1315,7
0.465,0.141,7
0.31,0.093,7
0.275,0.066,7
0.395,0.255,7
0.335,0.115,7
0.405,0.1805,7
0.36,0.115,7
0.39,0.161,7
0.265,0.075,7
0.34,0.1405,7
0.46,0.296,7
0.31,0.0855,7
0.255,0.058,7
0.275,0.075,7
0.46,0.214,7
0.28,0.08,7
0.205,0.0335,7
0.355,0.12,7
0.355,0.125,7
0.315,0.12,7
0.255,0.06,7
0.335,0.11,7
0.46,0.29,7
0.285,0.075,7
0.405,0.18,7
0.27,0.07,7
0.295,0.085,7
0.265,0.075,7
0.225,0.0425,7
0.345,0.107,7
0.29,0.0815,7
0.4,0.175,7
0.39,0.155,7
0.325,0.1,7
0.355,0.126,7
0.37,0.128,7
0.38,0.16,7
0.32,0.117,7
0.245,0.048,7
0.4,0.18,7
0.26,0.065,7
0.325,0.113,7
0.355,0.13,7
0.34,0.101,7
0.225,0.05,7
0.35,0.1195,7
0.345,0.12,7
0.385,0.136,7
0.29,0.081,7
0.29,0.0695,7
0.38,0.16,7
0.365,0.113,7
0.28,0.07,7
0.345,0.1185,7
0.335,0.1065,7
0.285,0.075,7
0.335,0.1135,7
0.26,0.0575,7
0.32,0.105,7
0.3,0.08,7
0.39,0.1895,7
0.27,0.053,7
0.37,0.14,7
0.41,0.2,7
0.235,0.042,7
0.29,0.0815,7
0.3,0.08,7
0.2,0.03,7
0.375,0.15,7
0.27,0.064,7
0.325,0.1,7
0.22,0.043,7
0.33,0.1025,7
0.29,0.075,7
0.32,0.09,7
0.25,0.055,7
0.375,0.1485,7
0.3,0.0875,7
0.375,0.1585,7
0.3,0.088,7
0.25,0.06,7
0.25,0.063,7
0.37,0.141,7
0.345,0.117,7
0.35,0.1375,7
0.28,0.0615,7
0.21,0.0345,7
0.34,0.094,7
0.355,0.1465,7
0.375,0.165,7
0.28,0.115,7
0.51,0.348,7
0.385,0.1535,7
0.25,0.04,7
0.38,0.1425,7
0.35,0.126,7
0.3,0.084,7
0.335,0.1,7
0.375,0.17,7
0.35,0.1205,7
0.385,0.154,7
0.265,0.07,7
0.365,0.123,7
0.4,0.144,7
0.2,0.03,7
0.315,0.09,7
0.4,0.169,7
0.37,0.13,7
0.305,0.086,7
0.325,0.1045,7
0.35,0.13,7
0.405,0.189,7
0.285,0.0725,7
0.23,0.04,7
0.335,0.17,7
0.36,0.137,7
0.36,0.129,7
0.25,0.049,7
0.32,0.109,7
0.265,0.06,7
0.305,0.095,7
0.37,0.143,7
0.525,0.435,7
0.435,0.192,7
0.335,0.098,7
0.29,0.065,7
0.46,0.254,7
0.365,0.1335,7
0.29,0.08,7
0.425,0.24,7
0.28,0.08,7
0.335,0.0965,7
0.225,0.035,7
0.275,0.0735,7
0.215,0.035,7
0.385,0.185,7
0.305,0.085,7
0.3,0.044,7
0.335,0.145,7
0.345,0.125,7
0.31,0.085,7
0.35,0.115,7
0.26,0.068,7
0.245,0.048,7
0.35,0.135,7
0.325,0.11,7
0.405,0.186,7
0.265,0.07,7
0.24,0.05,7
0.17,0.0195,7
0.28,0.0795,7
0.21,0.04,7
0.395,0.162,7
0.395,0.2,7
0.29,0.09,7
0.355,0.1185,7
0.25,0.05,7
0.345,0.1265,7
0.34,0.13,7
0.385,0.165,7
0.25,0.055,7
0.345,0.13,7
0.28,0.143,7
0.23,0.048,7
0.245,0.045,7
0.275,0.0625,7
0.3,0.09,7
0.38,0.1325,7
0.33,0.11,7
0.35,0.1405,7
0.41,0.18,7
0.325,0.089,7
0.265,0.0605,7
0.27,0.07,7
0.36,0.11,7
0.345,0.13,7
0.345,0.125,7
0.2,0.028,7
0.28,0.07,7
0.28,0.067,7
0.235,0.047,7
0.225,0.045,7
0.295,0.08,7
0.275,0.066,7
0.32,0.094,7
0.3,0.11,7
0.23,0.046,7
0.33,0.11,7
0.38,0.1955,7
0.4,0.178,7
0.3,0.09,7
0.225,0.032,7
0.36,0.121,7
0.305,0.1,7
0.32,0.1,7
0.375,0.175,7
0.3,0.0735,7
0.295,0.0835,7
0.31,0.093,7
0.4,0.175,7
0.305,0.085,7
0.315,0.0985,7
0.365,0.14,7
0.295,0.075,7
0.305,0.0865,7
0.3,0.081,7
0.37,0.161,7
0.38,0.159,7
0.25,0.0805,7
0.45,0.259,7
0.28,0.075,7
0.2,0.03,7
0.25,0.0445,7
0.315,0.095,7
0.29,0.075,7
0.29,0.078,7
0.325,0.155,7
0.385,0.133,7
0.35,0.1325,7
0.39,0.172,7
0.44,0.1915,7
0.325,0.105,7
0.405,0.19,7
0.285,0.075,7
0.31,0.08,7
0.265,0.077,7
0.295,0.082,7
0.4,0.17,7
0.325,0.095,7
0.335,0.113,7
0.31,0.11,7
0.35,0.1375,7
0.235,0.05,7
0.265,0.06,7
0.38,0.144,7
0.23,0.04,7
0.37,0.165,7
0.265,0.055,7
