@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R1,6,8-9'

@attribute Sex {M,F,I}
@attribute Shucked_weight numeric
@attribute Shell_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
M,0.2165,0.165,9
F,0.194,0.21,14
M,0.1705,0.115,9
M,0.0955,0.075,11
F,0.633,0.49,13
M,0.227,0.125,8
I,0.0875,0.075,7
M,0.234,0.185,8
F,0.2205,0.165,9
F,0.2935,0.28,11
F,0.136,0.13,9
I,0.1485,0.105,9
F,0.2975,0.21,11
I,0.081,0.07,6
F,0.5125,0.62,12
F,0.392,0.285,12
M,0.4845,0.325,13
M,0.419,0.36,12
M,0.346,0.245,12
F,0.2985,0.275,13
F,0.187,0.18,11
I,0.1285,0.1,10
I,0.0485,0.035,7
M,0.3495,0.275,17
M,0.3615,0.235,14
F,0.4535,0.55,22
M,0.288,0.205,10
M,0.3835,0.325,17
I,0.039,0.03,4
I,0.0475,0.035,5
M,0.581,0.3,14
M,0.4465,0.245,12
M,0.48,0.35,18
I,0.222,0.14,9
M,0.256,0.26,12
F,0.178,0.155,7
M,0.4,0.285,11
F,0.3935,0.33,18
M,0.4375,0.325,20
F,0.57,0.33,14
F,0.5425,0.4,12
F,0.272,0.2765,10
M,0.4235,0.305,12
F,0.381,0.315,13
M,0.378,0.29,11
M,0.5875,0.37,17
F,0.3445,0.305,15
F,0.4385,0.42,17
M,0.0335,0.0325,5
I,0.2605,0.16,10
F,0.1715,0.155,11
F,0.1735,0.11,11
I,0.284,0.2,11
I,0.28,0.195,10
M,0.2575,0.24,12
F,0.2565,0.225,9
F,0.305,0.335,16
I,0.2,0.2235,12
F,0.2655,0.225,12
M,0.034,0.025,5
F,0.2155,0.18,15
M,0.225,0.17,21
M,0.204,0.175,10
F,0.26,0.345,16
F,0.155,0.14,13
M,0.0615,0.0795,11
I,0.0405,0.032,7
M,0.215,0.14,10
M,0.69,0.35,13
M,0.348,0.31,15
M,0.236,0.2,15
M,0.3505,0.3,13
M,0.246,0.215,12
M,0.215,0.234,15
M,0.2805,0.214,11
M,0.1655,0.185,10
I,0.0365,0.023,5
I,0.0655,0.054,6
I,0.208,0.106,6
I,0.175,0.109,7
M,0.3065,0.1775,8
M,0.407,0.2875,10
M,0.349,0.194,10
M,0.421,0.325,9
M,0.5315,0.41,12
M,0.6355,0.315,9
I,0.031,0.017,3
I,0.0825,0.05,6
I,0.155,0.09,7
I,0.1825,0.1145,6
I,0.2355,0.1135,7
I,0.2335,0.119,7
M,0.222,0.15,9
F,0.328,0.202,8
F,0.3935,0.205,8
F,0.368,0.275,9
F,0.3075,0.18,8
M,0.5265,0.24,8
M,0.4985,0.2835,10
M,0.518,0.27,9
M,0.705,0.335,10
M,0.633,0.349,11
M,0.6645,0.477,10
F,0.739,0.435,10
F,0.6655,0.405,11
I,0.027,0.015,4
I,0.0405,0.03,5
I,0.055,0.039,6
I,0.122,0.065,7
I,0.1945,0.13,7
I,0.2165,0.115,7
M,0.415,0.22,9
M,0.4815,0.27,10
M,0.632,0.358,10
M,0.553,0.345,11
I,0.6035,0.3595,9
F,0.8545,0.3995,9
F,0.9035,0.5215,10
M,0.691,0.2685,8
I,0.0295,0.0225,5
I,0.435,0.04,5
I,0.046,0.0385,5
I,0.175,0.1045,8
