@relation abalone

@attribute Sex {M,F,I}
@attribute Whole_weight numeric
@attribute Shucked_weight numeric
@attribute Shell_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
F,1.2415,0.5235,0.36,15
F,0.953,0.3445,0.305,15
M,0.909,0.344,0.255,15
M,0.514,0.2245,0.15,15
F,1.0905,0.391,0.355,15
F,0.8415,0.314,0.3,15
M,0.906,0.327,0.335,15
F,1.115,0.378,0.36,15
M,1.011,0.3835,0.37,15
F,0.7995,0.3345,0.24,15
I,0.8435,0.309,0.3,15
I,0.498,0.214,0.14,15
M,2.033,0.751,0.685,15
F,1.0325,0.3605,0.36,15
F,1.221,0.51,0.39,15
M,1.2565,0.435,0.325,15
F,1.213,0.464,0.365,15
M,0.476,0.2055,0.1085,15
I,0.595,0.2105,0.26,15
F,0.5555,0.213,0.215,15
I,0.5825,0.2315,0.255,15
M,1.1045,0.4565,0.34,15
F,0.783,0.2935,0.245,15
M,1.153,0.503,0.295,15
F,0.605,0.2155,0.18,15
F,1.094,0.4485,0.345,15
M,1.2425,0.487,0.48,15
F,0.759,0.2125,0.24,15
M,1.521,0.644,0.406,15
F,0.537,0.1725,0.195,15
M,1.194,0.4445,0.375,15
F,0.6515,0.261,0.165,15
F,1.0185,0.4695,0.27,15
M,0.695,0.215,0.234,15
F,1.415,0.605,0.365,15
M,1.791,0.733,0.54,15
M,1.676,0.693,0.47,15
M,0.883,0.316,0.335,15
F,0.604,0.242,0.179,15
M,1.055,0.3815,0.365,15
F,1.5415,0.5985,0.495,15
I,0.6765,0.2865,0.205,15
F,1.639,0.6055,0.46,15
F,1.5715,0.6935,0.47,15
M,0.823,0.298,0.265,15
F,0.829,0.3535,0.205,15
M,1.092,0.416,0.4405,15
M,1.114,0.3925,0.31,15
M,0.858,0.377,0.29,15
M,1.5145,0.579,0.5195,15
F,1.3955,0.456,0.49,15
M,0.99,0.3865,0.295,15
M,1.1405,0.3755,0.385,15
F,0.6515,0.2695,0.205,15
F,1.773,0.6805,0.512,15
F,1.626,0.587,0.41,15
M,1.105,0.4865,0.315,15
M,1.598,0.6535,0.58,15
F,1.031,0.392,0.29,15
F,1.6885,0.562,0.6,15
F,1.106,0.422,0.33,15
M,0.6605,0.2605,0.19,15
M,1.3905,0.5905,0.453,15
M,0.995,0.3895,0.37,15
M,1.0615,0.348,0.31,15
F,1.0675,0.391,0.42,15
M,0.9365,0.394,0.295,15
I,0.523,0.2105,0.175,15
M,0.922,0.432,0.26,15
M,0.592,0.242,0.1835,15
M,1.494,0.588,0.485,15
F,1.437,0.469,0.41,15
M,0.72,0.275,0.225,15
M,0.2885,0.1,0.1135,15
M,0.849,0.3785,0.24,15
F,1.0075,0.4425,0.28,15
M,0.744,0.2875,0.25,15
M,0.6775,0.236,0.2,15
F,1.1775,0.5655,0.295,15
M,1.2415,0.485,0.34,15
I,0.525,0.2085,0.1655,15
I,1.208,0.4805,0.33,15
F,0.657,0.291,0.195,15
M,1.467,0.5825,0.42,15
M,1.5165,0.578,0.39,15
F,1.0035,0.406,0.285,15
M,1.2635,0.486,0.415,15
F,0.6245,0.215,0.17,15
M,1.4935,0.5265,0.455,15
I,1.6935,0.6025,0.42,15
M,0.5755,0.2015,0.19,15
M,0.843,0.328,0.255,15
M,0.7775,0.2015,0.25,15
F,0.1485,0.0585,0.045,7
I,0.226,0.0975,0.0725,7
M,0.6925,0.327,0.1805,7
I,0.425,0.217,0.095,7
I,0.196,0.0825,0.06,7
M,0.7075,0.332,0.18,7
I,0.19,0.0765,0.065,7
I,0.2295,0.095,0.066,7
I,0.2165,0.0935,0.07,7
I,0.2285,0.088,0.075,7
F,0.7745,0.416,0.18,7
I,0.519,0.2365,0.126,7
I,0.2445,0.089,0.075,7
M,0.303,0.1335,0.1,7
I,0.654,0.305,0.169,7
I,0.2295,0.0885,0.07,7
