@relation abalone

@attribute Sex {M,F,I}
@attribute Shucked_weight numeric
@attribute Shell_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
F,0.291,0.195,15
M,0.416,0.4405,15
F,0.6805,0.512,15
M,0.2015,0.19,15
F,0.2125,0.24,15
M,0.341,0.255,15
M,0.2605,0.19,15
M,0.485,0.34,15
F,0.456,0.49,15
M,0.432,0.26,15
M,0.377,0.29,15
I,0.2865,0.205,15
M,0.588,0.485,15
M,0.6535,0.58,15
F,0.3605,0.36,15
F,0.469,0.41,15
M,0.3925,0.31,15
M,0.428,0.315,15
M,0.4865,0.315,15
F,0.358,0.34,15
M,0.298,0.265,15
F,0.213,0.215,15
I,0.6025,0.42,15
F,0.5985,0.495,15
M,0.751,0.685,15
F,0.422,0.33,15
M,0.2245,0.15,15
F,0.378,0.36,15
F,0.605,0.365,15
F,0.51,0.39,15
M,0.1,0.1135,15
I,0.5265,0.315,15
F,0.4425,0.28,15
M,0.578,0.39,15
F,0.5235,0.36,15
M,0.3895,0.37,15
M,0.56,0.45,15
M,0.3785,0.24,15
M,0.327,0.335,15
F,0.2695,0.205,15
I,0.309,0.3,15
F,0.6055,0.46,15
I,0.2105,0.26,15
F,0.261,0.165,15
F,0.2475,0.1595,15
F,0.6465,0.52,15
F,0.1725,0.195,15
F,0.242,0.179,15
M,0.644,0.406,15
I,0.2315,0.255,15
F,0.3345,0.24,15
M,0.435,0.325,15
M,0.4415,0.325,15
M,0.242,0.1835,15
M,0.328,0.255,15
M,0.3815,0.365,15
F,0.4485,0.345,15
M,0.344,0.255,15
M,0.4445,0.375,15
M,0.2055,0.1085,15
F,0.587,0.41,15
F,0.3535,0.205,15
I,0.214,0.14,15
M,0.486,0.415,15
M,0.487,0.48,15
I,0.2105,0.175,15
M,0.2015,0.25,15
F,0.391,0.42,15
M,0.3295,0.2905,15
M,0.394,0.295,15
I,0.2085,0.1655,15
M,0.3865,0.295,15
F,0.4695,0.27,15
I,0.4805,0.33,15
F,0.406,0.285,15
F,0.391,0.355,15
F,0.5655,0.295,15
F,0.464,0.365,15
F,0.392,0.29,15
M,0.5265,0.455,15
M,0.503,0.295,15
F,0.215,0.17,15
M,0.3755,0.385,15
F,0.314,0.3,15
M,0.3835,0.37,15
M,0.5905,0.453,15
F,0.6935,0.47,15
M,0.275,0.225,15
M,0.579,0.5195,15
M,0.316,0.335,15
F,0.2935,0.245,15
F,0.2505,0.195,15
M,0.4565,0.34,15
I,0.2175,0.1165,7
I,0.0945,0.0425,7
M,0.4075,0.214,7
I,0.165,0.067,7
M,0.274,0.1485,7
I,0.0895,0.055,7
M,0.402,0.189,7
M,0.073,0.077,7
I,0.2835,0.175,7
I,0.1145,0.085,7
I,0.1635,0.166,7
I,0.089,0.075,7
I,0.306,0.141,7
I,0.209,0.103,7
I,0.196,0.1265,7
I,0.259,0.157,7
I,0.23,0.12,7
I,0.0645,0.075,7
M,0.134,0.125,7
F,0.1165,0.0835,7
I,0.14,0.082,7
I,0.1275,0.077,7
I,0.096,0.048,7
M,0.4225,0.156,7
I,0.106,0.085,7
M,0.1365,0.11,7
I,0.1865,0.0975,7
I,0.0675,0.045,7
I,0.095,0.115,7
F,0.1555,0.1405,7
F,0.194,0.13,7
I,0.187,0.067,7
I,0.0305,0.03,7
M,0.4915,0.348,7
I,0.2355,0.1895,7
M,0.1335,0.1,7
I,0.2015,0.13,7
I,0.177,0.15,7
I,0.2505,0.154,7
M,0.336,0.19,7
I,0.1635,0.09,7
I,0.246,0.145,7
I,0.1505,0.0795,7
F,0.0585,0.045,7
I,0.097,0.08,7
M,0.4695,0.263,7
I,0.129,0.11,7
I,0.096,0.0585,7
M,0.1545,0.095,7
I,0.0825,0.06,7
I,0.274,0.1065,7
M,0.235,0.141,7
I,0.086,0.068,7
I,0.2315,0.113,7
I,0.09,0.06,7
I,0.162,0.1045,7
M,0.2665,0.121,7
I,0.165,0.0805,7
M,0.199,0.117,7
M,0.403,0.17,7
I,0.103,0.085,7
I,0.233,0.136,7
I,0.1305,0.09,7
I,0.114,0.11,7
I,0.058,0.047,7
I,0.108,0.0735,7
I,0.2365,0.123,7
