@relation abalone

@attribute Sex {M,F,I}
@attribute Diameter numeric
@attribute Whole_weight numeric
@attribute Shucked_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
M,0.475,0.9365,0.394,15
M,0.515,1.5165,0.578,15
I,0.35,0.525,0.2085,15
M,0.415,1.042,0.3295,15
I,0.36,0.498,0.214,15
M,0.325,0.2885,0.1,15
M,0.4,0.7775,0.2015,15
F,0.395,0.6515,0.2695,15
I,0.39,0.5825,0.2315,15
M,0.465,0.849,0.3785,15
F,0.48,0.975,0.358,15
F,0.495,1.437,0.469,15
F,0.425,0.7995,0.3345,15
F,0.4,0.6515,0.261,15
F,0.36,0.537,0.1725,15
M,0.45,1.011,0.3835,15
M,0.435,0.858,0.377,15
M,0.495,1.2415,0.485,15
F,0.535,1.773,0.6805,15
F,0.56,1.639,0.6055,15
F,0.415,0.783,0.2935,15
F,0.41,0.657,0.291,15
M,0.47,1.1405,0.3755,15
M,0.405,1.2565,0.435,15
F,0.46,1.094,0.4485,15
F,0.515,1.2415,0.5235,15
M,0.495,1.5145,0.579,15
F,0.4,0.759,0.2125,15
M,0.47,1.114,0.3925,15
F,0.545,1.5415,0.5985,15
M,0.39,0.592,0.242,15
M,0.35,0.5755,0.2015,15
F,0.47,1.0325,0.3605,15
F,0.47,1.115,0.378,15
F,0.495,1.213,0.464,15
M,0.565,1.521,0.644,15
F,0.405,0.829,0.3535,15
M,0.435,0.843,0.328,15
M,0.41,0.99,0.3865,15
F,0.37,0.5885,0.2475,15
F,0.49,1.1775,0.5655,15
F,0.54,1.221,0.51,15
F,0.39,0.5555,0.213,15
F,0.475,1.0075,0.4425,15
M,0.49,1.194,0.4445,15
M,0.5,1.1045,0.4565,15
M,0.53,1.3905,0.5905,15
M,0.545,1.2425,0.487,15
I,0.405,0.6765,0.2865,15
M,0.465,0.995,0.3895,15
F,0.53,1.3955,0.456,15
M,0.53,1.2635,0.486,15
M,0.455,1.055,0.3815,15
I,0.485,1.208,0.4805,15
M,0.475,1.053,0.4415,15
F,0.45,1.0035,0.406,15
M,0.4,0.6605,0.2605,15
F,0.44,1.0905,0.391,15
F,0.39,0.6355,0.2505,15
M,0.47,1.105,0.4865,15
M,0.4,0.823,0.298,15
F,0.505,1.415,0.605,15
M,0.365,0.514,0.2245,15
F,0.375,0.604,0.242,15
M,0.51,1.598,0.6535,15
M,0.425,0.8115,0.341,15
M,0.495,1.4935,0.5265,15
M,0.46,0.906,0.327,15
M,0.57,2.033,0.751,15
M,0.435,0.883,0.316,15
M,0.45,0.922,0.432,15
F,0.575,1.555,0.6465,15
F,0.5,1.626,0.587,15
M,0.44,1.092,0.416,15
I,0.455,0.8435,0.309,15
F,0.475,1.0185,0.4695,15
M,0.42,0.72,0.275,15
F,0.48,1.0675,0.391,15
M,0.56,1.494,0.588,15
F,0.435,1.106,0.422,15
F,0.47,1.031,0.392,15
F,0.4,0.6245,0.215,15
M,0.49,1.153,0.503,15
I,0.525,1.6935,0.6025,15
I,0.38,0.523,0.2105,15
M,0.475,1.116,0.428,15
I,0.415,0.595,0.2105,15
I,0.515,1.25,0.5265,15
M,0.44,0.909,0.344,15
M,0.345,0.476,0.2055,15
F,0.54,1.5715,0.6935,15
M,0.505,1.525,0.56,15
F,0.415,0.8415,0.314,15
I,0.2,0.1035,0.0475,7
I,0.275,0.24,0.108,7
F,0.375,0.4915,0.2205,7
I,0.31,0.301,0.1385,7
I,0.29,0.3,0.158,7
I,0.36,0.466,0.2225,7
I,0.335,0.3935,0.195,7
I,0.33,0.38,0.197,7
M,0.335,0.397,0.1985,7
