@relation abalone

@attribute Length numeric
@attribute Whole_weight numeric
@attribute Shell_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
0.655,1.25,0.315,15
0.57,0.849,0.24,15
0.605,1.114,0.31,15
0.555,1.092,0.4405,15
0.525,0.7995,0.24,15
0.52,0.823,0.265,15
0.48,0.5825,0.255,15
0.7,1.773,0.512,15
0.52,0.6765,0.205,15
0.67,1.5415,0.495,15
0.55,0.843,0.255,15
0.505,0.6515,0.205,15
0.62,1.0325,0.36,15
0.5,0.604,0.179,15
0.655,1.2635,0.415,15
0.59,1.1045,0.34,15
0.64,1.221,0.39,15
0.675,1.6885,0.6,15
0.6,1.0075,0.28,15
0.48,0.5885,0.1595,15
0.52,0.6515,0.165,15
0.695,2.033,0.685,15
0.61,1.0675,0.42,15
0.575,1.094,0.345,15
0.6,1.031,0.29,15
0.66,1.791,0.54,15
0.55,1.042,0.2905,15
0.585,1.055,0.365,15
0.59,1.053,0.325,15
0.625,0.953,0.305,15
0.52,0.6245,0.17,15
0.585,1.2565,0.325,15
0.52,0.829,0.205,15
0.65,1.2425,0.48,15
0.64,1.194,0.375,15
0.53,0.783,0.245,15
0.535,0.8415,0.3,15
0.56,1.106,0.33,15
0.42,0.2885,0.1135,15
0.625,1.2415,0.36,15
0.545,0.744,0.25,15
0.645,1.4935,0.455,15
0.52,0.595,0.26,15
0.48,0.759,0.24,15
0.565,1.0035,0.285,15
0.465,0.5555,0.215,15
0.465,0.498,0.14,15
0.61,1.1775,0.295,15
0.6,1.105,0.315,15
0.635,1.467,0.42,15
0.61,1.213,0.365,15
0.525,0.99,0.295,15
0.455,0.514,0.15,15
0.645,1.626,0.41,15
0.635,1.415,0.365,15
0.605,1.437,0.41,15
0.495,0.7775,0.25,15
0.555,0.8435,0.3,15
0.62,1.5145,0.5195,15
0.49,0.592,0.1835,15
0.595,0.975,0.34,15
0.555,0.858,0.29,15
0.47,0.537,0.195,15
0.56,1.011,0.37,15
0.54,1.0905,0.355,15
0.505,0.6775,0.2,15
0.485,0.605,0.18,15
0.62,1.208,0.33,15
0.62,1.115,0.36,15
0.565,0.995,0.37,15
0.515,0.695,0.234,15
0.605,0.9365,0.295,15
0.53,0.883,0.335,15
0.565,0.909,0.255,15
0.5,0.6355,0.195,15
0.71,1.555,0.52,15
0.695,1.5165,0.39,15
0.48,0.523,0.175,15
0.605,1.153,0.295,15
0.57,1.0615,0.31,15
0.69,1.5715,0.47,15
0.59,0.906,0.335,15
0.695,1.494,0.485,15
0.61,1.116,0.315,15
0.605,1.0185,0.27,15
