@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R3,5-6,8-9'

@attribute Diameter numeric
@attribute Whole_weight numeric
@attribute Shucked_weight numeric
@attribute Shell_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
0.35,0.406,0.1675,0.135,10
0.28,0.2905,0.095,0.115,7
0.55,1.798,0.815,0.455,19
0.475,1.217,0.5305,0.34,16
0.15,0.042,0.0175,0.015,4
0.39,0.5305,0.2135,0.17,10
0.45,1.013,0.38,0.36,14
0.495,1.262,0.507,0.39,10
0.435,0.843,0.328,0.255,15
0.295,0.2535,0.103,0.085,7
0.26,0.1915,0.085,0.062,7
0.2,0.0975,0.04,0.028,7
0.515,1.3715,0.5065,0.45,10
0.485,1.0565,0.37,0.355,10
0.405,0.722,0.32,0.21,10
0.45,0.922,0.432,0.26,15
0.3,0.324,0.1265,0.11,7
0.305,0.32,0.1305,0.105,8
0.175,0.0645,0.026,0.02,5
0.47,1.1235,0.4205,0.36,13
0.415,0.879,0.295,0.285,10
0.28,0.234,0.0905,0.075,9
0.455,0.8365,0.315,0.32,18
0.28,0.2255,0.0885,0.09,8
0.6,1.974,0.598,0.71,16
0.45,1.0035,0.406,0.285,15
0.51,1.3475,0.4775,0.48,14
0.515,1.275,0.509,0.34,16
0.48,1.029,0.4085,0.295,16
0.42,0.791,0.33,0.25,10
0.38,0.5865,0.2385,0.185,8
0.5,1.015,0.3995,0.33,19
0.345,0.366,0.122,0.12,13
0.305,0.252,0.0915,0.09,14
0.455,0.714,0.283,0.275,9
0.435,0.9815,0.329,0.39,13
0.455,0.9265,0.354,0.375,16
0.47,0.8375,0.3485,0.24,11
0.28,0.199,0.0695,0.08,9
0.185,0.0715,0.026,0.025,6
0.165,0.0545,0.0215,0.02,5
0.125,0.0235,0.008,0.008,5
0.4,0.9325,0.3605,0.3,17
0.46,0.921,0.357,0.29,13
0.51,1.2895,0.5345,0.41,11
0.53,1.2635,0.486,0.415,15
0.44,0.854,0.3665,0.245,12
0.445,0.8735,0.3005,0.275,16
0.15,0.0385,0.0155,0.01,3
0.355,0.458,0.192,0.13,13
0.515,1.1625,0.495,0.33,17
0.49,0.9885,0.4145,0.345,13
0.4,0.66,0.267,0.22,13
0.32,0.387,0.165,0.0985,11
0.455,1.066,0.382,0.415,20
0.425,0.806,0.376,0.245,14
0.335,0.4625,0.164,0.15,14
0.29,0.25,0.111,0.075,9
0.495,1.054,0.369,0.36,12
0.355,0.433,0.1525,0.152,12
0.225,0.1295,0.0455,0.044,9
0.17,0.0515,0.018,0.0195,7
0.365,0.49,0.223,0.1335,9
0.35,0.4885,0.193,0.155,11
0.245,0.1665,0.0595,0.06,6
0.425,0.9175,0.2775,0.335,13
0.395,0.64,0.158,0.245,22
0.325,0.3865,0.1475,0.11,11
0.4,0.8295,0.2405,0.275,11
0.4,0.823,0.298,0.265,15
0.41,0.862,0.2855,0.32,14
0.345,0.3795,0.143,0.125,10
0.385,0.6595,0.2485,0.16,9
0.455,1.1365,0.369,0.275,13
0.34,0.462,0.1675,0.12,9
0.335,0.394,0.157,0.122,9
0.4,0.759,0.2125,0.24,15
0.395,0.7635,0.3375,0.225,8
0.405,0.891,0.4815,0.202,9
0.455,0.952,0.3895,0.2745,9
0.495,1.29,0.606,0.3445,11
0.5,1.376,0.6495,0.31,10
0.58,2.0805,0.959,0.601,17
0.525,1.4785,0.628,0.42,9
0.345,0.4415,0.1755,0.12,7
0.365,0.612,0.327,0.14,8
0.39,0.674,0.3165,0.1785,9
0.39,0.685,0.362,0.156,8
0.41,0.796,0.3865,0.1955,8
0.39,0.7125,0.3695,0.155,7
0.46,0.9035,0.4075,0.214,7
0.46,1.0515,0.4095,0.276,8
0.47,1.2315,0.6025,0.2925,11
0.51,1.3315,0.594,0.388,11
0.495,1.304,0.57,0.3725,9
0.51,1.6525,0.8515,0.403,10
0.475,1.3695,0.641,0.335,6
0.525,1.7005,0.8255,0.405,8
0.155,0.0435,0.0155,0.007,4
0.195,0.084,0.0365,0.025,7
0.33,0.411,0.1945,0.098,6
0.35,0.4155,0.18,0.1175,7
0.38,0.4845,0.211,0.142,6
0.375,0.5495,0.248,0.1585,7
0.39,0.5445,0.246,0.1405,7
0.38,0.5155,0.215,0.166,8
0.4,0.601,0.2625,0.1835,9
0.395,0.608,0.297,0.1405,8
0.4,0.617,0.279,0.19,8
0.47,0.869,0.435,0.238,9
0.475,1.0265,0.485,0.2565,9
0.51,1.415,0.5885,0.364,10
0.575,2.273,1.095,0.638,12
0.55,1.219,0.6395,0.301,9
0.575,1.8795,0.931,0.4825,12
0.27,0.215,0.1,0.065,6
0.275,0.256,0.11,0.0755,6
0.27,0.2985,0.1445,0.082,5
0.325,0.3335,0.173,0.1,7
0.33,0.448,0.208,0.12,9
0.345,0.4005,0.164,0.126,8
0.365,0.411,0.175,0.135,8
0.38,0.441,0.1785,0.1505,8
0.365,0.461,0.2205,0.135,8
0.405,0.6015,0.3015,0.18,8
0.38,0.594,0.2595,0.18,7
0.43,0.7665,0.341,0.23,9
0.45,0.751,0.2825,0.2215,10
0.46,1.4395,0.6715,0.2955,10
0.475,1.0505,0.48,0.285,10
0.48,1.014,0.451,0.325,11
0.47,1.0835,0.5405,0.275,12
0.475,1.1295,0.463,0.33,10
0.505,1.15,0.5475,0.3045,11
0.495,1.211,0.707,0.323,9
0.525,1.5365,0.6865,0.405,11
0.51,1.567,0.7245,0.391,10
0.52,1.4545,0.6,0.383,10
0.575,1.9335,0.913,0.51,13
0.355,0.436,0.1975,0.125,8
0.355,0.3685,0.126,0.1365,6
0.38,0.6855,0.361,0.161,9
0.41,0.7405,0.3565,0.203,9
0.46,0.9155,0.4005,0.2385,8
0.465,1.259,0.6405,0.357,9
0.48,1.0725,0.4815,0.312,9
0.5,1.1105,0.467,0.329,10
0.485,1.175,0.475,0.215,8
0.5,1.519,0.616,0.415,10
0.5,1.741,0.7665,0.4685,12
0.55,1.684,0.7535,0.32,11
0.575,2.21,1.351,0.5015,13
0.27,0.1775,0.079,0.054,6
0.265,0.1845,0.083,0.055,7
0.285,0.243,0.0895,0.075,7
0.37,0.4365,0.188,0.147,9
0.355,0.499,0.21,0.155,8
0.375,0.6025,0.2935,0.16,7
0.41,0.646,0.2965,0.165,9
0.39,0.664,0.3115,0.178,9
0.43,0.831,0.4245,0.219,10
0.445,0.867,0.3705,0.28,9
0.45,0.78,0.3275,0.235,9
0.48,0.9175,0.38,0.29,8
0.48,1.0645,0.4495,0.325,10
0.47,1.059,0.504,0.275,9
0.475,0.884,0.3835,0.27,8
