@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R1,5-6,8-9'

@attribute Sex {M,F,I}
@attribute Whole_weight numeric
@attribute Shucked_weight numeric
@attribute Shell_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
M,0.516,0.2155,0.155,10
I,0.205,0.0895,0.055,7
I,0.3515,0.141,0.12,8
F,0.7775,0.237,0.33,20
F,0.4755,0.1675,0.185,10
M,0.3275,0.134,0.09,9
M,0.5795,0.293,0.14,9
I,0.161,0.0755,0.045,6
M,0.385,0.173,0.11,7
M,0.8115,0.341,0.255,15
M,0.214,0.09,0.07,6
I,0.238,0.1075,0.07,6
I,0.2505,0.112,0.08,8
M,1.7255,0.63,0.54,19
F,0.3555,0.151,0.117,9
I,0.127,0.052,0.042,9
M,1.053,0.4415,0.325,15
F,2.141,0.65,1.005,18
M,2.55,1.0705,0.725,14
I,0.048,0.0185,0.015,5
M,0.9395,0.399,0.295,14
F,0.644,0.285,0.21,11
M,1.3035,0.4445,0.465,16
I,0.3795,0.1495,0.12,8
M,0.6155,0.241,0.205,9
I,0.205,0.078,0.07,7
I,0.435,0.1815,0.125,12
I,0.1585,0.0635,0.05,13
I,0.156,0.0675,0.045,7
F,1.1015,0.4775,0.295,13
I,0.095,0.0445,0.026,4
M,1.187,0.412,0.37,16
M,1.525,0.56,0.45,15
M,1.844,0.7425,0.585,22
M,1.484,0.55,0.43,20
M,0.4775,0.132,0.19,9
M,1.116,0.428,0.315,15
M,1.0575,0.384,0.375,26
F,0.892,0.322,0.335,13
I,0.172,0.066,0.06,6
F,0.3185,0.134,0.095,8
F,0.568,0.2325,0.17,12
M,0.707,0.2795,0.18,13
F,0.997,0.392,0.34,12
M,0.887,0.4405,0.265,11
F,1.566,0.6645,0.415,16
F,1.31,0.5095,0.42,14
I,0.3215,0.1535,0.105,10
F,0.5885,0.27,0.175,9
F,0.5785,0.2465,0.2,13
I,0.101,0.036,0.035,8
I,0.2335,0.095,0.085,10
F,1.7445,0.5975,0.625,17
F,1.8075,0.7055,0.475,29
M,1.073,0.475,0.285,14
M,0.024,0.0095,0.005,4
M,0.24,0.0885,0.085,9
F,0.38,0.1695,0.11,9
F,0.795,0.3605,0.23,12
I,0.514,0.2075,0.155,13
F,0.7335,0.2795,0.2185,11
I,0.406,0.1685,0.096,12
I,0.8865,0.383,0.255,11
F,1.3675,0.5015,0.515,17
I,0.874,0.3585,0.205,18
I,0.8525,0.3015,0.3,13
M,0.1905,0.081,0.055,6
M,0.173,0.0795,0.05,7
M,0.3715,0.1605,0.105,9
I,0.466,0.1845,0.145,11
I,1.626,0.597,0.53,18
F,0.3915,0.154,0.12,7
I,0.019,0.0065,0.005,4
M,0.2905,0.1215,0.0875,12
F,0.4525,0.18,0.123,9
I,0.176,0.0595,0.063,7
I,0.1135,0.045,0.0335,7
M,0.8665,0.2825,0.29,18
M,0.6565,0.262,0.175,10
F,1.122,0.347,0.315,13
F,0.9805,0.3155,0.2965,11
I,0.521,0.2,0.17,8
M,1.042,0.3295,0.2905,15
M,0.9215,0.3275,0.256,12
M,0.349,0.119,0.115,10
M,0.4405,0.152,0.155,9
I,0.22,0.094,0.065,7
F,0.6835,0.165,0.205,21
I,0.306,0.13,0.094,6
I,0.378,0.1795,0.089,7
M,1.3445,0.549,0.36,11
I,0.2225,0.104,0.055,7
I,0.3645,0.1575,0.105,7
F,0.4355,0.2025,0.1195,6
I,0.497,0.2355,0.1295,6
F,0.582,0.29,0.146,8
M,0.6015,0.312,0.14,7
M,0.649,0.32,0.1695,8
M,0.61,0.272,0.144,7
M,0.7325,0.334,0.17,11
M,1.1935,0.513,0.343,10
F,1.103,0.538,0.249,9
M,1.1625,0.565,0.3085,11
F,1.3075,0.599,0.315,11
F,1.4325,0.684,0.336,8
F,1.528,0.69,0.441,11
M,1.607,0.7245,0.498,12
M,1.872,0.893,0.48,10
F,1.8385,0.8035,0.503,10
M,1.9525,0.7645,0.4135,10
I,0.2325,0.1165,0.065,6
M,0.5225,0.235,0.141,7
I,0.5545,0.288,0.167,8
M,0.7835,0.4225,0.156,7
F,0.84,0.395,0.223,8
M,0.8995,0.464,0.234,9
M,1.114,0.4765,0.265,8
M,1.1915,0.696,0.24,8
M,1.1175,0.555,0.274,9
F,2.236,1.109,0.545,11
I,0.139,0.0565,0.09,6
I,0.1785,0.0855,0.0525,8
I,0.213,0.0945,0.06,7
I,0.302,0.152,0.0735,7
I,0.2645,0.1265,0.075,6
I,0.301,0.1385,0.08,7
I,0.4725,0.2065,0.132,8
I,0.6215,0.2925,0.195,9
I,0.7285,0.302,0.2545,10
M,0.8705,0.407,0.255,9
I,0.688,0.3095,0.2165,9
M,0.7955,0.405,0.204,10
M,0.9145,0.4555,0.235,9
M,1.409,0.8,0.295,10
F,1.023,0.4905,0.3035,12
M,1.082,0.4955,0.315,9
F,1.3205,0.5945,0.345,9
M,1.3585,0.6395,0.365,10
F,2.25,1.1565,0.558,9
I,0.2215,0.105,0.0605,7
I,0.247,0.1225,0.0675,5
I,0.3025,0.143,0.0765,5
I,0.4465,0.213,0.1135,9
I,0.5625,0.25,0.17,7
M,0.906,0.4095,0.2335,8
M,1.308,0.544,0.377,8
M,1.466,0.677,0.4,10
M,0.464,0.221,0.239,8
I,0.4615,0.204,0.143,8
I,0.624,0.3035,0.169,8
I,0.616,0.261,0.1935,8
I,0.6025,0.281,0.162,7
I,0.4725,0.1815,0.138,9
I,0.615,0.261,0.175,8
I,0.6275,0.2505,0.235,9
I,0.5585,0.222,0.17,9
M,0.795,0.3385,0.245,9
I,0.7405,0.306,0.1825,12
I,0.807,0.3615,0.254,10
I,0.7095,0.303,0.235,9
M,1.207,0.559,0.309,10
M,1.194,0.5625,0.2635,10
M,1.0845,0.5005,0.3105,10
M,1.33,0.6665,0.317,9
F,1.5175,0.711,0.415,12
M,1.5505,0.6505,0.495,10
M,1.4535,0.592,0.4125,10
F,1.5805,0.802,0.435,10
I,0.7615,0.362,0.209,10
I,0.869,0.3085,0.319,9
M,0.7545,0.3495,0.2105,8
F,1.1185,0.5425,0.2845,9
F,1.205,0.543,0.3345,10
I,0.8915,0.3975,0.253,8
M,1.7395,0.5715,0.3075,10
M,1.726,0.7625,0.455,11
I,0.2805,0.114,0.0975,6
I,0.311,0.1125,0.115,8
I,0.5095,0.2065,0.165,8
