@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R3,9'

@attribute Diameter numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
0.365,10
0.255,7
0.3,8
0.415,20
0.355,10
0.29,9
0.37,9
0.245,6
0.31,7
0.425,15
0.265,6
0.275,6
0.29,8
0.535,19
0.325,9
0.205,9
0.475,15
0.56,18
0.57,14
0.16,5
0.48,14
0.41,11
0.5,16
0.34,8
0.405,9
0.27,7
0.35,12
0.245,13
0.245,7
0.475,13
0.195,4
0.5,16
0.505,15
0.54,22
0.525,20
0.355,9
0.475,15
0.495,26
0.435,13
0.255,6
0.325,8
0.375,12
0.39,13
0.465,12
0.465,11
0.545,16
0.575,14
0.325,10
0.365,9
0.39,13
0.225,8
0.275,10
0.55,17
0.585,29
0.455,14
0.125,4
0.3,9
0.335,9
0.45,12
0.37,13
0.415,11
0.33,12
0.445,11
0.48,17
0.41,18
0.455,13
0.26,6
0.24,7
0.34,9
0.35,11
0.525,18
0.325,7
0.11,4
0.285,12
0.33,9
0.25,7
0.205,7
0.425,18
0.39,10
0.46,13
0.455,11
0.375,8
0.415,15
0.45,12
0.335,10
0.33,9
0.275,7
0.365,21
0.31,6
0.325,7
0.475,11
0.25,7
0.325,7
0.335,6
0.375,6
0.365,8
0.365,7
0.385,8
0.4,7
0.4,11
0.45,10
0.46,9
0.47,11
0.495,11
0.505,8
0.505,11
0.535,12
0.505,10
0.535,10
0.565,10
0.275,6
0.465,7
0.38,8
0.39,7
0.43,8
0.43,9
0.455,8
0.455,8
0.475,9
0.57,11
0.225,6
0.255,8
0.265,7
0.3,7
0.285,6
0.31,7
0.355,8
0.395,9
0.43,10
0.44,9
0.425,9
0.455,10
0.465,9
0.47,10
0.475,12
0.455,9
0.485,9
0.49,10
0.57,9
0.265,7
0.3,5
0.295,5
0.365,9
0.4,7
0.455,8
0.51,8
0.515,10
0.355,8
0.375,8
0.4,8
0.4,8
0.395,7
0.36,9
0.38,8
0.42,9
0.395,9
0.45,9
0.445,12
0.45,10
0.445,9
0.49,10
0.47,10
0.475,10
0.51,9
0.535,12
0.53,10
0.52,10
0.54,10
0.325,10
0.345,9
0.41,8
0.385,9
0.38,10
0.45,8
0.485,10
0.53,11
0.31,6
0.31,8
0.38,8
0.395,9
0.455,11
0.465,9
0.44,10
0.48,8
0.47,9
0.495,11
0.505,11
0.5,12
0.53,11
0.485,11
0.52,16
0.52,10
0.51,11
0.515,11
0.51,11
0.55,11
0.575,13
0.57,11
0.55,11
0.27,9
0.385,7
0.385,8
0.385,10
0.42,9
0.44,9
0.585,11
0.31,10
0.455,9
0.42,14
0.565,17
0.15,5
0.48,15
0.37,12
0.48,18
0.465,17
0.455,14
0.4,9
0.365,9
0.455,12
0.415,13
0.455,17
0.45,12
0.475,19
0.27,6
0.265,7
0.47,16
0.435,17
0.345,11
0.55,13
0.455,11
0.47,11
0.185,6
0.125,6
0.505,12
0.57,19
0.325,8
0.375,10
0.33,13
0.515,15
0.43,12
0.365,12
0.19,6
0.255,9
0.17,6
0.35,14
0.425,13
0.39,12
0.31,6
0.375,8
0.39,7
0.48,9
0.195,4
0.22,6
0.225,6
0.235,7
0.295,7
0.325,7
0.325,6
0.355,7
0.49,8
0.495,11
0.52,9
0.54,8
0.55,10
0.525,12
0.34,7
0.395,9
0.42,7
0.42,7
0.455,8
0.48,10
0.505,11
0.515,10
0.525,10
0.575,12
0.315,8
0.325,8
0.43,10
0.465,9
0.465,10
0.455,8
0.505,12
0.525,9
0.375,8
0.405,7
0.425,8
0.435,9
0.475,10
0.475,10
0.28,5
0.28,7
0.315,8
0.385,8
0.375,8
0.375,8
0.4,8
0.405,10
0.46,10
0.5,9
0.45,10
0.485,10
0.51,7
0.51,10
0.33,6
0.44,9
0.43,11
0.51,9
0.525,11
0.545,11
0.285,8
0.445,9
0.495,11
0.5,9
0.485,11
0.555,11
0.17,5
0.395,11
0.34,7
0.46,10
0.515,11
0.505,11
0.45,14
0.41,9
0.195,8
0.515,13
0.215,8
0.305,9
0.35,9
0.535,14
0.435,13
0.375,8
0.35,7
0.435,13
0.45,11
0.57,13
0.575,15
0.2,5
0.2,7
0.37,15
0.32,11
0.215,5
0.445,20
0.315,9
0.375,14
0.515,19
0.46,9
0.55,13
0.27,6
0.3,8
0.44,8
0.47,8
0.345,6
0.505,9
0.52,11
0.525,10
0.525,12
0.265,9
0.435,8
0.35,7
0.425,10
0.47,9
0.48,10
0.495,14
0.46,9
0.5,9
0.53,10
0.22,5
0.335,9
0.39,9
0.425,9
0.44,10
0.46,10
0.52,10
0.525,13
0.54,9
0.53,9
0.55,11
0.505,10
0.525,12
0.205,5
0.425,9
0.46,10
0.45,8
0.5,10
0.51,10
0.56,11
0.58,12
0.155,3
0.37,10
0.235,5
0.39,15
0.34,8
0.45,16
0.355,10
0.105,4
0.18,4
0.42,14
0.41,13
0.51,10
0.6,10
0.6,12
0.465,8
0.48,10
0.525,9
0.58,10
0.245,6
0.365,8
0.5,10
0.51,11
0.3,6
0.45,8
0.43,8
0.51,11
0.45,11
0.495,10
0.605,11
0.45,11
