@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R1,3,9'

@attribute Sex {M,F,I}
@attribute Diameter numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
M,0.265,7
M,0.38,11
F,0.425,14
M,0.32,7
M,0.36,10
F,0.36,10
F,0.4,7
F,0.495,13
F,0.45,13
F,0.475,15
F,0.47,10
M,0.47,12
F,0.375,11
M,0.305,8
M,0.455,11
F,0.38,10
M,0.35,10
M,0.485,12
F,0.395,7
F,0.4,10
F,0.345,9
M,0.335,8
I,0.28,7
F,0.365,10
I,0.09,3
I,0.12,5
I,0.255,8
M,0.275,8
I,0.285,7
M,0.38,14
F,0.4,17
F,0.505,12
M,0.435,10
M,0.52,13
M,0.375,12
M,0.425,10
M,0.42,12
M,0.355,8
F,0.495,14
F,0.47,15
F,0.455,21
F,0.45,18
I,0.275,7
I,0.295,10
F,0.455,18
F,0.555,17
F,0.54,15
F,0.465,12
F,0.405,11
F,0.35,9
F,0.485,19
M,0.22,6
M,0.195,6
M,0.23,4
I,0.26,9
I,0.37,12
M,0.195,8
F,0.5,12
F,0.53,13
I,0.4,13
F,0.49,11
I,0.355,13
F,0.52,19
F,0.315,10
M,0.24,9
M,0.255,10
M,0.265,10
I,0.36,9
M,0.265,8
M,0.235,7
F,0.4,13
I,0.33,11
F,0.305,12
M,0.415,12
F,0.38,23
M,0.375,10
M,0.325,10
I,0.11,3
F,0.36,17
M,0.4,13
F,0.4,15
F,0.42,14
M,0.415,20
F,0.52,17
M,0.42,14
F,0.445,13
F,0.36,15
F,0.39,9
F,0.34,10
I,0.25,7
I,0.25,6
I,0.27,6
I,0.275,7
I,0.29,6
I,0.35,8
F,0.41,9
M,0.435,9
F,0.48,10
F,0.48,8
F,0.56,11
I,0.33,6
I,0.34,6
I,0.325,7
I,0.35,7
I,0.37,7
M,0.375,6
M,0.36,8
M,0.405,7
F,0.45,11
F,0.46,9
F,0.5,9
F,0.5,10
M,0.52,11
M,0.565,11
I,0.18,5
I,0.265,5
I,0.345,7
I,0.35,6
I,0.42,10
F,0.45,10
M,0.45,9
F,0.45,9
M,0.47,9
F,0.495,9
F,0.505,9
F,0.56,11
M,0.535,10
M,0.505,12
F,0.625,11
I,0.375,6
I,0.205,5
I,0.245,7
I,0.25,6
I,0.28,5
I,0.3,7
I,0.295,8
I,0.29,5
I,0.34,9
F,0.365,8
I,0.395,8
I,0.4,9
I,0.415,8
M,0.43,9
I,0.425,9
I,0.425,9
M,0.435,10
F,0.48,9
F,0.465,10
M,0.475,10
M,0.46,10
M,0.47,10
M,0.5,10
I,0.505,11
F,0.505,11
F,0.59,11
M,0.535,13
M,0.555,11
I,0.32,5
I,0.34,6
I,0.43,9
F,0.43,8
M,0.445,8
F,0.435,9
M,0.48,11
F,0.515,9
M,0.505,10
M,0.565,12
I,0.17,5
I,0.355,7
I,0.39,8
M,0.415,8
I,0.43,10
I,0.4,7
I,0.375,8
I,0.425,8
M,0.47,10
M,0.445,9
M,0.47,9
I,0.485,12
F,0.48,9
I,0.47,12
M,0.505,9
F,0.49,9
M,0.505,10
M,0.52,12
M,0.505,12
M,0.52,11
F,0.545,11
F,0.565,11
F,0.355,8
F,0.455,10
F,0.515,11
I,0.26,6
I,0.34,9
I,0.43,9
M,0.455,9
F,0.47,11
M,0.475,10
F,0.465,11
F,0.495,12
M,0.52,9
M,0.535,10
M,0.545,13
I,0.21,6
I,0.25,6
M,0.395,12
M,0.44,11
F,0.41,9
F,0.515,14
F,0.305,7
I,0.305,9
M,0.3,7
M,0.29,9
I,0.355,9
F,0.325,9
M,0.355,10
M,0.495,17
I,0.115,4
M,0.465,10
F,0.47,14
F,0.42,21
M,0.385,14
M,0.47,11
I,0.22,6
F,0.35,10
F,0.46,8
F,0.45,14
M,0.48,13
F,0.32,11
M,0.395,12
I,0.45,14
F,0.475,18
F,0.455,11
M,0.375,13
F,0.35,13
M,0.395,14
I,0.325,8
F,0.305,10
M,0.395,13
F,0.425,15
F,0.43,13
M,0.4,11
M,0.475,19
F,0.47,15
F,0.595,16
I,0.325,12
M,0.245,7
I,0.305,9
F,0.385,10
M,0.255,9
F,0.5,18
F,0.485,11
F,0.4,15
F,0.26,9
I,0.21,5
I,0.365,10
M,0.45,11
M,0.49,10
F,0.5,8
F,0.49,10
F,0.55,9
I,0.17,4
I,0.22,5
I,0.335,7
F,0.405,8
F,0.445,9
F,0.46,8
I,0.375,8
I,0.42,8
M,0.49,10
M,0.51,10
M,0.465,8
M,0.55,13
F,0.53,11
I,0.175,4
I,0.26,5
I,0.275,7
I,0.305,7
I,0.325,8
I,0.36,9
I,0.345,8
I,0.355,7
I,0.365,8
I,0.365,10
I,0.435,11
F,0.435,9
F,0.425,9
I,0.42,9
M,0.475,10
M,0.45,9
M,0.5,10
M,0.525,10
I,0.225,7
I,0.35,7
F,0.42,9
M,0.47,9
F,0.49,8
F,0.55,10
M,0.465,8
I,0.435,8
I,0.475,10
M,0.465,11
I,0.49,11
F,0.515,9
M,0.475,10
M,0.495,11
F,0.5,8
F,0.485,12
M,0.355,8
M,0.485,9
F,0.505,10
I,0.325,8
I,0.33,7
M,0.445,10
M,0.45,11
I,0.475,11
M,0.495,10
I,0.27,7
M,0.38,10
F,0.43,11
I,0.325,7
M,0.42,8
M,0.36,8
I,0.15,4
M,0.42,13
F,0.53,12
F,0.375,11
F,0.35,9
F,0.36,6
M,0.435,20
I,0.235,7
F,0.485,11
F,0.32,10
M,0.435,15
M,0.24,6
M,0.415,12
M,0.54,24
M,0.485,16
F,0.435,16
I,0.355,9
I,0.525,15
F,0.525,16
M,0.33,14
I,0.3,6
M,0.535,13
F,0.45,13
I,0.315,7
F,0.465,9
M,0.47,8
M,0.475,11
M,0.51,10
I,0.24,6
I,0.28,6
I,0.37,7
M,0.37,8
F,0.4,9
M,0.395,7
M,0.485,9
I,0.315,6
M,0.44,8
M,0.415,8
M,0.41,8
M,0.47,9
I,0.355,9
F,0.42,8
F,0.465,10
M,0.485,9
M,0.515,12
M,0.555,12
I,0.125,4
I,0.37,8
M,0.475,9
I,0.345,8
M,0.465,8
I,0.47,10
F,0.495,9
M,0.51,12
F,0.51,11
M,0.4,7
M,0.475,9
I,0.395,8
I,0.4,10
I,0.45,10
M,0.48,10
M,0.355,8
M,0.35,11
F,0.475,14
F,0.43,10
F,0.44,9
M,0.4,16
F,0.43,12
M,0.48,16
I,0.44,17
I,0.175,5
M,0.39,11
M,0.44,20
M,0.365,16
I,0.32,8
I,0.33,6
I,0.35,7
M,0.455,8
I,0.375,8
I,0.2,6
F,0.46,8
I,0.305,7
I,0.43,8
I,0.465,9
M,0.475,11
F,0.49,11
M,0.545,10
F,0.59,11
M,0.525,9
M,0.265,7
I,0.35,9
F,0.495,9
F,0.505,11
I,0.215,6
M,0.38,9
