@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R2,5,8-9'

@attribute Length numeric
@attribute Whole_weight numeric
@attribute Shell_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
0.565,0.9395,0.27,12
0.58,0.9975,0.33,10
0.68,1.639,0.46,15
0.24,0.07,0.02,5
0.245,0.086,0.025,4
0.475,0.48,0.135,8
0.595,1.247,0.425,20
0.555,0.788,0.285,11
0.52,0.9885,0.32,16
0.555,0.755,0.26,12
0.47,0.523,0.145,8
0.52,0.727,0.235,12
0.53,0.5915,0.18,11
0.56,0.8825,0.31,9
0.71,1.959,0.78,18
0.35,0.211,0.068,7
0.345,0.2005,0.063,9
0.645,1.514,0.635,16
0.605,1.056,0.34,13
0.605,1.222,0.28,13
0.645,1.5675,0.46,12
0.355,0.22,0.15,8
0.5,0.825,0.285,13
0.335,0.181,0.06,7
0.445,0.485,0.155,11
0.6,1.2415,0.34,15
0.46,0.639,0.16,11
0.47,0.6355,0.255,9
0.535,0.8105,0.24,10
0.59,1.283,0.425,16
0.375,0.2715,0.09,8
0.63,1.016,0.355,19
0.68,1.787,0.6,19
0.46,0.482,0.145,10
0.47,0.5615,0.18,10
0.515,0.6935,0.2,10
0.525,0.8425,0.24,12
0.67,1.5015,0.505,14
0.565,0.9245,0.255,11
0.38,0.2665,0.075,11
0.655,1.388,0.41,13
0.665,1.347,0.415,17
0.54,0.8075,0.235,11
0.28,0.0915,0.03,5
0.38,0.257,0.085,10
0.525,0.795,0.255,14
0.44,0.364,0.1175,8
0.45,0.443,0.1175,14
0.61,1.133,0.35,11
0.45,0.525,0.1655,15
0.53,0.944,0.265,21
0.475,0.447,0.14,9
0.615,1.14,0.42,16
0.455,0.4835,0.16,11
0.5,0.5945,0.19,11
0.525,0.7305,0.195,11
0.255,0.0865,0.025,5
0.395,0.316,0.1105,12
0.18,0.0265,0.0085,4
0.555,1.0575,0.293,13
0.545,0.879,0.23,13
0.53,1.001,0.265,17
0.53,0.949,0.278,17
0.465,0.5755,0.19,15
0.47,0.51,0.1625,9
0.515,0.6615,0.155,10
0.52,0.807,0.235,12
0.315,0.1715,0.0535,7
0.6,1.21,0.3205,10
0.635,1.2945,0.2715,9
0.64,1.486,0.321,8
0.66,1.3905,0.453,15
0.675,1.8095,0.455,12
0.685,1.6675,0.475,11
0.3,0.131,0.043,4
0.315,0.144,0.04,8
0.335,0.1825,0.055,7
0.34,0.1785,0.045,5
0.37,0.2865,0.0795,7
0.41,0.3535,0.1,7
0.41,0.3335,0.091,6
0.45,0.478,0.137,7
0.465,0.482,0.1095,6
0.5,0.6595,0.1565,6
0.515,0.834,0.23,8
0.57,1.195,0.295,10
0.575,1.114,0.29,9
0.58,1.1155,0.29,7
0.615,1.2525,0.33,8
0.66,1.6275,0.485,10
0.675,1.8375,0.553,12
0.735,2.555,0.6,11
0.275,0.106,0.028,6
0.37,0.221,0.0635,6
0.42,0.279,0.088,6
0.425,0.3685,0.1045,7
0.5,0.5215,0.131,6
0.52,0.5395,0.157,8
0.55,0.8145,0.175,8
0.575,0.9945,0.265,7
0.58,1.0025,0.2295,8
0.59,0.9955,0.24,8
0.6,1.1025,0.25,8
0.62,1.0195,0.2475,8
0.65,1.464,0.4245,9
0.69,1.454,0.39,9
0.69,1.5535,0.3695,9
0.375,0.218,0.07,7
0.38,0.2105,0.07,8
0.43,0.428,0.115,8
0.465,0.346,0.113,11
0.475,0.492,0.15,8
0.495,0.4965,0.1495,8
0.495,0.5125,0.16,7
0.5,0.5795,0.185,9
0.515,0.625,0.16,7
0.515,0.711,0.205,13
0.52,0.5825,0.18,10
0.525,0.842,0.2045,9
0.53,0.7675,0.21,9
0.55,0.7895,0.223,11
0.555,0.7395,0.28,10
0.56,1.224,0.2695,10
0.565,0.744,0.1685,11
0.57,0.9795,0.2655,9
0.585,1.065,0.2885,10
0.6,0.9595,0.295,11
0.61,1.244,0.305,12
0.615,1.115,0.355,10
0.64,1.521,0.406,15
0.64,1.3135,0.4075,10
0.645,1.401,0.3725,10
0.695,1.7635,0.4975,11
0.75,2.5085,0.612,14
0.37,0.232,0.0615,6
0.4,0.329,0.0825,6
0.405,0.3425,0.0855,8
0.425,0.389,0.088,6
0.47,0.4615,0.116,9
0.475,0.649,0.142,8
0.485,0.526,0.1555,6
0.515,0.556,0.17,8
0.56,0.8715,0.1835,9
0.605,1.201,0.38,9
0.62,1.012,0.275,8
0.63,1.336,0.3245,10
0.665,1.389,0.395,10
0.75,1.893,0.445,11
0.3,0.117,0.0415,6
0.35,0.18,0.055,5
0.385,0.308,0.0835,8
0.45,0.3245,0.105,8
0.5,0.5955,0.173,8
0.525,0.707,0.225,9
0.54,0.972,0.269,10
0.55,0.816,0.23,12
0.575,0.7965,0.239,10
0.575,0.8015,0.25,9
0.595,0.8335,0.235,8
0.6,1.13,0.305,9
0.605,1.434,0.431,11
0.61,1.0725,0.28,10
0.61,1.2405,0.3085,12
0.615,1.224,0.311,9
0.62,1.2215,0.313,12
0.635,1.4345,0.418,12
0.645,1.226,0.3745,10
0.655,1.274,0.365,10
0.675,1.382,0.3965,10
0.485,0.968,0.2365,9
0.625,1.169,0.344,11
0.645,1.3815,0.315,9
0.24,0.0555,0.018,4
0.41,0.2805,0.11,7
0.42,0.368,0.1135,11
0.435,0.335,0.105,8
0.495,0.494,0.191,8
0.52,0.581,0.143,10
0.545,0.8145,0.244,10
0.555,0.7075,0.18,7
0.565,0.8445,0.255,9
0.575,0.7955,0.22,9
0.575,0.857,0.269,9
0.58,0.925,0.3005,10
0.595,0.886,0.223,10
0.62,1.195,0.355,9
0.635,1.2695,0.3395,11
0.655,1.412,0.497,11
0.7,1.6245,0.535,13
0.72,2.081,0.503,11
0.28,0.0895,0.03,7
0.405,0.2875,0.0805,7
0.425,0.3675,0.0985,7
0.45,0.4955,0.129,8
0.53,0.741,0.196,9
0.53,0.6355,0.185,9
0.565,0.9255,0.2475,9
0.385,0.2755,0.0725,8
0.485,0.617,0.1635,8
0.55,0.668,0.209,11
0.61,1.2435,0.372,8
0.71,1.3165,0.28,10
0.595,1.041,0.365,14
0.375,0.282,0.08,7
0.47,0.4265,0.15,8
0.52,0.6985,0.215,10
0.44,0.4585,0.13,9
0.57,0.9995,0.295,16
0.46,0.3945,0.125,9
0.64,1.3905,0.41,12
0.61,1.136,0.3,9
0.215,0.0605,0.02,6
0.26,0.099,0.045,5
0.37,0.233,0.07,11
0.42,0.43,0.13,7
0.66,1.6305,0.61,18
0.59,0.857,0.28,13
0.43,0.406,0.135,8
0.62,1.456,0.32,13
0.545,0.8525,0.295,13
0.635,1.598,0.58,15
0.525,0.7575,0.195,10
0.495,0.6905,0.175,10
0.58,0.974,0.285,10
0.495,0.585,0.165,8
0.4,0.2875,0.095,10
0.665,1.496,0.475,17
0.61,1.103,0.36,23
0.515,0.631,0.216,12
0.7,1.3185,0.42,18
0.635,1.081,0.31,11
0.18,0.023,0.01,3
0.405,0.3575,0.11,12
0.36,0.2165,0.0735,10
0.155,0.024,0.0075,5
0.5,0.537,0.1785,9
0.41,0.321,0.095,10
0.335,0.17,0.055,9
0.475,0.4625,0.145,9
0.445,0.4565,0.14,11
0.35,0.1855,0.06,7
0.25,0.071,0.0225,5
0.355,0.1925,0.065,8
0.505,0.8415,0.285,12
0.465,0.5,0.1505,8
0.46,0.4155,0.107,7
0.505,0.6005,0.185,7
0.53,0.828,0.1505,6
