@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R2,9'

@attribute Length numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
0.43,10
0.355,7
0.68,19
0.54,16
0.21,4
0.475,10
0.58,14
0.625,10
0.55,15
0.385,7
0.325,7
0.265,7
0.635,10
0.605,10
0.515,10
0.56,15
0.405,7
0.415,8
0.23,5
0.59,13
0.535,10
0.37,9
0.58,18
0.36,8
0.74,16
0.565,15
0.62,14
0.635,16
0.6,16
0.535,10
0.47,8
0.6,19
0.44,13
0.385,14
0.56,9
0.565,13
0.565,16
0.575,11
0.36,9
0.24,6
0.22,5
0.175,5
0.575,17
0.58,13
0.655,11
0.655,15
0.58,12
0.56,16
0.21,3
0.46,13
0.65,17
0.615,13
0.52,13
0.41,11
0.59,20
0.55,14
0.45,14
0.37,9
0.605,12
0.47,12
0.31,9
0.235,7
0.475,9
0.46,11
0.335,6
0.55,13
0.52,22
0.43,11
0.525,11
0.52,15
0.535,14
0.445,10
0.52,9
0.58,13
0.455,9
0.44,9
0.48,15
0.525,8
0.54,9
0.57,9
0.6,11
0.635,10
0.655,17
0.675,9
0.465,7
0.47,8
0.505,9
0.505,8
0.51,8
0.515,7
0.57,7
0.58,8
0.605,11
0.62,11
0.65,9
0.655,10
0.66,6
0.69,8
0.2,4
0.265,7
0.45,6
0.46,7
0.47,6
0.5,7
0.505,7
0.51,8
0.525,9
0.525,8
0.53,8
0.575,9
0.6,9
0.655,10
0.7,12
0.705,9
0.73,12
0.35,6
0.38,6
0.395,5
0.425,7
0.45,9
0.455,8
0.47,8
0.475,8
0.48,8
0.505,8
0.505,7
0.555,9
0.57,10
0.58,10
0.585,10
0.6,11
0.605,12
0.62,10
0.625,11
0.635,9
0.65,11
0.65,10
0.655,10
0.72,13
0.46,8
0.47,6
0.505,9
0.545,9
0.575,8
0.6,9
0.62,9
0.63,10
0.65,8
0.67,10
0.68,12
0.7,11
0.725,13
0.355,6
0.36,7
0.38,7
0.465,9
0.47,8
0.485,7
0.52,9
0.525,9
0.565,10
0.57,9
0.575,9
0.6,8
0.6,10
0.6,9
0.605,8
0.61,10
0.615,10
0.62,11
0.62,11
0.625,11
0.625,9
0.63,11
0.645,14
0.645,12
0.655,11
0.67,10
0.71,11
0.73,11
0.75,12
0.77,12
0.455,6
0.605,10
0.65,11
0.685,9
0.695,10
0.73,11
0.485,7
0.615,11
0.625,9
0.665,12
0.67,12
0.32,6
0.36,7
0.375,7
0.47,10
0.515,9
0.5,9
0.545,9
0.58,8
0.58,7
0.72,12
0.73,10
0.37,10
0.62,13
0.385,7
0.5,10
0.4,7
0.32,6
0.44,8
0.46,12
0.49,10
0.405,10
0.29,5
0.55,27
0.475,7
0.655,11
0.635,14
0.62,14
0.455,11
0.59,15
0.515,9
0.72,17
0.61,20
0.645,13
0.43,8
0.525,11
0.45,12
0.47,11
0.33,10
0.53,17
0.505,12
0.465,18
0.26,6
0.565,14
0.515,23
0.55,14
0.395,9
0.49,13
0.475,11
0.415,6
0.48,7
0.6,9
0.63,10
0.44,6
0.475,8
0.525,8
0.53,6
0.575,7
0.595,9
0.63,9
0.69,13
0.77,10
0.515,9
0.625,11
0.65,9
0.67,11
0.675,13
0.395,8
0.515,7
0.525,8
0.55,10
0.55,9
0.56,10
0.59,9
0.615,10
0.64,11
0.24,5
0.375,5
0.525,9
0.54,9
0.59,10
0.6,9
0.625,8
0.74,11
0.435,7
0.5,9
0.51,8
0.535,8
0.575,8
0.6,10
0.6,9
0.605,13
0.635,11
0.65,12
0.66,13
0.67,9
0.735,12
0.485,8
0.5,7
0.595,8
0.67,11
0.39,7
0.39,8
0.44,9
0.45,8
0.57,10
0.58,10
0.68,11
0.53,9
0.58,10
0.595,11
0.6,8
0.3,5
0.37,5
0.685,10
0.535,11
0.51,10
0.665,21
0.64,13
0.64,18
0.345,8
0.69,19
0.595,11
0.48,14
0.46,12
0.59,11
0.605,15
0.51,12
0.645,17
0.41,10
0.45,12
0.39,8
0.585,12
0.51,13
0.44,11
0.455,12
0.44,16
0.605,18
0.35,9
0.21,4
0.4,7
0.44,7
0.535,10
0.62,10
0.66,9
0.24,4
0.26,4
0.33,6
0.425,8
0.475,9
0.515,9
0.535,9
0.575,9
0.58,10
0.6,8
0.625,9
0.66,12
0.395,5
0.495,8
0.515,8
0.545,7
0.435,6
0.515,9
0.52,8
0.535,10
0.585,10
0.65,10
0.665,11
0.675,11
0.705,10
0.51,9
0.575,10
0.385,6
0.435,8
0.575,9
0.67,10
0.355,7
0.38,6
0.46,8
0.475,8
0.565,9
0.57,10
0.545,10
0.535,11
0.335,6
0.57,14
0.57,9
0.645,15
0.61,15
0.38,7
0.495,12
0.595,13
0.53,12
0.315,5
0.69,11
0.695,10
0.295,6
0.485,8
0.665,8
0.315,6
0.36,6
0.625,8
0.66,11
0.44,8
0.51,7
0.56,11
0.58,10
0.59,9
0.625,10
0.515,8
0.37,6
0.395,7
0.48,7
0.59,8
0.635,9
0.65,9
0.68,11
0.3,4
0.585,10
0.6,11
0.645,10
0.67,11
0.435,6
0.475,8
0.385,8
