@relation 'optdigits-weka.filters.unsupervised.attribute.Remove-V-R3-4,7-8,13,17-20,22,27,29-31,36,38-39,41,49,51-52,54,56,62-65'

@attribute Atr-2 numeric
@attribute Atr-3 numeric
@attribute Atr-6 numeric
@attribute Atr-7 numeric
@attribute Atr-12 numeric
@attribute Atr-16 numeric
@attribute Atr-17 numeric
@attribute Atr-18 numeric
@attribute Atr-19 numeric
@attribute Atr-21 numeric
@attribute Atr-26 numeric
@attribute Atr-28 numeric
@attribute Atr-29 numeric
@attribute Atr-30 numeric
@attribute Atr-35 numeric
@attribute Atr-37 numeric
@attribute Atr-38 numeric
@attribute Atr-40 numeric
@attribute Atr-48 numeric
@attribute Atr-50 numeric
@attribute Atr-51 numeric
@attribute Atr-53 numeric
@attribute Atr-55 numeric
@attribute Atr-61 numeric
@attribute Atr-62 numeric
@attribute Atr-63 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
5,14,0,0,0,0,3,14,4,0,16,9,2,0,3,11,2,0,0,10,8,11,0,7,0,0,6
0,4,16,3,9,0,7,16,3,15,15,16,16,6,7,15,0,0,0,0,3,6,0,4,0,0,9
10,15,0,0,11,0,7,16,3,13,13,0,10,6,0,14,4,0,0,15,9,4,0,0,0,0,0
4,11,15,0,8,0,0,0,0,15,2,10,15,1,16,16,8,0,0,1,16,0,0,0,0,0,7
0,0,12,0,9,0,0,12,4,12,15,13,16,3,11,15,0,0,0,0,0,8,0,7,0,0,9
10,8,0,0,8,0,4,16,4,9,14,0,3,8,0,7,8,0,0,14,10,7,0,0,0,0,0
9,13,0,0,11,0,1,9,0,15,0,4,15,0,1,8,0,0,0,6,16,13,0,8,8,1,2
0,6,1,0,16,0,0,11,16,16,15,16,16,4,7,16,2,0,0,0,4,16,0,15,4,0,1
10,13,5,0,5,0,0,0,1,13,5,16,3,0,10,15,7,0,0,2,8,12,0,0,0,0,3
9,15,0,0,16,0,0,2,0,8,8,16,10,1,16,16,11,0,0,9,16,0,0,0,0,0,7
4,12,5,0,16,0,4,16,13,11,16,14,1,0,16,1,0,0,0,13,10,12,0,4,0,0,8
