@relation 'optdigits-weka.filters.unsupervised.attribute.Remove-V-R1,3-4,6,9,17,21,27-28,32-33,35-37,43,50,52-53,56,62-63,65'

@attribute Atr-0 numeric
@attribute Atr-2 numeric
@attribute Atr-3 numeric
@attribute Atr-5 numeric
@attribute Atr-8 numeric
@attribute Atr-16 numeric
@attribute Atr-20 numeric
@attribute Atr-26 numeric
@attribute Atr-27 numeric
@attribute Atr-31 numeric
@attribute Atr-32 numeric
@attribute Atr-34 numeric
@attribute Atr-35 numeric
@attribute Atr-36 numeric
@attribute Atr-42 numeric
@attribute Atr-49 numeric
@attribute Atr-51 numeric
@attribute Atr-52 numeric
@attribute Atr-55 numeric
@attribute Atr-61 numeric
@attribute Atr-62 numeric
@attribute Class {0,1,2,3,4,5,6,7,8,9}

@data
0,7,9,11,0,0,11,16,16,0,0,16,5,1,15,3,4,7,0,1,0,8
0,0,0,16,0,0,16,16,15,0,0,4,5,16,0,0,0,16,0,16,8,1
0,1,8,14,0,0,0,12,12,0,0,7,8,14,0,0,13,6,0,0,0,7
0,0,0,5,0,0,16,16,16,0,0,8,6,16,0,0,4,16,0,13,5,1
0,12,16,0,0,0,12,0,0,0,0,0,9,14,4,1,16,13,1,15,16,2
0,5,12,12,0,0,2,5,15,0,0,0,12,16,6,0,12,6,0,9,0,8
0,0,4,12,0,0,16,14,16,0,0,16,16,16,0,0,8,16,0,12,2,1
0,2,10,4,0,0,16,12,16,0,0,12,16,16,12,0,16,16,0,3,0,1
0,1,10,7,0,0,1,16,11,0,0,11,12,16,0,0,11,14,0,0,0,9
0,2,14,0,0,0,12,8,0,0,0,0,0,15,1,0,16,16,0,12,11,2
0,2,13,0,0,0,3,16,1,0,0,12,0,0,16,0,12,7,0,9,0,0
0,0,9,10,0,0,16,15,10,0,0,0,0,16,0,0,7,16,0,12,1,1
0,11,10,14,0,0,0,16,16,0,0,8,8,12,0,0,9,16,0,0,0,5
0,7,15,4,0,0,0,0,0,0,0,0,0,6,0,0,14,16,0,4,9,2
0,10,16,14,0,0,6,1,13,0,0,2,15,16,0,1,0,2,0,8,0,3
0,9,15,5,0,0,0,16,15,0,0,1,8,15,0,0,6,12,0,1,0,5
0,7,16,5,0,0,16,5,16,0,0,11,16,15,14,0,16,16,0,5,0,1
0,0,4,4,0,0,14,3,15,0,0,15,9,3,16,10,9,16,0,2,0,4
0,3,15,1,0,0,3,4,16,0,0,5,16,16,16,3,6,2,0,9,0,8
0,2,9,0,0,0,0,11,0,0,0,8,3,8,11,0,16,7,0,14,6,6
0,0,0,15,0,0,16,13,16,0,0,13,2,8,0,0,0,11,0,16,4,1
0,5,15,5,0,0,6,8,3,0,0,14,14,6,7,0,5,1,0,10,1,8
0,1,8,10,0,0,0,15,7,0,0,8,15,15,0,0,7,8,0,7,0,5
0,7,14,1,0,0,12,5,12,0,0,5,12,15,0,0,8,4,0,9,0,3
0,14,9,0,0,0,14,0,10,0,0,3,15,1,13,8,10,12,0,8,3,2
0,0,2,14,0,0,16,12,3,0,0,0,5,16,0,0,5,16,0,9,0,1
0,4,12,4,0,0,0,11,3,0,0,8,0,0,12,0,10,14,0,1,0,0
0,0,12,0,0,0,5,16,16,0,0,5,8,13,0,0,5,16,0,9,0,4
0,16,16,2,0,0,15,13,16,0,0,2,8,15,4,5,8,14,0,5,0,3
0,0,6,14,0,0,16,12,8,0,0,0,0,4,0,0,1,16,0,0,0,9
0,0,13,0,0,0,0,16,8,0,0,16,16,16,3,0,13,13,0,0,0,4
0,0,4,16,0,0,10,15,16,0,0,0,0,1,0,0,0,12,0,8,0,9
0,5,11,2,0,0,10,0,1,0,0,0,14,12,11,0,13,8,0,15,9,2
0,6,16,11,0,0,0,3,15,0,0,0,11,8,2,0,16,13,0,0,0,5
0,6,16,10,0,0,1,4,16,0,0,0,14,11,0,0,16,11,0,0,0,5
0,5,13,1,0,0,16,2,12,0,0,0,0,8,0,0,16,16,0,1,0,9
0,1,15,0,0,0,16,8,11,0,0,0,2,16,0,0,8,13,0,12,2,1
0,6,16,1,0,0,10,5,14,0,0,0,0,4,0,0,10,4,0,12,5,9
0,15,11,0,0,0,9,2,14,0,0,3,12,15,0,4,5,10,0,3,0,3
0,5,14,15,0,0,8,0,3,0,0,11,16,16,13,0,16,9,0,0,0,7
