@relation banana-weka.filters.unsupervised.attribute.Remove-V-R2-3

@attribute At2 numeric
@attribute Class {-1.0,1.0}

@data
0.437,1.0
-0.485,1.0
-0.332,1.0
1.21,1.0
-1.7,1.0
0.0673,1.0
0.978,-1.0
0.866,-1.0
-1.12,-1.0
-0.248,1.0
-0.378,1.0
-0.451,1.0
-0.361,1.0
0.576,-1.0
1.54,1.0
-0.187,1.0
0.101,1.0
-1,-1.0
0.66,-1.0
-0.791,-1.0
1.92,-1.0
-1.3,-1.0
-0.114,-1.0
-1.08,1.0
0.113,1.0
1.72,-1.0
-0.828,-1.0
-1.17,-1.0
-0.93,-1.0
0.453,-1.0
-1.41,1.0
-1,1.0
0.722,-1.0
0.0781,1.0
1.7,-1.0
1.76,-1.0
0.354,-1.0
-1.07,-1.0
-1.53,-1.0
-0.791,-1.0
-1.17,-1.0
1.75,1.0
1.92,1.0
-0.529,1.0
0.868,-1.0
-1.4,-1.0
-0.987,-1.0
-0.273,1.0
0.904,-1.0
-0.522,1.0
1.18,1.0
-0.952,1.0
-1.1,1.0
0.882,1.0
1.07,-1.0
-1.1,-1.0
-1.1,-1.0
-1.26,-1.0
-0.659,1.0
0.488,-1.0
-1.19,-1.0
1.65,1.0
-1.25,1.0
-0.539,1.0
-1.18,-1.0
0.953,-1.0
-1.13,-1.0
-0.256,1.0
-0.336,1.0
1.52,-1.0
-0.251,1.0
0.137,1.0
0.00723,1.0
-0.316,1.0
0.143,1.0
0.147,-1.0
1.68,1.0
0.677,-1.0
-1.53,-1.0
-0.986,-1.0
1.13,-1.0
0.811,-1.0
0.533,-1.0
-0.296,1.0
-1.17,-1.0
0.572,1.0
-0.312,1.0
1.7,1.0
-1.31,-1.0
0.431,1.0
0.349,-1.0
-1.2,-1.0
-1.78,1.0
-0.886,-1.0
-1.49,1.0
0.536,1.0
-1.34,1.0
-1.27,-1.0
-0.638,1.0
1.19,-1.0
-1.4,1.0
-1.04,-1.0
1.3,1.0
-0.865,-1.0
0.82,-1.0
-0.403,1.0
-1.48,1.0
-0.756,1.0
-1.62,-1.0
0.553,-1.0
1.72,-1.0
-0.358,1.0
1.5,1.0
0.623,1.0
0.412,-1.0
-1.04,-1.0
-0.605,-1.0
0.33,-1.0
-0.146,-1.0
-1.12,-1.0
-0.227,1.0
0.921,-1.0
0.645,-1.0
-0.536,1.0
0.604,-1.0
1.17,-1.0
-0.267,1.0
-0.93,-1.0
0.556,-1.0
0.829,-1.0
0.0962,-1.0
0.912,-1.0
1.3,1.0
1.84,-1.0
0.508,-1.0
0.637,-1.0
-0.427,-1.0
0.303,1.0
-1.02,1.0
-0.895,-1.0
-1.25,-1.0
1.65,-1.0
-1.02,-1.0
-1.13,-1.0
-1.09,1.0
-1.33,-1.0
1.03,-1.0
-0.159,-1.0
-1.06,1.0
0.959,-1.0
0.358,1.0
-0.556,1.0
1.58,-1.0
-0.875,1.0
-0.807,1.0
-1.27,-1.0
-1,-1.0
-0.84,-1.0
1.7,1.0
-1,-1.0
0.625,-1.0
-0.311,1.0
-0.874,1.0
1.22,-1.0
-1.06,-1.0
0.247,1.0
0.795,-1.0
0.166,1.0
1.52,1.0
0.599,1.0
0.443,1.0
-0.938,1.0
0.935,-1.0
-0.502,1.0
-1.01,-1.0
-0.0677,1.0
-0.673,1.0
0.926,1.0
-0.364,1.0
-0.774,1.0
0.938,-1.0
0.593,-1.0
0.0991,-1.0
1.49,1.0
-0.0465,-1.0
-1.24,-1.0
-0.212,1.0
0.897,1.0
-0.183,-1.0
1.37,-1.0
1.08,-1.0
1.33,1.0
-1.06,-1.0
1.98,1.0
1.62,1.0
-1.09,-1.0
-1.05,-1.0
-0.225,-1.0
0.947,-1.0
-0.39,1.0
-1.06,-1.0
-0.867,-1.0
-0.887,-1.0
-1.56,-1.0
-1.33,-1.0
1.76,-1.0
0.0707,1.0
-1.31,-1.0
-0.36,-1.0
0.51,1.0
-1.27,1.0
0.839,-1.0
-0.538,1.0
1.14,-1.0
-0.896,1.0
-1.54,-1.0
-0.00839,1.0
-0.43,-1.0
0.632,-1.0
-1.36,-1.0
-1.46,1.0
0.533,-1.0
-0.0166,1.0
0.131,-1.0
0.131,1.0
0.598,-1.0
-0.233,1.0
0.473,1.0
1.01,-1.0
-0.711,1.0
-0.622,1.0
1.69,-1.0
1.93,-1.0
0.596,1.0
-0.852,-1.0
1.05,-1.0
-1.32,-1.0
-0.499,-1.0
0.913,-1.0
-1.14,1.0
-0.0547,-1.0
-0.856,1.0
-1.15,-1.0
1.37,-1.0
-2.16,1.0
-0.538,1.0
-0.964,1.0
-0.676,1.0
-1.37,-1.0
-0.734,-1.0
-1.08,-1.0
0.171,-1.0
-0.476,1.0
0.3,-1.0
-1.39,-1.0
1.6,-1.0
-1.11,-1.0
0.945,-1.0
-1.33,1.0
0.349,1.0
0.375,1.0
-1.67,-1.0
-0.243,-1.0
-0.594,1.0
-1.17,-1.0
1.32,-1.0
-1.67,-1.0
-0.0347,-1.0
-2.1,1.0
-1.32,-1.0
0.611,-1.0
-1.2,-1.0
-1.02,-1.0
-0.688,1.0
-0.935,1.0
1.22,-1.0
-0.521,1.0
-1.35,1.0
0.867,-1.0
-0.506,1.0
1.82,1.0
-0.588,-1.0
1.84,-1.0
0.384,-1.0
0.598,1.0
-1.07,1.0
1.01,-1.0
-0.422,-1.0
-1.13,-1.0
-0.346,1.0
-1.37,-1.0
0.168,1.0
-1.38,-1.0
1.56,-1.0
-0.33,1.0
1.11,-1.0
0.356,-1.0
1.16,-1.0
-0.9,-1.0
0.74,-1.0
1.68,1.0
-1.22,1.0
-0.593,1.0
0.104,1.0
-0.698,1.0
-0.814,1.0
1.2,-1.0
0.441,-1.0
1.16,1.0
-0.719,-1.0
-0.96,1.0
0.227,-1.0
-0.78,-1.0
-1.23,-1.0
1.31,1.0
-0.573,1.0
-1.61,-1.0
1.36,1.0
0.261,1.0
0.676,-1.0
-0.896,-1.0
0.624,-1.0
-0.522,1.0
-0.319,1.0
1.56,-1.0
0.016,-1.0
-0.374,1.0
-0.177,1.0
0.716,-1.0
0.206,-1.0
-0.572,1.0
1.23,-1.0
0.704,1.0
-0.938,1.0
0.968,-1.0
-0.0925,1.0
-0.378,1.0
-2.05,1.0
-0.886,-1.0
0.107,1.0
-0.297,1.0
0.812,-1.0
1.58,-1.0
-0.387,1.0
-0.942,1.0
-0.266,1.0
-1.31,-1.0
0.901,1.0
-0.403,1.0
0.393,1.0
-0.824,-1.0
0.902,1.0
0.301,1.0
0.683,1.0
-0.719,-1.0
-0.868,1.0
1.7,-1.0
1.33,-1.0
0.978,1.0
-1.39,-1.0
-0.392,1.0
2.07,-1.0
0.781,-1.0
1.25,-1.0
0.469,-1.0
-1.18,-1.0
0.808,-1.0
1.35,-1.0
0.908,-1.0
0.589,1.0
-0.0651,1.0
1.53,-1.0
1.44,-1.0
-1.38,1.0
-0.726,-1.0
0.928,1.0
0.56,1.0
0.768,-1.0
-1.24,-1.0
0.654,-1.0
-0.502,1.0
-0.882,-1.0
-0.542,1.0
-1.17,-1.0
1.26,-1.0
0.961,-1.0
-0.851,-1.0
0.182,1.0
0.96,-1.0
1.37,1.0
0.677,-1.0
0.367,-1.0
-1.45,-1.0
-1.36,-1.0
-0.0255,1.0
1.29,-1.0
-0.943,1.0
-1.53,-1.0
1.74,1.0
2.28,-1.0
-1.17,1.0
-0.939,-1.0
-0.472,1.0
-0.398,1.0
-0.32,1.0
-0.774,1.0
-0.23,1.0
-1.04,-1.0
-1.57,-1.0
0.322,1.0
-0.357,1.0
-1.08,-1.0
1.01,1.0
-0.964,-1.0
-0.413,1.0
-1.12,1.0
1.14,-1.0
-0.356,1.0
1.08,-1.0
0.613,1.0
-0.655,1.0
-1.28,-1.0
-0.334,1.0
1.6,-1.0
-0.283,1.0
-0.977,-1.0
-1.1,-1.0
1.72,-1.0
-1.54,-1.0
0.422,-1.0
-0.742,1.0
1.32,1.0
1.06,-1.0
0.194,1.0
0.259,1.0
0.762,1.0
-0.766,1.0
2.52,-1.0
-1.27,-1.0
0.798,-1.0
1.42,-1.0
0.473,1.0
-0.183,1.0
1.5,1.0
1.5,-1.0
-0.143,-1.0
0.979,1.0
1.81,1.0
1.38,-1.0
1.32,-1.0
1.8,-1.0
0.0975,-1.0
-0.877,-1.0
-1.1,1.0
-0.826,1.0
0.928,-1.0
0.524,1.0
-0.0272,-1.0
1.49,1.0
-0.679,-1.0
-1.28,1.0
0.869,-1.0
-0.761,1.0
0.644,-1.0
0.407,1.0
0.555,-1.0
0.322,1.0
1.58,1.0
0.289,-1.0
-0.551,-1.0
0.824,-1.0
1.35,1.0
-0.341,1.0
0.0135,1.0
-1.09,-1.0
1.11,-1.0
-0.122,1.0
-1.23,1.0
0.621,-1.0
-1.41,-1.0
0.942,-1.0
0.217,-1.0
0.42,-1.0
1.66,-1.0
0.144,-1.0
0.978,-1.0
0.647,-1.0
1.81,-1.0
-0.451,1.0
-0.996,1.0
-0.0187,-1.0
1.27,-1.0
-0.0746,1.0
0.617,-1.0
0.0126,1.0
0.855,-1.0
-1.27,1.0
0.192,-1.0
1.32,-1.0
-1.24,1.0
0.513,1.0
-1.38,1.0
1.39,-1.0
1.41,-1.0
1.22,-1.0
-0.113,1.0
0.422,-1.0
1.18,-1.0
-1.7,-1.0
-0.91,1.0
-0.225,1.0
0.509,1.0
-1.06,-1.0
-0.555,1.0
0.175,1.0
0.0163,-1.0
-0.0314,1.0
0.0462,1.0
-1.66,-1.0
-1.33,-1.0
-0.277,1.0
1.1,-1.0
0.317,-1.0
0.00463,1.0
-0.654,1.0
1.68,-1.0
-0.752,1.0
1.24,-1.0
1.37,-1.0
0.117,1.0
