@relation banana-weka.filters.unsupervised.attribute.Remove-V-R2-3

@attribute At2 numeric
@attribute Class {-1.0,1.0}

@data
-0.114,-1.0
-0.286,1.0
0.619,-1.0
-1.04,-1.0
0.989,-1.0
0.196,-1.0
-1.34,-1.0
0.0118,1.0
-1.2,-1.0
0.593,-1.0
0.708,-1.0
0.0836,1.0
-0.799,-1.0
-0.732,1.0
-1.33,-1.0
-0.0228,1.0
-1.43,-1.0
1.42,1.0
0.102,-1.0
-0.985,1.0
0.872,-1.0
-1.17,-1.0
1.08,-1.0
0.492,1.0
1.07,-1.0
-1.23,-1.0
-0.795,-1.0
0.504,1.0
-0.209,1.0
0.263,1.0
-0.0565,-1.0
-0.715,1.0
0.118,-1.0
-1.38,-1.0
1.62,-1.0
-1.31,-1.0
-1.07,-1.0
-0.748,1.0
0.0304,1.0
-0.745,-1.0
1,-1.0
1.69,-1.0
-1.25,-1.0
-0.517,1.0
0.0217,-1.0
1.71,1.0
1.55,-1.0
-0.0762,1.0
-0.913,-1.0
-0.402,1.0
0.934,-1.0
1.16,1.0
0.411,1.0
0.672,-1.0
1.14,-1.0
1.98,-1.0
-0.903,1.0
-0.678,-1.0
0.958,-1.0
-0.441,-1.0
-1.12,-1.0
-0.106,-1.0
-1.52,1.0
-0.321,1.0
-0.086,1.0
0.381,-1.0
1.66,-1.0
-1.32,-1.0
-0.94,1.0
-0.858,-1.0
-0.768,1.0
0.145,1.0
0.13,1.0
1.23,1.0
-0.674,1.0
0.138,-1.0
-1.51,1.0
1.05,-1.0
1.42,1.0
0.0932,1.0
-0.977,1.0
0.593,1.0
1.48,-1.0
-1.08,1.0
0.152,1.0
1.12,1.0
0.163,1.0
-0.238,1.0
0.273,-1.0
1.56,-1.0
-1.67,-1.0
-1,-1.0
0.648,-1.0
0.36,1.0
-1.01,1.0
-1.02,-1.0
-0.262,1.0
0.38,1.0
1.48,1.0
-1.16,1.0
0.676,1.0
0.482,-1.0
0.428,-1.0
0.707,1.0
0.396,1.0
0.0117,1.0
0.238,1.0
0.246,-1.0
-0.00169,1.0
-1.4,-1.0
1.24,-1.0
-0.00847,-1.0
-0.0466,-1.0
1.8,-1.0
1.43,1.0
1.84,-1.0
-0.293,-1.0
1.4,-1.0
-0.965,-1.0
1.05,-1.0
1.85,1.0
1.53,1.0
1.25,-1.0
0.253,-1.0
0.649,-1.0
-0.695,-1.0
-0.848,-1.0
-0.884,-1.0
-0.978,-1.0
-0.16,1.0
-1.03,-1.0
1.5,1.0
-0.314,1.0
1.07,-1.0
1.07,-1.0
2.31,-1.0
-1.28,-1.0
-0.984,-1.0
0.845,-1.0
-0.282,1.0
-1.27,1.0
1.17,-1.0
0.24,1.0
-0.334,1.0
1.36,1.0
1.25,-1.0
-0.295,1.0
0.422,1.0
-1.08,-1.0
-1.05,1.0
0.0856,-1.0
1.54,-1.0
-0.815,1.0
0.386,-1.0
0.494,1.0
2.04,1.0
-1.39,-1.0
0.961,1.0
1.86,-1.0
-1.32,-1.0
-0.429,1.0
-1.02,-1.0
1.5,-1.0
-1.08,-1.0
-1.05,-1.0
-0.462,1.0
1.23,-1.0
0.889,-1.0
-1.43,-1.0
-0.842,-1.0
-1.24,1.0
0.946,1.0
-0.194,-1.0
-0.884,1.0
0.755,-1.0
0.904,-1.0
-1.07,-1.0
0.441,-1.0
-0.000653,1.0
-0.491,1.0
-0.507,-1.0
0.0594,1.0
-1.01,1.0
-1.25,1.0
1.09,-1.0
-1.25,-1.0
0.458,-1.0
-1.9,1.0
0.11,1.0
-0.332,1.0
-1.2,-1.0
1.56,1.0
0.849,-1.0
0.514,-1.0
1.59,1.0
-0.973,-1.0
0.984,-1.0
-0.0974,1.0
1.39,-1.0
1.31,1.0
0.425,1.0
1.26,-1.0
1.19,-1.0
0.862,-1.0
-1.17,-1.0
-0.856,1.0
-0.36,1.0
-0.665,1.0
-0.913,-1.0
-1.34,-1.0
-1.17,-1.0
-0.765,-1.0
-1.2,-1.0
0.662,-1.0
-1.8,1.0
-0.785,1.0
-0.0158,-1.0
-1.04,-1.0
0.356,1.0
-1.35,-1.0
-0.515,1.0
-0.392,1.0
-0.842,-1.0
1.64,-1.0
0.679,-1.0
-1.28,-1.0
-0.904,-1.0
1.8,1.0
0.495,1.0
-1.5,-1.0
-0.164,1.0
-0.842,1.0
-1.5,-1.0
-2.04,-1.0
-0.858,-1.0
-0.932,1.0
-1.22,1.0
-1.09,-1.0
0.611,1.0
-1.61,1.0
0.129,1.0
0.228,1.0
