@relation page-blocks

@attribute Height numeric
@attribute Eccen numeric
@attribute P_black numeric
@attribute Blackpix numeric
@attribute Class {1,2,3,4,5}

@data
6,3,0.315,34,1
7,1.286,0.349,22,1
9,2.333,0.323,61,1
22,3.182,0.525,808,1
8,1.75,0.223,25,1
8,0.875,0.339,19,1
7,2,0.5,49,1
77,3.182,0.445,8396,1
24,8.25,0.911,4329,1
9,4.667,0.452,171,1
9,4,0.654,212,1
15,9.067,0.24,489,1
6,16.167,0.235,137,1
10,24.9,0.462,1151,1
8,9.25,0.412,244,1
9,16.444,0.198,264,1
8,2.625,0.208,35,1
10,6.4,0.189,121,1
8,1.625,0.452,47,1
7,4.857,0.462,110,1
11,31.273,0.446,1686,1
2,52,0.063,13,1
16,7,0.305,546,1
6,0.5,0.556,10,1
10,0.9,0.222,20,1
8,6.125,0.413,162,1
11,24.727,0.26,778,1
9,9.333,0.25,189,1
5,1,0.4,10,1
9,4.556,0.301,111,1
8,0.375,0.417,10,1
7,1.571,0.351,27,1
10,3.3,0.342,113,1
9,9,0.337,246,1
14,31.071,0.355,2164,1
14,21.286,0.207,862,1
8,19.625,0.446,560,1
17,4.529,0.314,411,1
10,11.9,0.275,327,1
11,2.909,0.335,118,1
8,3,0.203,39,1
6,1.5,0.37,20,1
7,4.429,0.318,69,1
9,1.444,0.368,43,1
8,1,0.516,33,1
8,1.875,0.325,39,1
8,6.5,0.325,135,1
8,1.125,0.417,30,1
6,16.667,0.345,207,1
9,8.444,0.358,245,1
9,3,0.346,84,1
5,0.8,0.5,10,1
8,11.875,0.187,142,1
7,6.571,0.354,114,1
9,31.222,0.272,687,1
8,6.25,0.428,171,1
13,4.385,0.745,552,1
10,6.5,0.475,309,1
8,2.875,0.451,83,1
6,2,0.278,20,1
11,0.727,0.25,22,1
7,12.286,0.294,177,1
9,8.889,0.231,166,1
8,1.5,0.458,44,1
11,23.727,0.251,722,1
10,27.1,0.193,522,1
10,51.1,0.158,805,1
9,9.111,0.337,249,1
7,17,0.285,237,1
11,24.727,0.281,840,1
6,2.833,0.451,46,1
5,1.4,0.457,16,1
24,19.5,0.472,5296,1
7,0.857,0.333,14,1
9,2.111,0.292,50,1
8,1.625,0.356,37,1
5,2.8,0.386,27,1
6,17.333,0.099,62,1
12,8.5,0.292,357,1
9,20.111,0.217,354,1
9,1,0.296,24,1
7,3.286,0.329,53,1
8,15.25,0.227,222,1
8,6.75,0.35,151,1
9,11.333,0.193,177,1
8,2.25,0.174,25,1
8,7.125,0.434,198,1
4,1.5,0.417,10,1
10,17.4,0.278,483,1
10,5.8,0.081,47,1
7,7.714,0.286,108,1
5,18.8,0.183,86,1
11,15,0.354,643,1
17,1.412,0.426,174,1
9,6.556,0.348,185,1
5,3.4,0.471,40,1
10,1,0.34,34,1
10,5.4,0.306,165,1
3,3,0.296,8,1
8,4.125,0.356,94,1
7,2.286,0.321,36,1
11,14,0.187,317,1
8,4,0.387,99,1
6,15.667,0.184,104,1
16,1.5,0.393,151,1
7,0.571,0.286,8,1
9,5.444,0.587,259,1
17,11.941,0.925,3192,1
9,13.778,0.367,410,1
9,12,0.376,365,1
10,3.3,0.182,60,1
8,2.625,0.363,61,1
8,7.375,0.464,219,1
9,3,0.346,84,1
10,7.8,0.381,297,1
23,5.13,0.293,795,1
8,12.375,0.351,278,1
8,4.5,0.427,123,1
5,2.6,0.4,26,1
5,1.6,0.6,24,1
7,3.286,0.248,40,1
6,2,0.319,23,1
5,6,0.36,54,1
6,2.167,0.231,18,1
8,4.375,0.379,106,1
7,1.857,0.242,22,1
7,2.714,0.346,46,1
10,3.1,0.329,102,1
5,23.6,0.154,91,1
7,2.286,0.438,49,1
10,15,0.252,378,1
7,1.286,0.444,28,1
6,11.333,0.257,105,1
5,6.4,0.419,67,1
12,9.833,0.309,438,1
10,10.8,0.319,345,1
7,5.429,0.308,82,1
14,24.214,0.248,1175,1
7,2.286,0.464,52,1
7,1,0.918,45,1
7,43.571,0.109,232,1
6,3.667,0.197,26,1
6,54.333,0.213,416,1
7,6.714,0.271,89,1
11,2.273,0.335,92,1
7,34.714,0.219,372,1
8,2,0.242,31,1
9,4,0.611,198,1
16,21.5,0.373,2053,1
10,7.9,0.385,304,1
7,3.286,0.28,45,1
6,1.5,0.352,19,1
8,9.875,0.375,237,1
8,2.25,0.403,58,1
10,2.5,0.408,102,1
9,6.889,0.348,194,1
8,32,0.124,253,1
10,6.4,0.439,281,1
10,2,0.4,80,1
8,6.75,0.183,79,1
14,1.929,0.479,181,1
1,9,0.778,7,1
9,13.556,0.378,415,1
9,13.778,0.348,388,1
6,16,0.318,183,1
8,2.5,0.413,66,1
8,0.125,1,8,1
7,4.429,0.281,61,1
6,4.333,0.34,53,1
5,2.6,0.308,20,1
8,4.125,0.375,99,1
3,2.667,0.333,8,1
1,12,0.583,7,1
