@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R4,10-11'

@attribute Eccen numeric
@attribute Wb_trans numeric
@attribute Class {1,2,3,4,5}

@data
0.6,1,1
0.727,10,1
0.727,1,1
6.6,93,1
7.111,95,1
9.333,93,1
6,96,1
8.3,105,1
3.667,58,1
0.583,5,1
3.556,35,1
0.769,6,1
0.556,6,1
13.214,289,1
12,2,1
8.286,35,1
15.5,6,1
12,2,1
0.636,10,1
43,4,2
10.667,124,1
10,113,1
2.364,42,1
1,3,1
11.222,150,1
0.4,1,4
0.2,1,2
2.222,20,1
45,6,2
4.5,11,1
11.75,24,1
2.1,20,1
2.556,39,1
3.556,55,1
6.4,84,1
9.111,125,1
7.545,146,1
6.474,1,1
6.5,112,1
5.625,30,1
3.3,62,1
124,7,2
12.6,202,1
8.5,124,1
40,1,2
46,3,2
6.714,40,1
7.375,63,1
5.875,68,1
14.286,157,1
6.917,151,1
3.583,68,1
5.75,56,1
3.5,30,1
11.182,173,1
1.1,31,1
3.5,66,1
8.444,118,1
9.091,158,1
7,1,2
14.167,643,1
0.286,1,1
2.222,32,1
5.048,152,1
4.75,55,1
7.5,103,1
9,94,1
3.583,66,1
79,7,2
2.625,34,1
5,59,1
14.444,199,1
4.667,5,1
5.714,23,1
2.714,44,1
2.067,24,1
8.865,400,5
10.778,174,1
5.444,86,1
2.333,23,1
10.222,140,1
1.333,27,1
1.333,29,1
1,8,1
6.4,109,1
4.444,57,1
0.043,64,4
6.2,18,1
4.529,140,1
0.667,1,1
9.7,165,1
6.917,144,1
6.083,108,1
9,106,1
2.9,18,1
4.778,59,1
5.375,61,1
9.7,152,1
5.556,54,1
2.25,27,1
11.8,162,1
5.25,60,1
1.842,8,5
147,11,2
17,1,2
0.111,1,4
27.143,218,1
16.571,116,1
9.4,138,1
7.182,135,1
7.8,32,1
9.333,112,1
4.833,38,1
23,118,1
6.385,115,1
12.4,171,1
11.9,169,1
27,237,1
86.333,24,2
2.2,29,1
38.308,799,1
41.417,658,1
6.667,81,1
13.111,164,1
4.6,333,1
26.143,181,1
5.4,26,1
9.25,114,1
7.6,29,1
26.769,543,1
12.1,180,1
9.8,154,1
4.389,115,1
7.556,88,1
7.857,69,1
8.375,91,1
2.143,5,5
1.75,4,5
3.143,15,1
4.25,56,1
0.833,4,5
1.5,2,5
27.1,381,1
24.5,1,2
24.727,348,1
13.5,144,1
3.286,35,1
6.857,64,1
31.167,168,1
2.5,13,1
4.2,21,1
1.2,4,1
4.571,52,1
1.6,11,1
5.333,41,1
2,11,1
6.833,46,1
5.714,50,1
4,26,1
1.667,15,1
3.4,26,1
4.714,53,1
2.2,13,1
2.833,21,1
1.143,9,1
8.167,61,1
1.667,13,1
2.556,34,1
1.4,11,1
2,28,1
3.714,36,1
1.571,18,1
0.714,7,1
7.714,58,1
1.25,11,1
3.857,39,1
2.571,23,1
14,3,1
4.111,60,1
3.25,39,1
1.571,17,1
1.4,12,1
0.714,8,1
0.857,7,1
6.3,83,1
3,31,1
1.857,19,1
4.714,53,1
3.8,52,1
2.714,12,1
2.286,20,1
1.571,20,1
2.857,29,1
3.571,35,1
2.167,21,1
2.75,14,1
1.5,8,1
3.4,18,1
2.4,15,1
3.778,45,1
2.6,15,1
2,18,1
3,21,1
2.143,22,1
3.714,42,1
2.429,26,1
4.6,28,1
1.222,18,1
5.167,35,1
3.833,35,1
0.571,1,1
2,14,1
4.143,43,1
3.9,58,1
1.714,19,1
1.286,11,1
2.429,27,1
4.857,47,1
1.5,25,1
1.214,15,5
3.25,36,1
0.873,88,5
22.583,410,1
1.125,15,1
6.556,82,1
1.889,27,1
4.2,70,1
4.5,65,1
23,1,2
127,6,2
43,10,2
2.5,39,1
0.8,2,5
5.222,76,1
2.273,46,1
7.182,132,1
86,2,2
2.636,43,1
1.875,22,1
1.25,16,1
1.5,17,1
3.875,50,1
2.875,40,1
2.25,32,1
8.909,138,1
0.625,6,1
2.273,47,1
2.125,22,1
4.75,61,1
1.5,21,1
2,19,1
4.8,80,1
1,11,1
2.556,39,1
1.625,19,1
23.727,368,1
2.909,63,1
6,55,1
4.727,84,1
1.333,8,1
5.545,89,1
2.375,32,1
5,81,1
24.727,428,1
4,50,1
1,14,1
3.636,66,1
1.875,24,1
0.6,8,1
5.182,91,1
2.125,25,1
3.25,39,1
2.636,46,1
1.667,14,1
4.4,80,1
5,43,1
11.222,136,1
2,12,1
4.6,77,1
23.727,381,1
2.833,5,5
1.5,29,1
3,1,1
3.5,40,1
0.5,1,1
1.125,16,1
4.875,65,1
2.5,30,1
2.875,32,1
2.8,14,1
1.25,16,1
4.909,91,1
1.6,21,1
2.667,11,1
6,27,1
5.1,81,1
4.1,60,1
1.2,22,1
3,26,1
2.857,26,1
2.8,56,1
3.3,60,1
2.333,22,1
0.625,6,1
1.5,23,1
0.667,4,1
1.375,21,1
4.125,43,1
6.625,76,1
3.75,38,1
5.778,73,1
2.2,29,1
2.375,37,1
5.2,36,1
1.875,23,1
3.125,38,1
3.1,52,1
12,197,1
6.25,73,1
1.286,14,1
13.5,182,1
4.4,81,1
2.857,31,1
21.2,274,1
2.25,36,1
2.667,24,1
3.875,48,1
2,25,1
3.9,62,1
1.75,29,1
4.875,69,1
11.6,178,1
0.98,691,5
11.444,134,1
1.571,7,1
50.9,401,1
16.875,116,1
12.875,100,1
1.857,8,1
31.444,389,1
267.5,59,2
0.8,3,1
0.8,1,1
11.64,455,1
20.556,238,1
18.444,190,1
0.8,1,1
56.444,579,1
59.444,310,1
50.8,372,1
19.5,689,1
13.571,120,1
66.5,636,1
4.857,45,1
30.444,298,1
51.556,505,1
18.84,678,1
12.875,129,1
24.222,203,1
19.625,679,1
20.111,213,1
18.778,200,1
56.111,654,1
30,213,1
28.286,174,1
25,188,1
11.429,74,1
16.778,162,1
24.875,155,1
89,14,1
36,6,2
2.923,39,1
7.875,89,1
12,142,1
12.222,148,1
27.667,344,1
63.875,261,1
23.375,168,1
8.3,120,1
6.429,57,1
54.444,212,1
24.375,221,1
179.33,27,2
11.68,461,1
20.111,211,1
10.5,5,1
7.571,63,1
33.444,371,1
23.667,276,1
12.75,138,1
3.36,110,1
7.75,304,1
7.5,69,1
11.444,124,1
268.5,26,2
1.857,17,1
37.889,165,1
2.167,17,1
56.778,751,1
2.333,15,1
2,13,1
177,35,1
51.1,534,1
28.778,370,1
22.5,230,1
16,1,2
18.5,180,1
13.5,102,1
24.143,154,1
30.25,195,1
22.5,6,1
4.818,38,1
25,1,4
15,1,2
0.857,12,1
0.052,1,4
10.727,80,1
7.9,128,1
26.182,386,1
1.333,1,1
7,1,1
0.462,1,1
4.077,61,1
3.75,38,1
0.863,1488,3
2,15,1
30.071,466,1
6.5,98,1
14.636,191,1
5.542,155,1
0.733,786,3
8.2,108,1
1.889,11,1
26.571,395,1
1.8,11,1
18.929,294,1
26.923,386,1
2,14,1
6.5,65,1
28.5,425,1
26.214,398,1
1.8,16,1
15.182,238,1
26.545,371,1
255,36,2
9,1,2
17,195,1
7.375,80,1
27.231,398,1
7.25,65,1
0.056,1,4
0.037,1,4
5.765,104,1
94,16,2
9.462,156,1
14.357,217,1
29.786,467,1
1.889,13,1
11.893,718,1
2,10,1
20.538,286,1
16.727,213,1
2,1,2
13.778,151,1
6.455,77,1
7.563,137,1
10.25,97,1
25.5,482,1
22.882,455,1
21.063,387,1
2,19,1
0.5,1,4
39.636,564,1
11.75,119,1
9.5,63,1
8,72,1
1.857,12,1
26.8,220,1
30.889,398,1
2.714,17,1
20.375,179,1
14,100,1
35.4,117,1
1.294,14,1
10,67,1
19,112,1
180.33,13,2
0.012,1,4
37,452,1
21.889,278,1
1.412,25,1
29.2,397,1
18.8,79,1
8,78,1
33,518,1
33.889,375,1
16,98,1
16,67,1
16.167,89,1
13.857,95,1
8.889,108,1
16,61,1
19.8,78,1
1.254,9,3
5.143,56,1
8,36,1
95,35,1
2.5,21,1
10.889,122,1
1.714,12,1
9.625,97,1
1.143,7,1
0.857,7,1
3.75,38,1
2.5,10,1
3.857,34,1
5,44,1
10.625,111,1
5,33,1
1.95,53,1
283,2,2
26.769,537,1
1.7,16,1
69,11,2
31.429,632,1
29.214,551,1
199,5,2
2.571,8,1
33.222,385,1
5.25,59,1
14,120,1
25.429,213,1
10.714,64,1
54.333,323,1
42.5,355,1
49.429,339,1
3.667,40,1
0.778,6,1
27.545,123,1
11,1,2
7,174,1
3.342,657,1
70,1,2
14,1,2
16.778,236,1
3.25,30,1
9.455,585,1
