@relation page-blocks

@attribute Height numeric
@attribute Eccen numeric
@attribute Class {1,2,3,4,5}

@data
5,2,1
8,1.125,1
7,27.429,1
8,2.875,1
8,4,1
5,13.8,1
8,7.375,1
6,0.667,1
7,1.571,1
16,21.063,1
5,1.4,1
1,123,1
10,4.2,1
7,3.286,1
6,3,1
9,4.889,1
8,0.625,1
7,24,1
10,3.3,1
10,3.5,1
7,16.714,1
11,3,1
9,5.667,1
13,8.846,1
7,1.143,1
10,25.1,1
10,32.7,1
12,3.667,1
1,263,1
7,2.429,1
7,2,1
9,16.778,1
9,26.444,1
8,1.125,1
8,4.5,1
11,3.909,1
9,10.556,1
7,2,1
14,30.071,1
9,2,1
8,3.375,1
9,12,1
10,2,1
7,1.571,1
13,14.692,1
8,7.125,1
6,5.333,1
9,39.222,1
10,4.9,1
8,11.875,1
13,12.231,1
10,23.6,1
9,12,1
5,1.4,1
13,31.385,1
7,3.286,1
9,9.556,1
28,6.107,1
8,11.625,1
9,6.111,1
12,0.667,1
10,2.4,1
7,2,1
9,57.778,1
9,4.222,1
7,3.143,1
5,3.4,1
10,28,1
5,1.4,1
8,6,1
9,2.556,1
12,1.833,1
7,3.429,1
11,10.727,1
10,5.1,1
8,3.625,1
10,0.9,1
7,4.429,1
11,9.273,1
11,1.727,1
10,26.2,1
7,5.714,1
7,2.857,1
5,4.4,1
11,1.909,1
10,8.3,1
9,3.778,1
9,18.667,1
7,13.714,1
7,8.429,1
7,5.429,1
11,9.273,1
7,23.143,1
7,5,1
8,17.375,1
9,8.556,1
9,6.222,1
8,1.125,1
8,5.375,1
9,20.444,1
10,1,1
8,1.25,1
7,2,1
8,2.5,1
7,20.429,1
11,24.727,1
7,1.857,1
10,1.5,1
7,2.714,1
10,2.5,1
10,3.4,1
8,3,1
5,0.8,1
9,12.222,1
4,3.75,1
14,24.286,1
7,17,1
7,16.286,1
71,0.479,1
6,9.833,1
10,5.5,1
7,5,1
24,7.083,1
9,9.111,1
6,7.667,1
9,9,1
7,2,1
9,11.333,1
7,17.429,1
7,18.286,1
7,21.571,1
8,2.375,1
9,10.222,1
9,10.222,1
8,11.625,1
9,3,1
9,3.556,1
7,2.714,1
11,33.364,1
16,27.438,1
8,3.25,1
8,10.25,1
5,16.4,1
11,23.727,1
9,20.667,1
8,2.75,1
7,6.857,1
7,1,1
8,1,1
7,3.286,1
17,0.647,1
2,22.5,1
18,3.556,1
