@relation page-blocks

@attribute Height numeric
@attribute Area numeric
@attribute Blackpix numeric
@attribute Class {1,2,3,4,5}

@data
11,319,95,1
10,90,62,1
13,572,98,1
7,224,60,1
16,1792,546,1
6,564,104,1
11,880,433,1
9,963,201,1
6,42,14,1
8,312,95,1
8,56,22,1
23,2116,306,1
9,4392,326,1
9,657,196,1
8,1920,373,1
6,174,58,1
12,1008,433,1
8,192,57,1
7,42,12,1
7,266,66,1
8,104,37,1
12,2484,496,1
7,182,64,1
10,870,299,1
9,2322,401,1
9,324,164,1
10,180,94,1
8,384,126,1
7,147,46,1
10,5110,721,1
8,144,25,1
8,128,54,1
5,490,155,1
11,1551,567,1
11,165,59,1
7,49,12,1
8,88,28,1
10,40,15,1
7,77,18,1
8,800,388,1
7,525,82,1
1,45,9,1
10,420,149,1
10,520,155,1
7,28,11,1
22,440,123,1
7,2135,232,1
8,744,138,1
7,266,87,1
10,180,53,1
9,1863,330,1
12,1224,357,1
9,333,172,1
10,1550,514,1
10,550,373,1
16,6288,2145,1
5,55,33,1
9,657,247,1
8,368,131,1
9,333,130,1
9,927,355,1
7,434,170,1
10,190,114,1
6,192,80,1
8,184,85,1
16,1472,361,1
10,1860,645,1
17,1802,1671,1
11,297,90,1
11,1232,267,1
9,315,86,1
8,128,27,1
9,180,113,1
8,136,47,1
8,520,140,1
8,280,100,1
11,1265,337,1
8,24,11,1
3,168,11,1
8,72,27,1
10,1370,261,1
6,42,21,1
8,120,32,1
6,60,11,1
8,176,75,1
10,90,27,1
11,99,38,1
11,209,64,1
8,2048,253,1
10,530,156,1
7,812,213,1
25,2875,851,1
10,4300,1508,1
12,480,130,1
5,160,65,1
9,108,40,1
10,230,85,1
25,11775,5290,1
10,4130,1302,1
7,119,27,1
9,216,76,1
9,261,83,1
1,40,8,1
1,47,20,1
10,70,22,1
6,198,53,1
9,927,331,1
8,672,242,1
10,380,164,1
8,792,158,1
13,1768,733,1
9,126,89,1
10,530,180,1
8,560,156,1
6,168,25,1
7,371,111,1
5,25,7,1
7,147,52,1
10,330,105,1
7,210,63,1
7,203,62,1
9,972,335,1
9,189,67,1
8,1464,271,1
5,160,56,1
10,650,309,1
11,3707,650,1
10,120,22,1
7,98,31,1
7,1344,183,1
12,3840,888,1
9,756,249,1
7,98,48,1
5,100,49,1
9,4815,926,1
1,95,36,1
7,175,61,1
7,140,64,1
8,416,187,1
6,354,84,1
11,4158,1371,1
5,475,121,1
14,532,130,1
4,68,13,1
17,6613,2273,1
14,4760,1824,1
10,100,46,1
8,104,51,1
7,77,30,1
7,259,135,1
10,990,261,1
9,999,218,1
8,2088,455,1
7,91,18,1
8,2176,407,1
24,11232,5296,1
9,1098,372,1
10,1840,598,1
10,40,14,1
8,472,180,1
7,140,59,1
10,670,195,1
10,600,219,1
8,432,79,1
10,1210,502,1
14,6062,2152,1
10,460,167,1
13,2938,759,1
9,1116,410,1
8,208,78,1
14,5852,1525,1
7,294,86,1
9,621,130,1
8,1624,242,1
9,405,181,1
20,380,188,1
8,168,47,1
10,3270,1239,1
8,328,119,1
11,1309,351,1
8,128,49,1
8,144,68,1
9,909,233,1
8,104,47,1
10,100,56,1
8,400,101,1
7,280,64,1
12,468,132,1
6,102,28,1
12,1008,334,1
10,230,83,1
8,496,180,1
8,248,92,1
9,171,51,1
7,91,24,1
5,65,10,1
7,84,39,1
10,2360,432,1
7,91,72,1
9,2448,336,1
9,1611,550,1
9,729,235,1
7,231,81,1
8,536,210,1
8,960,240,1
8,32,12,1
25,7300,3496,1
6,216,107,1
6,42,17,1
11,979,166,1
9,972,320,1
9,720,240,1
10,540,204,1
7,259,63,1
11,473,133,1
7,2205,124,1
77,18865,8396,1
12,1176,288,1
9,441,98,1
7,140,65,1
7,42,14,1
9,2097,345,1
8,336,142,1
11,1694,609,1
8,312,64,1
6,108,33,1
26,7644,3464,1
7,847,258,1
10,600,122,1
12,1416,438,1
9,2412,441,1
7,497,115,1
24,4272,2063,1
13,5304,1492,1
7,854,240,1
10,5110,721,1
7,1106,264,1
7,182,49,1
8,16,9,1
8,1544,617,1
8,240,82,1
6,564,184,1
9,108,44,1
8,96,38,1
8,160,81,1
10,1200,335,1
7,1071,500,1
1,40,16,1
8,368,107,1
9,675,252,1
12,1212,354,1
3,9,8,1
5,75,42,1
9,747,281,1
8,72,29,1
10,140,44,1
1,42,17,1
7,112,52,1
12,1068,458,1
9,2241,674,1
7,49,15,1
7,189,19,1
10,1550,427,1
9,972,436,1
7,2422,448,1
7,77,22,1
38,4826,2238,1
5,20,10,1
7,98,35,1
9,396,95,1
22,1562,810,1
9,324,113,1
7,119,42,1
9,999,188,1
6,168,68,1
12,804,281,1
17,408,174,1
10,1730,155,1
10,2630,537,1
7,672,211,1
9,2529,687,1
8,880,202,1
9,108,41,1
8,1216,242,1
27,3105,910,1
10,290,64,1
16,1440,283,1
9,891,168,1
16,192,101,1
10,2690,824,1
8,72,33,1
7,2625,241,1
8,1184,232,1
14,3038,813,1
10,2720,758,1
10,490,270,1
7,301,74,1
8,512,172,1
5,80,20,1
7,455,98,1
16,5744,2158,1
2,28,11,1
7,56,17,1
7,3647,333,1
14,1974,549,1
8,208,88,1
5,35,24,1
24,7416,6828,1
9,207,75,1
7,35,18,1
8,256,99,1
13,1911,684,1
9,225,56,1
20,360,176,1
7,231,79,1
15,2310,976,1
10,160,48,1
15,2070,893,1
7,56,20,1
25,4675,2207,1
8,112,57,1
9,351,129,1
9,594,143,1
5,290,58,1
4,396,199,1
7,161,53,1
8,64,14,1
7,63,21,1
7,343,109,1
11,4763,2137,1
12,1416,361,1
6,84,33,1
9,4824,743,1
9,108,46,1
8,256,94,1
19,228,69,1
9,747,292,1
7,1337,411,1
11,253,148,1
4,112,51,1
9,441,102,1
5,35,17,1
9,153,47,1
11,352,93,1
6,12,8,1
7,413,100,1
8,136,60,1
9,2790,475,1
8,496,147,1
8,360,107,1
10,220,70,1
12,3024,1259,1
8,184,59,1
10,290,89,1
9,180,61,1
8,752,365,1
9,720,243,1
11,2695,678,1
5,35,21,1
8,144,69,1
6,36,15,1
10,730,199,1
10,120,17,1
9,4815,655,1
8,280,111,1
5,100,54,1
5,135,36,1
11,275,99,1
8,224,92,1
6,432,261,1
24,5016,4645,1
7,756,274,1
10,100,52,1
6,78,28,1
4,48,7,1
9,999,184,1
8,320,146,1
9,1629,601,1
6,108,34,1
9,288,105,1
7,161,44,1
7,154,38,1
10,180,118,1
10,2500,301,1
11,1507,478,1
9,1260,479,1
8,2416,510,1
71,2414,227,1
9,2160,559,1
8,536,204,1
12,5964,1605,1
7,98,31,1
9,162,64,1
10,970,410,1
8,1496,232,1
6,570,119,1
14,3542,1317,1
7,91,26,1
7,252,115,1
8,144,56,1
9,108,46,1
5,135,55,1
9,369,187,1
9,4815,704,1
11,1298,596,1
10,250,67,1
8,592,270,1
11,1672,610,1
11,2992,778,1
8,56,27,1
9,729,239,1
5,65,28,1
8,1536,318,1
9,675,267,1
6,234,71,1
11,2178,834,1
7,322,134,1
8,424,147,1
8,2736,445,1
13,1794,417,1
8,104,71,1
8,96,20,1
8,128,31,1
8,72,38,1
5,30,11,1
10,90,47,1
6,30,11,1
10,2420,630,1
8,1720,629,1
5,20,7,1
9,702,231,1
6,102,28,1
9,1089,434,1
10,100,57,1
10,1450,389,1
5,35,15,1
7,112,27,1
24,6744,3155,1
9,342,127,1
7,91,61,1
5,85,35,1
9,558,194,1
8,64,30,1
7,112,29,1
7,189,65,1
13,4524,881,1
5,30,12,1
10,1470,247,1
7,931,196,1
7,77,26,1
13,1573,591,1
10,1000,444,1
11,1375,594,1
5,95,22,1
9,531,261,1
10,340,103,1
8,264,99,1
10,350,133,1
6,42,21,1
6,774,151,1
9,288,96,1
14,5194,1975,1
8,1184,216,1
7,119,49,1
8,96,44,1
9,684,248,1
8,64,22,1
8,272,101,1
8,488,167,1
7,133,54,1
14,5390,1990,1
10,190,114,1
9,738,284,1
8,2184,469,1
13,1755,864,1
7,231,84,1
8,4184,250,1
10,350,109,1
14,1274,495,1
5,95,20,1
8,1048,258,1
9,360,124,1
8,160,65,1
11,682,241,1
10,180,99,1
7,56,21,1
9,2556,361,1
23,2760,2599,1
10,130,41,1
5,95,30,1
9,1467,387,1
10,2710,509,1
1,35,7,1
5,30,13,1
9,981,215,1
7,126,34,1
8,128,54,1
8,560,259,1
7,1225,413,1
7,56,9,1
12,264,153,1
5,195,67,1
9,324,178,1
4,68,21,1
8,72,26,1
10,880,226,1
12,1236,436,1
8,344,137,1
7,490,182,1
24,8064,7238,1
10,370,122,1
7,1050,187,1
8,3184,887,1
9,819,247,1
4,372,116,1
11,99,34,1
9,747,262,1
4,24,10,1
7,266,67,1
10,70,25,1
8,80,32,1
8,168,69,1
7,14,7,1
6,408,105,1
8,136,31,1
11,1353,649,1
8,320,116,1
8,96,39,1
7,98,33,1
14,5698,2010,1
11,275,90,1
7,1701,336,1
1,12,7,1
10,3160,1158,1
8,992,424,1
