@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R4-5,10-11'

@attribute Eccen numeric
@attribute P_black numeric
@attribute Wb_trans numeric
@attribute Class {1,2,3,4,5}

@data
500,0.5,4,1
0.4,0.8,1,1
4.5,0.25,7,1
3.4,0.297,59,1
10,0.436,172,1
8.333,0.256,79,1
34.5,0.623,8,2
7,0.345,120,1
57,0.456,7,2
15.2,0.297,208,1
8.5,0.588,3,2
4.5,0.154,9,1
2.143,0.324,11,1
0.818,0.485,8,1
6.111,0.299,77,1
1.556,0.127,9,1
4.375,0.379,64,1
8.889,0.293,114,1
10.5,0.269,101,1
2,0.184,1,1
3.25,0.375,44,1
4,0.568,61,1
7.667,0.217,30,1
1.909,0.411,24,1
3.8,0.439,59,1
9.091,0.269,156,1
10.25,0.398,104,1
5,0.391,60,1
5.625,0.367,54,1
9,0.778,1,2
0.068,0.598,32,4
71,0.318,17,2
2.4,0.267,31,1
7,0.282,149,1
6.3,0.294,84,1
75,0.92,6,2
3.778,0.288,42,1
0.667,0.479,1,1
0.583,0.56,9,1
1.286,0.159,12,1
8.909,0.317,122,1
0.778,0.349,10,1
5,0.425,62,1
3.8,0.432,59,1
4,0.586,55,1
2.444,0.389,40,1
3.556,0.382,51,1
11.364,0.432,196,1
4.444,0.483,61,1
4.889,0.449,60,1
5.222,0.371,57,1
6,0.293,33,1
1.833,0.197,10,1
8.909,0.397,164,1
23,0.826,1,2
6.625,0.337,87,1
3.417,0.289,69,1
9.375,0.373,115,1
4.5,0.559,53,1
8.875,0.329,102,1
4.111,0.396,65,1
11.111,0.276,130,1
9,0.337,125,1
9.333,0.25,103,1
3,0.346,45,1
3.667,0.424,68,1
1.167,0.238,1,2
5.222,0.286,62,1
5.111,0.29,55,1
13.556,0.378,152,1
36,0.583,5,2
4,0.402,57,1
5.222,0.404,86,1
4,0.565,58,1
10,0.444,168,1
10.1,0.442,153,1
9.833,0.255,175,1
12.6,0.456,193,1
2.625,0.208,12,1
0.286,0.643,4,1
2,0.327,12,1
0.818,0.465,8,1
4,0.352,65,1
8.889,0.333,115,1
3.667,0.354,57,1
1.375,0.443,24,1
6.727,0.267,98,1
6.625,0.33,86,1
5.636,0.218,92,1
84,0.917,4,2
5,0.456,54,1
5.125,0.351,60,1
6.143,0.243,21,1
3.273,0.469,86,1
8.875,0.312,95,1
7,0.297,49,1
7.167,0.205,30,1
4.8,0.313,60,1
0.077,1,1,4
7.8,0.338,38,1
0.077,1,1,4
3.3,0.394,40,1
8.6,0.423,149,1
8.583,0.353,171,1
9.333,0.187,241,1
15.5,0.268,383,1
3.5,0.337,63,1
5,0.279,52,1
6.889,0.348,87,1
4.444,0.506,59,1
7.8,0.492,39,1
8.286,0.27,207,1
1.444,0.53,19,1
1.625,0.587,13,1
6.1,0.487,95,1
41.667,0.264,646,1
3.091,0.364,49,1
16.5,0.301,123,1
9,0.481,22,1
34.5,0.313,675,1
2,0.4,23,1
1.357,0.113,1,5
2.4,0.133,2,5
30.222,0.277,365,1
1.25,0.35,3,5
3.625,0.384,43,1
24.636,0.177,353,1
0.875,0.393,11,1
1.5,0.247,23,1
6,0.203,85,1
17.9,0.2,254,1
27.1,0.197,386,1
1.125,0.125,2,5
5.1,0.22,87,1
33.875,0.217,364,1
17.182,0.174,256,1
17.3,0.09,102,1
19.444,0.19,221,1
8.875,0.136,59,1
3.625,0.207,30,1
3.333,0.175,14,1
3.6,0.378,21,1
15.75,0.188,149,1
12.375,0.199,114,1
0.014,0.191,108,4
2.4,0.317,13,1
2,0.255,16,1
17.556,0.217,212,1
41,0.927,3,2
1,0.306,3,1
1.167,0.405,9,1
1.167,0.31,7,1
12,0.583,4,1
2.556,0.246,28,1
2.333,0.274,14,1
3.5,0.268,9,1
5.857,0.226,44,1
1.143,0.375,13,1
9.833,0.268,75,1
0.889,0.264,15,1
2.875,0.277,30,1
7,0.318,71,1
4.143,0.305,42,1
1.571,0.312,16,1
2.286,0.259,21,1
1,0.44,7,1
12.429,0.232,111,1
1.286,0.317,13,1
5.444,0.231,70,1
0.625,0.375,9,1
2.875,0.239,25,1
4.286,0.305,39,1
3,0.306,25,1
2.143,0.333,24,1
4.167,0.273,35,1
5.444,0.247,72,1
7.125,0.268,84,1
1.143,0.357,10,1
2.714,0.398,30,1
26.2,0.19,377,1
2.286,0.339,27,1
5.714,0.336,64,1
1.286,0.333,15,1
8.143,0.273,84,1
1.857,0.319,18,1
1.286,0.381,12,1
5,0.302,50,1
2.857,0.379,33,1
3.286,0.286,29,1
4.875,0.224,58,1
2.714,0.346,26,1
2.5,0.206,24,1
3.222,0.287,49,1
4.714,0.368,54,1
3.143,0.247,31,1
8,0.241,97,1
5.143,0.302,56,1
4.286,0.338,46,1
4.571,0.272,40,1
0.571,0.393,3,1
7.286,0.325,70,1
3.143,0.325,38,1
2.333,0.286,20,1
2,0.211,19,1
0.857,0.333,10,1
3.429,0.196,24,1
4.5,0.241,35,1
3,0.259,26,1
4.333,0.288,32,1
3.75,0.242,43,1
3.286,0.28,35,1
10.111,0.206,123,1
6.4,0.406,46,1
2.167,0.359,17,1
1.4,0.4,8,1
9.286,0.284,82,1
8.6,0.372,55,1
5.143,0.262,52,1
2.571,0.357,29,1
0.75,0.375,11,1
1,0.28,4,1
1.429,0.329,18,1
11.889,0.217,156,1
5.556,0.22,75,1
5.125,0.293,67,1
1.167,0.262,8,1
20.444,0.206,251,1
2.2,0.4,14,1
1.143,0.321,13,1
3,0.286,31,1
1.667,0.45,14,1
1.125,0.319,11,1
1.4,0.543,9,1
5.375,0.398,81,1
0.385,0.123,1,5
3.818,0.292,70,1
2.3,0.361,34,1
3.75,0.433,49,1
5.182,0.295,75,1
2.909,0.301,56,1
3.091,0.324,49,1
4.5,0.556,1,2
1.727,0.378,41,1
0.684,0.215,35,1
0.75,0.5,8,1
1.75,0.455,26,1
0.36,0.187,17,5
1.333,0.389,18,1
4.375,0.382,53,1
5.25,0.414,74,1
3.545,0.317,55,1
2.375,0.355,31,1
2.7,0.367,49,1
3.2,0.334,51,1
1.5,0.427,22,1
4.25,0.371,48,1
4.727,0.28,78,1
7.909,0.253,128,1
6.125,0.406,88,1
1.875,0.558,23,1
6.714,0.38,54,1
47,1,1,2
2.625,0.357,36,1
26.667,0.259,336,1
3.889,0.33,52,1
1.75,0.464,20,1
4,0.367,38,1
4.75,0.401,46,1
4.375,0.418,49,1
2,0.385,36,1
5.778,0.359,70,1
1.182,0.35,24,1
1.091,0.295,13,1
1.75,0.446,22,1
2.273,0.335,36,1
22.583,0.232,390,1
1.75,0.42,23,1
1.9,0.311,35,1
6,0.391,96,1
1.5,0.396,16,1
0.875,0.429,11,1
1.5,0.406,21,1
2,0.43,27,1
11.091,0.256,177,1
2.75,0.392,30,1
1.25,0.4,17,1
1.5,0.427,16,1
3,0.278,48,1
1.167,0.5,10,1
2.455,0.303,37,1
24.333,0.325,156,1
1,0.265,4,1
0.857,0.405,9,1
1.3,0.285,23,1
5.1,0.28,86,1
3.7,0.327,66,1
1.1,0.409,18,1
2.167,0.436,15,1
2.833,0.451,18,1
0.794,0.219,65,5
4,0.395,48,1
1.813,0.144,26,5
10.3,0.25,146,1
0.8,0.313,16,1
0.222,0.611,1,4
1.5,0.531,18,1
2,0.422,30,1
0.571,0.5,6,1
2.6,0.554,12,1
3.9,0.344,48,1
0.7,0.357,9,1
11.545,0.266,166,1
1.75,0.438,22,1
2.375,0.454,32,1
1.8,0.294,27,1
3,0.318,39,1
1.4,0.571,8,1
3,0.357,50,1
2.5,0.394,28,1
3.125,0.405,44,1
3,0.333,56,1
5,0.372,68,1
1.556,0.333,17,1
4.1,0.278,59,1
1.125,0.361,16,1
26.2,0.274,399,1
