@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R1,8,10-11'

@attribute Height numeric
@attribute Blackpix numeric
@attribute Wb_trans numeric
@attribute Class {1,2,3,4,5}

@data
5,13,3,1
5,15,1,1
5,10,2,1
11,53,9,1
2,109,10,2
2,29,1,2
9,242,118,1
9,110,58,1
10,147,87,1
1,10,1,2
1,8,1,2
11,62,8,1
11,39,1,1
11,155,69,1
8,119,62,1
10,552,198,1
9,262,86,1
9,61,26,1
1,15,4,2
14,1175,481,1
93,156,54,4
9,279,163,1
7,19,5,1
9,407,168,1
9,67,25,1
1,24,10,2
7,45,16,1
1,14,2,1
9,136,68,1
9,74,27,1
10,251,122,1
1,33,1,2
9,185,59,1
1,7,1,2
9,103,50,1
1,11,1,2
4,196,11,2
7,47,22,1
10,156,68,1
9,116,40,1
10,368,175,1
9,208,86,1
10,297,118,1
12,160,6,5
9,434,181,1
9,164,57,1
11,242,48,1
9,180,56,1
9,92,28,1
12,314,135,1
10,182,91,1
9,301,126,1
9,276,120,1
23,341,155,1
10,309,112,1
10,197,55,1
7,27,11,1
11,108,15,1
11,61,6,1
9,164,58,1
8,16,6,1
9,95,59,1
11,251,145,1
10,44,28,1
1,9,3,2
8,16,10,1
9,351,169,1
8,126,63,1
13,105,27,1
11,40,9,1
9,247,125,1
11,293,178,1
8,171,58,1
1,35,4,2
4,21,6,1
3,11,8,1
3,268,9,2
25,484,12,2
10,259,86,1
9,230,105,1
9,260,117,1
12,15,1,4
8,42,28,1
10,294,171,1
2,168,16,2
9,271,102,1
9,261,119,1
6,98,15,2
1,12,1,2
9,159,48,1
9,164,83,1
8,40,18,1
8,195,90,1
9,87,40,1
10,410,146,1
9,232,109,1
12,453,130,1
6,59,39,1
9,151,56,1
13,1459,669,1
12,438,181,1
37,321,42,5
38,3957,1651,1
13,469,179,1
10,292,161,1
8,177,99,1
8,495,223,1
10,361,137,1
14,1256,299,1
12,1636,608,1
3,506,12,2
8,217,98,1
6,98,49,1
10,147,66,1
12,207,76,1
12,1773,789,1
9,365,155,1
6,357,179,1
6,367,227,1
8,186,112,1
12,281,99,1
5,623,17,2
9,178,61,1
12,879,375,1
10,467,190,1
10,502,192,1
27,910,388,1
10,353,121,1
10,888,273,1
10,1302,527,1
10,209,67,1
12,331,95,1
6,109,52,1
24,348,103,1
9,22,7,5
10,631,319,1
15,23,12,5
10,724,369,1
6,10,7,5
8,407,288,1
10,508,375,1
10,476,342,1
8,152,113,1
7,35,20,1
10,454,351,1
7,182,137,1
5,30,18,1
5,54,43,1
4,16,12,1
5,97,82,1
9,30,14,1
6,23,16,1
5,69,47,1
6,26,22,1
5,16,12,1
1,11,6,2
3,8,6,1
9,196,138,1
9,46,34,1
5,34,25,1
9,124,87,1
6,43,33,1
7,38,23,1
7,27,16,1
7,48,34,1
7,40,33,1
7,33,21,1
8,51,39,1
8,12,5,1
7,60,43,1
6,53,38,1
7,34,19,1
7,49,40,1
5,9,7,1
9,118,83,1
9,69,46,1
6,11,8,1
8,39,30,1
7,33,22,1
7,17,8,1
6,44,33,1
6,19,8,1
7,31,17,1
5,36,22,1
7,63,44,1
7,19,14,1
7,27,14,1
9,53,35,1
7,7,4,1
7,88,66,1
7,15,11,1
9,63,43,1
6,35,22,1
7,32,20,1
9,106,63,1
6,26,19,1
10,81,60,1
6,26,17,1
7,34,17,1
10,449,327,1
7,45,28,1
7,25,17,1
5,27,16,1
7,125,86,1
6,22,14,1
9,11,6,1
9,42,26,1
7,32,21,1
7,16,8,1
5,22,12,1
5,15,8,1
7,68,41,1
6,25,14,1
6,60,41,1
6,105,91,1
7,19,11,1
7,58,41,1
8,15,6,1
7,26,19,1
9,74,57,1
9,158,122,1
6,30,26,1
7,17,14,1
7,48,33,1
5,9,3,1
7,25,19,1
7,35,26,1
1,42,14,2
8,26,17,1
22,52,29,5
8,7,1,4
29,162,32,5
9,81,48,1
8,40,20,1
7,50,25,1
21,26,7,5
19,70,18,5
11,59,27,1
8,29,15,1
8,23,10,1
9,354,190,1
8,43,22,1
10,132,59,1
6,31,10,1
1,17,1,2
8,23,12,1
8,105,50,1
9,128,54,1
6,15,3,1
8,34,17,1
8,173,91,1
7,39,18,1
9,87,47,1
8,171,74,1
8,19,12,1
7,110,45,1
5,14,2,1
8,46,20,1
11,840,420,1
8,50,23,1
11,81,39,1
8,56,21,1
10,92,47,1
8,55,25,1
10,134,69,1
6,107,56,1
8,71,35,1
10,128,66,1
10,23,13,1
8,40,19,1
11,379,180,1
9,138,61,1
7,100,42,1
8,14,3,1
10,78,49,1
8,26,14,1
8,116,60,1
8,85,39,1
10,159,81,1
6,92,52,1
11,383,209,1
8,126,61,1
7,42,23,1
9,279,150,1
10,177,82,1
7,216,112,1
67,339,150,5
5,36,12,1
10,162,82,1
10,368,205,1
11,162,74,1
8,133,69,1
10,164,75,1
34,218,106,5
8,99,62,1
6,29,9,1
9,106,43,1
9,74,29,1
8,119,57,1
10,132,58,1
10,193,108,1
8,60,31,1
8,132,72,1
10,66,30,1
10,62,39,1
8,50,27,1
8,38,20,1
8,46,21,1
8,93,46,1
10,92,44,1
8,69,33,1
8,115,56,1
8,41,19,1
5,27,9,1
6,14,4,1
8,27,13,1
9,173,88,1
8,47,24,1
8,44,25,1
5,24,8,1
8,19,8,1
11,284,139,1
9,99,62,1
8,70,36,1
9,107,53,1
8,47,25,1
10,85,37,1
7,27,9,1
8,60,27,1
7,61,27,1
7,15,9,1
5,52,29,1
8,41,20,1
8,51,31,1
9,383,173,1
9,501,197,1
3,8,4,1
9,554,419,1
6,135,97,1
9,736,572,1
6,20,13,1
4,12,4,1
5,167,78,1
24,3064,400,1
8,253,92,1
7,691,234,1
9,530,378,1
8,224,172,1
9,315,234,1
7,242,178,1
1,43,42,1
9,784,585,1
1,26,25,1
13,155,44,1
