@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R1,3,10-11'

@attribute Height numeric
@attribute Area numeric
@attribute Wb_trans numeric
@attribute Class {1,2,3,4,5}

@data
5,35,6,1
3,177,1,2
9,189,27,1
9,828,123,1
9,747,111,1
9,684,114,1
8,24,1,1
2,96,2,2
9,333,55,1
9,189,35,1
9,396,64,1
9,423,48,1
1,8,1,2
2,34,4,1
11,77,8,1
11,99,3,1
10,980,159,1
11,924,143,1
9,891,125,1
8,424,99,1
12,744,110,1
7,231,14,1
8,168,29,1
9,756,119,1
8,248,44,1
9,1098,145,1
11,88,8,1
9,324,54,1
1,32,4,2
8,536,82,1
8,136,24,1
8,600,105,1
9,333,57,1
10,1010,156,1
9,396,55,1
66,198,50,4
10,1310,199,1
1,61,1,2
8,976,154,1
9,387,65,1
306,142290,2925,5
10,980,160,1
9,738,119,1
10,640,116,1
9,324,59,1
9,297,62,1
12,96,9,1
8,168,31,1
10,210,23,1
10,340,63,1
1,77,6,2
10,1300,199,1
7,217,27,1
1,14,4,2
8,208,43,1
12,312,39,1
1,98,3,2
9,405,56,1
8,344,61,1
8,144,13,1
4,60,4,1
9,576,84,1
11,473,58,1
7,42,1,1
76,76,1,4
8,264,39,1
10,990,166,1
10,1250,195,1
6,210,42,1
1,14,1,2
12,108,6,1
11,88,7,1
1,14,1,2
9,351,57,1
11,1034,122,1
9,891,129,1
12,732,104,1
8,400,44,1
7,847,149,1
10,80,6,1
10,80,5,1
9,99,24,1
8,656,105,1
9,108,28,1
9,567,82,1
9,234,42,1
8,264,60,1
8,344,50,1
9,387,59,1
11,979,61,1
10,310,28,1
17,17,1,4
10,1210,186,1
13,13,1,4
23,23,1,4
8,1480,191,1
9,297,50,1
10,750,141,1
7,798,114,1
15,2040,174,1
7,1267,242,1
12,1068,131,1
14,5852,707,1
5,195,48,1
4,456,98,1
8,136,25,1
10,760,119,1
8,744,121,1
9,963,161,1
13,1976,220,1
22,1518,74,1
8,1056,163,1
12,2112,244,1
12,300,37,1
7,119,19,1
8,600,110,1
8,560,95,1
7,441,74,1
13,5018,657,1
11,330,41,1
10,750,119,1
10,10,1,4
19,855,69,1
12,120,10,1
9,2376,311,1
5,35,3,5
10,1970,258,1
14,266,12,5
7,168,9,5
7,28,1,1
8,2176,299,1
10,70,7,5
10,2710,388,1
21,1428,13,5
8,1080,54,1
10,2710,318,1
10,2340,319,1
10,1470,191,1
7,203,39,1
11,1133,123,1
8,120,23,1
