@relation page-blocks

@attribute Eccen numeric
@attribute P_black numeric
@attribute Class {1,2,3,4,5}

@data
5.75,0.266,1
1.167,0.405,1
1,0.537,1
1.8,0.389,1
8.714,0.241,1
1.167,0.333,1
3.875,0.427,1
1,0.52,1
9.375,0.415,1
9.111,0.337,1
3.545,0.317,1
2.333,0.512,1
25.2,0.377,1
10.25,0.434,1
12,0.276,1
3.75,0.433,1
20.111,0.361,1
1.75,0.482,1
9.778,0.263,1
1.875,0.417,1
1,0.408,1
0.4,0.8,1
25.375,0.149,1
29.071,0.353,1
7.125,0.309,1
9,0.357,1
18.875,0.174,1
12.286,0.281,1
2.136,0.319,1
5.857,0.321,1
4.6,0.3,1
21.417,0.283,1
3.889,0.33,1
2.625,0.232,1
8.6,0.372,1
1.7,0.535,1
32,0.438,1
4.778,0.47,1
0.75,0.509,1
7.143,0.266,1
2,0.357,1
12.875,0.425,1
1.571,0.416,1
9.8,0.392,1
3.875,0.327,1
10.579,0.238,1
1.75,0.223,1
9,0.187,1
7.545,0.274,1
3,0.583,1
56.111,0.189,1
10.25,0.412,1
3,0.313,1
6.429,0.2,1
13.143,0.309,1
25.313,0.382,1
17,0.285,1
3,0.36,1
1.857,0.363,1
5,0.259,1
5.429,0.252,1
1.25,0.4,1
65,0.2,1
4.667,0.143,1
3.125,0.3,1
13.75,0.23,1
3.286,0.248,1
9.833,0.255,1
29.214,0.172,1
5,0.311,1
16,0.123,1
8,0.252,1
2.111,0.386,1
26.2,0.288,1
1.571,0.338,1
200,0.13,1
2.9,0.221,1
24,0.081,1
59.444,0.088,1
5.739,0.95,1
1.4,0.4,1
2.1,0.348,1
34,0.189,1
0.714,0.2,1
3.3,0.394,1
4.9,0.551,1
12,0.247,1
5.182,0.343,1
5.091,0.386,1
41.5,0.307,1
27.9,0.377,1
1.5,0.385,1
1.222,0.283,1
5,0.347,1
2.333,0.274,1
4.333,0.308,1
4,0.349,1
4.1,0.302,1
2.143,0.324,1
177,0.203,1
1.9,0.379,1
3.5,0.5,1
13.286,0.307,1
1,0.36,1
89,0.169,1
9,0.337,1
1.571,0.299,1
1.6,0.338,1
2.909,0.301,1
1.5,0.458,1
5.917,0.628,1
3.4,0.426,1
27.111,0.237,1
26.667,0.179,1
6.444,0.203,1
8.889,0.304,1
1,0.438,1
1.625,0.49,1
13.444,0.399,1
19,0.255,1
15.667,0.184,1
8.444,0.38,1
17.6,0.364,1
6.4,0.419,1
56.667,0.075,1
27.286,0.307,1
8.429,0.242,1
1.5,0.385,1
34.083,0.302,1
2,0.5,1
29.778,0.465,1
6,0.228,1
1,0.43,1
3.462,0.429,1
21.5,0.133,1
8.5,0.54,1
1.625,0.635,1
33.875,0.314,1
7.417,0.483,1
