@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R1,8,11'

@attribute Height numeric
@attribute Blackpix numeric
@attribute Class {1,2,3,4,5}

@data
5,17,1
6,15,1
9,177,1
2,24,2
9,98,1
11,250,1
10,44,1
9,49,1
12,44,1
9,231,1
3,124,2
3,200,2
10,543,1
10,147,1
8,80,1
9,175,1
8,119,1
7,240,1
10,401,1
25,416,1
12,19,1
10,584,1
9,179,1
10,445,1
1,7,1
8,9,1
11,610,1
9,302,1
1,125,2
6,26,1
1,51,2
10,304,1
10,41,1
9,141,1
8,47,1
311,12631,5
9,179,1
12,354,1
10,299,1
10,299,1
9,32,1
10,158,1
9,130,1
12,311,1
9,339,1
9,19,1
10,468,1
10,275,1
1,46,2
7,16,1
9,152,1
1,13,2
9,63,1
9,20,1
9,236,1
8,278,1
12,353,1
10,42,1
9,138,1
12,145,1
1,30,2
1,11,2
1,15,2
9,177,1
8,151,1
9,243,1
9,174,1
9,84,1
10,69,1
9,129,1
1,30,2
7,121,1
10,589,1
7,14,1
9,259,1
1,142,2
9,431,1
9,130,1
15,1232,1
9,432,1
10,133,1
13,361,1
8,289,1
15,262,1
15,226,1
28,1016,1
9,441,1
9,369,1
6,161,1
6,68,1
7,413,1
12,239,1
7,196,1
6,90,1
12,311,1
9,361,1
6,118,1
24,975,1
11,650,1
8,270,1
9,150,1
153,7689,5
12,447,1
11,137,1
5,46,1
8,148,1
6,71,1
7,54,1
5,87,1
9,170,1
10,1151,1
12,302,1
12,461,1
10,483,1
9,225,1
11,105,1
9,188,1
6,238,1
16,265,1
9,125,1
9,171,1
4,77,1
9,86,1
9,57,1
9,35,1
7,14,5
8,107,1
7,296,1
8,67,1
16,64,5
7,20,1
8,56,1
8,74,1
8,428,1
10,477,1
8,135,1
8,455,1
8,137,1
9,69,1
7,27,1
7,46,1
8,48,1
6,25,1
7,62,1
5,17,1
8,44,1
6,151,1
7,10,1
5,7,1
5,50,1
4,24,1
6,29,1
1,22,2
1,91,2
9,23,1
6,57,1
9,33,1
10,17,1
8,31,1
7,259,1
8,73,1
8,56,1
7,20,1
7,47,1
5,24,1
8,45,1
7,74,1
7,79,1
7,27,1
7,64,1
7,60,1
7,79,1
7,28,1
9,128,1
7,33,1
6,11,1
7,37,1
6,33,1
9,45,1
7,34,1
9,98,1
7,75,1
5,9,1
7,42,1
10,20,1
8,15,1
7,15,1
7,67,1
7,24,1
7,46,1
9,118,1
9,73,1
5,42,1
7,60,1
7,26,1
7,22,1
7,21,1
7,55,1
7,16,1
6,62,1
5,19,1
7,54,1
7,41,1
10,60,1
7,28,1
6,19,1
8,100,1
7,87,1
7,29,1
6,22,1
7,114,1
7,29,1
7,23,1
7,45,1
9,97,1
9,68,1
5,45,1
7,52,1
6,33,1
7,73,1
9,111,1
9,163,1
8,53,1
9,56,1
7,22,1
9,126,1
9,75,1
9,89,1
7,72,1
7,66,1
8,23,1
7,15,1
8,58,1
6,22,1
8,39,1
8,36,1
6,26,1
8,77,1
8,124,1
8,132,1
10,52,1
8,55,1
8,61,1
6,47,1
10,65,1
17,32,5
8,56,1
8,62,1
53,400,5
8,8,4
6,19,1
11,47,1
10,31,1
8,92,1
6,58,1
10,647,1
8,73,1
9,72,1
8,41,1
8,103,1
9,55,1
11,307,1
8,15,1
8,94,1
10,98,1
11,847,1
8,23,1
11,678,1
8,24,1
10,108,1
5,21,1
10,121,1
11,58,1
9,80,1
9,53,1
10,172,1
8,88,1
8,52,1
10,82,1
8,91,1
10,48,1
8,43,1
12,649,1
8,25,1
10,60,1
10,57,1
10,25,1
5,16,1
8,191,1
10,98,1
7,27,1
7,29,1
7,10,1
10,210,1
10,378,1
9,35,1
10,62,1
4,24,1
7,59,1
10,389,1
6,20,1
9,118,1
8,96,1
9,124,1
11,281,1
8,112,1
10,186,1
7,64,1
5,7,1
6,81,1
8,26,1
8,107,1
10,71,1
10,224,1
8,71,1
10,64,1
10,109,1
11,176,1
10,113,1
7,17,1
5,39,1
6,27,1
5,54,1
8,18,1
8,38,1
7,65,1
6,29,1
7,102,1
8,63,1
8,37,1
9,16,1
11,722,1
11,405,1
8,151,1
7,59,1
8,115,1
9,123,1
8,21,1
8,51,1
8,29,1
11,662,1
8,74,1
8,103,1
10,75,1
6,12,1
7,86,1
10,133,1
10,199,1
11,267,1
10,83,1
8,63,1
7,103,1
8,112,1
86,947,5
27,747,1
24,3018,1
9,247,1
10,598,1
7,26,1
8,189,1
2,7,1
8,95,1
13,759,1
7,198,1
7,127,1
6,10,1
9,344,1
6,137,1
8,222,1
1,277,2
32,1588,5
9,704,1
8,129,1
10,606,1
8,282,1
6,160,1
31,728,5
7,354,1
8,695,1
9,686,1
9,510,1
5,101,1
7,158,1
13,417,1
25,3459,1
8,340,1
8,234,1
9,249,1
10,721,1
8,35,1
28,294,5
7,195,1
8,424,1
9,264,1
9,926,1
7,216,1
9,259,1
13,165,1
8,196,1
2,557,2
9,924,1
9,350,1
7,105,1
7,32,1
9,326,1
6,28,1
6,23,1
9,268,1
14,555,1
13,154,1
24,3040,1
25,3283,1
3,559,2
6,56,1
7,128,1
9,468,1
9,475,1
9,165,1
7,132,1
2,628,2
10,54,1
1,18,2
1,8,2
53,53,4
14,31,1
10,278,1
37,37,2
31,31,4
1,10,2
1,27,2
83,7772,5
1,9,2
10,908,1
24,2746,1
14,1975,1
10,115,1
13,1571,1
26,833,1
8,561,1
11,11,4
25,907,2
10,86,1
13,1046,1
1,15,2
178,14292,3
20,20,4
9,93,1
12,1602,1
31,31,4
10,575,1
13,2109,1
11,241,1
11,643,1
14,1453,1
9,518,1
7,500,1
9,479,1
166,28093,3
9,114,1
11,140,1
16,2121,1
11,124,1
16,1314,1
7,280,1
3,11,1
11,589,1
10,951,1
11,146,1
12,143,1
11,1260,1
187,10947,3
23,2739,1
16,2232,1
12,81,1
8,478,1
8,560,1
4,13,1
77,9204,1
17,117,1
9,405,1
4,13,1
18,145,1
9,396,1
9,238,1
8,328,1
17,61,1
5,91,1
7,134,1
8,323,1
5,132,1
8,450,1
197,10654,5
7,121,1
9,183,1
10,684,1
4,116,1
13,758,1
10,549,1
5,164,1
5,194,1
5,162,1
6,80,1
7,83,1
9,209,1
1,16,1
8,77,1
5,17,1
1,32,1
6,37,1
7,55,1
5,7,1
105,111,4
7,33,1
8,39,1
71,227,1
5,7,1
8,64,1
5,13,1
5,19,1
5,66,1
14,1032,1
1,75,2
11,845,1
7,128,1
9,252,1
8,271,1
7,22,1
7,77,1
6,196,1
7,386,1
7,512,1
7,448,1
28,623,1
17,5420,2
14,658,1
1,125,2
6,42,1
12,155,1
11,55,1
11,53,1
9,9,4
10,426,1
11,432,1
11,351,1
2,56,2
1,17,2
1,80,2
1,269,2
