@relation page-blocks

@attribute Area numeric
@attribute Eccen numeric
@attribute Blackpix numeric
@attribute Class {1,2,3,4,5}

@data
1440,22.5,306,1
1700,17,444,1
88,1.375,39,1
2259,27.889,423,1
180,7.2,73,1
70,1.429,21,1
55,0.455,36,1
60,1.667,24,1
174,4.833,64,1
114,3.167,35,1
1491,30.429,351,1
63,0.778,22,1
49,1,17,1
4225,6.76,923,1
63,1.286,19,1
170,1.7,65,1
504,7.875,168,1
6720,11.667,3040,1
1617,33,420,1
189,2.333,60,1
560,8.75,191,1
35,1.4,24,1
216,3.375,61,1
456,7.125,141,1
426,11.833,140,1
486,6,190,1
1010,10.1,455,1
195,7.8,85,1
390,3.9,120,1
390,3.9,111,1
2376,4.125,2168,1
4522,15.647,4167,1
603,7.444,282,1
189,3.857,45,1
1111,9.182,297,1
63,1.286,27,1
60,1.667,29,1
665,13.571,197,1
119,2.429,49,1
891,11,431,1
56,1.143,18,1
128,2,30,1
952,19.429,171,1
245,5,66,1
960,15,240,1
160,2.5,33,1
1116,13.778,388,1
560,8.75,217,1
1440,22.5,286,1
48,1.333,27,1
550,5.5,162,1
473,3.909,158,1
84,2.333,47,1
325,1.923,76,1
852,5.917,538,1
280,4.375,107,1
432,12,261,1
230,2.3,62,1
4815,59.444,793,1
275,2.273,82,1
510,5.1,143,1
344,5.375,137,1
368,5.75,131,1
576,16,158,1
2035,16.818,724,1
2709,33.444,482,1
2760,19.167,453,1
56,1.143,20,1
5392,21.063,1956,1
675,8.333,173,1
387,4.778,182,1
77,1.571,32,1
126,2.571,46,1
12,1.333,10,1
1133,9.364,177,1
36,0.444,17,1
1008,7,334,1
42,0.857,14,1
357,1.235,133,1
132,0.917,49,1
72,2,23,1
56,1.143,17,1
24,0.667,13,1
98,2,29,1
784,16,132,1
49,1,20,1
112,2.286,49,1
512,8,277,1
891,11,168,1
1359,16.778,250,1
464,7.25,205,1
1694,14,609,1
568,8.875,135,1
4590,56.667,686,1
2800,28,998,1
4564,23.286,1657,1
276,7.667,87,1
80,0.8,54,1
1666,5.765,1548,1
