@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R1,7,11'

@attribute Height numeric
@attribute Mean_tr numeric
@attribute Class {1,2,3,4,5}

@data
5,2.44,1
5,13,1
5,5.5,1
5,10,1
2,15.5,2
11,1.67,1
3,33.5,2
1,2.2,2
8,5,1
9,2.29,1
9,2.35,1
2,18,2
9,1.91,1
1,9,2
9,2.62,1
2,9,1
11,9,1
10,2.97,1
10,2.56,1
8,1.76,1
11,1.61,1
12,1.6,1
12,1.97,1
9,2.58,1
9,2.52,1
11,2.01,1
10,2.63,1
9,1.92,1
9,2.11,1
11,2.22,1
1,10.25,2
9,1.69,1
9,1.77,1
12,2.32,1
12,2.29,1
8,8,1
9,1.74,1
11,4.32,1
10,2.9,1
12,1.95,1
11,4.3,1
9,1.75,1
9,2.29,1
22,2.13,1
9,2.71,1
1,4.6,2
10,2.79,1
7,2.72,1
8,2.44,1
12,15.2,1
11,2.2,1
10,3.2,1
11,2.3,1
9,2.51,1
9,2.78,1
3,87,2
9,2.38,1
12,2.09,1
23,1.8,1
9,2.42,1
12,2.35,1
10,2.22,1
1,9.67,2
7,1.8,1
8,2.13,1
8,5,5
9,6.5,5
11,1.99,1
9,2.84,1
8,2.18,1
11,4.04,1
9,1.66,1
11,1.74,1
11,2.43,1
8,3.22,1
10,2.1,1
12,1.99,1
9,2.48,1
1,20,2
1,6.5,2
11,3.8,1
1,29,2
9,3.02,1
10,2.14,1
7,1.57,1
9,1.72,1
12,2.32,1
8,2.19,1
8,6.5,1
10,6,1
1,8.29,2
9,1.74,1
8,1.94,1
8,1.98,1
9,1.67,1
9,2.28,1
11,2.18,1
9,1.93,1
9,2.83,1
26,26,4
13,2.58,1
7,9,5
2,4,2
10,2.14,1
6,1.73,1
15,15,4
14,2.5,1
13,2.58,1
8,2.38,1
8,1.7,1
8,2.06,1
13,2.49,1
10,2.25,1
7,2.53,1
6,2.38,1
5,2.36,1
13,2.65,1
13,2.59,1
3,3,2
31,10.29,5
10,2.35,1
9,2.55,1
7,3.25,1
9,1.95,1
8,2.12,1
6,2.12,1
9,4.79,1
12,2.3,1
9,10.5,1
5,2.06,1
4,1.64,1
8,1.71,1
8,1.91,1
10,2.35,1
7,1.67,1
6,2,1
10,1.83,1
11,2.68,1
8,3.14,1
8,2.1,1
13,3.08,1
85,1.44,5
10,1.98,1
9,1.93,1
5,3.5,5
8,1.4,1
10,1.31,1
10,1.49,1
8,1.42,1
5,1.78,1
9,1.28,1
11,1.41,1
8,1.45,1
8,1.4,1
5,1.31,1
6,7,1
7,2.86,1
9,1.3,1
6,1.31,1
9,1.33,1
1,21.4,2
7,1.34,1
7,1.36,1
4,1,1
6,1.27,1
7,1.81,1
7,1.51,1
1,4.57,2
7,1.69,1
6,1.63,1
7,1.71,1
8,1.37,1
7,1.9,1
8,1.38,1
9,1.6,1
7,1.63,1
7,1.44,1
9,1.56,1
7,1.55,1
9,1.44,1
7,1.2,1
7,1.34,1
10,1.48,1
9,1.38,1
7,1.5,1
7,2,1
6,1.33,1
7,1.46,1
9,1.22,1
9,1.36,1
7,1.25,1
8,1.37,1
7,1.5,1
7,1.33,1
9,1.35,1
5,1.18,1
8,1.24,1
7,1.22,1
5,1.3,1
5,1.33,1
7,1.71,1
7,1.61,1
7,1.15,1
7,1.33,1
7,1.55,1
7,1.22,1
5,1.35,1
7,1.18,1
5,1.52,1
7,1.74,1
7,1.33,1
5,1.32,1
7,1.3,1
8,1.23,1
7,1.68,1
5,1,1
6,1.5,1
5,1.58,1
7,1.48,1
6,1.88,1
7,1.46,1
7,1.55,1
6,1.68,1
6,1.38,1
10,1.39,1
7,1.47,1
6,1.37,1
7,1.39,1
7,2.5,1
7,1.47,1
9,1.54,1
9,1.5,1
7,1.56,1
7,1.9,1
7,1.13,1
7,1.25,1
8,1.52,1
6,1.78,1
6,1.38,1
5,2.25,1
5,1.63,1
8,2,1
9,1.82,1
8,1.8,1
10,1.85,1
8,1.96,1
8,2.45,1
8,5,1
10,2.35,1
8,2.15,1
10,2.47,1
8,1.84,1
1,5.5,2
10,1.75,1
6,2.53,1
10,2.5,1
9,2.2,1
11,2.39,1
54,6.85,5
52,7.67,5
10,1.81,1
27,2.56,4
9,1.87,1
11,2,1
4,5.25,2
8,2.22,1
8,1.83,1
8,2.48,1
11,1.97,1
9,9,1
10,1.89,1
8,2.9,1
8,2.23,1
5,3.44,1
8,3.17,1
5,3.83,1
11,1.99,1
9,2.46,1
9,1.91,1
8,2.16,1
8,1.98,1
8,2.52,1
10,1.98,1
11,2.07,1
11,2.03,1
8,2.05,1
11,2.33,1
8,2.2,1
10,2.29,1
8,2.31,1
10,1.84,1
9,1.82,1
8,1.89,1
10,1.91,1
8,2.24,1
8,2.1,1
7,2.23,1
8,1.93,1
8,1.65,1
11,1.79,1
9,2.07,1
11,2.05,1
10,2.14,1
8,2.31,1
8,2,1
6,1.95,1
6,2.94,1
9,1.91,1
2,13,2
37,4.22,5
6,3.07,1
36,3.07,5
8,2.56,1
7,1.81,1
7,1.82,1
11,1.95,1
7,2.48,1
7,2,1
6,3.23,1
5,2.18,1
10,2.15,1
10,1.6,1
10,1.88,1
7,2.71,1
9,2.26,1
8,2.45,1
8,2.35,1
5,2.17,1
8,1.92,1
8,1.75,1
8,2.5,1
8,1.68,1
8,2.65,1
8,4.67,1
10,1.85,1
10,1.78,1
8,1.83,1
10,1.83,1
8,1.84,1
10,1.87,1
8,2.06,1
8,2.06,1
8,1.68,1
9,1.86,1
8,1.96,1
8,1.95,1
8,2,1
10,2.08,1
8,1.73,1
8,2.1,1
9,1.6,1
7,1.97,1
8,2.22,1
10,1.72,1
8,2.17,1
7,1.85,1
5,2.21,1
10,1.78,1
9,1.94,1
8,1.86,1
10,2.67,1
8,1.63,1
7,2,1
6,2.44,1
8,1.42,1
9,1.26,1
5,1.56,1
2,41.08,2
4,8,1
8,1.22,1
6,1.57,1
13,11.5,1
13,3.88,1
24,7.85,1
4,7,1
9,1.37,1
2,24.29,2
9,1.4,1
3,23.62,2
10,1.27,1
1,1.03,1
8,2.77,1
7,1.77,1
2,49.82,2
8,3.03,1
9,1.69,1
9,1.49,1
9,1.34,1
7,1.46,1
9,1.43,1
5,2.2,1
7,1.78,1
10,1.29,1
9,1.19,1
1,35.25,2
13,4.05,1
28,7.02,1
7,2.9,1
7,2.21,1
7,1.5,1
6,1.58,1
10,1.36,1
24,7.95,1
28,7.47,3
9,1.34,1
7,1.47,1
7,1.41,1
9,1.31,1
1,1.13,1
9,1.35,1
29,7.25,3
7,1.39,1
7,1.57,1
5,3.6,1
9,1.38,1
7,2,1
1,1.17,1
29,1.78,5
9,2.3,1
1,1.14,1
7,2.71,1
7,1.2,1
2,24.36,2
7,1.38,1
1,21,2
9,7.38,1
10,8.11,1
10,5.08,1
11,5.54,1
14,7.24,1
93,4.25,3
14,5.07,1
9,10,1
12,2.06,1
1,32.75,2
4,3.28,1
24,20.07,1
14,14,4
10,6.94,1
8,3.03,1
10,2.55,1
24,18.34,1
14,4.58,1
10,2.33,1
14,4.71,1
7,2.37,1
10,6.94,1
8,3.11,1
1,12,1
14,4.56,1
10,8.4,1
11,2.77,1
14,4.44,1
11,2.93,1
3,8,1
9,9,4
25,25,4
9,12.25,1
13,4.77,1
10,2.63,1
13,4.36,1
9,8.36,1
10,2.75,1
10,8.43,1
11,3.04,1
14,4.6,1
12,12,4
14,4.7,1
9,8.62,1
8,2.86,1
1,2,2
10,30,1
7,2.7,1
11,8.27,1
15,5.45,1
17,5.46,1
13,5.5,1
11,8.72,1
9,2.37,1
16,5.34,1
11,2.77,1
16,5.3,1
16,5.25,1
3,12,1
16,5.5,1
9,2.87,1
7,7.89,1
10,1.82,1
10,5.88,1
3,9.95,1
6,2.05,1
7,1.44,1
9,1.69,1
7,1.51,1
18,2.39,1
7,1.67,1
23,16.33,1
9,1.82,1
6,2.12,1
77,32.67,1
9,1.41,1
10,1.51,1
9,1.46,1
7,1.45,1
12,1.93,1
5,1.73,1
6,1.69,1
6,1.78,1
6,1.45,1
37,37,4
5,3.67,1
430,46.5,4
8,1.37,1
7,1.6,1
9,1.57,1
1,1.09,1
4,1.42,1
9,3.08,1
1,1.07,1
5,156,2
7,1.33,1
8,1.48,1
10,1.58,1
7,1.9,1
5,1.46,1
6,1.53,1
5,100.33,2
13,1.56,1
10,1.64,1
10,2.3,1
12,1.65,1
12,1.7,1
12,1.7,1
10,2.35,1
1,1.07,2
7,1.33,1
1,2.6,1
9,1.32,1
1,66,2
8,13.5,1
33,1.68,1
12,4,1
14,2.96,1
10,2.91,1
10,2.23,1
11,1.65,1
7,10,1
