@relation page-blocks

@attribute Height numeric
@attribute Area numeric
@attribute Mean_tr numeric
@attribute Blackpix numeric
@attribute Class {1,2,3,4,5}

@data
9,1485,2.54,501,1
7,56,2.17,26,1
9,1746,1.4,333,1
5,215,1.33,57,1
9,531,3.22,261,1
7,700,1.67,206,1
10,2720,1.49,520,1
9,468,1.71,173,1
10,610,1.98,186,1
7,147,1.41,48,1
10,660,1.87,178,1
8,136,2.11,57,1
7,91,2,22,1
7,203,2,74,1
9,729,2.22,209,1
7,763,1.93,216,1
3,93,2.1,21,1
7,112,1.56,28,1
7,455,1.52,144,1
9,1449,2.41,396,1
24,3192,18.67,2894,1
9,306,1.91,126,1
5,30,10,10,1
6,78,1.5,21,1
23,2875,20.75,2739,1
5,60,2.2,33,1
8,1920,1.4,370,1
7,98,1.3,30,1
1,35,1.07,15,1
10,610,1.85,203,1
9,378,2.79,170,1
9,2754,1.38,587,1
8,352,2.06,146,1
6,12,8,8,1
5,70,2.21,31,1
6,300,2,98,1
9,144,6.67,80,1
7,1477,1.7,380,1
8,4280,1.35,704,1
7,77,1.5,24,1
8,2168,1.82,681,1
7,28,2.2,11,1
6,288,1.57,91,1
9,414,1.43,100,1
9,2556,1.26,361,1
6,180,1.22,56,1
12,96,15.2,76,1
24,2976,16.66,2683,1
11,132,4.13,66,1
7,28,3,9,1
7,679,1.68,133,1
8,784,1.42,173,1
8,136,2.48,52,1
8,144,2.52,58,1
7,28,1.75,7,1
8,32,8,8,1
7,252,2.51,143,1
8,96,1.5,42,1
8,2720,1.41,499,1
8,384,1.96,131,1
10,120,2.83,17,1
10,1710,1.78,215,1
7,672,1.77,211,1
9,288,2.23,105,1
10,350,2.24,114,1
10,40,15,15,1
9,108,1.63,44,1
9,324,3.45,190,1
9,2358,1.38,492,1
8,1440,1.39,306,1
7,98,2,34,1
9,162,2.31,67,1
8,368,1.97,128,1
1,123,1.05,20,1
10,1230,2.99,445,1
6,36,3.17,19,1
1,263,1.03,40,1
11,1386,2.11,379,1
9,1773,1.74,485,1
11,286,1.79,75,1
11,440,1.8,119,1
9,108,1.78,48,1
5,35,3.83,23,1
8,120,2.24,56,1
12,264,9.65,164,1
10,210,2.91,96,1
8,96,1.64,41,1
13,5382,3.08,1919,1
7,77,1.47,28,1
7,77,1.6,32,1
8,56,2.09,23,1
7,98,2.72,49,1
9,1368,2.77,518,1
9,864,1.96,243,1
9,1539,2.87,615,1
6,576,2.2,174,1
12,264,8.94,143,1
9,468,2.4,168,1
9,126,2.06,35,1
7,266,1.55,82,1
9,1206,1.65,260,1
9,324,3.51,179,1
10,570,2.94,232,1
4,16,8,8,1
9,2439,1.93,692,1
6,234,2.05,80,1
9,81,1.38,22,1
7,91,1.43,30,1
6,84,1.79,25,1
8,168,1.97,73,1
10,390,2.79,134,1
9,504,1.24,99,1
5,70,2.56,23,1
8,2048,1.26,253,1
5,135,2.34,82,1
7,1491,1.25,296,1
10,80,9.17,55,1
10,1260,2.63,516,1
8,40,1.67,15,1
7,49,1.56,14,1
7,168,1.22,39,1
11,3168,2.04,787,1
23,2116,1.44,306,1
8,72,1.69,27,1
11,781,2.41,289,1
9,153,6.31,82,1
9,2349,1.42,430,1
14,798,12.08,592,1
2,94,1.14,16,1
7,427,1.77,136,1
7,105,1.41,24,1
6,108,2.45,54,1
7,245,2.47,111,1
7,91,1.65,28,1
11,88,10.17,61,1
13,1729,4.9,622,1
8,264,1.88,98,1
9,522,1.34,106,1
11,1012,2.3,365,1
7,1379,1.5,99,1
10,190,2,64,1
10,970,2.48,410,1
11,99,3.4,34,1
12,264,7.68,146,1
9,720,1.54,166,1
6,576,1.58,158,1
11,2992,1.97,835,1
9,72,13,52,1
8,104,2.32,51,1
9,117,2.69,43,1
8,160,2,42,1
8,248,1.79,86,1
7,161,1.66,53,1
9,144,2.08,54,1
28,7868,4.72,2502,1
7,56,1.78,16,1
9,1359,1.39,251,1
18,3024,2.34,564,1
9,918,1.2,165,1
11,946,1.95,281,1
33,5940,1.68,1400,1
8,88,1.33,28,1
5,190,2.07,60,1
10,670,2.27,195,1
9,333,2.08,148,1
14,616,2.5,245,1
5,65,1.18,26,1
5,535,1.43,132,1
7,98,18,18,1
10,340,2.02,109,1
10,310,2.14,105,1
18,1152,3.24,301,1
7,140,2.32,65,1
10,190,8.23,107,1
12,3288,1.65,685,1
8,912,1.45,106,1
7,749,1.6,202,1
7,140,1.48,46,1
9,126,7.42,89,1
12,876,2.1,227,1
9,963,1.94,361,1
7,861,1.26,120,1
6,606,1.98,238,1
14,6090,4.58,2164,1
10,100,50,50,1
8,336,1.54,91,1
11,275,2.05,82,1
10,180,7.2,108,1
9,333,2.82,172,1
5,470,1.91,147,1
10,320,1.69,98,1
9,684,2.2,260,1
10,180,6.44,103,1
11,3333,7.49,502,1
10,2590,2.51,908,1
9,441,1.46,102,1
11,1056,4.32,350,1
9,1107,2.84,437,1
10,400,1.82,133,1
60,3420,3.91,1574,1
7,42,4.67,14,1
8,1744,1.29,252,1
7,504,1.85,204,1
10,830,2.28,296,1
15,5340,5.32,2127,1
7,245,1.9,99,1
5,375,1.22,101,1
24,11232,7.69,5296,1
16,6480,5.3,2476,1
8,184,1.7,51,1
12,1380,1.74,353,1
7,434,1.28,82,1
7,469,1.7,121,1
9,423,1.95,121,1
9,1656,1.46,354,1
9,738,2.86,226,1
12,528,2.38,138,1
7,112,3.25,52,1
10,2720,1.98,631,1
10,1550,2.88,510,1
10,1260,2.98,575,1
9,495,1.47,128,1
24,4224,7.85,2096,1
16,6672,5.29,2543,1
7,63,2.78,25,1
7,875,1.59,254,1
9,4806,1.34,811,1
11,2871,1.93,698,1
8,64,1.56,14,1
6,198,1.39,53,1
9,747,2.49,281,1
9,630,2.79,273,1
8,56,1.82,20,1
16,384,5.28,169,1
4,24,1.63,13,1
8,136,2.47,47,1
8,1440,2.32,534,1
6,408,1.15,105,1
10,2880,1.5,549,1
10,390,1.69,120,1
6,102,2.56,46,1
7,98,1.56,28,1
6,126,1.58,30,1
8,792,1.66,278,1
8,104,7.1,71,1
7,273,1.67,40,1
8,192,1.8,72,1
8,40,2.38,19,1
10,3300,1.44,744,1
7,700,1.68,198,1
8,96,2.05,41,1
9,333,2.22,111,1
9,414,1.67,140,1
10,450,1.84,127,1
5,65,3,36,1
7,77,1.59,27,1
14,3976,5.1,1453,1
7,133,2.73,60,1
5,100,1.55,17,1
7,273,1.43,80,1
9,414,2.01,151,1
5,115,1.32,37,1
7,77,1.33,24,1
3,81,1.77,39,1
12,120,11.57,81,1
7,133,1.67,45,1
16,5504,5.2,2121,1
11,781,7,539,1
8,288,2.06,132,1
9,441,1.27,98,1
10,190,6.94,111,1
9,324,2.37,128,1
8,56,2.36,26,1
1,41,1.07,16,1
8,96,2.38,38,1
8,200,1.98,81,1
8,296,1.35,54,1
6,576,2.01,135,1
5,95,2.18,48,1
8,248,2.16,106,1
8,984,1.71,251,1
11,2992,1.82,778,1
11,4543,2.44,1619,1
9,54,2.5,20,1
10,210,1.91,63,1
6,192,1.37,56,1
24,4488,8.16,2178,1
10,490,1.35,81,1
11,220,8.27,124,1
6,48,3.22,29,1
6,48,2,26,1
7,735,1.39,93,1
8,304,1.75,103,1
5,70,2.28,41,1
8,248,2.04,102,1
7,98,1.87,28,1
8,1128,2.45,504,1
7,1344,1.36,183,1
10,1810,3.25,888,1
8,56,3.13,25,1
9,162,2.26,52,1
12,1416,2.98,495,1
11,1309,1.72,351,1
9,1134,2.83,549,1
8,48,3,15,1
8,304,1.65,124,1
74,13542,127,7366,1
11,561,2.06,165,1
8,40,6.5,13,1
7,119,2.72,49,1
5,215,1.61,87,1
6,570,1.63,119,1
9,378,2.65,143,1
7,56,1.69,22,1
9,45,2.83,17,1
8,352,3.26,150,1
14,2100,4.14,472,1
8,152,1.76,65,1
7,378,1.39,96,1
10,260,1.59,78,1
7,245,2.81,118,1
9,81,5.1,51,1
10,5350,1.32,889,1
8,808,1.29,179,1
25,4450,7.95,2115,1
8,672,1.79,181,1
8,160,1.93,58,1
7,49,22.5,45,1
10,360,1.86,95,1
7,42,2.29,16,1
8,1864,1.36,282,1
11,1100,3.04,502,1
5,60,1.46,19,1
9,270,1.86,82,1
6,576,1.73,178,1
1,29,1.13,9,1
9,81,1.6,24,1
8,168,1.38,47,1
1,60,1.08,13,1
14,1176,2.31,307,1
10,640,2.8,305,1
27,2862,5.45,747,1
7,154,1.36,15,1
8,104,1.81,49,1
31,9982,16.87,6881,1
7,217,1.55,62,1
7,182,1.23,49,1
10,340,1.84,103,1
25,3825,2.08,977,1
11,473,2.18,133,1
22,4576,1.59,928,1
7,63,1.83,22,1
8,1048,1.46,258,1
10,370,2,122,1
8,384,1.76,116,1
8,408,1.95,125,1
10,180,6.94,118,1
16,5696,5.8,2150,1
8,200,1.83,73,1
8,336,2.07,126,1
9,1098,2.54,366,1
9,4599,1.38,1035,1
38,4826,3.41,2238,1
7,49,1.44,13,1
14,1372,2.43,422,1
10,130,1.76,30,1
5,95,5.5,22,1
5,45,1.71,12,1
11,2024,4.48,954,1
13,2444,1.67,460,1
8,264,2,94,1
8,64,2.5,15,1
10,2710,1.89,675,1
5,485,1.98,162,1
6,492,1.31,51,1
6,48,2.18,24,1
7,147,1.84,57,1
11,1034,3.12,393,1
5,30,1.8,9,1
10,350,1.93,116,1
5,260,1.35,54,1
6,24,2.5,10,1
16,2928,4.81,1208,1
6,576,2.44,193,1
9,738,2.02,253,1
9,153,1.75,28,1
11,1298,1.99,376,1
9,1962,1.43,290,1
8,40,1.55,17,1
1,89,1.07,15,1
9,2988,1.21,476,1
8,600,1.95,224,1
8,40,2.14,15,1
9,396,2.97,178,1
7,385,2.09,144,1
7,35,2.5,15,1
7,217,1.25,60,1
13,4537,4.36,1724,1
12,240,9,126,1
8,400,2.31,171,1
27,3105,2.35,910,1
9,774,1.29,163,1
9,1665,2.79,663,1
9,324,3.02,187,1
12,528,2.31,155,1
8,112,1.88,47,1
8,2384,1.18,329,1
7,224,1.53,61,1
8,208,1.85,72,1
8,112,3.11,28,1
7,819,1.26,152,1
7,105,1.57,33,1
12,852,6.77,535,1
14,1624,2.12,439,1
6,102,1.56,25,1
9,2889,1.32,446,1
9,324,2.93,164,1
11,231,4.29,73,1
9,918,2.77,354,1
8,128,1.58,30,1
6,234,1.58,71,1
7,49,2.83,17,1
9,423,1.99,171,1
10,460,1.85,146,1
8,376,2,136,1
8,360,1.9,80,1
24,4248,8.05,2157,1
10,330,2.35,108,1
7,119,1.74,40,1
17,4522,12.82,4167,1
9,189,3.29,92,1
8,120,2,52,1
8,120,1.86,39,1
6,570,1.64,171,1
7,826,2.26,319,1
6,48,1.07,15,1
16,6016,5.57,2232,1
5,75,1.35,27,1
6,198,2.24,103,1
11,1969,2.88,650,1
25,12375,7.33,5748,1
11,869,2.2,297,1
8,344,1.71,118,1
12,1548,2.51,469,1
9,207,1.63,67,1
6,240,1.37,71,1
11,220,2.58,49,1
7,35,7,7,1
10,220,6.5,130,1
11,1078,3.04,408,1
6,42,2.14,15,1
10,1220,2.03,333,1
