@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R1,8,11'

@attribute Height numeric
@attribute Blackpix numeric
@attribute Class {1,2,3,4,5}

@data
6,31,1
4,11,1
13,114,1
7,36,1
7,213,1
11,34,1
3,139,2
10,371,1
2,33,2
9,211,1
1,13,2
11,37,1
9,28,1
7,202,1
9,244,1
9,83,1
1,61,2
5,14,1
1,9,2
94,97,4
10,226,1
9,243,1
11,232,1
11,337,1
4,7,4
8,128,1
8,139,1
2,267,2
8,25,1
9,243,1
9,358,1
11,129,1
9,100,1
10,180,1
10,135,1
8,189,1
11,60,1
11,22,1
11,158,1
9,267,1
9,388,1
10,171,1
14,1232,1
12,59,1
17,24,4
11,452,1
9,187,1
1,17,2
7,64,1
6,32,1
10,289,1
9,126,1
9,273,1
12,29,1
10,280,1
10,159,1
1,35,2
6,10,1
10,32,1
8,57,1
8,42,1
9,228,1
10,158,1
9,111,1
1,8,2
1,14,2
7,258,1
10,161,1
9,164,1
9,12,2
9,173,1
10,167,1
9,31,1
1,13,2
2,186,2
2,15,1
5,53,1
2,8,2
7,228,1
12,49,1
11,63,1
9,41,1
11,297,1
9,131,1
19,703,1
8,47,1
8,31,1
8,31,1
6,8,1
10,30,1
9,44,1
11,281,1
1,45,2
8,61,1
8,131,1
9,217,1
13,422,1
5,40,1
8,230,1
10,321,1
13,1421,1
6,207,1
12,334,1
11,135,1
9,143,1
13,684,1
12,520,1
12,1595,1
8,229,1
9,295,1
6,62,1
9,172,1
10,204,1
22,838,1
5,57,1
36,331,5
10,246,1
13,382,1
8,392,1
6,159,1
12,495,1
12,466,1
10,93,1
7,455,1
18,228,1
7,122,1
10,679,1
9,712,1
8,154,1
8,411,1
8,106,1
8,66,1
81,449,5
6,7,5
10,508,1
13,16,5
10,573,1
10,559,1
8,108,1
6,42,1
11,525,1
7,21,1
10,524,1
7,17,1
7,14,1
5,14,1
9,136,1
5,54,1
5,81,1
6,51,1
10,129,1
7,63,1
6,53,1
8,36,1
6,39,1
6,22,1
5,9,1
7,23,1
10,291,1
9,71,1
8,57,1
7,27,1
7,92,1
7,73,1
7,18,1
7,24,1
7,7,1
7,46,1
7,52,1
9,61,1
7,33,1
8,28,1
7,46,1
7,34,1
7,30,1
7,38,1
7,30,1
7,80,1
6,24,1
6,45,1
7,94,1
7,69,1
7,47,1
6,23,1
6,24,1
7,7,1
7,33,1
7,22,1
6,26,1
4,38,1
9,60,1
7,19,1
7,98,1
8,27,1
8,28,1
7,177,1
7,94,1
7,44,1
6,21,1
7,96,1
5,88,1
9,143,1
7,40,1
7,84,1
5,12,1
7,34,1
6,15,1
9,40,1
6,40,1
7,26,1
7,106,1
5,16,1
7,18,1
9,275,1
6,10,1
9,90,1
7,34,1
9,22,5
11,76,1
10,40,1
8,51,1
9,129,1
12,773,1
11,290,1
10,26,1
8,12,1
10,98,1
8,106,1
8,18,1
9,17,1
10,128,1
8,140,1
8,56,1
12,843,1
10,30,1
8,48,1
8,81,1
6,16,1
11,121,1
8,36,1
11,281,1
7,51,1
9,111,1
8,146,1
7,18,1
11,600,1
8,31,1
9,142,1
8,52,1
9,108,1
9,66,1
8,114,1
9,74,1
10,63,1
8,25,1
10,82,1
8,22,1
8,202,1
8,60,1
9,23,1
8,28,1
8,83,1
10,403,1
8,23,1
11,152,1
8,44,1
8,30,1
10,133,1
10,114,1
8,141,1
10,41,1
8,38,1
8,125,1
1,25,1
8,59,1
8,71,1
8,14,1
68,519,5
9,51,1
10,109,1
9,58,1
9,43,1
4,20,1
9,132,1
5,9,1
5,28,1
10,592,1
8,27,1
6,14,1
10,754,1
8,67,1
8,68,1
8,48,1
8,83,1
8,43,1
5,41,1
11,698,1
9,53,1
10,117,1
10,261,1
10,105,1
10,102,1
7,45,1
10,188,1
7,28,1
8,66,1
7,127,1
5,38,1
5,74,1
8,75,1
10,327,1
10,103,1
10,366,1
8,28,1
10,127,1
11,722,1
11,274,1
8,20,1
8,89,1
8,25,1
8,321,1
8,98,1
10,70,1
13,740,1
25,2214,1
25,3392,1
8,260,1
9,686,1
7,19,1
1,7,1
8,427,1
7,57,1
1,13,1
8,274,1
5,7,1
9,606,1
8,396,1
2,570,2
9,386,1
7,265,1
7,99,1
8,720,1
9,355,1
8,372,1
25,5748,1
9,567,1
8,242,1
8,704,1
9,671,1
9,193,1
2,638,2
9,361,1
31,787,5
14,121,1
9,354,1
9,781,1
9,786,1
24,2256,1
9,570,1
9,331,1
8,593,1
1,63,2
5,46,1
1,20,1
10,125,1
9,440,1
8,219,1
7,76,1
14,570,1
8,32,1
8,90,1
7,34,1
2,12,1
7,31,1
4,205,1
9,186,1
1,12,1
8,252,1
10,392,1
8,114,1
7,92,1
9,417,1
14,580,1
30,288,5
4,199,1
9,357,1
7,124,1
9,190,1
8,586,1
10,721,1
9,217,1
5,17,1
5,155,1
29,401,3
8,731,1
9,476,1
7,115,1
7,91,1
38,38,4
11,49,1
1,412,2
9,282,1
3,7,1
9,89,1
7,74,1
13,376,1
12,221,1
10,56,1
12,942,1
12,872,1
2,8,2
1,9,2
1,9,2
9,277,1
7,7,4
11,465,1
11,433,1
54,5766,5
9,269,1
12,518,1
9,42,1
8,473,1
14,1657,1
14,1271,1
11,944,1
3,82,2
1,12,2
17,3192,1
8,417,1
9,98,1
10,82,1
1,12,2
9,260,1
24,3604,1
3,8,1
12,1075,1
14,998,1
168,18591,3
83,7725,5
11,991,1
11,596,1
7,361,1
8,781,1
3,8,1
9,99,1
9,230,1
174,27820,3
12,159,1
26,3696,1
47,47,4
11,527,1
16,16,4
11,768,1
12,146,1
9,249,1
23,4210,1
9,266,1
11,520,1
15,1743,1
16,1208,1
1,11,2
16,2497,1
77,9981,1
7,61,1
11,286,1
17,174,1
17,606,1
9,196,1
5,80,1
6,91,1
10,333,1
8,308,1
5,58,1
5,38,1
7,210,1
7,104,1
19,514,1
6,146,1
7,197,1
6,140,1
8,299,1
7,119,1
16,101,1
117,117,4
6,106,1
5,163,1
6,202,1
9,866,1
6,137,1
6,162,1
13,726,1
10,575,1
5,158,1
6,169,1
4,184,1
5,85,1
1,15,2
9,251,1
7,188,1
9,243,1
1,16,1
7,22,1
9,208,1
9,152,1
6,30,1
1,98,2
7,118,1
5,34,1
5,486,2
9,165,1
16,283,1
7,233,1
7,138,1
8,81,1
9,336,1
6,62,1
7,184,1
5,30,1
7,35,1
8,78,1
7,19,1
36,2126,1
22,123,1
12,281,1
11,67,1
2,315,2
13,98,1
41,1212,1
38,3573,1
8,157,1
118,642,5
1,66,2
8,459,1
9,319,1
5,13,1
7,182,1
7,83,1
20,188,1
8,87,1
7,21,1
25,977,1
18,5217,2
10,10,4
11,478,1
11,278,1
11,518,1
1,16,2
