@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R3-4,8,11'

@attribute Area numeric
@attribute Eccen numeric
@attribute Blackpix numeric
@attribute Class {1,2,3,4,5}

@data
30,1.2,10,1
40,10,27,2
108,1.333,48,1
760,11.875,230,1
168,1.167,60,1
339,37.667,121,2
294,0.031,141,4
715,5.909,279,1
440,4.4,173,1
27,27,16,1
38,9.5,9,1
45,1.8,12,1
184,2.875,53,1
368,5.75,144,1
38,0.105,31,4
352,5.5,150,1
320,5,129,1
360,5.625,169,1
328,5.125,110,1
224,56,111,2
344,5.375,120,1
80,0.8,40,1
160,2.5,84,1
830,8.3,245,1
876,6.083,225,1
738,9.111,182,1
36,36,26,2
1392,9.667,343,1
837,10.333,270,1
63,1.286,21,1
380,3.8,165,1
324,4,179,1
737,6.091,244,1
738,9.111,287,1
946,7.818,268,1
54,0.667,27,1
980,9.8,454,1
1100,9.091,502,1
387,4.778,197,1
423,5.222,131,1
55,55,31,2
128,32,68,2
256,4,86,1
276,1.917,115,1
423,5.222,157,1
180,1.8,92,1
17,17,7,2
9240,11.786,527,2
98368,2.189,5066,5
54,0.667,36,1
378,4.667,162,1
18,18,17,2
414,5.111,151,1
576,7.111,283,1
900,11.111,417,1
4200,21.429,1106,1
360,5.625,80,1
217,4.429,48,1
406,8.286,86,1
190,1.9,63,1
88,0.727,48,1
207,2.556,67,1
729,9,242,1
1404,9.75,324,1
115,4.6,26,1
128,8,40,1
80,3.2,25,1
737,6.091,198,1
45,45,42,2
100,25,46,2
891,11,257,1
675,8.333,249,1
324,2.25,103,1
747,9.222,250,1
1276,10.545,350,1
24,0.375,11,1
472,7.375,97,1
189,2.333,69,1
664,10.375,264,1
48,0.75,26,1
324,4,172,1
64,1,15,1
42,0.095,31,2
568,8.875,176,1
981,12.111,238,1
512,8,154,1
1197,14.778,283,1
600,16.667,205,1
2821,16.692,1019,1
14,0.071,14,4
534,14.833,162,1
781,6.455,289,1
10250,16.4,2792,1
340,3.4,145,1
1963,11.615,593,1
792,5.5,318,1
7,0.143,7,4
368,5.75,98,1
837,10.333,233,1
1071,13.222,452,1
270,30,138,1
1548,19.111,546,1
1040,16.25,374,1
5317,31.462,1657,1
1704,11.833,575,1
540,15,213,1
693,8.556,337,1
390,2.308,139,1
606,16.833,249,1
5280,4.848,1154,1
754,4.462,253,1
117,1.444,66,1
444,3.083,182,1
580,23.2,218,1
322,6.571,96,1
864,13.5,253,1
250,10,90,1
13442,6.085,2459,5
856,13.375,329,1
3707,30.636,664,1
488,7.625,154,1
15580,10.789,4341,1
119,2.429,66,1
560,8.75,260,1
990,8.182,358,1
306,8.5,139,1
4543,37.545,1619,1
1020,3.529,142,5
500,5,236,1
2604,13.286,799,1
9,1,7,1
84,1.714,40,1
182,3.714,60,1
40,0.625,11,5
2439,30.111,696,1
1782,22,515,1
455,9.286,144,1
102,2.833,35,1
2981,24.636,591,1
8,0.125,7,5
80,1.25,25,1
36,2.25,15,1
1000,10,212,1
35,0.714,7,1
1960,30.625,389,1
600,6,134,1
119,2.429,39,1
368,5.75,105,1
2104,32.875,325,1
10,10,8,1
63,1.286,20,1
24,1.5,8,1
168,4.667,49,1
406,2.071,57,1
88,1.375,14,1
78,2.167,23,1
287,5.857,61,1
66,1.833,22,1
48,3,14,1
207,2.556,44,1
65,2.6,27,1
27,27,11,2
153,1.889,28,1
112,2.286,28,1
530,5.3,114,1
42,1.167,11,1
126,2.571,34,1
414,5.111,100,1
216,3.375,58,1
28,0.571,9,1
231,4.714,69,1
56,1.143,16,1
189,3.857,53,1
376,5.875,83,1
198,2.444,38,1
45,0.556,11,1
648,10.125,143,1
75,3,27,1
287,5.857,99,1
490,4.9,96,1
35,0.714,9,1
66,1.833,20,1
504,6.222,99,1
25,1,13,1
369,4.556,90,1
98,2,33,1
63,1.286,22,1
336,6.857,111,1
147,3,43,1
486,6,93,1
351,4.333,84,1
42,1.167,15,1
98,2,35,1
273,5.571,90,1
147,3,48,1
77,1.571,29,1
112,2.286,32,1
147,3,49,1
56,1.143,15,1
77,1.571,24,1
270,3.333,67,1
55,2.2,20,1
147,3,41,1
266,5.429,90,1
98,2,26,1
84,2.333,23,1
144,4,38,1
78,2.167,24,1
98,2,32,1
90,2.5,24,1
42,1.167,12,1
320,5,68,1
234,2.889,41,1
112,2.286,29,1
153,1.889,35,1
1449,29.571,361,1
252,3.111,65,1
228,6.333,86,1
351,4.333,91,1
315,6.429,80,1
413,8.429,94,1
927,11.444,225,1
78,2.167,24,1
162,2,42,1
70,1.429,21,1
135,5.4,41,1
364,7.429,97,1
180,2.222,47,1
77,1.571,29,1
160,6.4,66,1
77,1.571,23,1
126,2.571,38,1
162,2,39,1
119,2.429,32,1
245,5,85,1
55,2.2,24,1
280,5.714,95,1
287,5.857,92,1
396,4.889,102,1
56,1.143,26,1
315,3.889,114,1
120,1.2,25,5
80,1.25,38,1
3252,22.583,805,1
336,1.313,32,5
128,2,61,1
2544,0.906,460,5
207,2.556,80,1
