@relation page-blocks

@attribute Area numeric
@attribute Eccen numeric
@attribute Class {1,2,3,4,5}

@data
2024,16.727,1
98,2,1
35,0.714,1
1840,18.4,1
240,6.667,1
65,2.6,1
28,0.571,1
171,2.111,1
270,3.333,1
1815,8.067,1
4080,63.75,1
320,3.2,1
1152,3.556,1
738,9.111,1
4599,56.778,1
136,2.125,1
1458,18,1
77,1.571,1
126,2.571,1
430,4.3,1
1744,27.25,1
5180,26.429,1
130,1.3,1
64,1,1
231,4.714,1
945,19.286,1
2590,25.9,1
77,1.571,1
192,5.333,1
91,1.857,1
196,4,1
40,1.6,1
230,2.3,1
96,1.5,1
22,5.5,1
2520,31.111,1
913,7.545,1
1337,27.286,1
472,7.375,1
1809,22.333,1
1860,18.6,1
5390,27.5,1
540,15,1
711,8.778,1
413,8.429,1
200,3.125,1
1062,13.111,1
250,2.5,1
1000,10,1
190,1.9,1
7275,11.64,1
660,5.455,1
1728,27,1
1225,25,1
344,5.375,1
4950,7.92,1
1760,17.6,1
98,2,1
91,1.857,1
24,0.667,1
2800,28,1
175,3.571,1
232,3.625,1
560,8.75,1
5740,29.286,1
297,3.667,1
140,2.857,1
1372,7,1
4806,59.333,1
90,0.9,1
252,5.143,1
253,2.091,1
192,3,1
56,1.143,1
781,6.455,1
8645,23.947,1
360,10,1
664,10.375,1
4272,7.417,1
996,6.917,1
56,0.875,1
486,13.5,1
168,2.625,1
261,3.222,1
385,3.182,1
582,16.167,1
1540,3.182,1
16,1,1
1250,12.5,1
2412,29.778,1
330,3.3,1
119,2.429,1
656,10.25,1
792,6.545,1
351,4.333,1
1107,13.667,1
3984,6.917,1
49,1,1
312,4.875,1
368,5.75,1
824,12.875,1
738,9.111,1
1161,14.333,1
534,14.833,1
56,1.143,1
945,19.286,1
128,2,1
264,4.125,1
848,13.25,1
333,4.111,1
225,2.778,1
35,0.714,1
738,9.111,1
60,1.667,1
352,2.909,1
1298,10.727,1
830,8.3,1
280,2.8,1
126,2.571,1
112,7,1
2384,37.25,1
220,1.818,1
63,1.286,1
380,3.8,1
330,2.727,1
234,6.5,1
4824,59.556,1
230,2.3,1
65,2.6,1
273,5.571,1
1008,7,1
153,1.889,1
198,5.5,1
180,1.8,1
280,5.714,1
273,5.571,1
276,7.667,1
464,7.25,1
180,7.2,1
48,0.75,1
6090,31.071,1
126,2.571,1
180,1.8,1
496,7.75,1
2736,33.778,1
147,3,1
800,8,1
266,5.429,1
119,2.429,1
91,1.857,1
774,21.5,1
2720,42.5,1
288,3.556,1
85,3.4,1
56,1.143,1
387,4.778,1
864,6,1
138,3.833,1
110,1.1,1
534,14.833,1
144,2.25,1
64,1,1
56,0.875,1
2882,23.818,1
603,7.444,1
2142,10.929,1
1144,9.455,1
76,4.75,1
3025,25,1
408,1.412,1
133,2.714,1
2625,53.571,1
