@relation page-blocks

@attribute Eccen numeric
@attribute P_black numeric
@attribute Wb_trans numeric
@attribute Class {1,2,3,4,5}

@data
7,0.424,91,1
11,0.312,129,1
6.222,0.21,84,1
27.2,0.279,382,1
2.25,0.354,31,1
4,0.506,56,1
0.727,0.545,15,1
2.167,0.276,39,1
1,0.43,11,1
3.778,0.412,66,1
11.438,0.413,251,1
10.571,0.16,74,1
6.75,0.245,82,1
33.889,0.191,375,1
1.2,0.333,22,1
1,0.359,15,1
2,0.477,25,1
8.167,0.245,129,1
0.636,0.468,1,1
5.7,0.326,94,1
13.667,0.274,97,1
3.714,0.302,29,1
6.714,0.322,61,1
5.143,0.365,55,1
17.889,0.432,218,1
2.5,0.506,33,1
8.182,0.362,127,1
34.25,0.15,244,1
29.286,0.241,576,1
1.6,0.375,1,1
8.75,0.464,110,1
17.4,0.278,239,1
26,0.144,6,1
11.444,0.399,124,1
4.6,0.452,29,1
24.727,0.283,431,1
2.368,0.243,69,1
11.444,0.357,134,1
7.833,0.177,31,1
20.143,0.16,135,1
5.375,0.349,53,1
1.5,0.583,20,1
2,0.328,22,1
25.917,0.195,443,1
3.143,0.398,98,1
10.333,0.234,64,1
1.333,0.407,27,1
3.75,0.242,38,1
29.125,0.262,309,1
2.222,0.3,31,1
4.286,0.329,50,1
2.333,0.512,14,1
2.167,0.346,8,1
4.143,0.683,46,1
14.889,0.216,158,1
5.2,0.492,27,1
7.556,0.335,88,1
6.4,0.419,51,1
7,0.308,174,1
8.875,0.31,95,1
3,0.346,43,1
5.8,0.4,36,1
20.25,0.327,149,1
10.2,0.314,49,1
4.167,0.34,36,1
3.167,0.36,26,1
34,0.197,310,1
0.5,0.375,8,1
9.75,0.22,184,1
1.6,0.425,9,1
20.333,0.218,252,1
1.571,0.364,20,1
1.2,0.433,1,1
1.333,0.444,28,1
1,0.4,1,1
2.75,0.375,37,1
19.2,0.323,87,1
2.714,0.662,18,1
7.818,0.289,138,1
54.222,0.074,254,1
2.875,0.462,45,1
1.5,0.458,21,1
13.5,0.348,182,1
3.167,0.184,17,1
15.5,0.275,231,1
0.727,0.705,8,1
9.556,0.337,119,1
4.667,0.198,65,1
5.583,0.403,88,1
21.5,0.385,408,1
1.5,0.36,26,1
24.8,0.356,340,1
9.75,0.251,190,1
56.667,0.161,566,1
0.571,0.25,4,1
2.25,0.174,10,1
5.625,0.297,57,1
18.444,0.336,211,1
0.667,0.5,2,1
12.875,0.142,100,1
2.857,0.364,35,1
1.353,0.373,14,1
2.5,0.244,10,1
4.143,0.281,43,1
0.667,0.448,10,1
0.667,0.667,2,1
59.333,0.14,507,1
6.571,0.354,78,1
5.714,0.232,47,1
9.308,0.376,159,1
2.333,0.302,30,1
1.2,0.55,14,1
1.778,0.208,14,1
4,0.333,73,1
7.083,0.924,237,1
10.125,0.221,111,1
4.444,0.275,62,1
10,0.265,93,1
7.077,0.773,219,1
14.714,0.295,121,1
9.6,0.418,161,1
49.429,0.185,355,1
6.125,0.413,84,1
1.6,0.55,9,1
1.167,0.452,9,1
26.2,0.273,391,1
4.833,0.339,39,1
5.2,0.294,72,1
0.625,0.35,4,1
24,0.081,83,1
1.778,0.382,24,1
12.25,0.221,122,1
26.75,0.421,248,1
3.429,0.274,31,1
3.8,0.426,52,1
3.5,0.238,19,1
23.75,0.326,223,1
5.13,0.293,385,1
5.917,0.481,70,1
