@relation page-blocks

@attribute Height numeric
@attribute Eccen numeric
@attribute P_black numeric
@attribute Class {1,2,3,4,5}

@data
8,66.5,0.192,1
8,0.875,0.357,1
7,1.143,0.161,1
7,1.571,0.351,1
6,2.167,0.231,1
16,23.875,0.375,1
6,4.833,0.339,1
8,4.5,0.559,1
6,3,0.491,1
9,11.889,0.371,1
9,4.222,0.313,1
9,30.667,0.388,1
7,2.429,0.412,1
10,5.2,0.306,1
9,18.556,0.378,1
9,16.778,0.184,1
10,1.9,0.332,1
5,2.6,0.338,1
14,2.071,0.14,1
9,31.444,0.186,1
6,3.5,0.349,1
1,12,0.583,1
11,1.818,0.568,1
25,13.6,0.866,1
8,1.75,0.143,1
9,9.222,0.289,1
9,2.889,0.316,1
11,13.636,0.186,1
10,12.5,0.19,1
1,31,0.226,1
10,10.3,0.25,1
10,8.4,0.279,1
10,18.4,0.325,1
8,5.25,0.369,1
9,14,0.466,1
10,24.2,0.26,1
8,13.5,0.196,1
9,9,0.187,1
10,3.7,0.154,1
12,22.583,0.238,1
5,4.2,0.333,1
10,1.1,0.2,1
17,1.412,0.407,1
10,6,0.223,1
8,2.375,0.434,1
7,1,0.347,1
6,2.167,0.538,1
8,0.875,0.482,1
7,2.714,0.286,1
7,6.429,0.238,1
8,0.5,0.594,1
16,22.25,0.377,1
11,13.364,0.32,1
11,14,0.36,1
10,5.3,0.343,1
9,2.556,0.169,1
9,13.778,0.367,1
5,6,0.36,1
3,1.333,0.75,1
8,2,0.211,1
7,15.714,0.21,1
8,3.25,0.37,1
5,1.2,0.3,1
5,19.2,0.342,1
8,24.375,0.175,1
8,4.75,0.349,1
7,6.143,0.243,1
7,27.286,0.307,1
59,1.424,0.659,1
8,30.125,0.119,1
11,3.273,0.283,1
13,4.462,0.336,1
9,4.889,0.465,1
6,7.667,0.315,1
12,41.5,0.307,1
7,1.857,0.429,1
11,5.636,0.353,1
8,3.125,0.37,1
10,2.3,0.348,1
5,4.2,0.295,1
8,1.375,0.318,1
10,3.4,0.388,1
12,0.917,0.371,1
20,1.6,0.43,1
5,1.2,0.333,1
11,24.727,0.283,1
8,13.375,0.381,1
24,11.75,0.443,1
11,4,0.314,1
6,6.833,0.224,1
7,4.714,0.342,1
16,26.5,0.371,1
8,8.875,0.329,1
9,10.556,0.285,1
10,29.2,0.203,1
9,11.333,0.357,1
13,9.462,0.428,1
10,15.9,0.377,1
10,1.2,0.333,1
9,4.444,0.275,1
5,2.6,0.415,1
7,6.571,0.155,1
10,6.9,0.277,1
7,2.857,0.336,1
1,177,0.203,1
14,2.714,0.244,1
10,26.1,0.269,1
9,4,0.565,1
11,2.273,0.298,1
7,28.143,0.072,1
11,18.636,0.371,1
9,5.444,0.272,1
8,16.5,0.36,1
9,2,0.58,1
5,1.4,0.4,1
9,4.444,0.494,1
9,41,0.329,1
13,2.538,0.245,1
6,2.167,0.333,1
8,5.125,0.351,1
10,3,0.427,1
7,1.143,0.482,1
8,3.5,0.299,1
4,1.5,0.333,1
9,54.667,0.209,1
7,4.714,0.364,1
7,8.429,0.228,1
9,29.778,0.198,1
8,4.5,0.299,1
8,2.875,0.451,1
7,1.857,0.275,1
6,2.333,0.321,1
8,8.875,0.312,1
9,1,0.321,1
8,10.375,0.357,1
7,1.571,0.364,1
5,6.2,0.355,1
8,5,0.213,1
5,7.8,0.344,1
10,2.1,0.329,1
9,40.333,0.128,1
19,2.368,0.243,1
10,15.9,0.355,1
10,11.9,0.39,1
8,9.875,0.316,1
28,11.893,0.351,1
11,10.545,0.274,1
2,23.5,0.17,1
9,2.667,0.537,1
10,12.5,0.456,1
10,26.1,0.264,1
5,11.6,0.2,1
5,1.2,0.333,1
5,21.4,0.247,1
10,2.7,0.63,1
8,11.875,0.466,1
10,6,0.365,1
7,43.571,0.109,1
12,2.167,0.221,1
7,8.143,0.321,1
7,0.571,0.536,1
10,1.1,0.473,1
11,30.636,0.175,1
8,24.125,0.4,1
11,2.909,0.344,1
10,4.9,0.529,1
9,2.889,0.291,1
5,3.2,0.313,1
9,3.222,0.234,1
9,2.222,0.261,1
25,7.12,0.475,1
7,34.286,0.215,1
7,7,0.318,1
11,9.182,0.239,1
15,14.8,0.414,1
9,4.444,0.506,1
7,3.714,0.302,1
7,15.857,0.254,1
4,8,0.313,1
8,3.375,0.218,1
10,6.4,0.514,1
9,18.889,0.371,1
6,0.833,0.367,1
8,4.5,0.458,1
10,18.6,0.347,1
8,0.875,0.268,1
9,56.778,0.164,1
8,1.5,0.458,1
11,2,0.417,1
13,2.923,0.332,1
5,4,0.17,1
9,11.222,0.256,1
8,0.625,0.375,1
12,41.417,0.269,1
74,2.473,0.544,1
5,3.6,0.4,1
2,3.5,0.5,1
8,13.625,0.2,1
10,3.6,0.356,1
14,22.929,0.361,1
9,5,0.279,1
7,1.286,0.381,1
8,19,0.27,1
9,2.778,0.249,1
8,7.5,0.433,1
6,4.333,0.288,1
9,59.444,0.118,1
9,11.444,0.399,1
7,7.714,0.235,1
10,2.9,0.307,1
9,1.889,0.333,1
6,3.333,0.258,1
11,0.818,0.465,1
11,24.636,0.177,1
9,1,0.519,1
10,50.9,0.097,1
10,5.5,0.295,1
10,7.5,0.428,1
7,30.429,0.235,1
8,1.75,0.277,1
7,1.571,0.351,1
9,4.778,0.481,1
9,9.111,0.32,1
7,1.143,0.286,1
9,1,0.383,1
9,4.778,0.509,1
8,2.25,0.389,1
6,16,0.198,1
10,1.8,0.467,1
8,4.125,0.375,1
12,7,0.331,1
10,6.7,0.3,1
10,9.3,0.206,1
7,5,0.269,1
5,18.8,0.234,1
8,3.875,0.411,1
11,9.182,0.264,1
10,6.3,0.298,1
8,5,0.347,1
1,33,0.364,1
7,1.857,0.264,1
6,1.167,0.452,1
8,0.5,0.469,1
9,18.667,0.268,1
10,21.5,0.133,1
8,24,0.207,1
5,23.6,0.154,1
7,3,0.327,1
13,6.538,0.327,1
6,6.5,0.342,1
6,6.5,0.466,1
9,13.667,0.331,1
8,2.5,0.394,1
9,4,0.349,1
10,1.1,0.273,1
9,56.667,0.149,1
8,5.375,0.387,1
10,4,0.333,1
6,1.333,0.313,1
14,1.929,0.479,1
6,30.667,0.323,1
8,2.375,0.368,1
9,18.111,0.263,1
8,1.25,0.388,1
8,1.5,0.448,1
9,56.667,0.137,1
7,12.429,0.365,1
8,3.25,0.394,1
6,2.667,0.49,1
9,9.556,0.394,1
7,2,0.337,1
5,18.8,0.183,1
5,1.4,0.657,1
4,4.5,0.333,1
10,4.3,0.458,1
7,8.429,0.242,1
7,2.286,0.286,1
10,14.4,0.256,1
6,12.5,0.356,1
7,2.286,0.295,1
8,15.75,0.209,1
14,21.429,0.263,1
25,4.72,0.268,1
7,16.857,0.386,1
16,15.188,0.394,1
14,16.214,0.237,1
6,16.167,0.232,1
12,6.083,0.259,1
9,12,0.222,1
9,20.111,0.361,1
24,7.75,0.514,1
14,10.071,0.278,1
9,9.111,0.379,1
11,0.455,0.655,1
7,4.714,0.264,1
5,2,0.28,1
18,1.222,0.366,1
8,5.125,0.378,1
7,16.571,0.262,1
9,4,0.352,1
9,1.667,0.378,1
7,6,0.143,1
9,11.333,0.214,1
8,5.375,0.326,1
10,2.5,0.392,1
10,3.6,0.319,1
11,15,0.354,1
8,2.25,0.403,1
8,8.625,0.366,1
12,10.167,0.26,1
7,14.714,0.295,1
11,9,0.23,1
8,0.5,0.469,1
15,4.067,0.247,1
7,4.571,0.308,1
9,2.333,0.519,1
10,4.8,0.3,1
9,1.444,0.564,1
20,0.8,0.5,1
14,19.5,0.373,1
8,2.625,0.435,1
7,2.571,0.397,1
8,1.75,0.42,1
9,21.556,0.169,1
9,2.444,0.288,1
9,12.222,0.311,1
9,0.778,0.349,1
9,12,0.376,1
8,16.875,0.077,1
8,1.5,0.51,1
67,4.418,0.088,1
9,20.556,0.386,1
8,9.375,0.375,1
10,27.1,0.267,1
7,2.143,0.2,1
8,43,0.216,1
9,2.889,0.299,1
8,5.75,0.391,1
8,6,0.396,1
9,4.667,0.325,1
5,2.6,0.462,1
16,6.625,0.192,1
7,4.857,0.273,1
9,5.111,0.29,1
9,4,0.395,1
13,6.462,0.35,1
6,13.5,0.282,1
10,0.9,0.344,1
9,7.222,0.222,1
5,3.6,0.467,1
9,3.333,0.304,1
6,2.167,0.333,1
8,3.375,0.282,1
11,4.727,0.28,1
10,1.7,0.571,1
5,3.4,0.376,1
9,59.444,0.173,1
5,4.6,0.504,1
9,27.556,0.33,1
11,27.545,0.151,1
11,4.455,0.343,1
13,0.769,0.3,1
9,56.444,0.188,1
2,9.5,0.184,1
9,4.444,0.319,1
9,25,0.198,1
12,0.667,0.51,1
10,2.2,0.318,1
8,1.875,0.433,1
8,10.25,0.398,1
3,1.667,0.533,1
8,18.125,0.156,1
8,7.75,0.361,1
12,0.667,0.448,1
2,9.5,0.237,1
7,4.143,0.286,1
12,6,0.615,1
9,1.333,0.444,1
10,2.2,0.336,1
8,4.875,0.282,1
11,6.455,0.461,1
9,23.778,0.23,1
8,0.5,0.406,1
8,0.5,0.375,1
3,18.667,0.065,1
23,5.739,0.95,1
11,11.455,0.273,1
9,3.667,0.357,1
8,11.5,0.359,1
9,3.667,0.36,1
17,1.412,0.36,1
5,11.2,0.121,1
7,1.571,0.234,1
24,19.5,0.472,1
10,5.4,0.378,1
7,7.571,0.342,1
10,2,0.29,1
7,3,0.313,1
10,1.9,0.553,1
6,8.5,0.454,1
9,13.444,0.356,1
7,19,0.211,1
8,13.375,0.363,1
24,14.042,0.945,1
8,4.375,0.425,1
9,1.556,0.278,1
10,2.3,0.27,1
9,31.667,0.338,1
7,1.571,0.377,1
11,1.545,0.321,1
9,4.889,0.258,1
7,7.143,0.266,1
11,23.818,0.251,1
8,30,0.194,1
21,0.619,0.168,1
27,9.889,0.362,1
7,2,0.296,1
8,4.625,0.375,1
11,0.818,0.485,1
12,5.75,0.332,1
8,42.875,0.129,1
9,22.444,0.087,1
11,22.091,0.117,1
8,9.125,0.433,1
9,56.667,0.149,1
7,3.286,0.447,1
5,5.4,0.267,1
6,2.333,0.274,1
7,25,0.337,1
8,4.875,0.388,1
10,16.2,0.294,1
10,16.5,0.258,1
5,1.6,0.425,1
9,2.111,0.667,1
7,9,0.317,1
12,4,0.252,1
9,9.111,0.408,1
11,2.273,0.36,1
3,1.333,0.917,1
7,2.286,0.321,1
10,1.5,0.3,1
8,6.125,0.413,1
9,11,0.312,1
8,4,0.402,1
6,2.333,0.274,1
7,1,0.245,1
8,1.75,0.42,1
12,0.583,0.214,1
8,14.625,0.201,1
7,1.571,0.364,1
5,0.8,0.5,1
14,7,0.308,1
9,1.444,0.239,1
10,2.2,0.277,1
5,2.4,0.467,1
7,8.143,0.414,1
10,6.4,0.477,1
8,1.75,0.446,1
7,2.857,0.329,1
10,23.6,0.183,1
11,1.727,0.378,1
9,2.333,0.317,1
5,8.6,0.372,1
8,4.375,0.393,1
8,1.75,0.393,1
7,2,0.316,1
1,45,0.2,1
9,5.444,0.594,1
7,24.429,0.16,1
6,3.167,0.307,1
12,5.917,0.628,1
6,31.167,0.188,1
8,0.625,0.425,1
11,12,0.189,1
5,1.8,0.267,1
7,3.571,0.434,1
10,1.9,0.363,1
6,1.167,0.286,1
5,6.2,0.419,1
9,4.111,0.526,1
6,16.667,0.345,1
9,11.333,0.166,1
9,9,0.322,1
9,26.667,0.179,1
8,43.25,0.144,1
7,1.429,0.3,1
7,1.286,0.444,1
7,3.143,0.247,1
20,0.9,0.489,1
5,1,0.4,1
9,2.444,0.192,1
9,18.778,0.343,1
13,31.462,0.277,1
8,1.125,0.375,1
16,23.5,0.371,1
6,11.333,0.257,1
9,7.556,0.335,1
10,0.9,0.222,1
12,0.667,0.479,1
8,0.25,0.563,1
9,10.778,0.328,1
7,5.857,0.261,1
8,1,0.234,1
11,0.727,0.602,1
12,0.667,0.792,1
10,1.6,0.288,1
9,1.333,0.491,1
9,4.556,0.298,1
4,1,0.563,1
9,4.778,0.388,1
5,1,0.28,1
6,2,0.361,1
8,2.875,0.38,1
12,2.083,0.32,1
9,10.222,0.292,1
8,8.75,0.464,1
7,0.714,0.257,1
8,2.5,0.263,1
4,2.75,0.364,1
7,1.429,0.286,1
7,27.143,0.293,1
9,59.333,0.102,1
13,5.154,0.432,1
10,1.9,0.621,1
27,4.259,0.293,1
5,2.6,0.154,1
5,7.8,0.492,1
8,8.75,0.341,1
7,1.143,0.214,1
11,8.182,0.362,1
6,2.833,0.245,1
6,16,0.217,1
10,1.9,0.611,1
7,2,0.214,1
9,3.889,0.397,1
9,4.889,0.341,1
7,1.571,0.325,1
9,28.667,0.173,1
6,16.167,0.235,1
9,6.111,0.251,1
8,2.625,0.363,1
9,5.222,0.333,1
9,11,0.189,1
10,12.1,0.268,1
10,1.2,0.367,1
8,4.375,0.357,1
11,2.909,0.256,1
10,4.4,0.314,1
7,14,0.254,1
6,2.5,0.467,1
8,9.375,0.328,1
9,17,0.304,1
7,2.429,0.361,1
7,2.143,0.705,1
8,1.75,0.42,1
8,5.25,0.423,1
5,19.6,0.316,1
8,18.5,0.182,1
3,10.333,0.226,1
8,1.25,0.425,1
9,6.556,0.335,1
7,3.857,0.259,1
9,7.111,0.491,1
9,3.556,0.302,1
7,2.571,0.167,1
7,8.429,0.462,1
11,3.545,0.317,1
8,12,0.276,1
9,21.222,0.328,1
14,22.857,0.354,1
18,10.278,0.163,1
8,10.25,0.396,1
7,17.571,0.419,1
8,6.625,0.337,1
9,9.222,0.356,1
13,26.769,0.308,1
10,2.2,0.323,1
7,2.714,0.338,1
10,12.2,0.273,1
9,11.333,0.404,1
7,4.714,0.368,1
10,2.5,0.392,1
10,7.8,0.381,1
9,5.556,0.22,1
8,8.625,0.216,1
5,1,0.52,1
7,20,0.253,1
11,2.364,0.297,1
8,0.75,0.417,1
8,3.625,0.207,1
9,4.333,0.293,1
8,18.75,0.205,1
1,36,0.222,1
11,2.727,0.467,1
8,2.875,0.288,1
8,2.25,0.215,1
10,5.4,0.319,1
25,6.12,0.255,1
9,2.333,0.291,1
9,6.222,0.343,1
7,1.286,0.429,1
7,2.571,0.278,1
10,26.2,0.179,1
9,1.889,0.523,1
8,3,0.297,1
5,1.2,0.433,1
10,5,0.268,1
9,19.333,0.178,1
6,15.667,0.184,1
16,22,0.39,1
10,2.5,0.408,1
9,4.333,0.256,1
8,1.625,0.683,1
8,10.625,0.238,1
8,3.25,0.399,1
11,9.091,0.473,1
6,1.167,0.5,1
7,8.714,0.241,1
9,15.333,0.155,1
8,2.5,0.206,1
11,1.273,0.442,1
71,0.479,0.094,1
5,4.6,0.322,1
7,5,0.445,1
9,1.333,0.648,1
5,1.6,0.325,1
12,1.833,0.568,1
11,1.091,0.455,1
10,3.5,0.326,1
13,2.923,0.334,1
7,2,0.367,1
11,3.909,0.334,1
10,5.1,0.22,1
10,8.4,0.356,1
5,6.6,0.315,1
10,1.3,0.315,1
9,33.778,0.202,1
10,3.9,0.31,1
12,7.083,0.476,1
10,33,0.207,1
8,1.125,0.375,1
9,9.556,0.3,1
10,2.1,0.3,1
5,2.4,0.317,1
7,2.571,0.365,1
9,8.556,0.486,1
34,3.353,0.105,1
11,24.636,0.278,1
8,1.5,0.469,1
5,19.6,0.341,1
6,1.5,0.556,1
12,21.417,0.283,1
12,0.667,0.438,1
6,16,0.267,1
9,2,0.395,1
8,0.875,0.464,1
33,5.455,0.236,1
10,1.8,0.656,1
12,19.167,0.164,1
9,2.333,0.354,1
9,16.778,0.257,1
9,5.222,0.286,1
8,1.75,0.295,1
7,1.857,0.275,1
8,3.125,0.405,1
7,4.857,0.265,1
77,3.182,0.445,1
6,7.667,0.217,1
9,2.667,0.356,1
7,2.429,0.387,1
13,3.462,0.429,1
10,13.7,0.191,1
5,4,0.49,1
12,0.667,0.292,1
7,1.857,0.374,1
9,3.222,0.307,1
6,22.5,0.21,1
7,1,0.918,1
5,18.4,0.287,1
7,5.714,0.311,1
8,6,0.341,1
10,4.6,0.3,1
6,5.5,0.247,1
14,13.071,0.39,1
10,2.7,0.3,1
8,1.5,0.396,1
4,3,0.292,1
