@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R4-5,9,11'

@attribute Eccen numeric
@attribute P_black numeric
@attribute Blackand numeric
@attribute Class {1,2,3,4,5}

@data
0.667,0.417,17,1
1.4,0.429,30,1
1.167,0.405,40,1
1.923,0.234,93,1
3.182,0.382,253,1
3.8,0.426,360,1
5.3,0.294,434,1
9.273,0.223,862,1
4.667,0.256,556,1
10,0.775,34,2
7.818,0.413,807,1
9.182,0.398,987,1
10.818,0.261,1045,1
10.818,0.236,978,1
6,0.302,351,1
9,0.722,26,2
2.429,0.227,69,1
2.111,0.292,130,1
7.333,0.323,478,1
3.778,0.337,250,1
5,0.453,214,1
7,0.2,145,1
5.333,0.375,45,1
9,0.388,654,1
1.1,0.382,110,1
3.556,0.333,248,1
2,0.344,25,1
10,0.449,874,1
9.111,0.337,603,1
223,0.439,538,2
8.375,0.055,1814,5
1.523,0.063,17081,5
8.444,0.363,598,1
2.833,0.275,84,1
9.2,0.278,192,1
24.316,0.523,6035,2
4.9,0.551,462,1
52,0.538,52,2
1.182,0.283,525,1
3.4,0.356,273,1
2.73,0.282,2596,1
2.1,0.362,172,1
48,0.875,48,2
7.375,0.292,419,1
2.556,0.3,207,1
6.6,0.324,515,1
7.9,0.347,619,1
8,0.308,670,1
2.571,0.119,57,1
17.286,0.276,514,1
0.727,0.727,87,1
0.636,0.468,37,1
5.444,0.592,440,1
8.667,0.329,629,1
1.333,0.407,108,1
7,0.298,446,1
6.818,0.27,560,1
1.5,0.469,96,1
8.5,0.257,984,1
2.167,0.224,283,1
7.818,0.289,663,1
0.75,0.583,39,1
11,0.461,807,1
1.75,0.268,62,1
1.909,0.316,134,1
6.7,0.291,435,1
3.556,0.354,232,1
8,0.279,640,1
6,0.281,697,1
9,0.328,668,1
0.727,0.261,88,1
8.333,0.373,616,1
10.1,0.45,878,1
9.444,0.308,569,1
4.778,0.47,367,1
4.667,0.344,352,1
14.444,0.513,1082,1
2.333,0.365,171,1
7.455,0.236,734,1
2.333,0.323,153,1
0.875,0.321,24,1
3.556,0.299,199,1
5.75,0.315,345,1
4.4,0.441,405,1
21.5,0.257,2378,1
13.667,0.359,994,1
0.115,0.063,701,4
0.375,0.5,16,1
0.375,0.458,17,1
0.8,0.688,80,1
0.9,0.522,59,1
2.625,0.548,168,1
6,0.228,674,1
10.778,0.317,753,1
2.364,0.283,254,1
9.5,0.388,549,1
11.6,0.273,925,1
13.1,0.487,1121,1
4.778,0.128,2086,5
8.923,0.279,992,1
0.091,1,11,4
3.778,0.366,259,1
6.571,0.304,310,1
18,0.364,84,2
30.167,0.298,743,1
8.875,0.407,513,1
19.8,0.356,436,1
31.308,0.266,3435,1
5.727,0.332,502,1
19,0.278,507,1
4,0.337,194,1
3.227,0.487,1302,1
10.75,0.303,1100,1
3,0.295,252,1
3.227,0.519,1317,1
8.75,0.463,552,1
2.636,0.408,244,1
16.667,0.385,497,1
1,0.63,65,1
22.875,0.288,972,1
3.364,0.371,366,1
41.417,0.278,4478,1
3.375,0.218,184,1
8.444,0.436,653,1
11.625,0.261,697,1
16.429,0.273,567,1
8.625,0.312,465,1
10.111,0.233,646,1
15.875,0.314,838,1
9.455,0.377,891,1
3,0.667,12,2
12,0.364,772,1
9.455,0.367,854,1
14.833,0.403,438,1
3.556,0.261,812,1
2.6,0.312,150,1
1,0.124,76,5
33.875,0.314,1775,1
2.625,0.28,155,1
0.857,0.214,12,1
1,0.367,49,1
0.49,0.093,1958,5
6.714,0.158,95,5
24.636,0.162,1616,1
4.7,0.223,332,1
8.125,0.269,377,1
24.636,0.168,1784,1
19.7,0.144,1160,1
12,0.111,368,1
27.1,0.193,1878,1
2,0.357,94,1
1,0.286,31,1
2.571,0.31,121,1
2.4,0.383,53,1
2,0.337,97,1
1.2,0.183,47,1
2.167,0.308,68,1
1.2,0.225,67,1
5.8,0.081,130,1
8.111,0.174,285,1
2,0.278,116,1
2.333,0.243,143,1
3.4,0.412,80,1
2.714,0.331,102,1
4.286,0.352,166,1
5.111,0.242,238,1
7.714,0.254,230,1
1.143,0.375,56,1
1,0.417,34,1
3.286,0.329,161,1
1.375,0.25,73,1
2.143,0.229,103,1
2.429,0.286,109,1
1.857,0.297,78,1
1,0.245,49,1
4.429,0.313,185,1
2.2,0.455,55,1
6.444,0.203,277,1
2.111,0.222,115,1
3.125,0.285,176,1
3.286,0.329,136,1
1.857,0.308,85,1
4.8,0.375,114,1
1.429,0.329,70,1
4.571,0.277,186,1
4.429,0.318,182,1
1.3,0.231,104,1
1.571,0.299,60,1
2.167,0.269,52,1
1.286,0.238,39,1
1.714,0.357,68,1
2,0.408,96,1
4,0.292,112,1
5.429,0.286,199,1
1.222,0.253,77,1
5,0.311,144,1
5.143,0.278,236,1
0.857,0.333,27,1
2.429,0.311,108,1
6,0.235,168,1
0.5,0.25,11,1
4.857,0.298,223,1
1.571,0.39,59,1
10.571,0.276,354,1
3.167,0.333,106,1
7.222,0.265,427,1
1.571,0.377,74,1
1.833,0.379,54,1
1,0.347,49,1
8.6,0.456,215,1
1.2,0.433,30,1
17.444,0.222,763,1
2.667,0.354,96,1
0.8,0.45,16,1
5.333,0.227,284,1
4.286,0.324,199,1
4.429,0.281,148,1
3.571,0.371,175,1
1.889,0.307,151,1
5.429,0.252,167,1
29.111,0.209,1657,1
3.167,0.316,101,1
5.125,0.21,217,1
1.556,0.238,113,1
2,0.337,88,1
1.778,0.215,110,1
1.444,0.308,103,1
6.167,0.306,180,1
1.8,0.444,43,1
0.778,0.286,49,1
4.429,0.313,154,1
5.889,0.218,282,1
3.222,0.188,131,1
1.875,0.467,94,1
3.3,0.321,281,1
0.75,0.458,40,1
0.25,0.156,34,5
1.125,0.458,72,1
