@relation page-blocks

@attribute Eccen numeric
@attribute P_black numeric
@attribute Class {1,2,3,4,5}

@data
0.87,0.507,1
2.909,0.332,1
5.1,0.41,1
12.6,0.456,1
2.4,0.6,1
2.75,0.364,1
7.182,0.321,1
6.9,0.277,1
18.8,0.183,1
21.667,0.126,1
40,0.4,1
4.8,0.579,1
14,0.36,1
16.636,0.481,1
15.571,0.283,1
3.9,0.295,1
2,0.278,1
1.933,0.524,1
10,0.436,1
2.727,0.467,1
5.375,0.212,1
3.875,0.298,1
18.4,0.325,1
1.571,0.234,1
18,0.389,1
1.5,0.531,1
7.333,0.323,1
49.429,0.173,1
2.667,0.49,1
12.25,0.221,1
4.333,0.239,1
1.5,0.411,1
5.444,0.231,1
0.75,0.375,1
5.286,0.243,1
6,0.191,1
16,0.293,1
2.375,0.388,1
3.556,0.382,1
2.25,0.174,1
4.333,0.519,1
19.75,0.102,1
22.875,0.288,1
0.5,0.469,1
5.048,0.136,1
9.222,0.333,1
2.556,0.324,1
3.375,0.343,1
10.25,0.288,1
4.333,0.34,1
11.5,0.28,1
5.917,0.631,1
10.2,0.314,1
3,0.297,1
0.571,0.25,1
1.857,0.374,1
1.833,0.303,1
12.455,0.317,1
5.857,0.213,1
3.25,0.389,1
4.333,0.259,1
1.833,0.364,1
4.8,0.331,1
2.333,0.321,1
2.167,0.269,1
17.9,0.2,1
10.231,0.36,1
1.4,0.686,1
13.667,0.274,1
16.714,0.186,1
53.5,0.113,1
8.5,0.54,1
1.778,0.208,1
28.875,0.228,1
1,0.25,1
2.333,0.56,1
8.333,0.256,1
4.375,0.418,1
5.75,0.391,1
4.286,0.352,1
5.143,0.567,1
1.125,0.389,1
1.5,0.396,1
2.889,0.299,1
3.818,0.284,1
53.5,0.166,1
24.846,0.256,1
4.286,0.324,1
18.929,0.354,1
13.357,0.265,1
6.286,0.218,1
8.6,0.233,1
0.667,0.583,1
3,0.296,1
3,0.259,1
2.84,0.234,1
21.556,0.191,1
1.9,0.584,1
2.3,0.361,1
3.4,0.303,1
2.571,0.167,1
9,0.337,1
10.375,0.325,1
12,0.279,1
13.625,0.271,1
0.667,0.5,1
17.308,0.253,1
30.636,0.179,1
30.667,0.272,1
2.136,0.319,1
2.571,0.302,1
10.5,0.36,1
40,0.2,1
0.9,0.333,1
2.333,0.243,1
6.75,0.245,1
1.625,0.365,1
0.8,0.6,1
2.571,0.413,1
1.5,0.417,1
13.5,0.282,1
6.375,0.306,1
2.6,0.35,1
4.286,0.305,1
2.286,0.321,1
17.25,0.2,1
13.889,0.21,1
1.875,0.258,1
27.1,0.193,1
3.4,0.297,1
