@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R1,4,11'

@attribute Height numeric
@attribute Eccen numeric
@attribute Class {1,2,3,4,5}

@data
6,3,1
4,1.5,1
13,1.923,1
7,2.286,1
7,14.714,1
11,0.818,1
3,37.667,2
10,9.8,1
2,11,2
9,10,1
1,13,2
11,1.818,1
9,1.444,1
7,15.286,1
9,10.556,1
9,3.889,1
1,75,2
5,1.6,1
1,13,2
94,0.021,4
10,8.1,1
9,9.111,1
11,7.636,1
11,10.455,1
4,0.5,4
8,5.75,1
8,5.125,1
2,118,2
8,1.75,1
9,8.889,1
9,13.333,1
11,3.182,1
9,2.333,1
10,5.3,1
10,4,1
8,10.25,1
11,1.182,1
11,0.727,1
11,3.909,1
9,8.333,1
9,13.444,1
10,4,1
14,24.286,1
12,0.667,1
17,0.118,4
11,10.727,1
9,4.556,1
1,29,2
7,4.429,1
6,2.833,1
10,4.9,1
9,3.778,1
9,9.111,1
12,0.667,1
10,8.6,1
10,4.8,1
1,40,2
6,2.167,1
10,0.8,1
8,3,1
8,2.125,1
9,9.111,1
10,6.3,1
9,3.778,1
1,11,2
1,17,2
7,17.286,1
10,3.8,1
9,4,1
9,1.444,2
9,5.778,1
10,4.6,1
9,1,1
1,42,2
2,88,2
2,26,1
5,8.8,1
2,7,2
7,17.571,1
12,0.667,1
11,0.727,1
9,1.333,1
11,9.182,1
9,4.667,1
19,23.947,1
8,2.875,1
8,1.875,1
8,1.75,1
6,0.333,1
10,0.7,1
9,1.333,1
11,9.182,1
1,73,2
8,2.625,1
8,5.75,1
9,10.333,1
13,8.154,1
5,3.4,1
8,9,1
10,10.8,1
13,31.462,1
6,16.667,1
12,7,1
11,3.182,1
9,4.667,1
13,11.308,1
12,10.667,1
12,34.167,1
8,8.625,1
9,11.778,1
6,4.833,1
9,4.111,1
10,5.4,1
22,3.227,1
5,8.6,1
36,2.667,5
10,10.5,1
13,6.462,1
8,23.125,1
6,14.833,1
12,9.833,1
12,8.75,1
10,3.3,1
7,55.571,1
18,2.667,1
7,5.857,1
10,27.1,1
9,30.111,1
8,8.625,1
8,34,1
8,6.75,1
8,3.125,1
81,0.605,5
6,1,5
10,27.2,1
13,0.615,5
10,27.2,1
10,27.2,1
8,7.75,1
6,4,1
11,24.636,1
7,1,1
10,27.1,1
7,1,1
7,1.143,1
5,1.4,1
9,9,1
5,10.4,1
5,7.6,1
6,4.167,1
10,7.9,1
7,5.857,1
6,6.667,1
8,2.125,1
6,2.833,1
6,2.167,1
5,0.6,1
7,1.286,1
10,15.1,1
9,4.111,1
8,2.875,1
7,1.571,1
7,5.143,1
7,4.143,1
7,1.286,1
7,1.286,1
7,0.571,1
7,2.571,1
7,4.571,1
9,3.222,1
7,1.857,1
8,1.375,1
7,3.429,1
7,2.571,1
7,1.857,1
7,2.714,1
7,1.571,1
7,5.571,1
6,1.833,1
6,4.333,1
7,5.857,1
7,4.571,1
7,3.429,1
6,1.833,1
6,1.833,1
7,0.571,1
7,3.571,1
7,1.143,1
6,2.167,1
4,5.5,1
9,3.222,1
7,0.857,1
7,5.857,1
8,2.375,1
8,2.375,1
7,12.286,1
7,6.714,1
7,2.714,1
6,1.833,1
7,6.143,1
5,8,1
9,5.778,1
7,2.429,1
7,4.714,1
5,0.8,1
7,1.857,1
6,1.333,1
9,1.778,1
6,3.333,1
7,1.571,1
7,6.714,1
5,1.4,1
7,1.571,1
9,22.333,1
6,0.833,1
9,4.333,1
7,2.571,1
9,0.667,5
11,2.273,1
