@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R1,3,7,11'

@attribute Height numeric
@attribute Area numeric
@attribute Mean_tr numeric
@attribute Class {1,2,3,4,5}

@data
6,18,2.25,1
5,10,8,1
4,72,2.57,1
10,340,1.71,1
10,1000,2.53,1
9,675,2.19,1
2,138,10.75,2
11,847,2.43,1
1,57,3.71,2
10,1520,2.17,1
2,34,6.67,2
6,162,2.78,1
7,105,3.09,1
11,99,6,1
9,495,1.92,1
9,126,1.78,1
8,280,1.66,1
9,720,1.85,1
8,672,1.79,1
7,98,18,1
8,208,1.77,1
9,324,3.02,1
6,276,2,1
11,231,3.96,1
10,380,2.83,1
11,1100,1.9,1
8,656,2.51,1
8,320,2.08,1
8,360,2.44,1
1,9,7,2
44,132,2.47,4
3,639,11.94,2
10,240,2.06,1
12,1008,1.91,1
10,630,2.2,1
1,75,11.5,2
9,306,2.1,1
12,96,46,1
12,84,5.22,1
14,252,3.33,1
11,1078,2.8,1
9,63,2.2,1
9,405,2.77,1
10,380,2.78,1
9,324,3.45,1
9,198,1.93,1
9,288,2.16,1
11,1375,3.03,1
9,360,2.85,1
9,396,2.97,1
9,423,2.75,1
7,294,2.61,1
6,66,1.3,1
11,1078,2.61,1
1,23,19,2
8,424,1.64,1
12,492,2.06,1
8,600,1.95,1
8,288,3.04,1
8,568,1.83,1
9,333,2.03,1
9,900,1.91,1
9,729,1.97,1
9,756,1.83,1
9,243,1.87,1
9,297,1.85,1
6,42,10,2
9,423,1.95,1
9,414,2.18,1
9,1098,2.73,1
1,36,4.2,2
8,256,1.81,1
9,423,1.99,1
9,324,3.16,1
10,1000,2.64,1
10,1010,2.92,1
12,1416,2.06,1
10,1260,2.98,1
8,168,2.92,1
7,14,2.25,1
7,98,2.67,1
11,99,5.75,1
9,324,1.75,1
9,720,2.09,1
9,297,1.84,1
8,88,1.63,1
11,814,2.21,1
8,424,1.63,1
11,682,1.62,1
1,84,19.25,2
8,320,2.7,1
8,328,1.92,1
7,301,3.48,1
22,1584,8.64,1
8,568,1.86,1
7,343,2.08,1
6,258,1.77,1
10,480,2.5,1
13,13,13,4
5,195,1.74,1
13,13,13,4
10,330,3.25,1
10,860,2.44,1
12,1236,2.55,1
18,3024,2.34,1
14,3038,2.12,1
10,350,1.87,1
9,405,2.17,1
9,558,2.23,1
9,360,3.08,1
5,195,2.46,1
14,1624,2.12,1
9,117,3.26,1
8,104,4.69,1
10,610,3.13,1
12,6000,2.45,1
11,374,2.78,1
6,594,1.46,1
3,81,1.77,1
12,4968,2.3,1
10,200,3.48,1
14,266,30,5
5,60,4,5
9,2448,1.86,1
4,20,2.33,5
8,232,2.07,1
11,2981,1.49,1
8,56,2,1
10,150,1.61,1
10,600,1.44,1
10,1790,1.41,1
