@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R1,7,11'

@attribute Height numeric
@attribute Mean_tr numeric
@attribute Class {1,2,3,4,5}

@data
5,2.5,1
3,84,2
9,3,1
9,1.93,1
9,1.91,1
9,1.84,1
8,10,1
2,30,2
9,3.18,1
9,1.57,1
9,2.84,1
9,2.42,1
1,8,2
2,2.75,1
11,5.75,1
11,15.67,1
10,2.41,1
11,1.69,1
9,1.93,1
8,1.54,1
12,1.58,1
7,2.36,1
8,1.97,1
9,1.83,1
8,1.84,1
9,2.57,1
11,4.13,1
9,3.3,1
1,5.75,2
8,2.49,1
8,2,1
8,2.37,1
9,3.49,1
10,3.02,1
9,3.35,1
66,2.6,4
10,3,1
1,61,2
8,1.44,1
9,2.25,1
306,2.69,5
10,2.74,1
9,2.35,1
10,2.84,1
9,3.36,1
9,2.19,1
12,3.11,1
8,1.68,1
10,3.17,1
10,2.1,1
1,5.17,2
10,3.18,1
7,2.15,1
1,2,2
8,1.79,1
12,2.21,1
1,30.67,2
9,3.23,1
8,2.1,1
8,2.38,1
4,4,1
9,2.18,1
11,2.74,1
7,21,1
76,76,4
8,2.13,1
10,2.64,1
10,2.92,1
6,2.67,1
1,13,2
12,9.17,1
11,8.86,1
1,13,2
9,2.74,1
11,2.18,1
9,2.16,1
12,1.77,1
8,2.3,1
7,1.54,1
10,9,1
10,9.2,1
9,1.42,1
8,2.24,1
9,1.64,1
9,1.96,1
9,1.67,1
8,1.72,1
8,3.4,1
9,2.98,1
11,2.72,1
10,3.32,1
17,17,4
10,2.41,1
13,13,4
23,23,4
8,1.82,1
9,2.24,1
10,2.28,1
7,1.77,1
15,2.81,1
7,1.65,1
12,3.5,1
14,2.16,1
5,1.67,1
4,1.83,1
8,2.88,1
10,3.03,1
8,1.99,1
9,2.14,1
13,2.8,1
22,10.59,1
8,2.01,1
12,2.61,1
12,2.59,1
7,2.58,1
8,2.05,1
8,1.76,1
7,1.99,1
13,2.19,1
11,3.05,1
10,2.84,1
10,10,4
19,3.01,1
12,5.3,1
9,1.99,1
5,2.67,5
10,1.87,1
14,2.83,5
7,1.89,5
7,8,1
8,1.35,1
10,1.57,5
10,1.31,1
21,5.69,5
8,1.54,1
10,1.47,1
10,1.38,1
10,1.29,1
7,1.46,1
11,1.44,1
8,1.57,1
6,1.4,1
5,1.82,1
5,1.28,1
8,1.11,1
6,1.28,1
10,3,1
7,1.6,1
7,2.2,1
7,1.61,1
7,1.45,1
9,1.44,1
7,1.35,1
7,1.75,1
7,1.46,1
5,1.38,1
10,1.36,1
7,1.46,1
7,1.46,1
9,1.49,1
6,1.58,1
7,1.53,1
9,1.78,1
6,1.2,1
7,1.57,1
5,2,1
7,1.39,1
7,1.94,1
7,2,1
7,1.82,1
7,2,1
7,2.38,1
5,1.48,1
7,1.48,1
7,1.38,1
9,1.44,1
9,1.52,1
7,1.19,1
6,1.33,1
8,1.36,1
7,1.67,1
5,1.63,1
4,1.41,1
7,1.36,1
9,1.62,1
8,3,1
7,1.2,1
7,1.19,1
7,1.52,1
7,1.69,1
9,1.29,1
7,1.35,1
7,1.85,1
7,1.64,1
9,1.42,1
7,1.67,1
4,4.5,1
7,1.71,1
5,2.67,1
7,1.32,1
7,1.35,1
9,1.48,1
5,10,1
7,1.45,1
8,1.24,1
7,1.45,1
7,1.68,1
7,1.29,1
6,1.17,1
7,1.15,1
7,1.33,1
9,1.52,1
5,1.31,1
8,1.34,1
7,1.26,1
8,2.2,1
24,2.07,5
8,2,1
8,2.03,1
8,2.3,1
7,1.8,5
8,1.74,1
9,2,1
11,1.86,1
11,2.27,1
21,2.3,1
13,5.25,5
8,1.81,1
9,1.81,1
8,7,5
10,2.33,1
9,2.8,1
8,2.13,1
9,1.82,1
8,1.88,1
9,3.31,1
9,1.59,1
8,2.2,1
9,2.14,1
9,2.31,1
10,2.43,1
8,2.1,1
10,2.3,1
10,2,1
8,2.54,1
8,2.41,1
8,2.28,1
10,2.29,1
8,2.2,1
6,2.11,1
11,2.08,1
10,2.38,1
8,1.77,1
8,2.59,1
8,1.87,1
11,1.89,1
8,2.57,1
10,1.85,1
9,1.84,1
8,1.85,1
5,2,1
12,1.92,1
8,2,1
9,1.86,1
11,1.93,1
8,2.1,1
8,1.61,1
6,2.24,1
8,2,1
8,2.17,1
10,1.87,1
8,2.55,2
8,3.38,1
7,3.5,1
10,1.85,1
8,1.9,1
1,7,1
5,7,1
5,3.17,1
5,4.67,1
5,2.35,1
5,2.57,1
5,2.33,1
8,1.84,1
10,1.74,1
9,2.23,1
8,1.8,1
10,2.13,1
6,10,1
10,2.07,1
8,3.11,1
6,3.12,1
5,2.37,1
5,2.19,1
5,2.75,1
8,3,1
8,2.21,1
5,2.42,1
8,2.1,1
10,2.89,1
11,2.46,1
8,1.78,1
8,2.38,1
7,2.33,1
10,1.93,1
7,1.87,1
8,2.32,1
11,1.94,1
10,1.89,1
10,1.89,1
7,1.81,1
8,1.64,1
8,1.61,1
10,2.25,1
8,1.85,1
8,2,1
10,2.09,1
8,1.93,1
8,2.45,1
8,1.94,1
8,1.89,1
8,2.38,1
8,3.22,1
7,1.81,1
10,2.25,1
10,1.86,1
11,1.97,1
8,1.88,1
6,2.22,1
8,2.5,1
10,1.98,1
5,2.33,1
8,2.09,1
8,1.88,1
7,3,1
11,1.84,1
7,2.13,1
10,1.8,1
8,3,1
7,1.85,1
8,1.89,1
7,1.91,1
8,1.87,1
10,1.72,1
7,1.62,1
8,1.66,1
28,5.96,1
7,2.77,1
8,1.19,1
1,5,1
5,1.3,1
7,1.64,1
8,1.38,1
9,1.21,1
25,7.16,1
9,1.3,1
9,1.31,1
10,1.28,1
13,4,1
9,1.73,1
9,2.53,1
9,1.38,1
7,1.37,1
8,1.91,1
2,16.76,2
2,10.75,2
9,1.33,1
9,1.31,1
9,1.39,1
2,95.8,2
1,537,2
8,1.39,1
28,7.02,3
9,2.3,1
8,1.27,1
1,29.22,2
10,1.19,1
1,24.33,2
9,2.15,1
8,2.29,1
10,1.51,1
10,1.47,1
9,1.38,1
8,1.83,1
9,1.53,1
8,2.91,1
7,1.8,1
7,1.4,1
9,1.42,1
7,1.28,1
2,32.11,2
8,1.28,1
9,1.31,1
7,1.94,1
8,3.18,1
8,2.91,1
2,1.08,1
9,1.34,1
9,1.42,1
9,1.6,1
9,1.36,1
9,1.3,1
7,1.23,1
