@relation page-blocks

@attribute Height numeric
@attribute Blackpix numeric
@attribute Wb_trans numeric
@attribute Class {1,2,3,4,5}

@data
8,224,115,1
11,607,312,1
5,15,3,1
25,2221,310,1
7,65,33,1
5,58,24,1
6,16,8,1
11,438,210,1
7,30,19,1
4,116,70,1
9,77,35,1
7,20,9,1
10,324,131,1
4,8,1,1
8,49,25,1
9,22,6,1
8,232,181,1
8,377,236,1
9,40,27,1
9,425,310,1
8,221,156,1
8,51,26,1
11,240,144,1
9,136,71,1
8,137,81,1
9,82,13,1
8,38,13,1
9,335,137,1
7,115,77,1
10,50,1,1
5,24,14,1
9,130,94,1
13,164,41,1
8,44,25,1
9,156,97,1
7,158,135,1
7,34,21,1
7,81,61,1
9,141,59,1
7,15,11,1
8,50,23,1
7,80,55,1
8,111,69,1
6,62,35,1
7,54,41,1
7,27,17,1
10,55,22,1
9,663,238,1
9,106,14,1
7,92,62,1
7,22,10,1
11,530,80,1
7,57,29,1
7,23,10,1
10,246,145,1
13,39,6,1
11,135,60,1
8,65,11,1
31,6881,408,1
7,20,13,1
10,758,564,1
12,872,291,1
7,26,22,1
10,100,56,1
8,104,49,1
9,182,64,1
5,12,7,1
8,170,50,1
10,549,415,1
10,439,160,1
10,589,212,1
10,452,208,1
11,48,8,1
9,67,14,1
8,90,51,1
1,13,5,1
7,53,38,1
6,33,21,1
16,151,32,1
19,208,69,1
8,144,73,1
9,32,3,1
9,615,214,1
9,218,119,1
8,103,40,1
8,85,42,1
9,36,2,1
10,130,20,1
6,55,26,1
9,210,176,1
12,151,66,1
9,559,336,1
8,31,14,1
6,47,22,1
7,65,47,1
9,611,211,1
7,55,29,1
10,455,202,1
6,56,41,1
11,265,165,1
6,26,19,1
11,520,84,1
7,12,1,1
9,336,252,1
11,582,191,1
5,17,7,1
9,249,119,1
24,5363,679,1
11,177,123,1
7,222,116,1
9,259,83,1
7,37,27,1
6,17,9,1
7,59,21,1
5,126,97,1
10,291,197,1
10,297,95,1
9,474,389,1
8,77,43,1
14,628,275,1
7,29,21,1
24,2333,138,1
8,179,59,1
5,58,31,1
9,98,77,1
9,25,19,1
10,37,23,1
9,44,28,1
17,2355,431,1
7,88,17,1
9,378,170,1
10,403,212,1
14,813,383,1
9,186,93,1
7,62,45,1
24,3604,211,1
7,15,3,1
8,242,191,1
9,44,27,1
7,76,42,1
6,137,80,1
6,53,37,1
5,116,58,1
10,96,76,1
4,104,57,1
11,662,354,1
11,268,140,1
8,142,106,1
8,424,149,1
9,34,24,1
23,2695,162,1
8,42,18,1
11,837,278,1
9,651,486,1
22,162,84,1
38,4341,1815,1
14,1084,458,1
8,37,25,1
8,135,92,1
10,86,11,1
10,107,13,1
10,114,79,1
6,303,175,1
7,96,68,1
11,520,158,1
11,157,18,1
1,8,2,1
8,111,68,1
10,641,465,1
7,72,12,1
7,198,118,1
7,35,26,1
8,168,106,1
14,1062,624,1
25,4304,270,1
9,16,2,1
4,47,26,1
7,80,57,1
11,678,365,1
9,131,56,1
24,2995,384,1
10,159,88,1
9,186,59,1
10,68,9,1
9,78,35,1
7,49,24,1
7,66,31,1
10,110,61,1
6,90,61,1
11,611,123,1
10,22,10,1
7,38,23,1
9,243,154,1
9,115,49,1
9,260,118,1
8,154,103,1
9,107,15,1
19,313,24,1
10,281,109,1
5,121,70,1
9,142,96,1
8,222,127,1
9,36,25,1
8,67,40,1
8,57,19,1
13,1564,745,1
8,128,61,1
82,7618,703,1
11,36,10,1
13,552,48,1
8,38,19,1
12,275,98,1
8,60,29,1
7,105,82,1
10,485,192,1
6,22,15,1
12,1595,645,1
5,30,7,1
8,45,31,1
11,714,348,1
12,311,160,1
13,742,343,1
9,345,274,1
8,57,31,1
8,36,21,1
9,168,70,1
16,101,14,1
14,1657,377,1
8,167,113,1
8,44,20,1
10,667,527,1
12,1068,444,1
6,35,27,1
10,573,401,1
9,187,57,1
17,146,14,1
9,53,29,1
9,402,150,1
9,209,94,1
8,39,21,1
12,423,89,1
8,99,40,1
8,27,18,1
14,1232,503,1
10,98,39,1
6,67,40,1
11,297,135,1
6,26,18,1
9,43,16,1
5,10,1,1
8,203,144,1
4,118,78,1
7,24,18,1
9,443,307,1
6,64,37,1
9,107,49,1
7,361,138,1
6,53,26,1
10,736,390,1
6,32,14,1
13,155,43,1
11,64,6,1
9,439,328,1
6,190,108,1
11,342,122,1
7,33,22,1
3,7,1,1
5,40,28,1
7,90,58,1
5,9,5,1
7,361,279,1
10,317,186,1
6,112,42,1
7,65,44,1
9,659,353,1
10,69,28,1
7,99,81,1
11,428,164,1
8,111,59,1
4,40,19,1
7,35,24,1
10,109,55,1
9,184,61,1
9,238,123,1
6,66,28,1
7,63,42,1
9,190,55,1
8,40,23,1
8,106,55,1
8,38,20,1
25,2792,1218,1
8,34,15,1
10,47,31,1
8,135,61,1
9,316,144,1
7,18,14,1
3,7,1,1
9,143,54,1
9,36,21,1
9,538,239,1
8,61,36,1
13,740,226,1
10,592,316,1
8,81,35,1
9,388,176,1
8,264,123,1
13,1437,657,1
11,75,42,1
13,1657,547,1
9,622,255,1
10,781,257,1
4,7,1,1
11,110,53,1
5,46,33,1
10,384,154,1
10,32,12,1
7,18,15,1
5,63,45,1
11,118,52,1
7,40,23,1
8,57,40,1
8,90,50,1
8,112,62,1
10,50,25,1
6,70,56,1
17,153,34,1
7,11,3,1
7,24,13,1
6,35,16,1
11,314,223,1
5,17,11,1
12,410,70,1
7,340,181,1
6,52,22,1
9,336,180,1
8,54,44,1
7,63,45,1
7,57,43,1
13,34,1,1
7,119,70,1
8,389,286,1
5,91,63,1
6,161,104,1
6,45,22,1
6,22,14,1
8,17,11,1
8,28,16,1
9,171,86,1
9,643,227,1
5,11,3,1
6,25,17,1
9,799,596,1
11,131,38,1
10,301,253,1
8,51,30,1
7,31,16,1
7,88,58,1
13,591,159,1
14,133,43,1
9,216,125,1
15,1232,495,1
7,18,11,1
10,908,362,1
8,21,10,1
7,64,50,1
13,1395,543,1
8,51,18,1
22,330,155,1
7,115,84,1
8,485,279,1
26,3464,456,1
9,258,202,1
