@relation page-blocks

@attribute Height numeric
@attribute Area numeric
@attribute Mean_tr numeric
@attribute Class {1,2,3,4,5}

@data
10,540,3.14,1
7,126,2.81,1
7,56,1.69,1
7,217,2.1,1
7,161,1.68,1
10,320,1.69,1
8,168,1.97,1
8,2472,1.41,1
6,306,1.48,1
9,171,7.57,1
7,42,9,1
7,98,2,1
8,168,13.5,1
9,1620,2.47,1
6,36,1.5,1
16,5696,5.8,1
10,2710,1.89,1
8,24,2.2,1
20,780,3.42,1
7,56,1.71,1
1,60,1.09,1
8,384,1.76,1
8,744,1.24,1
9,819,1.98,1
9,1656,1.46,1
7,378,1.26,1
8,552,1.38,1
7,392,1.25,1
9,1098,2.57,1
9,621,1.38,1
10,330,2.05,1
10,310,1.66,1
6,222,1.42,1
9,729,2.22,1
1,18,3.5,1
8,872,1.61,1
6,564,1.63,1
8,288,2.13,1
9,918,1.58,1
7,77,2.57,1
9,342,2.18,1
5,35,3.5,1
9,108,2.41,1
24,2304,3.18,1
9,2754,1.4,1
9,738,2.39,1
9,162,1.56,1
10,190,3.71,1
5,60,4.67,1
11,1672,2.88,1
14,1274,5.05,1
25,7275,7.29,1
7,84,1.67,1
9,288,3.08,1
9,873,1.77,1
11,2013,4.53,1
12,3252,1.99,1
8,296,1.86,1
8,1200,1.32,1
8,2744,1.2,1
9,108,2,1
1,22,2.6,1
7,497,1.87,1
9,2439,1.9,1
6,156,2.25,1
10,420,2.22,1
6,102,2.29,1
9,288,1.68,1
8,104,8.25,1
8,376,2,1
8,560,2.31,1
9,1134,2.84,1
7,98,1.65,1
8,488,1.94,1
8,120,2.48,1
6,96,1.96,1
9,1395,2.44,1
7,49,1.38,1
8,136,2.86,1
7,987,1.17,1
4,28,8,1
8,1536,1.57,1
9,882,2.03,1
7,147,1.34,1
9,144,1.55,1
11,385,4.78,1
8,80,1.71,1
7,231,1.36,1
10,110,2.48,1
8,192,1.43,1
8,40,2.67,1
9,4428,1.33,1
17,374,4.68,1
16,192,7.21,1
9,1152,1.44,1
7,77,1.61,1
7,77,1.6,1
11,2640,2.05,1
7,84,1.9,1
9,153,7.27,1
12,1020,5.4,1
5,25,2.17,1
10,840,1.65,1
8,104,2.32,1
9,891,2.16,1
6,228,1.51,1
10,190,8.85,1
8,4256,1.28,1
10,830,2.28,1
6,1134,1.62,1
7,308,1.58,1
13,572,1.61,1
10,2710,1.42,1
7,77,1.33,1
9,891,1.4,1
7,133,1.44,1
8,48,1.78,1
10,860,1.85,1
5,95,2.18,1
6,72,1.93,1
10,980,2.41,1
9,774,2.13,1
9,225,2.25,1
8,656,2.24,1
7,189,2.5,1
17,6766,5.3,1
12,144,1.69,1
5,15,2.67,1
7,133,2.25,1
1,47,1.05,1
9,540,2.75,1
8,472,1.84,1
7,189,1.32,1
13,2821,3.05,1
11,2981,1.36,1
7,49,3.5,1
6,120,1.21,1
4,260,2.66,1
10,850,2.28,1
10,1260,2.63,1
16,6224,5.35,1
10,1310,3,1
9,153,1.67,1
9,324,1.82,1
12,3264,2.01,1
9,1548,1.31,1
12,1416,2.42,1
7,70,1.29,1
7,182,2,1
7,147,1.41,1
9,162,7.77,1
7,91,1.65,1
7,1701,1.48,1
6,66,1.67,1
7,1134,1.49,1
10,90,1.6,1
8,72,2.07,1
6,294,2.94,1
13,1105,2.76,1
9,1332,1.17,1
8,56,2.36,1
1,89,1.06,1
9,1413,1.58,1
11,1606,1.83,1
11,220,8.86,1
9,180,2.35,1
7,980,1.28,1
8,160,2.45,1
7,70,1.77,1
9,108,1.63,1
7,1533,1.44,1
38,1976,3.49,1
23,2875,20.75,1
6,78,1.41,1
7,35,9,1
10,2630,1.54,1
9,288,1.7,1
9,198,1.61,1
9,108,1.71,1
11,2992,2,1
11,88,4.13,1
7,315,1.29,1
8,184,2.08,1
7,700,1.83,1
8,1056,2.01,1
14,616,2.5,1
10,330,2.07,1
12,168,2.31,1
7,1183,1.28,1
8,1560,1.24,1
7,231,1.49,1
11,253,3.5,1
14,3556,4.72,1
5,35,1.45,1
25,7300,7.51,1
9,288,2.07,1
11,2343,1.95,1
5,20,2.25,1
14,798,11.88,1
10,1190,1.84,1
7,217,1.84,1
8,280,1.96,1
11,1474,2.36,1
8,600,2.37,1
10,490,3.01,1
8,1920,1.34,1
9,2754,1.38,1
8,280,2.14,1
2,38,1.8,1
9,261,1.48,1
7,1246,1.41,1
7,700,1.63,1
8,128,2.09,1
7,133,1.71,1
9,1089,2.2,1
5,20,2.33,1
14,5586,5.04,1
8,32,2.71,1
8,608,1.88,1
11,781,2.41,1
6,276,2.12,1
9,738,2.3,1
9,81,42,1
8,128,1.96,1
7,84,2.86,1
11,935,1.67,1
6,72,1.5,1
7,98,1.94,1
15,3330,5.34,1
12,576,1.71,1
24,8160,2.67,1
13,871,6.6,1
8,352,2.95,1
14,5852,2.16,1
8,880,1.66,1
7,637,1.24,1
9,4815,1.23,1
10,210,3.17,1
9,324,3.02,1
7,119,1.41,1
10,600,2.35,1
9,837,1.66,1
5,125,1.52,1
24,4488,8.16,1
6,168,1.47,1
7,644,1.54,1
8,104,2,1
9,882,2.78,1
5,35,1.83,1
5,100,2.35,1
8,200,1.83,1
14,2100,4.14,1
8,96,1.56,1
6,264,1.68,1
8,664,1.76,1
10,520,2,1
8,48,13,1
5,70,2.21,1
10,5100,1.47,1
8,152,1.52,1
7,392,1.56,1
6,48,2.86,1
7,602,1.55,1
10,160,2.08,1
14,5138,4.5,1
8,136,1.71,1
7,273,1.67,1
1,40,1.07,1
3,9,8,1
11,880,4.98,1
8,240,1.88,1
9,1962,1.43,1
6,60,1.78,1
5,180,1.52,1
6,192,1.37,1
8,264,2,1
8,128,2.9,1
7,119,1.48,1
11,2981,1.99,1
9,2250,2.18,1
9,423,2.75,1
8,152,1.75,1
14,4760,5.07,1
10,2690,5.15,1
11,385,2.25,1
9,153,1.44,1
7,679,1.51,1
6,78,1.37,1
7,98,2.53,1
17,1666,14.88,1
7,308,1.26,1
10,670,2.14,1
8,1648,1.64,1
8,240,2.3,1
7,91,1.69,1
7,1330,1.79,1
8,320,2.61,1
8,32,1.5,1
7,77,1.5,1
13,5733,4.63,1
9,81,13,1
10,1620,2.71,1
7,49,1.71,1
10,360,2.28,1
24,11232,7.69,1
12,3972,2.19,1
9,765,1.82,1
6,48,3.1,1
6,84,3.07,1
8,88,1.29,1
8,72,2,1
8,120,2.24,1
8,216,1.36,1
5,195,3.54,1
7,98,1.95,1
9,126,1.36,1
9,1089,2.08,1
7,266,1.69,1
8,1720,2.91,1
6,24,3.5,1
8,1056,1.84,1
8,120,1.96,1
10,510,2.12,1
10,180,7.5,1
9,1368,2.77,1
8,560,2.36,1
7,287,1.52,1
