@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R4,9,11'

@attribute Eccen numeric
@attribute Blackand numeric
@attribute Class {1,2,3,4,5}

@data
3,80,1
1.5,19,1
1.923,221,1
2.286,72,1
14.714,498,1
0.818,62,1
37.667,160,2
9.8,818,1
11,33,2
10,637,1
13,13,2
1.818,165,1
1.444,54,1
15.286,490,1
10.556,618,1
3.889,210,1
75,75,2
1.6,27,1
13,13,2
0.021,97,4
8.1,656,1
9.111,643,1
7.636,629,1
10.455,915,1
0.5,7,4
5.75,338,1
5.125,317,1
118,325,2
1.75,74,1
8.889,687,1
13.333,928,1
3.182,225,1
2.333,181,1
5.3,477,1
4,351,1
10.25,654,1
1.182,140,1
0.727,88,1
3.909,414,1
8.333,617,1
13.444,890,1
4,358,1
24.286,2819,1
0.667,93,1
0.118,24,4
10.727,1035,1
4.556,366,1
29,29,2
4.429,186,1
2.833,70,1
4.9,481,1
3.778,276,1
9.111,682,1
0.667,96,1
8.6,726,1
4.8,356,1
40,40,2
2.167,45,1
0.8,56,1
3,187,1
2.125,92,1
9.111,574,1
6.3,566,1
3.778,264,1
11,11,2
17,17,2
17.286,572,1
3.8,357,1
4,295,1
1.444,88,2
5.778,466,1
4.6,388,1
1,65,1
42,42,2
88,213,2
26,73,1
8.8,174,1
7,23,2
17.571,539,1
0.667,89,1
0.727,88,1
1.333,108,1
9.182,943,1
4.667,346,1
23.947,821,1
2.875,184,1
1.875,82,1
1.75,72,1
0.333,12,1
0.7,30,1
1.333,97,1
9.182,856,1
73,73,2
2.625,130,1
5.75,341,1
10.333,749,1
8.154,948,1
3.4,79,1
9,467,1
10.8,897,1
31.462,3095,1
16.667,477,1
7,798,1
3.182,251,1
4.667,318,1
11.308,1343,1
10.667,1132,1
34.167,3474,1
8.625,543,1
11.778,755,1
4.833,119,1
4.111,311,1
5.4,336,1
3.227,1368,1
8.6,169,1
2.667,717,5
10.5,852,1
6.462,644,1
23.125,905,1
14.833,405,1
9.833,1102,1
8.75,903,1
3.3,277,1
55.571,1591,1
2.667,453,1
5.857,285,1
27.1,2044,1
30.111,1774,1
8.625,379,1
34,1497,1
6.75,322,1
3.125,200,1
0.605,1580,5
1,15,5
27.2,1765,1
0.615,80,5
27.2,2101,1
27.2,2139,1
7.75,312,1
4,110,1
24.636,2001,1
1,49,1
27.1,2084,1
1,46,1
1.143,43,1
1.4,23,1
9,395,1
10.4,141,1
7.6,188,1
4.167,133,1
7.9,332,1
5.857,217,1
6.667,236,1
2.125,77,1
2.833,97,1
2.167,73,1
0.6,13,1
1.286,54,1
15.1,1162,1
4.111,235,1
2.875,162,1
1.571,71,1
5.143,242,1
4.143,190,1
1.286,61,1
1.286,60,1
0.571,24,1
2.571,122,1
4.571,180,1
3.222,232,1
1.857,85,1
1.375,88,1
3.429,111,1
2.571,104,1
1.857,76,1
2.714,89,1
1.571,61,1
5.571,200,1
1.833,63,1
4.333,136,1
5.857,222,1
4.571,174,1
3.429,102,1
1.833,66,1
1.833,55,1
0.571,25,1
3.571,141,1
1.143,56,1
2.167,66,1
5.5,86,1
3.222,160,1
0.857,41,1
5.857,207,1
2.375,110,1
2.375,129,1
12.286,422,1
6.714,236,1
2.714,97,1
1.833,47,1
6.143,241,1
8,187,1
5.778,336,1
2.429,104,1
4.714,174,1
0.8,20,1
1.857,82,1
1.333,42,1
1.778,132,1
3.333,113,1
1.571,68,1
6.714,274,1
1.4,35,1
1.571,52,1
22.333,825,1
0.833,25,1
4.333,245,1
2.571,111,1
0.667,28,5
2.273,173,1
1.2,104,1
1.625,97,1
4.333,256,1
22.583,1857,1
8.545,698,1
0.6,60,1
0.5,32,1
2.5,226,1
3.875,246,1
0.75,38,1
0.444,31,1
3,234,1
6.625,384,1
1.5,86,1
22.583,2241,1
1.1,102,1
2,119,1
3.125,151,1
0.667,24,1
2.909,270,1
1.5,76,1
7.818,708,1
2.429,89,1
4.111,218,1
6.625,375,1
0.714,28,1
16.818,1681,1
1.25,73,1
5.222,377,1
1.875,117,1
3.222,252,1
2.111,156,1
4.25,213,1
2.889,206,1
2.1,170,1
0.875,43,1
2.8,224,1
1,59,1
8.625,495,1
2.625,162,1
0.778,59,1
1,64,1
3.25,203,1
14.5,1050,1
0.875,56,1
4,363,1
2,95,1
1.25,68,1
4,313,1
3.5,204,1
7.125,382,1
1.3,119,1
1.625,84,1
6.375,260,1
25,25,1
2.375,101,1
3.125,156,1
0.625,24,1
0.5,1215,5
2.111,126,1
3.4,290,1
2.222,129,1
1.444,117,1
2.5,36,1
10.111,360,1
0.6,9,1
2,48,1
22.8,1390,1
0.875,53,1
0.667,24,1
26.2,1945,1
2.875,178,1
2.5,160,1
1.75,112,1
2.875,153,1
1.75,89,1
2.8,66,1
23.727,1505,1
2,148,1
3.8,240,1
9.9,766,1
3.1,221,1
3.1,295,1
2.571,109,1
6.3,501,1
2,98,1
2.75,160,1
7.571,215,1
2.8,65,1
5.4,135,1
2.75,176,1
11.9,791,1
3.4,272,1
15.7,887,1
1.125,57,1
4.5,323,1
23.818,1951,1
12,639,1
1.125,36,1
3.5,223,1
2.25,66,1
14.875,876,1
4.125,179,1
2.2,171,1
17.308,2612,1
7.4,4395,1
11.64,6963,1
10.25,468,1
56.667,2484,1
1.714,66,1
35,35,1
35,1589,1
11.429,262,1
60,60,1
10.25,494,1
0.8,12,1
20,1230,1
15.375,738,1
268,598,2
26.667,1307,1
74.143,1431,1
28.143,450,1
26.75,1382,1
11.444,765,1
63.5,1599,1
19.8,11777,1
18.889,1172,1
19,823,1
66.875,2566,1
59.333,2491,1
15.333,890,1
268.5,703,2
31.556,1537,1
3.387,1485,5
2.714,449,1
11.333,822,1
27.778,1659,1
59.444,2887,1
7.75,4413,1
20.111,1260,1
11.444,801,1
23.25,1208,1
63,63,2
5.8,138,1
109,109,1
8.6,548,1
34.889,1659,1
21.875,1235,1
28.286,498,1
4.071,750,1
1.75,99,1
5,279,1
1.857,91,1
34.5,70,1
2,89,1
24.5,384,1
19,884,1
60,60,1
27.25,1001,1
31.7,1535,1
9,424,1
13.143,459,1
40.333,1738,1
4.071,759,1
2.033,884,5
24.75,373,1
11.889,626,1
45,546,1
13.333,812,1
63.75,2166,1
51.1,2701,1
18.111,978,1
2.6,50,1
19.6,345,1
1.103,639,3
66.875,2984,1
36.889,2128,1
10.143,376,1
9.857,364,1
0.026,38,4
1.818,82,1
413,413,2
7.444,496,1
1,7,1
1.556,109,1
2.143,102,1
5.154,450,1
3.333,284,1
1,69,1
27.583,2125,1
21.417,1898,1
8,17,2
12,12,2
14,14,2
9.222,543,1
0.143,7,4
8.182,711,1
7.273,776,1
6.611,12626,5
9.111,619,1
5.917,738,1
1,43,1
15.75,969,1
23.286,2689,1
19.214,2353,1
22.364,2071,1
35.333,108,2
19,19,2
11.941,3448,1
15.125,949,1
2,145,1
1.7,129,1
30,30,2
9.111,589,1
6.917,3905,1
1,8,1
22.667,2448,1
13.071,1745,1
0.804,20513,3
3.795,15523,5
16.818,1796,1
10.727,963,1
17.571,828,1
34,1846,1
1,9,1
2.222,141,1
9.111,494,1
2.707,35499,3
1.917,228,1
7.077,4241,1
0.021,47,4
6.545,743,1
0.063,16,4
17.727,1676,1
1.833,222,1
9.111,606,1
8.609,4548,1
9.222,683,1
6.455,732,1
19.6,2872,1
11.438,2305,1
45,45,2
25.625,3731,1
3.519,15523,1
1.857,81,1
5.727,557,1
1.412,300,1
10.059,1226,1
8.111,412,1
10.2,212,1
8,278,1
14.1,910,1
28.625,887,1
11.6,216,1
7.2,142,1
20.714,668,1
13,341,1
6.842,1606,1
17.333,538,1
15.857,686,1
11.833,408,1
26.25,811,1
10.286,328,1
0.75,160,1
0.009,117,4
15.667,493,1
18.6,465,1
16,435,1
31.667,1961,1
16.167,409,1
15.667,402,1
18.615,1932,1
28.4,2013,1
19.2,344,1
16,417,1
24,337,1
7.8,128,1
20,20,2
16.778,769,1
13.143,584,1
14.111,776,1
40,40,1
1.143,42,1
9.778,575,1
11.333,514,1
3.5,93,1
102,102,2
8.857,418,1
11.2,132,1
25.6,489,2
8,320,1
5.625,1109,1
22.571,610,1
10.714,373,1
6.75,337,1
15.333,756,1
17.333,161,1
9.286,421,1
3.8,87,1
2,92,1
4.625,200,1
2.143,64,1
5.167,4382,1
0.909,251,1
9.75,1002,1
2.091,186,1
162.5,349,2
3.385,407,1
1.634,1452,1
9,6053,1
8.125,472,1
0.89,1296,5
161,161,2
38.625,1593,1
29.778,1288,1
1.6,36,1
10,476,1
10.571,430,1
0.95,271,1
5.125,202,1
1.429,52,1
6.12,2338,1
19,5522,2
0.1,10,4
12.455,982,1
5.818,393,1
13.364,982,1
16,16,2
