@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R1,3,8,11'

@attribute Height numeric
@attribute Area numeric
@attribute Blackpix numeric
@attribute Class {1,2,3,4,5}

@data
5,30,10,1
2,40,27,2
9,108,48,1
8,760,230,1
12,168,60,1
3,339,121,2
98,294,141,4
11,715,279,1
10,440,173,1
1,27,16,1
2,38,9,1
5,45,12,1
8,184,53,1
8,368,144,1
19,38,31,4
8,352,150,1
8,320,129,1
8,360,169,1
8,328,110,1
2,224,111,2
8,344,120,1
10,80,40,1
8,160,84,1
10,830,245,1
12,876,225,1
9,738,182,1
1,36,26,2
12,1392,343,1
9,837,270,1
7,63,21,1
10,380,165,1
9,324,179,1
11,737,244,1
9,738,287,1
11,946,268,1
9,54,27,1
10,980,454,1
11,1100,502,1
9,387,197,1
9,423,131,1
1,55,31,2
2,128,68,2
8,256,86,1
12,276,115,1
9,423,157,1
10,180,92,1
1,17,7,2
28,9240,527,2
212,98368,5066,5
9,54,36,1
9,378,162,1
1,18,17,2
9,414,151,1
9,576,283,1
9,900,417,1
14,4200,1106,1
8,360,80,1
7,217,48,1
7,406,86,1
10,190,63,1
11,88,48,1
9,207,67,1
9,729,242,1
12,1404,324,1
5,115,26,1
4,128,40,1
5,80,25,1
11,737,198,1
1,45,42,2
2,100,46,2
9,891,257,1
9,675,249,1
12,324,103,1
9,747,250,1
11,1276,350,1
8,24,11,1
8,472,97,1
9,189,69,1
8,664,264,1
8,48,26,1
9,324,172,1
8,64,15,1
21,42,31,2
8,568,176,1
9,981,238,1
8,512,154,1
9,1197,283,1
6,600,205,1
13,2821,1019,1
14,14,14,4
6,534,162,1
11,781,289,1
25,10250,2792,1
10,340,145,1
13,1963,593,1
12,792,318,1
7,7,7,4
8,368,98,1
9,837,233,1
9,1071,452,1
3,270,138,1
9,1548,546,1
8,1040,374,1
13,5317,1657,1
12,1704,575,1
6,540,213,1
9,693,337,1
13,390,139,1
6,606,249,1
33,5280,1154,1
13,754,253,1
9,117,66,1
12,444,182,1
5,580,218,1
7,322,96,1
8,864,253,1
5,250,90,1
47,13442,2459,5
8,856,329,1
11,3707,664,1
8,488,154,1
38,15580,4341,1
7,119,66,1
8,560,260,1
11,990,358,1
6,306,139,1
11,4543,1619,1
17,1020,142,5
10,500,236,1
14,2604,799,1
3,9,7,1
7,84,40,1
7,182,60,1
8,40,11,5
9,2439,696,1
9,1782,515,1
7,455,144,1
6,102,35,1
11,2981,591,1
8,8,7,5
8,80,25,1
4,36,15,1
10,1000,212,1
7,35,7,1
8,1960,389,1
10,600,134,1
7,119,39,1
8,368,105,1
8,2104,325,1
1,10,8,1
7,63,20,1
4,24,8,1
6,168,49,1
14,406,57,1
8,88,14,1
6,78,23,1
7,287,61,1
6,66,22,1
4,48,14,1
9,207,44,1
5,65,27,1
1,27,11,2
9,153,28,1
7,112,28,1
10,530,114,1
6,42,11,1
7,126,34,1
9,414,100,1
8,216,58,1
7,28,9,1
7,231,69,1
7,56,16,1
7,189,53,1
8,376,83,1
9,198,38,1
9,45,11,1
8,648,143,1
5,75,27,1
7,287,99,1
10,490,96,1
7,35,9,1
6,66,20,1
9,504,99,1
5,25,13,1
9,369,90,1
7,98,33,1
7,63,22,1
7,336,111,1
7,147,43,1
9,486,93,1
9,351,84,1
6,42,15,1
7,98,35,1
7,273,90,1
7,147,48,1
7,77,29,1
7,112,32,1
7,147,49,1
7,56,15,1
7,77,24,1
9,270,67,1
5,55,20,1
7,147,41,1
7,266,90,1
7,98,26,1
6,84,23,1
6,144,38,1
6,78,24,1
7,98,32,1
6,90,24,1
6,42,12,1
8,320,68,1
9,234,41,1
7,112,29,1
9,153,35,1
7,1449,361,1
9,252,65,1
6,228,86,1
9,351,91,1
7,315,80,1
7,413,94,1
9,927,225,1
6,78,24,1
9,162,42,1
7,70,21,1
5,135,41,1
7,364,97,1
9,180,47,1
7,77,29,1
5,160,66,1
7,77,23,1
7,126,38,1
9,162,39,1
7,119,32,1
7,245,85,1
5,55,24,1
7,280,95,1
7,287,92,1
9,396,102,1
7,56,26,1
9,315,114,1
10,120,25,5
8,80,38,1
12,3252,805,1
16,336,32,5
8,128,61,1
53,2544,460,5
9,207,80,1
5,35,7,2
8,80,35,1
9,36,9,5
12,48,14,5
8,96,40,1
10,350,118,1
8,288,117,1
9,504,171,1
11,132,60,1
10,410,139,1
8,448,190,1
11,1474,422,1
1,19,14,2
8,64,25,1
7,161,72,1
8,96,41,1
9,2448,659,1
8,112,47,1
8,200,74,1
8,64,31,1
11,484,149,1
8,56,21,1
8,112,40,1
11,341,110,1
7,217,100,1
8,656,264,1
8,144,52,1
5,20,13,1
11,2640,714,1
8,160,73,1
9,144,47,1
6,84,48,1
8,168,69,1
11,594,153,1
8,96,42,1
9,306,109,1
7,105,47,1
10,360,115,1
8,176,69,1
11,2563,629,1
10,230,57,1
8,96,37,1
8,224,103,1
10,440,138,1
8,344,118,1
9,252,80,1
7,98,37,1
20,780,109,5
10,410,113,1
7,133,53,1
7,14,12,1
3,9,7,1
4,12,8,1
10,90,30,1
7,70,27,1
5,65,30,1
8,128,42,1
7,245,121,1
6,222,87,1
8,176,52,1
8,272,98,1
8,152,66,1
7,49,17,1
9,477,160,1
8,40,15,1
10,230,80,1
8,104,49,1
8,96,37,1
8,264,91,1
10,2620,761,1
8,296,99,1
10,300,109,1
10,260,91,1
10,580,174,1
10,2510,705,1
10,2610,701,1
11,2871,707,1
8,184,65,1
8,32,19,1
7,91,39,1
7,126,50,1
7,133,60,1
8,208,77,1
6,48,24,1
8,120,55,1
8,208,50,1
10,520,140,1
10,360,95,1
9,504,165,1
6,42,19,1
10,400,118,1
8,56,20,1
8,1344,430,1
8,48,15,1
10,590,148,1
7,140,65,1
7,245,99,1
7,56,23,1
7,140,47,1
7,161,56,1
12,828,337,1
24,4248,2157,1
7,441,140,1
8,848,304,1
2,1072,577,2
8,1864,488,1
7,357,74,1
1,88,17,1
7,91,24,1
1,40,7,1
7,91,28,1
9,4590,629,1
9,4077,326,1
7,462,79,1
8,816,329,1
5,155,55,1
9,4680,378,1
8,1184,246,1
8,808,179,1
25,12275,5572,1
7,427,136,1
28,896,431,3
9,1620,555,1
2,128,55,2
9,4797,799,1
7,1029,221,1
29,899,416,3
2,1074,544,2
7,1064,228,1
7,1596,245,1
9,4797,797,1
8,768,212,1
8,856,311,1
9,4824,913,1
2,198,50,2
2,1074,558,2
8,1208,210,1
10,2190,334,1
1,148,146,2
10,2510,354,1
7,987,161,1
1,60,12,1
8,552,88,1
1,187,180,2
25,4675,2272,1
2,1076,558,2
10,5110,588,1
8,304,39,1
9,1161,196,1
10,5080,813,1
7,287,73,1
7,1211,251,1
9,3168,651,1
9,2304,227,1
7,1435,156,1
9,1746,295,1
9,1503,568,1
8,496,106,1
8,1728,270,1
9,2331,441,1
6,78,27,1
7,1561,189,1
2,1070,589,2
9,4581,439,1
9,1332,195,1
7,819,152,1
9,342,107,1
12,1008,423,1
14,154,81,1
12,852,410,1
12,1020,486,1
11,2508,708,1
10,890,224,1
1,36,21,2
8,344,153,1
24,8088,7647,1
14,4396,1664,1
10,1590,600,1
10,180,97,1
8,1232,522,1
9,738,247,1
12,864,538,1
10,180,108,1
3,9,7,1
1,27,7,2
3,12,8,1
9,162,107,1
8,432,232,1
12,864,544,1
9,72,52,1
13,2886,1087,1
10,2520,950,1
10,190,103,1
11,2024,979,1
9,9,9,4
12,864,531,1
25,6525,5785,1
28,7868,2502,1
10,190,114,1
9,3321,1094,1
12,864,549,1
14,5824,2234,1
10,160,68,1
11,2024,931,1
9,2241,776,1
27,7209,2610,1
15,1815,776,1
11,2255,837,1
12,132,86,1
16,6256,2508,1
39,13767,7667,1
12,240,131,1
25,5075,4246,1
15,3330,1378,1
12,828,275,1
16,6112,2292,1
24,8016,7164,1
9,738,226,1
11,1034,393,1
10,2480,883,1
8,104,65,1
10,2380,840,1
10,2790,1052,1
9,720,219,1
8,1472,349,1
59,4956,3264,1
6,1104,300,1
8,608,141,1
8,904,190,1
6,282,50,1
4,100,28,1
7,1134,109,1
17,374,153,1
10,1890,498,1
8,1848,389,1
5,85,32,1
7,1561,320,1
9,900,222,1
4,176,47,1
5,535,132,1
74,13542,7366,1
14,2688,628,1
14,3976,938,1
7,427,103,1
5,470,130,1
6,570,156,1
5,470,147,1
7,133,38,1
6,558,154,1
16,384,169,1
12,1092,307,1
6,576,151,1
91,25935,4100,5
65,3250,1475,3
8,8,8,4
8,384,152,1
5,10,8,1
2,94,16,1
1,22,7,1
6,492,51,1
7,14,9,4
67,19832,1748,1
6,108,37,1
16,1696,325,1
7,196,56,1
7,455,185,1
6,510,122,1
5,140,43,1
7,154,15,1
7,280,64,1
6,240,53,1
6,48,20,1
7,238,65,1
1,12,8,2
10,940,269,1
1,277,275,2
7,287,75,1
2,200,92,2
9,9,9,4
