@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R1,4-5,11'

@attribute Height numeric
@attribute Eccen numeric
@attribute P_black numeric
@attribute Class {1,2,3,4,5}

@data
6,0.667,0.417,1
5,1.4,0.429,1
6,1.167,0.405,1
13,1.923,0.234,1
11,3.182,0.382,1
10,3.8,0.426,1
10,5.3,0.294,1
11,9.273,0.223,1
12,4.667,0.256,1
2,10,0.775,2
11,7.818,0.413,1
11,9.182,0.398,1
11,10.818,0.261,1
11,10.818,0.236,1
8,6,0.302,1
2,9,0.722,2
7,2.429,0.227,1
9,2.111,0.292,1
9,7.333,0.323,1
9,3.778,0.337,1
7,5,0.453,1
5,7,0.2,1
3,5.333,0.375,1
9,9,0.388,1
10,1.1,0.382,1
9,3.556,0.333,1
4,2,0.344,1
10,10,0.449,1
9,9.111,0.337,1
2,223,0.439,2
48,8.375,0.055,5
304,1.523,0.063,5
9,8.444,0.363,1
6,2.833,0.275,1
5,9.2,0.278,1
19,24.316,0.523,2
10,4.9,0.551,1
1,52,0.538,2
22,1.182,0.283,1
10,3.4,0.356,1
37,2.73,0.282,1
10,2.1,0.362,1
1,48,0.875,2
8,7.375,0.292,1
9,2.556,0.3,1
10,6.6,0.324,1
10,7.9,0.347,1
10,8,0.308,1
7,2.571,0.119,1
7,17.286,0.276,1
11,0.727,0.727,1
11,0.636,0.468,1
9,5.444,0.592,1
9,8.667,0.329,1
9,1.333,0.407,1
9,7,0.298,1
11,6.818,0.27,1
8,1.5,0.469,1
12,8.5,0.257,1
12,2.167,0.224,1
11,7.818,0.289,1
8,0.75,0.583,1
9,11,0.461,1
8,1.75,0.268,1
11,1.909,0.316,1
10,6.7,0.291,1
9,3.556,0.354,1
10,8,0.279,1
12,6,0.281,1
9,9,0.328,1
11,0.727,0.261,1
9,8.333,0.373,1
10,10.1,0.45,1
9,9.444,0.308,1
9,4.778,0.47,1
9,4.667,0.344,1
9,14.444,0.513,1
9,2.333,0.365,1
11,7.455,0.236,1
9,2.333,0.323,1
8,0.875,0.321,1
9,3.556,0.299,1
8,5.75,0.315,1
10,4.4,0.441,1
14,21.5,0.257,1
9,13.667,0.359,1
261,0.115,0.063,4
8,0.375,0.5,1
8,0.375,0.458,1
10,0.8,0.688,1
10,0.9,0.522,1
8,2.625,0.548,1
12,6,0.228,1
9,10.778,0.317,1
11,2.364,0.283,1
8,9.5,0.388,1
10,11.6,0.273,1
10,13.1,0.487,1
36,4.778,0.128,5
13,8.923,0.279,1
11,0.091,1,4
9,3.778,0.366,1
7,6.571,0.304,1
3,18,0.364,2
6,30.167,0.298,1
8,8.875,0.407,1
5,19.8,0.356,1
13,31.308,0.266,1
11,5.727,0.332,1
6,19,0.278,1
7,4,0.337,1
22,3.227,0.487,1
12,10.75,0.303,1
11,3,0.295,1
22,3.227,0.519,1
8,8.75,0.463,1
11,2.636,0.408,1
6,16.667,0.385,1
9,1,0.63,1
8,22.875,0.288,1
11,3.364,0.371,1
12,41.417,0.278,1
8,3.375,0.218,1
9,8.444,0.436,1
8,11.625,0.261,1
7,16.429,0.273,1
8,8.625,0.312,1
9,10.111,0.233,1
8,15.875,0.314,1
11,9.455,0.377,1
2,3,0.667,2
9,12,0.364,1
11,9.455,0.367,1
6,14.833,0.403,1
18,3.556,0.261,1
10,2.6,0.312,1
13,1,0.124,5
8,33.875,0.314,1
8,2.625,0.28,1
7,0.857,0.214,1
7,1,0.367,1
100,0.49,0.093,5
7,6.714,0.158,5
11,24.636,0.162,1
10,4.7,0.223,1
8,8.125,0.269,1
11,24.636,0.168,1
10,19.7,0.144,1
8,12,0.111,1
10,27.1,0.193,1
7,2,0.357,1
7,1,0.286,1
7,2.571,0.31,1
5,2.4,0.383,1
7,2,0.337,1
10,1.2,0.183,1
6,2.167,0.308,1
10,1.2,0.225,1
10,5.8,0.081,1
9,8.111,0.174,1
9,2,0.278,1
9,2.333,0.243,1
5,3.4,0.412,1
7,2.714,0.331,1
7,4.286,0.352,1
9,5.111,0.242,1
7,7.714,0.254,1
7,1.143,0.375,1
6,1,0.417,1
7,3.286,0.329,1
8,1.375,0.25,1
7,2.143,0.229,1
7,2.429,0.286,1
7,1.857,0.297,1
7,1,0.245,1
7,4.429,0.313,1
5,2.2,0.455,1
9,6.444,0.203,1
9,2.111,0.222,1
8,3.125,0.285,1
7,3.286,0.329,1
7,1.857,0.308,1
5,4.8,0.375,1
7,1.429,0.329,1
7,4.571,0.277,1
7,4.429,0.318,1
10,1.3,0.231,1
7,1.571,0.299,1
6,2.167,0.269,1
7,1.286,0.238,1
7,1.714,0.357,1
7,2,0.408,1
6,4,0.292,1
7,5.429,0.286,1
9,1.222,0.253,1
6,5,0.311,1
7,5.143,0.278,1
7,0.857,0.333,1
7,2.429,0.311,1
7,6,0.235,1
8,0.5,0.25,1
7,4.857,0.298,1
7,1.571,0.39,1
7,10.571,0.276,1
6,3.167,0.333,1
9,7.222,0.265,1
7,1.571,0.377,1
6,1.833,0.379,1
7,1,0.347,1
5,8.6,0.456,1
5,1.2,0.433,1
9,17.444,0.222,1
6,2.667,0.354,1
5,0.8,0.45,1
9,5.333,0.227,1
7,4.286,0.324,1
7,4.429,0.281,1
7,3.571,0.371,1
9,1.889,0.307,1
7,5.429,0.252,1
9,29.111,0.209,1
6,3.167,0.316,1
8,5.125,0.21,1
9,1.556,0.238,1
7,2,0.337,1
9,1.778,0.215,1
9,1.444,0.308,1
6,6.167,0.306,1
5,1.8,0.444,1
9,0.778,0.286,1
7,4.429,0.313,1
9,5.889,0.218,1
9,3.222,0.188,1
8,1.875,0.467,1
10,3.3,0.321,1
8,0.75,0.458,1
16,0.25,0.156,5
8,1.125,0.458,1
8,5.375,0.398,1
8,1.625,0.423,1
9,4.111,0.3,1
8,0.875,0.375,1
10,7.9,0.324,1
27,0.148,0.333,4
7,6.571,0.177,2
9,1.778,0.375,1
11,4.182,0.283,1
9,10.111,0.32,1
10,1.9,0.379,1
6,3,0.5,1
9,1.667,0.407,1
6,2.167,0.103,5
9,2.889,0.385,1
6,2.333,0.571,1
11,7.636,0.279,1
11,24.727,0.275,1
8,4.25,0.426,1
10,2.8,0.375,1
8,6.375,0.37,1
8,4.5,0.427,1
7,3.714,0.445,1
9,2.222,0.361,1
9,7.111,0.345,1
11,4.636,0.294,1
11,5.455,0.32,1
8,1.5,0.438,1
10,2.6,0.296,1
10,1.8,0.383,1
11,19.364,0.264,1
11,8.727,0.277,1
10,6.1,0.305,1
10,5.2,0.319,1
10,3.7,0.324,1
8,1,0.359,1
8,1.5,0.396,1
8,3.375,0.343,1
8,6.5,0.325,1
10,1.8,0.294,1
8,8,0.385,1
6,3.5,0.246,2
8,3.75,0.354,1
6,2,0.486,1
11,14,0.187,1
10,0.7,0.314,1
10,1,0.35,1
10,3,0.33,1
7,2.857,0.4,1
8,0.5,0.469,1
8,4.875,0.378,1
5,2.8,0.329,1
10,3.9,0.295,1
10,6.1,0.333,1
10,3.1,0.316,1
8,2.5,0.406,1
8,1.5,0.406,1
10,2.9,0.303,1
8,3.875,0.351,1
8,1.5,0.396,1
10,2.8,0.311,1
8,1.875,0.475,1
6,4.333,0.423,1
8,8.875,0.289,1
10,1.6,0.338,1
7,3.571,0.354,1
8,2,0.383,1
5,0.8,0.7,1
8,1.75,0.509,1
8,2.5,0.363,1
8,4.25,0.357,1
8,3.75,0.342,1
8,1.125,0.361,1
9,9.889,0.3,1
8,2,0.422,1
8,1.5,0.417,1
10,26.2,0.281,1
7,2,0.5,1
10,5.3,0.294,1
8,10,0.347,1
9,3.222,0.318,1
11,23.818,0.242,1
8,1.625,0.365,1
9,2,0.327,1
8,3.125,0.38,1
6,1.167,0.5,1
8,5.375,0.34,1
7,2.286,0.438,1
10,3.7,0.33,1
10,4.1,0.266,1
7,6.429,0.381,1
8,2,0.406,1
7,2,0.408,1
7,2.571,0.413,1
8,3.625,0.341,1
8,5.75,0.356,1
7,0.429,0.571,1
7,2.286,0.42,1
6,5.333,0.286,1
9,14.667,0.168,1
7,1.857,0.242,1
9,29.778,0.183,1
6,2,0.278,1
9,51.667,0.157,1
1,89,0.191,1
6,2,0.292,1
9,38.111,0.162,1
9,56.444,0.164,1
9,57.556,0.096,1
30,2,0.154,5
8,13.75,0.23,1
9,30.222,0.137,1
9,30.556,0.202,1
14,21.286,0.207,1
8,10.375,0.404,1
8,34.375,0.209,1
9,56.444,0.184,1
8,34.25,0.15,1
