@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R1,7-8,11'

@attribute Height numeric
@attribute Mean_tr numeric
@attribute Blackpix numeric
@attribute Class {1,2,3,4,5}

@data
5,8,8,1
11,5.1,51,1
11,36,36,1
10,1.94,180,1
9,1.81,172,1
9,1.81,168,1
9,1.48,142,1
10,2.1,221,1
12,2.38,138,1
12,3.6,18,1
9,2.23,78,1
13,6.5,39,1
9,2.83,17,1
14,2.27,657,1
1,3.5,7,1
7,2.34,82,1
2,2,12,1
1,3.5,7,1
11,3.6,36,1
1,9.75,39,2
9,1.96,243,1
8,1.72,194,1
11,2.02,85,1
8,4.33,13,1
9,2.68,402,1
5,8,8,4
10,11,11,2
9,2.35,47,1
1,5.67,34,2
6,2,22,1
4,2.33,56,1
10,3.4,68,1
9,1.62,63,1
9,1.53,84,1
10,2.25,189,1
9,2.02,253,1
11,1.71,250,1
19,207,207,1
10,2.58,289,1
8,1.87,56,1
10,1.95,121,1
1,7.86,55,2
10,2.85,575,1
10,2.28,283,1
1,40,40,2
1,12,36,2
7,2.23,89,1
8,2.41,152,1
8,2,136,1
7,1.83,288,1
12,1.99,300,1
12,2.71,184,1
8,2.09,117,1
8,1.93,58,1
11,1.95,338,1
10,1.52,47,1
12,2.71,179,1
9,2.2,260,1
11,3.29,520,1
1,7,7,2
24,2.67,1718,1
7,7,7,1
9,2.59,83,1
21,1.99,302,1
8,1.93,106,1
12,1.92,198,1
9,2.22,209,1
12,2.56,169,1
1,6.86,48,2
8,1.88,64,1
8,2.22,131,1
9,2.63,524,1
3,3.2,16,1
7,2.26,52,1
14,2.95,130,1
15,3.96,95,1
52,11.52,4607,5
9,2.28,397,1
9,2.98,256,1
9,2.61,60,1
9,2.07,290,1
9,1.78,48,1
9,1.59,46,1
9,1.63,13,1
10,2.8,305,1
9,2.44,139,1
69,2.08,133,4
5,2.06,37,1
17,2.94,411,1
12,42,42,1
10,2.48,410,1
12,1.75,252,1
12,2.1,227,1
9,2.22,235,1
10,3.56,64,1
9,3.15,186,1
8,2.21,135,1
10,2.71,412,1
9,2.67,144,1
8,2.52,68,1
10,2.02,327,1
8,2.37,142,1
38,19.63,157,5
1,11.55,127,2
1,16,16,2
9,9,9,4
7,1.79,390,1
7,1.84,213,1
10,1.7,235,1
11,2.2,297,1
5,2.09,67,1
9,2.75,308,1
6,1.53,58,1
5,2.03,240,1
13,3.5,403,1
10,3.43,587,1
10,2.75,464,1
7,1.89,449,1
3,13.29,319,2
10,3.72,108,1
13,2.28,1820,1
12,2.44,1605,1
9,2.75,223,1
9,2.41,395,1
25,2.56,851,1
7,1.88,340,1
5,2.12,55,1
8,2.14,244,1
5,2.07,60,1
13,2.57,1395,1
10,2.7,486,1
10,2.49,384,1
18,3.17,365,1
9,2.33,205,1
7,2.09,144,1
8,2.31,210,1
7,2.4,12,5
4,2,8,5
7,1.6,24,1
8,1.5,84,1
6,1.75,7,5
6,4,8,5
10,1.42,540,1
2,50,50,2
11,1.47,511,1
8,1.41,203,1
7,1.71,60,1
7,1.53,98,1
6,1.26,211,1
6,1.92,25,1
5,1.48,31,1
5,2.5,10,1
7,1.46,76,1
5,1.55,17,1
6,1.37,56,1
6,2.09,23,1
6,1.2,55,1
7,1.28,64,1
6,1.42,37,1
9,1.6,24,1
5,1.31,34,1
7,1.49,79,1
5,1.46,19,1
6,1.33,28,1
7,2.22,20,1
6,1.38,84,1
6,1.54,20,1
9,1.35,46,1
5,1.36,15,1
8,1.18,33,1
7,1.53,55,1
7,1.56,28,1
7,1.86,13,1
7,1.53,89,1
8,1.73,19,1
7,1.79,70,1
7,1.57,36,1
1,2.67,8,1
9,1.27,76,1
8,1.26,49,1
7,1.35,23,1
5,1.17,14,1
7,1.13,9,1
7,2.29,16,1
10,1.4,116,1
7,1.84,57,1
7,1.58,30,1
7,1.53,81,1
10,1.37,71,1
7,2.25,27,1
7,1.75,35,1
7,1.55,31,1
7,1.48,43,1
7,1.51,53,1
