@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R1,10-11'

@attribute Height numeric
@attribute Wb_trans numeric
@attribute Class {1,2,3,4,5}

@data
5,1,1
11,10,1
11,1,1
10,93,1
9,95,1
9,93,1
9,96,1
10,105,1
12,58,1
12,5,1
9,35,1
13,6,1
9,6,1
14,289,1
1,2,1
7,35,1
2,6,1
1,2,1
11,10,1
1,4,2
9,124,1
8,113,1
11,42,1
8,3,1
9,150,1
5,1,4
10,1,2
9,20,1
1,6,2
6,11,1
4,24,1
10,20,1
9,39,1
9,55,1
10,84,1
9,125,1
11,146,1
19,1,1
10,112,1
8,30,1
10,62,1
1,7,2
10,202,1
10,124,1
1,1,2
1,3,2
7,40,1
8,63,1
8,68,1
7,157,1
12,151,1
12,68,1
8,56,1
8,30,1
11,173,1
10,31,1
12,66,1
9,118,1
11,158,1
1,1,2
24,643,1
7,1,1
9,32,1
21,152,1
8,55,1
12,103,1
9,94,1
12,66,1
1,7,2
8,34,1
8,59,1
9,199,1
3,5,1
7,23,1
14,44,1
15,24,1
52,400,5
9,174,1
9,86,1
9,23,1
9,140,1
9,27,1
9,29,1
9,8,1
10,109,1
9,57,1
69,64,4
5,18,1
17,140,1
12,1,1
10,165,1
12,144,1
12,108,1
9,106,1
10,18,1
9,59,1
8,61,1
10,152,1
9,54,1
8,27,1
10,162,1
8,60,1
38,8,5
1,11,2
1,1,2
9,1,4
7,218,1
7,116,1
10,138,1
11,135,1
5,32,1
9,112,1
6,38,1
5,118,1
13,115,1
10,171,1
10,169,1
7,237,1
3,24,2
10,29,1
13,799,1
12,658,1
9,81,1
9,164,1
25,333,1
7,181,1
5,26,1
8,114,1
5,29,1
13,543,1
10,180,1
10,154,1
18,115,1
9,88,1
7,69,1
8,91,1
7,5,5
4,4,5
7,15,1
8,56,1
6,4,5
6,2,5
10,381,1
2,1,2
11,348,1
8,144,1
7,35,1
7,64,1
6,168,1
6,13,1
5,21,1
5,4,1
7,52,1
5,11,1
6,41,1
6,11,1
6,46,1
7,50,1
6,26,1
