@relation page-blocks

@attribute Eccen numeric
@attribute Blackand numeric
@attribute Class {1,2,3,4,5}

@data
2.333,181,1
1.5,150,1
4,251,1
10.267,1626,1
1,54,1
2.25,136,1
1.571,72,1
5.8,140,1
7.889,573,1
7.286,325,1
4.1,341,1
1,30,1
2,119,1
2.846,449,1
17.889,1347,1
1.571,70,1
1.143,43,1
21.75,1810,1
21.2,1293,1
2.667,81,1
1,18,1
2.5,160,1
11.889,826,1
6.111,495,1
30.889,1485,1
1.75,95,1
2.167,54,1
7.375,412,1
36.571,1081,1
5.091,431,1
6.75,317,1
1.625,103,1
3,132,1
44.125,825,1
3.125,146,1
2.333,143,1
1.444,103,1
7.8,142,1
4.143,192,1
4.556,325,1
2.6,52,1
1.375,73,1
1.2,23,1
15,878,1
4.667,356,1
0.818,81,1
6.6,149,1
6.2,407,1
3,157,1
17.222,1007,1
2.222,111,1
37,2011,1
2.857,140,1
18.071,2924,1
0.727,88,1
6.625,388,1
0.479,659,1
5.857,200,1
19.625,1240,1
10.167,1290,1
29,1686,1
5,230,1
2.071,204,1
2.286,71,1
1.857,83,1
30.667,2102,1
11.889,632,1
10.222,759,1
15.556,953,1
17.857,643,1
30.111,1651,1
7.6,132,1
1.222,99,1
1,20,1
8.182,800,1
7.792,4122,1
1.273,151,1
5,245,1
1.556,118,1
9,781,1
1.889,143,1
23.75,957,1
263,263,1
2,111,1
1,39,1
8.8,431,1
29.125,1562,1
5.333,284,1
3.3,245,1
3.9,230,1
5.636,532,1
1.625,98,1
6.167,180,1
1.167,42,1
8.4,713,1
1.125,51,1
9.875,616,1
20.111,1202,1
11.333,705,1
27.1,1942,1
26,1916,1
11.889,667,1
1.286,53,1
4.833,139,1
9.111,690,1
16.833,456,1
4.167,376,1
25.6,1959,1
1.5,335,1
18.125,897,1
11,736,1
5.714,211,1
5.714,191,1
4.259,2087,1
2.429,111,1
2.286,86,1
32.538,4191,1
34,2069,1
4.875,291,1
12.5,657,1
1.4,35,1
27.111,1758,1
4.778,369,1
17.375,769,1
5.923,701,1
20.417,2342,1
35,1042,1
1.5,93,1
2.333,74,1
4.2,77,1
4.462,452,1
6.1,509,1
26.2,2163,1
2.111,110,1
16,519,1
6.143,296,1
3.556,194,1
10.333,72,1
7.667,242,1
3.875,208,1
11.444,715,1
1.111,80,1
6.571,310,1
2,87,1
4.429,176,1
23.375,1118,1
56.556,1736,1
1.625,96,1
5.286,247,1
1.727,200,1
7.909,601,1
3.583,438,1
6,346,1
8.75,512,1
4.5,109,1
3.3,213,1
30.429,1112,1
139.5,304,1
8.923,992,1
21.75,1002,1
2.9,212,1
2.833,102,1
24.125,1280,1
4.429,154,1
29.286,822,1
2.857,139,1
4.5,38,1
3.6,73,1
3.25,129,1
9.111,603,1
22.7,2202,1
56.667,2918,1
4.667,131,1
3.222,185,1
16.727,1611,1
8.909,839,1
1.778,138,1
17.462,2470,1
2.167,52,1
3,235,1
1,7,1
4.125,2282,1
2.714,130,1
6.455,742,1
1.25,61,1
4.444,348,1
9.429,427,1
31.462,3049,1
25.923,3291,1
6.714,289,1
21.857,1039,1
4,261,1
3.75,160,1
7.111,530,1
9,710,1
1.5,39,1
6.222,304,1
7.9,619,1
10.071,1323,1
30.667,770,1
9.833,1028,1
4,153,1
26.063,4349,1
7.222,427,1
2.923,462,1
5.125,320,1
7.5,682,1
1.286,57,1
4.75,293,1
9.111,546,1
3.818,383,1
4.125,257,1
18.84,10437,1
0.875,44,1
5.8,129,1
9.75,945,1
8.875,489,1
11.615,1425,1
54.333,1400,1
3.125,165,1
1.667,12,1
0.727,53,1
3.5,397,1
7.889,487,1
18.143,2022,1
5.875,264,1
2.3,178,1
2.3,142,1
5.8,518,1
19,507,1
1.571,50,1
8.714,412,1
4.1,397,1
4,304,1
8.75,502,1
3.833,123,1
30.929,3467,1
7.5,645,1
0.875,24,1
14.625,601,1
2,127,1
1.294,283,1
1.667,51,1
12.1,1056,1
3.4,303,1
2.375,148,1
14.222,858,1
1.1,110,1
4.286,183,1
22.286,1082,1
24.769,2990,1
1,47,1
1.25,71,1
3.9,213,1
9,602,1
2.286,112,1
7.12,3885,1
26,817,1
1,28,1
27.1,1908,1
9.625,450,1
4,112,1
6.5,365,1
32.875,1156,1
59.444,2323,1
15.4,1022,1
3,116,1
3.75,180,1
3.083,332,1
11,729,1
2.333,178,1
5.125,211,1
2.375,132,1
10.1,864,1
2.286,86,1
13.571,618,1
1,25,1
5.286,259,1
2.125,112,1
24.727,2038,1
0.632,100,1
0.125,8,1
5,318,1
33,2545,1
9.556,524,1
2,92,1
1.875,75,1
1.571,74,1
26.5,4879,1
4,300,1
30.429,1093,1
16.778,746,1
1.5,43,1
15.833,519,1
12.875,7295,1
2.625,125,1
7.625,472,1
3.182,1290,1
3,125,1
3.818,302,1
10.889,859,1
6.25,366,1
2.833,76,1
6,355,1
21.429,813,1
7.833,127,1
2,50,1
59.333,2005,1
2.2,188,1
3.143,110,1
1,34,1
1.857,59,1
2.286,79,1
3.25,162,1
5.1,394,1
2.5,130,1
5.4,372,1
1.333,11,1
1.857,75,1
25.917,2914,1
0.714,33,1
3.6,90,1
13,13,1
6,743,1
2,124,1
1.571,72,1
7.286,280,1
5,206,1
0.429,21,1
5.857,187,1
1.571,69,1
21.714,777,1
1.833,47,1
24.938,3685,1
5,208,1
9.833,312,1
1.778,78,1
9.111,649,1
11.444,813,1
2,129,1
