@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R1,7-8,11'

@attribute Height numeric
@attribute Mean_tr numeric
@attribute Blackpix numeric
@attribute Class {1,2,3,4,5}

@data
5,4.33,13,1
5,15,15,1
5,5,10,1
11,5.89,53,1
2,10.9,109,2
2,29,29,2
9,2.05,242,1
9,1.9,110,1
10,1.69,147,1
1,10,10,2
1,8,8,2
11,7.75,62,1
11,39,39,1
11,2.25,155,1
8,1.92,119,1
10,2.79,552,1
9,3.05,262,1
9,2.35,61,1
1,3.75,15,2
14,2.44,1175,1
93,2.89,156,4
9,1.71,279,1
7,3.8,19,1
9,2.42,407,1
9,2.68,67,1
1,2.4,24,2
7,2.81,45,1
1,7,14,1
9,2,136,1
9,2.74,74,1
10,2.06,251,1
1,33,33,2
9,3.14,185,1
1,7,7,2
9,2.06,103,1
1,11,11,2
4,17.82,196,2
7,2.14,47,1
10,2.29,156,1
9,2.9,116,1
10,2.1,368,1
9,2.42,208,1
10,2.52,297,1
12,26.67,160,5
9,2.4,434,1
9,2.88,164,1
11,5.04,242,1
9,3.21,180,1
9,3.29,92,1
12,2.33,314,1
10,2,182,1
9,2.39,301,1
9,2.3,276,1
23,2.2,341,1
10,2.76,309,1
10,3.58,197,1
7,2.45,27,1
11,7.2,108,1
11,10.17,61,1
9,2.83,164,1
8,2.67,16,1
9,1.61,95,1
11,1.73,251,1
10,1.57,44,1
1,3,9,2
8,1.6,16,1
9,2.08,351,1
8,2,126,1
13,3.89,105,1
11,4.44,40,1
9,1.98,247,1
11,1.65,293,1
8,2.95,171,1
1,8.75,35,2
4,3.5,21,1
3,1.38,11,1
3,29.78,268,2
25,40.33,484,2
10,3.01,259,1
9,2.19,230,1
9,2.22,260,1
12,15,15,4
8,1.5,42,1
10,1.72,294,1
2,10.5,168,2
9,2.66,271,1
9,2.19,261,1
6,6.53,98,2
1,12,12,2
9,3.31,159,1
9,1.98,164,1
8,2.22,40,1
8,2.17,195,1
9,2.17,87,1
10,2.81,410,1
9,2.13,232,1
12,3.48,453,1
6,1.51,59,1
9,2.7,151,1
13,2.18,1459,1
12,2.42,438,1
37,7.64,321,5
38,2.4,3957,1
13,2.62,469,1
10,1.81,292,1
8,1.79,177,1
8,2.22,495,1
10,2.64,361,1
14,4.2,1256,1
12,2.69,1636,1
3,42.17,506,2
8,2.21,217,1
6,2,98,1
10,2.23,147,1
12,2.72,207,1
12,2.25,1773,1
9,2.35,365,1
6,1.99,357,1
6,1.62,367,1
8,1.66,186,1
12,2.84,281,1
5,36.65,623,2
9,2.92,178,1
12,2.34,879,1
10,2.46,467,1
10,2.61,502,1
27,2.35,910,1
10,2.92,353,1
10,3.25,888,1
10,2.47,1302,1
10,3.12,209,1
12,3.48,331,1
6,2.1,109,1
24,3.38,348,1
9,3.14,22,5
10,1.98,631,1
15,1.92,23,5
10,1.96,724,1
6,1.43,10,5
8,1.41,407,1
10,1.35,508,1
10,1.39,476,1
8,1.35,152,1
7,1.75,35,1
10,1.29,454,1
7,1.33,182,1
5,1.67,30,1
5,1.26,54,1
4,1.33,16,1
5,1.18,97,1
9,2.14,30,1
6,1.44,23,1
5,1.47,69,1
6,1.18,26,1
5,1.33,16,1
1,1.83,11,2
3,1.33,8,1
9,1.42,196,1
9,1.35,46,1
5,1.36,34,1
9,1.43,124,1
6,1.3,43,1
7,1.65,38,1
7,1.69,27,1
7,1.41,48,1
7,1.21,40,1
7,1.57,33,1
8,1.31,51,1
8,2.4,12,1
7,1.4,60,1
6,1.39,53,1
7,1.79,34,1
7,1.23,49,1
5,1.29,9,1
9,1.42,118,1
9,1.5,69,1
6,1.38,11,1
8,1.3,39,1
7,1.5,33,1
7,2.13,17,1
6,1.33,44,1
6,2.38,19,1
7,1.82,31,1
5,1.64,36,1
7,1.43,63,1
7,1.36,19,1
7,1.93,27,1
9,1.51,53,1
7,1.75,7,1
7,1.33,88,1
7,1.36,15,1
9,1.47,63,1
6,1.59,35,1
7,1.6,32,1
9,1.68,106,1
6,1.37,26,1
10,1.35,81,1
6,1.53,26,1
7,2,34,1
10,1.37,449,1
7,1.61,45,1
7,1.47,25,1
5,1.69,27,1
7,1.45,125,1
6,1.57,22,1
9,1.83,11,1
9,1.62,42,1
7,1.52,32,1
7,2,16,1
5,1.83,22,1
5,1.88,15,1
7,1.66,68,1
6,1.79,25,1
6,1.46,60,1
6,1.15,105,1
7,1.73,19,1
7,1.41,58,1
8,2.5,15,1
7,1.37,26,1
9,1.3,74,1
9,1.3,158,1
6,1.15,30,1
7,1.21,17,1
7,1.45,48,1
5,3,9,1
7,1.32,25,1
7,1.35,35,1
1,3,42,2
8,1.53,26,1
22,1.79,52,5
8,7,7,4
29,5.06,162,5
9,1.69,81,1
8,2,40,1
7,2,50,1
21,3.71,26,5
19,3.89,70,5
11,2.19,59,1
8,1.93,29,1
8,2.3,23,1
9,1.86,354,1
8,1.95,43,1
10,2.24,132,1
6,3.1,31,1
1,17,17,2
8,1.92,23,1
8,2.1,105,1
9,2.37,128,1
6,5,15,1
8,2,34,1
8,1.9,173,1
7,2.17,39,1
9,1.85,87,1
8,2.31,171,1
8,1.58,19,1
7,2.44,110,1
5,7,14,1
8,2.3,46,1
11,2,840,1
8,2.17,50,1
11,2.08,81,1
8,2.67,56,1
10,1.96,92,1
8,2.2,55,1
10,1.94,134,1
6,1.91,107,1
8,2.03,71,1
10,1.94,128,1
10,1.77,23,1
8,2.11,40,1
11,2.11,379,1
9,2.26,138,1
7,2.38,100,1
8,4.67,14,1
10,1.59,78,1
8,1.86,26,1
8,1.93,116,1
8,2.18,85,1
10,1.96,159,1
6,1.77,92,1
11,1.83,383,1
8,2.07,126,1
7,1.83,42,1
9,1.86,279,1
10,2.16,177,1
7,1.93,216,1
67,2.26,339,5
5,3,36,1
10,1.98,162,1
10,1.8,368,1
11,2.19,162,1
8,1.93,133,1
10,2.19,164,1
34,2.06,218,5
8,1.6,99,1
6,3.22,29,1
9,2.47,106,1
9,2.55,74,1
8,2.09,119,1
10,2.28,132,1
10,1.79,193,1
8,1.94,60,1
8,1.83,132,1
10,2.2,66,1
