@relation page-blocks

@attribute Height numeric
@attribute Area numeric
@attribute Wb_trans numeric
@attribute Class {1,2,3,4,5}

@data
9,1359,181,1
2,62,6,1
9,1080,147,1
7,455,95,1
10,200,23,1
9,180,14,1
9,1647,239,1
10,190,13,1
10,490,86,1
11,2178,288,1
10,590,88,1
8,96,19,1
1,70,13,1
9,126,9,1
9,2790,375,1
7,56,13,1
7,140,24,1
5,90,21,1
5,85,18,1
11,88,9,1
11,1012,159,1
8,200,36,1
9,297,68,1
8,96,12,1
10,980,167,1
16,6112,444,1
10,190,14,1
7,119,17,1
9,504,88,1
5,20,4,1
9,135,15,1
8,128,22,1
6,1956,323,1
5,60,6,1
7,168,34,1
24,2808,338,1
11,781,77,1
5,65,7,1
14,616,98,1
8,120,21,1
7,70,13,1
9,171,14,1
8,592,108,1
4,176,33,1
5,140,31,1
7,196,36,1
6,138,22,1
10,530,87,1
5,180,54,1
11,2871,361,1
7,105,28,1
22,1540,70,1
11,253,32,1
17,408,25,1
9,126,17,1
9,324,54,1
9,999,133,1
8,1128,227,1
9,891,135,1
8,1936,195,1
7,112,20,1
8,152,24,1
7,77,20,1
11,77,1,1
9,747,96,1
8,808,139,1
10,380,59,1
10,2630,348,1
10,80,6,1
7,245,44,1
7,245,49,1
9,126,12,1
10,790,117,1
12,4020,348,1
13,1729,127,1
6,636,72,1
6,42,4,1
11,2024,195,1
9,927,134,1
13,5304,579,1
13,494,42,1
5,40,3,1
10,1620,176,1
8,368,56,1
8,288,63,1
8,552,90,1
10,1210,131,1
7,371,22,1
7,98,18,1
9,153,16,1
1,29,8,1
7,98,17,1
6,48,10,1
8,32,6,1
13,390,43,1
7,245,45,1
8,96,28,1
7,1512,223,1
8,144,27,1
5,220,21,1
9,270,46,1
9,261,41,1
10,220,35,1
8,152,18,1
16,5696,371,1
9,225,29,1
11,462,69,1
1,12,2,1
14,5180,554,1
8,512,72,1
9,180,35,1
6,18,4,1
9,252,43,1
9,297,57,1
7,49,9,1
8,336,56,1
5,25,1,1
6,66,13,1
7,252,56,1
10,3160,422,1
8,280,57,1
6,48,13,1
11,957,115,1
7,105,14,1
8,152,31,1
25,4450,276,1
8,504,91,1
7,399,87,1
12,804,99,1
9,2691,385,1
14,4466,364,1
10,210,33,1
6,162,35,1
5,145,33,1
8,656,104,1
6,168,17,1
10,530,99,1
8,176,32,1
13,2769,214,1
9,657,94,1
10,800,122,1
7,42,1,1
7,147,31,1
10,70,12,1
7,91,19,1
8,96,20,1
7,77,21,1
10,510,83,1
1,89,16,1
14,5558,420,1
8,432,53,1
7,49,13,1
6,222,48,1
8,896,120,1
8,264,52,1
6,570,79,1
25,4650,305,1
11,572,84,1
9,4815,596,1
25,4625,306,1
14,406,35,1
3,21,1,1
9,405,74,1
25,6525,326,1
8,832,129,1
13,1352,78,1
8,136,36,1
7,644,122,1
17,578,4,1
3,312,19,1
8,176,37,1
12,804,101,1
8,56,11,1
7,84,19,1
10,2610,388,1
6,72,16,1
6,540,104,1
4,48,4,1
11,264,14,1
6,36,6,1
13,1495,179,1
8,328,49,1
11,4543,664,1
9,180,12,1
11,319,42,1
10,80,8,1
10,980,154,1
5,160,42,1
7,140,24,1
10,2680,180,1
6,120,24,1
7,42,11,1
8,184,40,1
10,380,56,1
7,231,50,1
9,243,48,1
7,245,56,1
8,264,43,1
8,1256,220,1
11,924,110,1
10,420,70,1
9,288,47,1
9,1368,187,1
10,150,21,1
9,855,116,1
9,441,86,1
10,630,86,1
10,1550,208,1
7,14,1,1
25,2100,110,1
9,423,56,1
8,176,27,1
6,618,124,1
7,1015,140,1
12,1416,184,1
10,580,29,1
9,738,133,1
8,1920,279,1
6,324,53,1
7,602,116,1
9,4590,241,1
9,153,28,1
7,91,15,1
17,6613,455,1
9,2889,339,1
4,392,96,1
13,4875,521,1
7,847,144,1
11,1452,134,1
12,2592,248,1
6,576,102,1
9,4806,507,1
22,440,23,1
10,2620,390,1
10,500,54,1
8,104,19,1
10,490,88,1
6,264,57,1
9,1053,178,1
11,2035,310,1
11,165,28,1
3,12,1,1
6,120,33,1
9,387,55,1
8,72,15,1
13,5629,438,1
8,208,39,1
6,102,25,1
8,768,63,1
6,42,7,1
9,2070,314,1
9,234,40,1
10,220,34,1
10,200,15,1
8,112,21,1
7,322,44,1
7,2422,329,1
7,77,17,1
7,245,50,1
3,12,1,1
14,5908,624,1
13,845,99,1
8,520,100,1
7,91,8,1
6,24,2,1
7,2205,110,1
9,999,126,1
9,1449,164,1
10,2710,362,1
9,108,18,1
6,486,102,1
7,441,79,1
10,330,43,1
8,120,22,1
8,240,38,1
12,3684,444,1
7,77,16,1
7,28,2,1
8,320,54,1
5,90,22,1
8,72,14,1
8,368,62,1
7,84,14,1
8,80,17,1
9,1080,181,1
6,564,66,1
10,670,90,1
