@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R3-4,11'

@attribute Area numeric
@attribute Eccen numeric
@attribute Class {1,2,3,4,5}

@data
18,500,1
10,0.4,1
72,4.5,1
340,3.4,1
1000,10,1
675,8.333,1
138,34.5,2
847,7,1
57,57,2
1520,15.2,1
34,8.5,2
162,4.5,1
105,2.143,1
99,0.818,1
495,6.111,1
126,1.556,1
280,4.375,1
720,8.889,1
672,10.5,1
98,2,1
208,3.25,1
324,4,1
276,7.667,1
231,1.909,1
380,3.8,1
1100,9.091,1
656,10.25,1
320,5,1
360,5.625,1
9,9,2
132,0.068,4
639,71,2
240,2.4,1
1008,7,1
630,6.3,1
75,75,2
306,3.778,1
96,0.667,1
84,0.583,1
252,1.286,1
1078,8.909,1
63,0.778,1
405,5,1
380,3.8,1
324,4,1
198,2.444,1
288,3.556,1
1375,11.364,1
360,4.444,1
396,4.889,1
423,5.222,1
294,6,1
66,1.833,1
1078,8.909,1
23,23,2
424,6.625,1
492,3.417,1
600,9.375,1
288,4.5,1
568,8.875,1
333,4.111,1
900,11.111,1
729,9,1
756,9.333,1
243,3,1
297,3.667,1
42,1.167,2
423,5.222,1
414,5.111,1
1098,13.556,1
36,36,2
256,4,1
423,5.222,1
324,4,1
1000,10,1
1010,10.1,1
1416,9.833,1
1260,12.6,1
168,2.625,1
14,0.286,1
98,2,1
99,0.818,1
324,4,1
720,8.889,1
297,3.667,1
88,1.375,1
814,6.727,1
424,6.625,1
682,5.636,1
84,84,2
320,5,1
328,5.125,1
301,6.143,1
1584,3.273,1
568,8.875,1
343,7,1
258,7.167,1
480,4.8,1
13,0.077,4
195,7.8,1
13,0.077,4
330,3.3,1
860,8.6,1
1236,8.583,1
3024,9.333,1
3038,15.5,1
350,3.5,1
405,5,1
558,6.889,1
360,4.444,1
195,7.8,1
1624,8.286,1
117,1.444,1
104,1.625,1
610,6.1,1
6000,41.667,1
374,3.091,1
594,16.5,1
81,9,1
4968,34.5,1
200,2,1
266,1.357,5
60,2.4,5
2448,30.222,1
20,1.25,5
232,3.625,1
2981,24.636,1
56,0.875,1
150,1.5,1
600,6,1
1790,17.9,1
2710,27.1,1
72,1.125,5
510,5.1,1
2168,33.875,1
2079,17.182,1
1730,17.3,1
1575,19.444,1
568,8.875,1
232,3.625,1
120,3.333,1
90,3.6,1
1008,15.75,1
792,12.375,1
8844,0.014,4
60,2.4,1
98,2,1
1422,17.556,1
41,41,2
36,1,1
42,1.167,1
42,1.167,1
12,12,1
207,2.556,1
84,2.333,1
56,3.5,1
287,5.857,1
56,1.143,1
354,9.833,1
72,0.889,1
184,2.875,1
343,7,1
203,4.143,1
77,1.571,1
112,2.286,1
25,1,1
609,12.429,1
63,1.286,1
441,5.444,1
40,0.625,1
184,2.875,1
210,4.286,1
108,3,1
105,2.143,1
150,4.167,1
441,5.444,1
456,7.125,1
56,1.143,1
133,2.714,1
2620,26.2,1
112,2.286,1
280,5.714,1
63,1.286,1
399,8.143,1
91,1.857,1
63,1.286,1
245,5,1
140,2.857,1
161,3.286,1
312,4.875,1
133,2.714,1
160,2.5,1
261,3.222,1
231,4.714,1
154,3.143,1
648,8,1
252,5.143,1
210,4.286,1
224,4.571,1
28,0.571,1
357,7.286,1
154,3.143,1
84,2.333,1
128,2,1
42,0.857,1
168,3.429,1
162,4.5,1
147,3,1
156,4.333,1
240,3.75,1
161,3.286,1
819,10.111,1
160,6.4,1
78,2.167,1
35,1.4,1
455,9.286,1
215,8.6,1
252,5.143,1
126,2.571,1
48,0.75,1
25,1,1
70,1.429,1
963,11.889,1
450,5.556,1
328,5.125,1
42,1.167,1
1656,20.444,1
55,2.2,1
56,1.143,1
147,3,1
60,1.667,1
72,1.125,1
35,1.4,1
344,5.375,1
65,0.385,5
462,3.818,1
230,2.3,1
240,3.75,1
627,5.182,1
352,2.909,1
374,3.091,1
18,4.5,2
209,1.727,1
247,0.684,1
48,0.75,1
112,1.75,1
225,0.36,5
108,1.333,1
280,4.375,1
336,5.25,1
429,3.545,1
152,2.375,1
270,2.7,1
320,3.2,1
96,1.5,1
272,4.25,1
572,4.727,1
957,7.909,1
392,6.125,1
120,1.875,1
329,6.714,1
47,47,2
168,2.625,1
2160,26.667,1
315,3.889,1
112,1.75,1
256,4,1
304,4.75,1
280,4.375,1
200,2,1
468,5.778,1
143,1.182,1
132,1.091,1
112,1.75,1
275,2.273,1
3252,22.583,1
112,1.75,1
190,1.9,1
486,6,1
96,1.5,1
56,0.875,1
96,1.5,1
128,2,1
1342,11.091,1
176,2.75,1
80,1.25,1
96,1.5,1
363,3,1
42,1.167,1
297,2.455,1
876,24.333,1
49,1,1
42,0.857,1
130,1.3,1
510,5.1,1
370,3.7,1
110,1.1,1
78,2.167,1
102,2.833,1
918,0.794,5
256,4,1
464,1.813,5
1030,10.3,1
80,0.8,1
18,0.222,4
96,1.5,1
128,2,1
28,0.571,1
65,2.6,1
390,3.9,1
70,0.7,1
1397,11.545,1
112,1.75,1
152,2.375,1
180,1.8,1
192,3,1
35,1.4,1
300,3,1
160,2.5,1
200,3.125,1
300,3,1
320,5,1
126,1.556,1
410,4.1,1
72,1.125,1
2620,26.2,1
290,2.9,1
144,2.25,1
80,1.25,1
340,3.4,1
200,3.125,1
320,5,1
400,4,1
540,5.4,1
128,2,1
84,1.714,1
152,2.375,1
192,3,1
390,3.9,1
730,7.3,1
266,5.429,1
72,1.125,1
28,0.571,1
414,5.111,1
75,3,1
192,3,1
504,7.875,1
140,1.4,1
264,4.125,1
56,0.875,1
77,1.571,1
184,2.875,1
200,3.125,1
220,2.2,1
1474,3.045,1
494,2.923,1
1611,19.889,1
1072,268,2
1072,268,2
65,2.6,1
1160,18.125,1
25,1,1
672,10.5,1
1332,16.444,1
4815,59.444,1
3392,3.313,5
600,9.375,1
1850,18.5,1
2205,27.222,1
963,11.889,1
2048,32,1
2135,43.571,1
257,257,2
1512,30.857,1
1683,20.778,1
4815,59.444,1
4815,59.444,1
1665,20.556,1
196,49,2
1359,16.778,1
4824,59.556,1
1953,24.111,1
3360,33.6,1
4815,59.444,1
6768,11.75,1
972,12,1
143,143,1
1143,14.111,1
1624,25.375,1
26,26,2
1036,21.143,1
1147,1.194,5
1647,20.333,1
120,1.875,1
1370,13.7,1
5110,51.1,1
4650,7.44,1
1505,30.714,1
1665,20.556,1
155,6.2,1
167,167,1
918,11.333,1
1746,21.556,1
480,13.333,1
1057,21.571,1
1074,268.5,2
1352,8,1
84,2.333,1
91,1.857,1
98,2,1
963,11.889,1
1197,24.429,1
16,16,2
50,2,1
525,10.714,1
2090,17.273,1
14,14,2
104,104,2
490,10,1
1550,15.5,1
100,1,1
9,1,1
558,6.889,1
2013,16.636,1
190,1.9,1
504,7.875,1
5200,30.769,1
126,1.556,1
4020,27.917,1
2067,12.231,1
4165,14.412,1
2100,14.583,1
8,0.125,4
159,159,2
4225,6.76,1
852,5.917,1
4596,31.917,1
747,9.222,1
1550,15.5,1
315,6.429,1
190,1.9,1
200,2,1
171,2.111,1
170,1.7,1
8640,11.852,1
747,9.222,1
63,63,2
6832,26.688,1
2178,18,1
42,42,2
27058,3.928,5
6912,1.333,3
9982,10.387,1
12,1.333,1
5744,22.438,1
630,7.778,1
209,1.727,1
616,5.091,1
6784,26.5,1
2760,5.217,1
2560,25.6,1
264,1.833,1
240,1.667,1
25748,3.829,1
2596,21.455,1
10,0.4,4
3240,5.625,1
264,1.833,1
7024,27.438,1
2070,25.556,1
104,1.625,1
384,6,1
3160,31.6,1
1360,21.25,1
3980,39.8,1
1296,20.25,1
872,13.625,1
8,0.125,1
1302,36.167,1
1680,34.286,1
350,14,1
1015,40.6,1
2844,8.778,1
187,0.647,1
170,6.8,1
230,9.2,1
1344,27.429,1
1477,30.143,1
3819,10.579,1
580,5.8,1
470,18.8,1
380,23.75,1
576,16,1
136,0.007,4
576,16,1
1472,5.75,1
4672,1.141,3
4158,1.048,3
432,27,2
627,5.182,1
1899,23.444,1
84,1.714,1
76,76,2
42,1.167,1
54,1.5,1
24,2.667,1
396,4.889,1
60,2.4,1
290,11.6,1
45,45,1
826,16.857,1
238,4.857,1
78,2.167,1
30,1.2,1
55,2.2,1
105,2.143,1
336,5.25,1
90,3.6,1
1188,14.667,1
6072,50.182,2
16,16,2
4037,33.364,1
5908,30.143,1
4043,23.923,1
17,17,2
200,2,1
8,8,2
17,17,2
1233,15.222,1
576,16,1
2552,39.875,1
455,9.286,1
644,13.143,1
106,106,2
320,0.8,1
1260,1.607,1
342,4.222,1
1380,9.583,1
55,0.455,1
3333,27.545,1
100,1,1
2622,1.816,1
1974,10.071,1
7,0.143,4
110,1.1,1
132,1.091,1
405,5,1
