@relation banana-weka.filters.unsupervised.attribute.Remove-V-R2-3

@attribute At2 numeric
@attribute Class {-1.0,1.0}

@data
0.452,-1.0
-1.36,-1.0
-0.881,-1.0
0.921,-1.0
-0.715,1.0
-1.2,1.0
0.549,-1.0
0.654,-1.0
-1.33,-1.0
0.48,-1.0
2.11,-1.0
0.972,-1.0
-0.261,1.0
0.693,-1.0
0.525,-1.0
-0.12,1.0
-1.39,1.0
-0.401,1.0
1.39,-1.0
-0.32,1.0
1.21,1.0
0.309,-1.0
-0.0582,1.0
-1.01,-1.0
1.46,-1.0
-1.51,-1.0
1.7,-1.0
1.08,-1.0
0.246,-1.0
-1.35,-1.0
-0.251,-1.0
0.6,-1.0
0.332,1.0
-1.19,-1.0
-0.917,1.0
1.48,-1.0
-0.351,1.0
-0.331,1.0
-1.26,-1.0
-1.12,-1.0
-1.58,-1.0
0.965,-1.0
-1.19,-1.0
-1.48,-1.0
0.0829,1.0
-0.566,1.0
0.788,1.0
0.0318,-1.0
-0.308,1.0
1.48,-1.0
1.21,-1.0
-1.21,-1.0
1.02,-1.0
-1.78,1.0
-1.01,-1.0
0.154,1.0
-0.948,-1.0
-1.73,1.0
1.38,-1.0
-0.389,-1.0
0.727,1.0
0.377,-1.0
-0.141,1.0
-1.25,-1.0
1.67,1.0
0.916,-1.0
-0.737,1.0
-1.17,1.0
0.488,-1.0
0.877,-1.0
-1.02,1.0
-1.19,1.0
0.439,1.0
1.67,-1.0
-1.3,-1.0
1.81,-1.0
0.862,-1.0
0.337,1.0
-0.306,1.0
1.32,-1.0
-1.13,-1.0
-1.05,-1.0
0.429,1.0
-0.271,1.0
1.07,-1.0
-1.2,-1.0
1.42,-1.0
-0.203,1.0
-0.057,1.0
-1.15,1.0
-0.145,-1.0
-1.26,-1.0
1.05,-1.0
-1.17,1.0
-0.0908,-1.0
-0.264,1.0
-1.22,-1.0
-1.41,1.0
-0.194,1.0
-0.566,-1.0
-1.39,-1.0
-0.151,1.0
-0.529,1.0
-0.000578,1.0
1.36,1.0
1.05,-1.0
-1.03,1.0
0.0928,-1.0
0.574,1.0
1.21,-1.0
-0.601,1.0
0.844,-1.0
1.22,-1.0
-1.4,-1.0
-0.931,-1.0
1.48,1.0
-1.26,-1.0
0.101,-1.0
0.0367,1.0
1.35,1.0
-1.39,-1.0
-1.05,-1.0
1.35,1.0
-0.59,1.0
1.69,1.0
-1.43,-1.0
0.682,-1.0
-0.731,-1.0
-1.02,1.0
-1.03,-1.0
0.529,-1.0
0.601,1.0
1.59,1.0
0.196,1.0
-0.862,-1.0
-0.897,1.0
-0.917,1.0
-0.704,1.0
-1.16,1.0
0.468,1.0
-0.966,1.0
0.538,-1.0
0.195,-1.0
-0.319,1.0
-1.15,-1.0
1.69,-1.0
1.21,1.0
-0.157,1.0
1.4,1.0
1.48,1.0
-0.43,1.0
-0.91,-1.0
-1.85,1.0
1.45,1.0
1.06,-1.0
-1.73,1.0
-1.62,-1.0
-1.28,-1.0
-0.522,1.0
1.32,-1.0
2.03,-1.0
