@relation banana-weka.filters.unsupervised.attribute.Remove-V-R2-3

@attribute At2 numeric
@attribute Class {-1.0,1.0}

@data
0.364,1.0
-0.825,1.0
0.691,-1.0
0.405,-1.0
0.894,-1.0
1.62,-1.0
-0.606,1.0
-0.961,-1.0
-1.15,-1.0
0.345,1.0
-1.37,1.0
1.6,-1.0
0.958,1.0
1.35,-1.0
1.38,1.0
-0.569,-1.0
-0.873,-1.0
-0.65,-1.0
0.133,-1.0
-0.984,-1.0
-0.427,1.0
-0.357,1.0
-1.5,-1.0
-1.2,1.0
0.966,1.0
-0.0615,1.0
-0.2,1.0
0.685,-1.0
0.99,1.0
0.949,-1.0
-0.041,1.0
-1.28,-1.0
-0.694,1.0
-0.691,-1.0
1,-1.0
-0.841,1.0
-1.04,-1.0
-1.41,1.0
-0.239,-1.0
-1.13,1.0
-1.26,1.0
-0.00779,-1.0
-1.01,-1.0
-1.02,-1.0
-1.45,-1.0
-1.59,-1.0
-1.43,1.0
-0.474,1.0
-0.352,1.0
-0.68,1.0
0.266,-1.0
1.68,1.0
1.62,1.0
-1.26,-1.0
1.36,-1.0
0.554,-1.0
1.29,-1.0
-0.197,1.0
-0.756,-1.0
-0.417,1.0
-0.842,1.0
1.2,-1.0
-0.0653,-1.0
0.392,-1.0
-1.03,-1.0
0.548,-1.0
-0.237,1.0
1.19,-1.0
0.0524,1.0
0.258,-1.0
-0.32,1.0
-1.5,-1.0
-0.0275,1.0
-0.782,-1.0
0.831,1.0
0.559,1.0
1.39,1.0
-1.18,1.0
-0.858,1.0
0.585,-1.0
-0.0777,1.0
-0.997,-1.0
0.312,1.0
0.225,-1.0
-1.08,1.0
1.3,-1.0
0.409,-1.0
0.511,-1.0
1.24,-1.0
-0.872,1.0
1.51,-1.0
-0.884,-1.0
-0.722,-1.0
-0.598,1.0
-1.14,-1.0
-0.743,1.0
0.0234,1.0
1.07,-1.0
2.05,-1.0
-0.934,-1.0
-0.617,1.0
2.37,-1.0
2.01,-1.0
-1.5,-1.0
1.42,1.0
-1.14,-1.0
-0.933,-1.0
-0.984,-1.0
-1.09,-1.0
-1.48,-1.0
0.388,-1.0
-0.882,-1.0
0.831,-1.0
-0.917,-1.0
-0.669,-1.0
1.38,1.0
-0.195,1.0
-1.11,1.0
-1.2,-1.0
0.707,-1.0
0.245,1.0
-1.32,-1.0
-0.0671,1.0
1.29,-1.0
0.0819,-1.0
-0.863,-1.0
-0.0513,-1.0
-0.0335,-1.0
0.909,-1.0
1.7,-1.0
1.88,-1.0
1.45,1.0
-0.9,1.0
-0.973,-1.0
-0.934,-1.0
-0.212,1.0
1.12,-1.0
-1.15,-1.0
0.206,1.0
1.02,-1.0
1.34,1.0
0.456,-1.0
-0.334,1.0
0.771,-1.0
1.33,1.0
0.885,-1.0
-0.593,1.0
0.169,1.0
-1.37,-1.0
0.00536,1.0
-0.817,1.0
-0.179,1.0
-1.03,-1.0
0.465,1.0
-0.378,1.0
-1.1,-1.0
0.575,1.0
0.214,1.0
-1.23,-1.0
0.729,-1.0
1.15,-1.0
0.659,-1.0
1.71,-1.0
0.525,-1.0
-1.43,-1.0
0.992,-1.0
-1.33,-1.0
1.1,-1.0
-0.823,-1.0
-1.33,-1.0
1.05,-1.0
-1.83,1.0
1.07,1.0
-0.803,1.0
0.26,-1.0
-0.0901,1.0
-1.16,1.0
-0.0997,-1.0
-1.01,-1.0
-0.472,-1.0
-0.119,1.0
0.744,-1.0
-1.11,1.0
-0.0431,1.0
1.35,1.0
-0.847,1.0
-0.161,1.0
-0.0168,1.0
0.0946,-1.0
-0.893,-1.0
-0.959,-1.0
0.883,-1.0
-0.0565,1.0
-0.245,1.0
-0.543,1.0
-0.767,-1.0
-1.27,-1.0
-0.541,1.0
1.57,1.0
1.04,-1.0
-0.88,-1.0
1.19,-1.0
-0.265,1.0
-0.24,1.0
2.05,-1.0
-0.792,-1.0
1.23,-1.0
0.92,-1.0
-0.226,1.0
1.97,1.0
1.58,-1.0
0.191,-1.0
0.345,1.0
0.293,-1.0
-1.2,-1.0
0.442,1.0
1.43,1.0
0.275,-1.0
1.53,1.0
1.43,1.0
0.869,1.0
0.438,-1.0
1.64,-1.0
-1.17,-1.0
2.06,1.0
-0.232,1.0
1.25,-1.0
-0.829,1.0
0.629,1.0
-0.15,1.0
-0.159,1.0
0.0665,-1.0
0.0369,1.0
-1.13,-1.0
-0.0835,-1.0
-0.77,-1.0
-1.66,-1.0
-0.855,1.0
-1.69,1.0
0.892,-1.0
0.72,-1.0
0.71,-1.0
0.553,-1.0
1.54,-1.0
0.348,1.0
-0.289,-1.0
-0.469,1.0
-1.4,-1.0
-0.769,-1.0
0.286,-1.0
0.659,-1.0
0.454,-1.0
-1.22,-1.0
1.6,-1.0
-1.19,1.0
1.65,-1.0
-0.988,-1.0
-0.374,1.0
0.969,1.0
-0.244,-1.0
-1.08,1.0
1.03,-1.0
-1.26,-1.0
1.52,1.0
0.43,-1.0
-0.288,1.0
1.17,-1.0
0.638,1.0
-1.2,-1.0
-0.834,1.0
0.612,-1.0
0.206,1.0
1.27,-1.0
-1.18,1.0
0.283,1.0
-1.18,-1.0
0.136,1.0
1.56,1.0
-1.06,1.0
1.16,-1.0
0.203,1.0
-0.975,-1.0
-1.07,-1.0
2.33,-1.0
-1.04,-1.0
-1.38,-1.0
0.4,1.0
-1.3,-1.0
-1.72,1.0
-1.17,-1.0
0.906,-1.0
1.01,-1.0
-1.35,-1.0
1.67,1.0
-0.765,1.0
0.181,1.0
0.541,-1.0
-0.834,-1.0
1.26,-1.0
1.12,1.0
-0.238,1.0
-0.0851,1.0
1.77,1.0
-1.6,-1.0
1.16,1.0
-0.442,1.0
-1.08,-1.0
0.536,1.0
0.554,1.0
-0.39,1.0
-0.209,-1.0
0.72,-1.0
-1.51,1.0
-1.12,-1.0
1.04,-1.0
-0.665,1.0
-1.01,-1.0
-0.85,-1.0
1.32,-1.0
