@relation 'satimage-weka.filters.unsupervised.attribute.Remove-V-R6,10,12,16-17,19,21,28-30,33-37'

@attribute Sp16 numeric
@attribute Sp21 numeric
@attribute Sp23 numeric
@attribute Sp27 numeric
@attribute Sp28 numeric
@attribute Sp31 numeric
@attribute Sp33 numeric
@attribute Sp41 numeric
@attribute Sp42 numeric
@attribute Sp43 numeric
@attribute Sp46 numeric
@attribute Sp47 numeric
@attribute Sp48 numeric
@attribute Sp49 numeric
@attribute Class {1,2,3,4,5,6,7}

@data
102,115,91,85,88,104,88,87,88,103,84,103,113,87,3
106,106,87,81,84,108,88,83,88,103,88,103,109,83,3
77,62,76,78,60,87,56,79,75,79,75,83,96,79,5
94,81,68,74,71,87,71,71,71,75,71,79,77,67,7
66,55,72,67,60,79,53,67,59,61,55,54,85,67,5
107,112,88,87,79,113,79,81,82,104,82,104,108,85,3
112,112,96,92,93,113,93,89,90,109,90,109,112,89,3
112,112,88,92,93,118,88,89,90,109,90,104,117,92,3
103,99,85,87,88,113,88,92,86,109,86,109,112,89,3
103,103,85,83,84,104,84,81,82,100,86,100,104,81,3
68,54,70,67,59,77,55,66,66,63,59,60,73,63,5
99,99,79,103,95,127,82,109,96,127,92,108,114,86,3
107,107,87,89,90,108,90,86,92,103,87,103,105,83,3
107,107,87,85,90,112,86,86,92,108,92,108,110,90,3
103,99,79,81,82,100,82,83,87,95,83,99,101,79,3
99,95,83,81,86,104,82,79,79,99,79,99,105,83,3
91,79,79,81,82,104,82,83,83,95,83,95,101,79,3
72,64,67,66,70,76,66,64,71,81,71,77,86,68,7
91,91,70,75,83,97,83,80,82,92,78,92,93,73,4
87,87,70,72,75,93,79,73,78,88,82,92,93,73,4
87,83,66,68,75,93,75,73,78,84,74,84,89,69,4
40,67,85,131,46,119,52,136,44,34,44,34,119,133,2
83,75,66,83,79,97,71,87,82,97,78,88,89,73,7
53,49,70,60,63,72,59,62,67,75,60,63,74,58,7
103,108,86,101,97,119,89,105,92,120,88,120,125,98,3
91,88,68,73,78,93,82,68,80,89,80,85,90,68,4
84,88,68,73,78,93,74,72,72,81,64,69,102,83,4
88,81,64,76,67,93,57,109,50,40,47,34,125,135,2
99,99,86,83,85,105,82,91,88,102,84,111,106,87,3
95,99,83,87,85,101,85,83,88,106,84,111,115,87,3
63,66,64,65,70,82,67,68,72,81,72,77,78,61,7
92,92,73,76,80,94,80,78,80,99,80,95,100,74,4
92,88,73,72,80,98,80,74,84,95,80,91,91,70,4
92,102,83,120,64,106,84,132,50,51,71,87,104,81,2
115,115,90,87,92,111,92,85,88,107,92,107,113,88,3
111,106,87,83,84,106,88,85,88,103,92,107,113,88,3
102,102,83,91,88,106,88,85,88,107,88,107,118,88,3
102,102,87,87,88,111,84,85,88,99,84,103,108,85,3
88,84,69,72,76,86,68,67,71,83,71,83,91,74,7
79,75,62,68,72,86,72,67,71,79,71,79,79,67,7
81,69,83,103,56,104,53,129,48,37,51,45,113,104,2
111,102,87,81,88,108,88,92,79,91,88,107,109,87,3
102,106,87,85,88,108,92,87,88,103,88,111,109,87,3
115,111,91,88,88,113,92,87,84,107,88,107,113,92,3
102,102,87,85,84,108,88,87,88,103,84,99,104,79,3
98,98,79,70,68,83,68,67,75,79,75,79,85,71,7
121,116,99,96,88,118,88,96,90,109,86,109,112,92,3
87,103,88,125,59,104,79,125,49,37,49,43,117,111,2
103,107,88,79,88,109,88,111,66,71,82,96,104,81,3
79,75,67,71,75,85,71,66,70,79,74,83,84,70,7
79,79,67,67,75,89,75,66,74,83,74,83,84,70,7
32,32,154,114,52,117,46,131,52,45,46,40,119,139,2
29,32,137,151,46,138,46,150,42,30,46,30,124,135,2
34,37,129,125,46,122,46,131,49,34,46,34,119,124,2
32,37,125,129,46,122,46,131,46,37,46,34,124,124,2
107,107,87,111,66,100,82,124,52,51,75,84,101,79,2
107,103,87,89,86,112,86,90,87,108,92,108,114,86,3
79,79,67,66,70,80,74,60,63,70,71,77,82,64,7
79,79,67,70,74,84,74,60,63,66,63,70,72,60,7
109,100,81,94,92,114,87,94,97,111,93,106,114,90,3
32,40,114,139,42,124,46,136,44,34,44,31,124,136,2
113,109,89,94,92,110,87,90,89,106,89,106,114,87,3
