@relation 'satimage-weka.filters.unsupervised.attribute.Remove-V-R2,5,8,10-11,14-15,17-18,25,27,33,35,37'

@attribute Sp12 numeric
@attribute Sp15 numeric
@attribute Sp18 numeric
@attribute Sp21 numeric
@attribute Sp22 numeric
@attribute Sp25 numeric
@attribute Sp26 numeric
@attribute Sp28 numeric
@attribute Sp29 numeric
@attribute Sp37 numeric
@attribute Sp39 numeric
@attribute Sp46 numeric
@attribute Sp48 numeric
@attribute Class {1,2,3,4,5,6,7}

@data
85,68,79,94,111,83,87,71,83,71,81,67,96,4
94,80,87,106,115,103,104,84,103,79,104,84,109,3
111,92,87,106,106,107,118,88,107,88,109,93,109,3
102,88,83,102,106,99,104,84,103,88,109,79,100,3
106,84,91,106,115,103,113,88,107,88,109,84,104,3
102,84,83,98,102,99,104,84,99,84,104,79,100,3
83,68,63,79,87,75,85,71,75,70,84,66,88,4
99,84,81,99,104,107,109,84,99,86,112,86,108,3
103,88,85,103,108,99,104,79,99,90,112,86,104,3
103,88,85,99,104,99,109,84,103,86,104,82,108,3
99,80,78,87,96,95,100,79,99,82,100,82,100,3
87,71,78,54,87,95,100,79,91,82,100,82,104,3
79,80,85,91,100,99,104,84,99,82,104,86,112,3
91,76,74,79,87,87,93,75,83,86,112,78,84,7
79,71,63,75,79,75,81,67,72,70,88,66,80,7
54,56,63,51,67,48,70,51,48,59,76,49,69,5
87,71,67,79,81,87,92,74,83,75,93,75,97,4
107,88,92,107,109,104,112,90,104,92,114,92,110,3
91,78,74,87,92,91,97,79,91,78,93,78,97,4
87,78,66,87,92,88,93,75,84,82,93,78,93,4
100,90,85,104,108,99,105,87,103,74,101,85,110,3
109,90,89,109,112,108,114,96,112,93,119,89,114,3
109,90,89,104,112,103,110,87,103,93,114,93,114,3
104,90,92,109,108,103,105,92,108,89,110,89,114,3
109,90,92,104,108,108,110,87,108,89,114,89,114,3
91,79,72,91,90,92,93,74,92,80,94,80,94,4
60,49,116,37,119,37,119,44,34,44,131,44,120,2
32,46,131,34,119,31,124,44,34,44,131,47,131,2
108,87,90,108,110,106,114,89,106,88,106,92,115,3
103,87,83,103,105,111,110,89,111,92,115,88,115,3
