@relation 'satimage-weka.filters.unsupervised.attribute.Remove-V-R5,7,10,12-13,15-16,20-22,25-26,30,33,37'

@attribute Sp15 numeric
@attribute Sp17 numeric
@attribute Sp21 numeric
@attribute Sp23 numeric
@attribute Sp24 numeric
@attribute Sp26 numeric
@attribute Sp27 numeric
@attribute Sp32 numeric
@attribute Sp33 numeric
@attribute Sp34 numeric
@attribute Sp37 numeric
@attribute Sp38 numeric
@attribute Sp43 numeric
@attribute Sp46 numeric
@attribute Class {1,2,3,4,5,6,7}

@data
88,106,115,91,84,108,85,85,88,103,88,103,103,84,3
88,111,106,87,88,104,81,85,88,103,88,95,103,88,3
68,94,62,76,71,87,78,74,56,61,79,91,79,75,5
76,94,81,68,76,91,74,70,71,79,75,83,75,71,7
64,86,55,72,68,79,67,67,53,54,67,64,61,55,5
80,118,112,88,79,109,87,87,79,103,78,100,104,82,3
92,128,112,96,93,109,92,92,93,116,90,109,109,90,3
92,118,112,88,93,113,92,92,88,111,90,109,109,90,3
88,108,99,85,88,113,87,87,88,107,90,109,109,86,3
88,108,103,85,88,113,83,83,84,99,82,100,100,86,3
60,79,54,70,67,81,67,71,55,54,66,71,63,59,5
84,104,99,79,95,127,103,100,82,100,92,122,127,92,3
88,109,107,87,86,108,89,92,90,109,92,108,103,87,3
88,113,107,87,86,108,85,92,86,109,87,103,108,92,3
84,104,99,79,86,104,81,81,82,100,87,99,95,83,3
79,100,95,83,82,100,81,81,82,96,83,95,99,79,3
79,104,79,79,82,100,81,78,82,96,79,99,95,83,3
67,81,64,67,70,88,66,66,66,71,71,77,81,71,7
78,92,91,70,83,93,75,72,83,91,78,97,92,78,4
74,88,87,70,79,93,72,68,79,88,78,92,88,82,4
78,92,83,66,75,90,68,72,75,88,78,88,84,74,4
49,117,67,85,42,119,131,131,52,48,44,37,34,44,2
78,84,75,66,87,105,83,72,71,81,82,97,97,78,7
59,76,49,70,63,72,60,64,59,57,70,79,75,60,7
92,110,108,86,97,119,101,97,89,120,97,131,120,88,3
75,93,88,68,78,97,73,73,82,92,80,89,89,80,4
75,93,88,68,78,93,73,69,74,84,72,85,81,64,4
75,93,81,64,74,93,76,80,57,63,57,49,40,47,2
83,110,99,86,85,110,83,83,82,97,88,111,102,84,3
79,105,99,83,85,105,87,80,85,97,88,106,106,84,3
63,72,66,64,67,82,65,62,67,75,72,81,81,72,7
82,93,92,73,84,98,76,72,80,89,84,95,99,80,4
74,93,88,73,80,94,72,72,80,94,80,95,95,80,4
74,101,102,83,44,120,120,83,84,102,46,34,51,71,2
93,114,115,90,84,111,87,87,92,111,88,107,107,92,3
89,114,106,87,88,106,83,83,88,106,88,103,103,92,3
85,110,102,83,88,111,91,87,88,106,88,103,107,88,3
82,105,102,87,88,111,87,83,84,102,88,103,99,84,3
70,89,84,69,76,86,72,72,68,85,68,79,83,71,7
70,82,75,62,72,82,68,68,72,77,76,83,79,71,7
72,94,69,83,56,108,103,92,53,45,44,34,37,51,2
88,111,102,87,71,104,81,88,88,103,59,58,91,88,3
84,106,106,87,88,113,85,88,92,107,88,107,103,88,3
92,120,111,91,88,108,88,92,92,112,88,107,107,88,3
84,106,102,87,88,108,85,85,88,103,88,103,103,84,3
80,102,98,79,76,96,70,67,68,79,75,83,79,75,7
88,128,116,99,93,123,96,92,88,111,90,118,109,86,3
71,104,103,88,48,123,125,92,79,91,46,34,37,49,2
88,108,107,88,79,100,79,87,88,107,49,43,71,82,3
68,83,75,67,75,89,71,71,71,79,70,79,79,74,7
71,83,79,67,75,85,67,71,75,79,74,83,83,74,7
41,139,32,154,52,112,114,122,46,29,46,37,45,46,2
44,134,32,137,46,133,151,147,46,29,42,30,30,46,2
44,118,37,129,46,122,125,125,46,32,46,34,34,46,2
48,128,37,125,49,117,129,129,46,34,46,34,37,46,2
88,109,107,87,49,117,111,85,82,96,46,37,51,75,2
88,113,103,87,82,112,89,92,86,109,83,103,108,92,3
75,85,79,67,70,84,66,70,74,83,67,73,70,71,7
75,89,79,67,74,88,70,70,74,83,67,73,66,63,7
86,104,100,81,96,119,94,90,87,103,93,115,111,93,3
46,122,40,114,46,124,139,135,46,37,44,34,34,44,2
90,112,109,89,92,119,94,86,87,103,93,111,106,89,3
82,104,100,85,92,114,86,86,87,103,89,111,106,89,3
74,84,79,66,63,75,57,64,71,77,63,63,71,70,7
83,101,91,79,89,101,80,83,53,49,88,102,77,53,2
79,105,73,90,74,97,83,108,47,37,76,77,40,44,2
52,119,37,131,44,124,133,140,44,34,47,34,31,47,2
87,110,103,86,82,101,80,83,85,106,64,69,98,84,3
92,119,108,94,93,119,94,90,93,111,92,115,111,92,3
