@relation 'satimage-weka.filters.unsupervised.attribute.Remove-V-R2,4-5,9-10,12-13,19,26,28,30-31,34-35,37'

@attribute Sp12 numeric
@attribute Sp14 numeric
@attribute Sp15 numeric
@attribute Sp19 numeric
@attribute Sp21 numeric
@attribute Sp23 numeric
@attribute Sp24 numeric
@attribute Sp31 numeric
@attribute Sp38 numeric
@attribute Sp41 numeric
@attribute Sp43 numeric
@attribute Sp44 numeric
@attribute Sp47 numeric
@attribute Sp48 numeric
@attribute Class {1,2,3,4,5,6,7}

@data
102,79,84,80,102,79,92,104,121,100,107,113,99,104,3
94,76,76,76,94,76,76,100,91,71,87,93,87,93,4
62,76,64,80,94,83,56,100,83,79,99,104,99,104,5
49,65,53,53,52,68,56,67,48,62,48,70,48,70,5
83,67,68,71,83,70,71,81,71,70,60,96,49,104,4
112,92,88,92,112,92,88,109,109,85,109,117,109,112,3
126,104,88,84,107,87,90,122,108,86,103,114,122,135,3
87,71,79,75,87,71,78,88,91,72,91,93,88,93,4
87,67,71,71,79,62,74,92,88,68,91,97,88,93,4
111,92,93,93,111,92,90,117,108,90,112,114,108,110,3
107,92,93,93,116,92,90,112,112,90,108,110,108,110,3
107,92,88,88,107,87,90,108,108,86,108,110,103,105,3
99,79,88,88,95,83,86,104,103,86,103,105,103,110,3
79,79,75,84,99,83,82,104,95,79,99,105,99,105,3
72,67,67,59,61,71,70,80,81,68,77,86,73,75,5
100,85,82,82,100,78,92,105,120,97,106,110,102,110,3
100,81,82,78,100,81,83,110,106,87,102,110,102,110,3
100,78,78,82,104,85,79,105,102,83,102,110,102,105,3
91,74,74,74,87,70,79,90,92,69,88,97,88,97,4
60,81,56,49,40,114,46,119,34,136,31,124,34,119,2
109,89,90,90,109,89,87,110,106,87,102,110,106,114,3
100,81,82,82,100,81,87,97,102,83,111,114,106,114,3
83,70,74,70,79,66,79,86,97,80,88,89,79,82,7
79,66,70,66,71,66,71,82,79,65,88,89,84,85,7
53,70,56,49,40,66,63,75,75,62,63,74,56,74,5
103,83,79,83,103,86,78,110,102,79,98,102,98,102,3
103,86,92,92,108,86,93,114,106,87,106,111,102,115,3
108,86,92,92,103,86,89,110,102,87,106,115,111,115,3
