@relation 'satimage-weka.filters.unsupervised.attribute.Remove-V-R1-2,6,15,17,20,22-26,29,31,36-37'

@attribute Sp11 numeric
@attribute Sp12 numeric
@attribute Sp16 numeric
@attribute Sp26 numeric
@attribute Sp28 numeric
@attribute Sp32 numeric
@attribute Sp34 numeric
@attribute Sp35 numeric
@attribute Sp36 numeric
@attribute Sp37 numeric
@attribute Sp38 numeric
@attribute Sp42 numeric
@attribute Sp44 numeric
@attribute Sp49 numeric
@attribute Class {1,2,3,4,5,6,7}

@data
68,85,94,87,71,70,91,91,74,71,75,67,85,79,4
80,94,102,104,84,85,107,118,88,79,99,84,113,87,3
88,111,106,118,88,88,103,108,85,88,107,88,109,87,3
88,102,98,104,84,81,99,104,85,88,107,84,104,79,3
84,106,106,113,88,85,103,108,85,88,103,88,113,83,3
84,102,98,104,84,81,91,96,78,84,99,79,100,83,3
68,83,79,85,71,62,79,81,62,70,83,66,84,66,4
84,99,103,109,84,87,99,100,79,86,109,90,112,89,3
84,103,99,104,79,79,95,100,79,90,109,86,108,85,3
88,103,99,109,84,83,99,100,79,86,100,82,100,81,3
84,99,91,100,79,83,95,100,83,82,96,86,104,81,3
80,87,75,100,79,79,79,96,79,82,96,82,104,81,3
71,79,95,104,84,83,95,100,75,82,100,86,108,85,3
80,91,83,93,75,71,75,85,67,86,100,82,100,70,7
71,79,79,81,67,67,64,81,67,70,79,70,76,66,7
56,54,51,70,51,67,48,70,67,59,53,56,73,66,5
75,87,87,92,74,66,83,92,66,75,84,75,90,75,4
93,107,107,112,90,89,104,108,89,92,108,92,110,86,3
74,91,91,97,79,72,91,90,68,78,92,74,93,73,4
74,87,87,93,75,68,84,93,72,82,92,78,93,69,4
86,100,104,105,87,86,95,105,83,74,92,82,110,83,3
90,109,109,114,96,90,108,110,90,93,111,89,114,87,3
90,109,109,110,87,86,108,114,86,93,106,93,110,87,3
86,104,109,105,92,90,108,110,90,89,111,89,110,90,3
86,109,109,110,87,90,103,110,86,89,102,89,114,90,3
83,91,91,93,74,69,88,97,73,80,89,80,98,72,4
59,60,45,119,44,136,34,124,136,44,34,44,120,139,2
46,32,34,124,44,133,37,119,136,44,34,44,125,139,2
92,108,108,114,89,87,102,110,87,88,106,88,115,91,3
92,103,99,110,89,87,111,110,87,92,111,92,115,91,3
87,108,108,114,89,87,106,114,90,88,111,84,111,87,3
83,103,103,105,82,87,97,105,87,84,98,80,102,79,3
93,125,130,136,88,105,125,125,102,88,121,92,122,96,3
93,130,120,136,88,102,111,111,91,92,116,88,122,85,3
82,102,102,102,80,79,98,102,76,80,99,80,100,74,3
78,88,92,90,80,68,85,94,72,71,79,68,100,103,4
44,37,34,131,41,135,31,131,139,46,34,43,128,132,2
89,111,106,115,84,91,111,115,87,88,107,88,108,85,3
89,106,106,111,88,87,106,111,87,88,112,84,108,88,3
85,102,111,115,88,94,111,120,91,88,112,92,118,85,3
89,106,106,120,88,91,106,106,87,88,103,88,108,88,3
88,125,125,128,88,99,116,122,99,93,116,88,118,92,3
88,125,125,128,92,99,116,122,96,88,111,88,113,87,3
72,81,69,104,53,114,34,133,146,48,37,51,113,137,2
57,49,40,133,46,143,31,133,146,44,37,41,139,154,2
92,111,111,118,88,88,107,113,88,93,111,88,109,92,3
88,102,102,113,84,81,95,91,74,84,99,79,93,62,3
88,116,107,109,84,87,103,104,83,90,113,90,112,89,3
46,34,51,128,48,125,58,104,92,46,34,46,122,125,2
84,107,112,118,88,96,116,118,96,90,113,90,122,96,3
